DateTime,Open,High,Low,Close,Volume
2000-01-04,0.9665,0.9877,0.9035,0.9152,512377600
2000-01-05,0.9263,0.9872,0.9196,0.9286,778321600
2000-01-06,0.9475,0.9554,0.8482,0.8482,767972800
2000-01-07,0.8616,0.9018,0.8527,0.8884,460734400
2000-01-10,0.9107,0.9129,0.846,0.8728,505064000
2000-01-11,0.8566,0.8873,0.808,0.8281,441548800
2000-01-12,0.8482,0.8527,0.7723,0.7785,976068800
2000-01-13,0.8436,0.8817,0.8259,0.8638,1032684800
2000-01-14,0.8929,0.9129,0.8873,0.8968,390376000
2000-01-18,0.9018,0.9464,0.8968,0.928,459177600
2000-01-19,0.9431,0.971,0.923,0.9515,597643200
2000-01-20,1.0313,1.0848,1.0134,1.0134,1831132800
2000-01-21,1.0201,1.0201,0.9838,0.9939,495924800
2000-01-24,0.9682,1.0067,0.9386,0.9487,440876800
2000-01-25,0.9375,1.01,0.9141,1.0022,497145600
2000-01-26,0.9821,1.0195,0.9799,0.9838,367158400
2000-01-27,0.9715,1.0089,0.9554,0.9821,340144000
2000-01-28,0.966,0.99,0.8984,0.9074,423348800
2000-01-31,0.9018,0.9275,0.8438,0.9263,701680000
2000-02-01,0.9286,0.9375,0.8929,0.8951,318035200
2000-02-02,0.8996,0.9118,0.8661,0.8823,464195200
2000-02-03,0.8956,0.9308,0.8951,0.9224,475193600
2000-02-04,0.928,0.9821,0.9252,0.9643,425320000
2000-02-07,0.9643,1.0201,0.9459,1.0184,441067200
2000-02-08,1.0179,1.0368,0.9933,1.0257,408643200
2000-02-09,1.019,1.0458,1.0039,1.0056,299364800
2000-02-10,1.0078,1.0167,0.9821,1.0134,302982400
2000-02-11,1.0145,1.019,0.9665,0.971,212251200
2000-02-14,0.976,1.0346,0.9699,1.034,367539200
2000-02-15,1.029,1.0709,1.0285,1.0625,485744000
2000-02-16,1.0513,1.0547,1.0011,1.019,378246400
2000-02-17,1.0285,1.0313,1.01,1.0257,289497600
2000-02-18,1.0234,1.0301,0.99,0.9933,233441600
2000-02-22,0.9833,1.0441,0.9526,1.0162,422296000
2000-02-23,1.011,1.0625,0.9911,1.0379,473099200
2000-02-24,1.0474,1.0636,0.9978,1.0286,376432000
2000-02-25,1.0251,1.0446,0.9833,0.9855,249144000
2000-02-28,0.9833,1.0268,0.9676,1.0112,328328000
2000-02-29,1.014,1.0469,1.005,1.0234,368961600
2000-03-01,1.0586,1.1791,1.058,1.1635,1077003200
2000-03-02,1.1339,1.1423,1.0776,1.0893,311259200
2000-03-03,1.115,1.145,1.0714,1.1429,323366400
2000-03-06,1.125,1.1529,1.1161,1.1222,210560000
2000-03-07,1.1289,1.1378,1.0815,1.0971,273011200
2000-03-08,1.0971,1.1066,1.0586,1.0893,271230400
2000-03-09,1.0792,1.1161,1.0558,1.0915,276718400
2000-03-10,1.0865,1.1423,1.0804,1.1228,248606400
2000-03-13,1.0904,1.1295,1.067,1.0831,303956800
2000-03-14,1.0823,1.1094,1.0179,1.0201,428579200
2000-03-15,1.0324,1.0737,1.019,1.0379,443609600
2000-03-16,1.0474,1.0893,1.0223,1.0854,378100800
2000-03-17,1.0725,1.1161,1.0681,1.1161,305043200
2000-03-20,1.1027,1.1272,1.0926,1.0982,204489600
2000-03-21,1.0943,1.221,1.0859,1.2048,524328000
2000-03-22,1.1855,1.2891,1.1747,1.2874,567996800
2000-03-23,1.2679,1.3426,1.25,1.2617,562564800
2000-03-24,1.2718,1.2852,1.2098,1.2383,446913600
2000-03-27,1.2288,1.2924,1.2221,1.2461,279182400
2000-03-28,1.2254,1.2679,1.2243,1.2422,202966400
2000-03-29,1.2444,1.245,1.1949,1.2137,239836800
2000-03-30,1.1925,1.2294,1.12,1.1228,414400000
2000-03-31,1.1378,1.2254,1.125,1.2126,404633600
2000-04-03,1.2098,1.2455,1.1557,1.1903,328563200
2000-04-04,1.1842,1.1875,1.0424,1.1367,660329600
2000-04-05,1.1292,1.1864,1.1071,1.1641,457665600
2000-04-06,1.1663,1.2009,1.1004,1.1177,259627200
2000-04-07,1.1362,1.1775,1.1205,1.1763,242435200
2000-04-10,1.1758,1.1853,1.1138,1.1161,212262400
2000-04-11,1.1027,1.115,1.0541,1.0664,541822400
2000-04-12,1.0625,1.0625,0.9364,0.9754,941136000
2000-04-13,0.9955,1.0714,0.9688,1.0162,529827200
2000-04-14,0.976,1.0536,0.9732,0.9989,667620800
2000-04-17,0.9777,1.1066,0.9738,1.106,409561600
2000-04-18,1.1027,1.1328,1.0658,1.1328,390924800
2000-04-19,1.1267,1.1629,1.0692,1.0815,520150400
2000-04-20,1.1044,1.1138,1.0452,1.0614,722120000
2000-04-24,1.0268,1.0759,1.0246,1.0759,443620800
2000-04-25,1.0904,1.1496,1.0898,1.1456,391641600
2000-04-26,1.1306,1.1429,1.0714,1.0831,366912000
2000-04-27,1.0463,1.1339,1.0409,1.1317,326603200
2000-04-28,1.135,1.1384,1.0831,1.1077,249580800
2000-05-01,1.115,1.1172,1.0882,1.1099,226195200
2000-05-02,1.1004,1.1272,1.0491,1.0525,236432000
2000-05-03,1.0619,1.0826,0.9967,1.0273,489798400
2000-05-04,1.0279,1.029,0.9872,0.9883,399515200
2000-05-05,0.9894,1.0246,0.9886,1.01,284076800
2000-05-08,1.0008,1.0151,0.9821,0.9833,184900800
2000-05-09,0.9849,0.9933,0.9364,0.9414,327140800
2000-05-10,0.9291,0.9375,0.8817,0.8867,535091200
2000-05-11,0.9051,0.9308,0.8839,0.918,499744000
2000-05-12,0.9464,0.9866,0.9354,0.9609,306913600
2000-05-15,0.9648,0.9648,0.894,0.9018,678932800
2000-05-16,0.9332,0.9738,0.9174,0.9436,440451200
2000-05-17,0.9252,0.9258,0.8962,0.9051,398092800
2000-05-18,0.9196,0.9369,0.8984,0.8996,373777600
2000-05-19,0.8862,0.8862,0.8337,0.8393,740667200
2000-05-22,0.8371,0.8371,0.7679,0.803,755507200
2000-05-23,0.808,0.8337,0.7645,0.7662,517585600
2000-05-24,0.7695,0.8013,0.7411,0.7829,678462400
2000-05-25,0.7902,0.8273,0.7679,0.7792,406750400
2000-05-26,0.7857,0.8025,0.7612,0.7712,181148800
2000-05-30,0.7824,0.7868,0.7299,0.7818,713059200
2000-05-31,0.7757,0.8147,0.7483,0.75,433507200
2000-06-01,0.7299,0.7997,0.7176,0.7958,903840000
2000-06-02,0.8371,0.8906,0.7946,0.8265,792848000
2000-06-05,0.8331,0.8504,0.8008,0.8153,323668800
2000-06-06,0.8212,0.8638,0.8064,0.8292,525481600
2000-06-07,0.8359,0.8661,0.8181,0.8622,337019200
2000-06-08,0.8717,0.8795,0.8315,0.8465,238526400
2000-06-09,0.8638,0.8744,0.8426,0.8549,252358400
2000-06-12,0.8605,0.861,0.8114,0.8142,290337600
2000-06-13,0.8142,0.8454,0.7874,0.8438,351456000
2000-06-14,0.8454,0.8594,0.8047,0.8075,277446400
2000-06-15,0.8147,0.8337,0.7946,0.8248,248572800
2000-06-16,0.8348,0.8371,0.7952,0.8142,303564800
2000-06-19,0.8086,0.8739,0.8019,0.8627,394004800
2000-06-20,0.8795,0.928,0.8783,0.904,501390400
2000-06-21,0.9018,1.0167,0.8984,0.9933,490000000
2000-06-22,0.9955,1.029,0.9565,0.9598,467712000
2000-06-23,0.9604,0.9754,0.9074,0.923,204965600
2000-06-26,0.9375,0.9777,0.9308,0.9665,185354400
2000-06-27,0.9604,0.9911,0.9219,0.9241,203470400
2000-06-28,0.952,0.9888,0.9196,0.9721,286428800
2000-06-29,0.9475,0.9632,0.9118,0.9152,203660800
2000-06-30,0.9431,0.981,0.923,0.9353,323097600
2000-07-03,0.9308,0.9699,0.9308,0.952,70828800
2000-07-05,0.9509,0.9855,0.9063,0.9219,265216000
2000-07-06,0.9375,0.9453,0.8862,0.9252,309545600
2000-07-07,0.9392,0.9788,0.9308,0.9721,263603200
2000-07-10,0.966,1.0402,0.9598,1.0201,397796000
2000-07-11,1.0179,1.058,0.99,1.0167,357896000
2000-07-12,1.0379,1.0525,1.0067,1.0513,225433600
2000-07-13,1.0446,1.0826,0.9777,1.0089,445659200
2000-07-14,1.0201,1.0536,1.0156,1.0301,190276800
2000-07-17,1.0402,1.0502,1.0201,1.0413,260002400
2000-07-18,1.0446,1.0513,1.0156,1.0223,318404800
2000-07-19,0.9855,1.0145,0.9241,0.9408,457872800
2000-07-20,0.9821,1.019,0.9665,0.9844,465572800
2000-07-21,0.9707,0.9933,0.9453,0.9565,196235200
2000-07-24,0.9386,0.9442,0.8482,0.8694,412171200
2000-07-25,0.8984,0.904,0.8761,0.894,211607200
2000-07-26,0.8901,0.9152,0.8795,0.894,210470400
2000-07-27,0.8929,0.9509,0.8906,0.9286,294985600
