DateTime,Open,High,Low,Close,Volume
2020-09-14,9.8,9.8,9.71,9.71,7400
2020-09-15,9.8,9.84,9.7,9.7,511600
2020-09-16,9.7,9.8,9.7,9.8,471100
2020-09-17,9.8,9.8,9.77,9.78,463000
2020-09-18,9.81,10.0,9.755,9.76,1154700
2020-09-21,9.78,9.85,9.74,9.78,559000
2020-09-22,9.75,9.85,9.75,9.82,31500
2020-09-23,9.75,9.839,9.73,9.75,40700
2020-09-24,9.75,9.825,9.74,9.755,235300
2020-09-25,9.75,9.79,9.73,9.73,2100
2020-09-28,9.8,9.83,9.76,9.83,1700
2020-09-29,9.75,9.8,9.75,9.8,67300
2020-09-30,9.83,9.83,9.7,9.73,35100
2020-10-01,9.8,9.85,9.73,9.79,211800
2020-10-02,9.71,9.77,9.71,9.77,212800
2020-10-05,9.84,9.84,9.73,9.75,11600
2020-10-06,9.74,9.74,9.73,9.73,500
2020-10-07,9.76,9.76,9.71,9.71,11300
2020-10-08,9.71,9.785,9.71,9.785,5000
2020-10-09,9.751,9.788,9.75,9.75,2500
2020-10-12,9.75,9.75,9.69,9.7,19500
2020-10-13,9.7,9.72,9.7,9.7,53400
2020-10-14,9.75,9.75,9.727,9.735,344000
2020-10-15,9.71,9.74,9.71,9.74,1100
2020-10-16,9.69,9.69,9.69,9.69,200
2020-10-19,9.75,9.75,9.72,9.75,9200
2020-10-20,9.75,9.75,9.75,9.75,1000
2020-10-21,9.75,9.75,9.7,9.72,127600
2020-10-22,9.71,9.71,9.71,9.71,2700
2020-10-23,9.713,9.75,9.71,9.71,1100
2020-10-26,9.72,9.72,9.72,9.72,3600
2020-10-27,9.72,9.72,9.72,9.72,0
2020-10-28,9.73,9.73,9.73,9.73,100
2020-10-29,9.735,9.75,9.73,9.73,343200
2020-10-30,9.72,9.735,9.7,9.7,1700
2020-11-02,9.75,9.75,9.7,9.7,43800
2020-11-03,9.7,9.725,9.7,9.7,35800
2020-11-04,9.7,9.77,9.7,9.77,1900
2020-11-05,9.7,9.75,9.7,9.75,203700
2020-11-06,9.75,9.75,9.73,9.75,224300
2020-11-09,9.75,9.75,9.72,9.74,106300
2020-11-10,9.774,9.83,9.76,9.795,10700
2020-11-11,9.79,9.81,9.73,9.73,228000
2020-11-12,9.82,9.82,9.69,9.75,653900
2020-11-13,9.75,9.83,9.75,9.83,165600
2020-11-16,9.76,9.83,9.7,9.74,29600
2020-11-17,9.768,9.8,9.722,9.77,14400
2020-11-18,9.8,9.8,9.75,9.78,515600
2020-11-19,9.75,9.76,9.7,9.76,23500
2020-11-20,9.72,9.78,9.68,9.78,49300
2020-11-23,9.749,9.9,9.749,9.9,24600
2020-11-24,9.79,9.9,9.75,9.78,25500
2020-11-25,9.76,9.88,9.735,9.88,29100
2020-11-27,9.885,9.918,9.88,9.88,17600
2020-11-30,9.9,9.93,9.72,9.78,18700
2020-12-01,9.79,9.87,9.735,9.85,19900
2020-12-02,9.75,9.88,9.75,9.88,20700
2020-12-03,9.75,9.88,9.675,9.87,202900
2020-12-04,9.88,9.93,9.83,9.93,5600
2020-12-07,9.94,9.96,9.85,9.92,27800
2020-12-08,9.94,9.95,9.86,9.9,19500
2020-12-09,9.96,9.99,9.82,9.82,20800
2020-12-10,9.89,9.99,9.83,9.85,16200
2020-12-11,9.93,10.04,9.91,9.93,36200
2020-12-14,9.96,10.05,9.93,9.95,46500
2020-12-15,10.0,10.05,9.86,10.0,440400
2020-12-16,10.0,10.0,9.93,9.95,34700
2020-12-17,9.98,10.0,9.905,9.92,39600
2020-12-18,10.0,10.0,9.95,9.96,38400
2020-12-21,9.961,9.99,9.92,9.96,43000
2020-12-22,9.99,9.99,9.91,9.95,39700
2020-12-23,9.96,10.0,9.9,9.9,50600
2020-12-24,9.97,10.01,9.962,9.98,59100
2020-12-28,10.01,10.35,10.0,10.05,211600
2020-12-29,10.13,10.15,10.0,10.05,87900
2020-12-30,10.14,10.14,10.0,10.07,182300
2020-12-31,10.08,10.15,10.0,10.15,216900
2021-01-04,10.1,10.24,10.03,10.21,138900
2021-01-05,10.25,10.25,10.01,10.11,63400
2021-01-06,10.074,10.19,10.07,10.125,46200
2021-01-07,10.14,10.18,10.111,10.135,383000
2021-01-08,10.1,10.2,10.1,10.15,557400
2021-01-11,10.2,10.2,10.1,10.15,90500
2021-01-12,10.18,10.37,10.16,10.26,100800
2021-01-13,10.36,10.6,10.31,10.53,258500
2021-01-14,10.59,10.6,10.36,10.44,109100
2021-01-15,10.41,10.55,10.31,10.35,144300
2021-01-19,10.48,10.48,10.31,10.375,44900
2021-01-20,10.4,10.47,10.32,10.37,90600
2021-01-21,10.49,10.57,10.36,10.5,115900
2021-01-22,10.5,10.6,10.41,10.54,791800
2021-01-25,10.6,10.732,10.35,10.42,84900
2021-01-26,10.51,10.51,10.2,10.21,259000
2021-01-27,10.25,10.29,10.22,10.25,492300
2021-01-28,10.26,10.4,10.26,10.38,177400
2021-01-29,10.39,10.45,10.35,10.35,200000
2021-02-01,10.43,10.54,10.38,10.43,45600
2021-02-02,10.63,10.66,10.38,10.55,184300
2021-02-03,10.52,10.67,10.5,10.55,174400
2021-02-04,10.62,10.62,10.47,10.48,105400
2021-02-05,10.51,10.61,10.48,10.52,233300
2021-02-08,10.54,10.69,10.45,10.5,68300
2021-02-09,10.5,10.56,10.45,10.5,150200
2021-02-10,10.51,10.7,10.45,10.46,119900
2021-02-11,10.53,10.53,10.37,10.45,78100
2021-02-12,10.42,10.473,10.41,10.44,18500
2021-02-16,10.5,10.58,10.41,10.48,383000
2021-02-17,10.48,10.57,10.44,10.49,27600
2021-02-18,10.47,10.59,10.47,10.56,393100
2021-02-19,10.57,10.62,10.5,10.55,87500
2021-02-22,10.54,10.54,10.41,10.44,55200
2021-02-23,10.35,10.4,10.2,10.36,126000
2021-02-24,10.35,10.51,10.35,10.49,65700
2021-02-25,10.4,10.4,10.2,10.23,159700
2021-02-26,10.22,10.27,10.1,10.12,151800
2021-03-01,10.19,10.28,10.14,10.17,36600
2021-03-02,10.17,10.17,9.92,10.1,233200
2021-03-03,10.065,10.07,9.98,10.0,149100
2021-03-04,10.0,10.06,9.89,9.95,385300
2021-03-05,9.92,10.2,9.9,10.18,60500
2021-03-08,10.08,10.08,9.95,10.01,6600
2021-03-09,10.02,10.08,9.93,10.06,29600
2021-03-10,10.01,10.06,9.9,9.92,66700
2021-03-11,9.98,10.02,9.9,9.93,123300
2021-03-12,9.9,9.93,9.9,9.9,74700
2021-03-15,9.87,9.94,9.85,9.86,25500
2021-03-16,9.9,9.96,9.9,9.96,29900
2021-03-17,9.9,9.99,9.9,9.99,32000
2021-03-18,9.95,9.96,9.9,9.91,116700
2021-03-19,9.9,9.95,9.9,9.94,35000
2021-03-22,9.95,9.98,9.8,9.86,46400
2021-03-23,9.85,9.905,9.79,9.83,28400
2021-03-24,9.8,9.82,9.7,9.77,31400
2021-03-25,9.74,9.841,9.63,9.83,32200
2021-03-26,9.787,9.88,9.7,9.83,53900
2021-03-29,9.7,9.84,9.63,9.82,12200
2021-03-30,9.82,9.83,9.76,9.77,45900
2021-03-31,9.76,9.8,9.75,9.78,48800
2021-04-01,9.82,9.98,9.82,9.82,30600
2021-04-05,9.884,9.884,9.85,9.86,5200
2021-04-06,9.9,9.9,9.81,9.81,13300
2021-04-07,9.834,9.87,9.83,9.85,10000
2021-04-08,9.82,9.91,9.8,9.88,41100
2021-04-09,9.88,9.93,9.85,9.93,97300
2021-04-12,9.84,9.93,9.84,9.91,8900
2021-04-13,9.91,9.91,9.83,9.88,6600
2021-04-14,9.85,9.9,9.84,9.9,120600
2021-04-15,9.9,9.92,9.855,9.9,19300
2021-04-16,9.87,9.87,9.835,9.84,12200
2021-04-19,9.84,9.86,9.8,9.82,41100
2021-04-20,9.81,9.82,9.8,9.8,6300
2021-04-21,9.8,9.82,9.8,9.82,24000
2021-04-22,9.825,9.83,9.8,9.83,3800
2021-04-23,9.8,9.89,9.8,9.81,5500
2021-04-26,9.882,9.89,9.76,9.83,61700
2021-04-27,9.81,9.84,9.789,9.8,3800
2021-04-28,9.834,9.87,9.78,9.82,5600
2021-04-29,9.78,9.9,9.78,9.88,18000
2021-04-30,9.78,9.87,9.78,9.8,29300
2021-05-03,9.8,9.86,9.78,9.826,29900
2021-05-04,9.81,9.83,9.78,9.82,37000
2021-05-05,9.78,9.8,9.78,9.78,39000
2021-05-06,9.78,9.8,9.77,9.78,45800
2021-05-07,9.78,9.8,9.77,9.8,34000
2021-05-10,9.781,9.8,9.78,9.8,11500
2021-05-11,9.79,9.81,9.78,9.81,24200
2021-05-12,9.83,9.85,9.78,9.8,11800
2021-05-13,9.8,9.8,9.77,9.77,5100
2021-05-14,9.79,9.79,9.77,9.78,32500
2021-05-17,9.76,9.78,9.76,9.78,7900
2021-05-18,9.76,9.84,9.76,9.81,11200
2021-05-19,9.77,9.84,9.75,9.77,17300
2021-05-20,9.81,9.81,9.76,9.8,6300
2021-05-21,9.81,9.81,9.76,9.8,1700
2021-05-24,9.76,9.79,9.744,9.76,23300
2021-05-25,9.76,9.8,9.74,9.79,2100
2021-05-26,9.783,9.788,9.72,9.75,79900
2021-05-27,9.75,9.77,9.72,9.77,17300
2021-05-28,9.73,9.76,9.71,9.74,47000
2021-06-01,9.77,9.77,9.73,9.77,11000
2021-06-02,9.74,9.77,9.74,9.765,1900
2021-06-03,9.745,9.81,9.74,9.78,11000
2021-06-04,9.74,9.8,9.73,9.8,27700
2021-06-07,9.75,9.79,9.7,9.79,45000
2021-06-08,9.78,9.8,9.77,9.78,115300
2021-06-09,9.78,9.82,9.78,9.81,72200
2021-06-10,9.8,9.815,9.77,9.8,246900
2021-06-11,9.79,9.81,9.79,9.808,50200
2021-06-14,9.798,9.8,9.78,9.8,7600
2021-06-15,9.78,9.8,9.77,9.8,9400
2021-06-16,9.77,9.8,9.77,9.79,22600
2021-06-17,9.79,9.8,9.78,9.8,3600
2021-06-18,9.8,9.8,9.78,9.78,13700
2021-06-21,9.78,9.78,9.78,9.78,700
2021-06-22,9.78,9.79,9.77,9.78,9100
2021-06-23,9.77,9.82,9.77,9.82,34100
2021-06-24,9.82,9.82,9.78,9.79,81800
2021-06-25,9.82,9.82,9.77,9.78,52600
2021-06-28,9.79,9.81,9.77,9.78,64700
2021-06-29,9.77,9.83,9.77,9.81,282400
2021-06-30,9.83,9.83,9.76,9.76,25700
2021-07-01,9.77,9.83,9.77,9.82,25400
2021-07-02,9.79,9.82,9.79,9.813,2000
2021-07-06,9.83,9.83,9.79,9.81,3500
2021-07-07,9.77,9.8,9.74,9.8,3300
2021-07-08,9.79,9.8,9.79,9.8,5500
2021-07-09,9.8,9.8,9.78,9.78,12500
2021-07-12,9.78,9.78,9.78,9.78,600
2021-07-13,9.77,9.78,9.77,9.78,10900
2021-07-14,9.78,9.78,9.78,9.78,700
2021-07-15,9.78,9.79,9.77,9.78,13200
2021-07-16,9.762,9.78,9.76,9.77,215600
2021-07-19,9.75,9.78,9.75,9.77,14500
2021-07-20,9.77,9.77,9.76,9.77,5700
2021-07-21,9.77,9.78,9.76,9.78,112800
2021-07-22,9.76,9.78,9.71,9.77,87200
2021-07-23,9.78,9.78,9.77,9.78,6100
2021-07-26,9.78,9.78,9.76,9.77,32500
2021-07-27,9.771,9.771,9.75,9.75,1600
2021-07-28,9.75,9.77,9.75,9.76,1300
2021-07-29,9.75,9.78,9.75,9.75,22700
2021-07-30,9.77,9.8,9.75,9.76,37400
2021-08-02,9.76,9.8,9.76,9.79,31900
2021-08-03,9.77,9.79,9.75,9.76,41000
2021-08-04,9.75,9.78,9.75,9.78,13900
2021-08-05,9.76,9.78,9.75,9.77,22100
