DateTime,Open,High,Low,Close,Volume
2004-05-28,6.88,6.88,6.61,6.61,105600
2004-06-01,6.59,6.71,6.4,6.5,118600
2004-06-02,6.4,6.45,6.25,6.3,33000
2004-06-03,6.25,6.5,6.25,6.25,30900
2004-06-04,6.6,6.6,6.0,6.02,94200
2004-06-07,6.1,6.3,6.0,6.1,92100
2004-06-08,6.49,6.49,6.06,6.1,52100
2004-06-09,6.3,6.3,5.96,5.96,48200
2004-06-10,6.2,6.2,5.79,6.1,48600
2004-06-14,6.15,6.23,6.05,6.2,45600
2004-06-15,6.11,6.7,6.1,6.4,42900
2004-06-16,6.4,6.7,6.26,6.4,24300
2004-06-17,6.5,6.92,6.3,6.85,133500
2004-06-18,6.95,6.95,6.51,6.62,15400
2004-06-21,6.81,6.89,6.55,6.6,13700
2004-06-22,6.6,6.75,6.35,6.35,16100
2004-06-23,6.84,6.84,6.1,6.4,14600
2004-06-24,6.25,6.3,6.01,6.2,13800
2004-06-25,6.48,6.48,6.0,6.0,1700
2004-06-28,6.44,6.44,5.99,6.15,8100
2004-06-29,6.4,6.5,6.18,6.27,11500
2004-06-30,6.27,6.27,6.13,6.2,3500
2004-07-01,6.32,6.39,6.25,6.3,3100
2004-07-02,6.35,6.35,6.13,6.3,1600
2004-07-06,6.15,6.25,6.15,6.15,2500
2004-07-07,6.17,6.17,6.07,6.08,1900
2004-07-08,6.3,6.3,6.0,6.07,2300
2004-07-09,6.01,6.01,6.0,6.0,2600
2004-07-12,6.25,6.5,6.25,6.38,7000
2004-07-13,6.3,6.4,6.06,6.3,4000
2004-07-14,6.15,6.15,6.15,6.15,100
2004-07-15,6.15,6.35,6.0,6.2,6800
2004-07-16,6.35,6.35,6.05,6.3,900
2004-07-19,6.05,6.3,6.0,6.03,5400
2004-07-20,6.03,6.2,6.0,6.2,2200
2004-07-21,6.02,6.3,6.0,6.01,19600
2004-07-22,6.2,6.3,6.0,6.3,33800
2004-07-23,6.3,6.3,6.02,6.17,1500
2004-07-26,5.97,6.4,5.97,6.11,8800
2004-07-27,6.29,6.3,6.11,6.3,32200
2004-07-28,6.15,6.3,6.15,6.29,33500
