DateTime,Open,High,Low,Close,Volume
2017-11-06,2.0033,2.1533,1.8667,1.8667,211800
2017-11-07,1.8667,1.91,1.8667,1.8667,97800
2017-11-08,1.8667,1.8833,1.8667,1.8667,355500
2017-11-09,1.8667,1.8767,1.8667,1.867,104100
2017-11-10,1.8833,1.92,1.87,1.9067,29400
2017-11-13,1.92,2.063,1.9067,1.99,65400
2017-11-14,2.05,2.1167,1.8833,1.99,181200
2017-11-15,1.97,2.08,1.93,2.08,110400
2017-11-16,2.0667,2.1967,2.0667,2.1733,100800
2017-11-17,2.2333,2.2967,2.1967,2.2967,94200
2017-11-20,2.3333,2.6133,2.3267,2.4467,168300
2017-11-21,2.55,2.55,2.4533,2.4733,120300
2017-11-22,2.5,2.501,2.3,2.3167,69600
2017-11-24,2.2833,2.4033,2.2833,2.29,76500
2017-11-27,2.29,2.4,2.2763,2.3,71400
2017-11-28,2.29,2.2937,2.236,2.2667,18900
2017-11-29,2.2733,2.35,2.18,2.26,76500
2017-11-30,2.2233,2.3,2.2133,2.25,8700
2017-12-01,2.1333,2.3,2.1333,2.2633,41100
2017-12-04,2.2633,2.2633,2.1333,2.1533,68400
2017-12-05,2.1367,2.1367,1.96,1.9933,65400
2017-12-06,2.0,2.0367,1.9333,1.9633,54000
2017-12-07,1.97,2.0867,1.9367,1.9667,21300
2017-12-08,1.9733,2.08,1.9733,2.0167,7500
2017-12-11,1.9933,2.0667,1.9833,1.9867,56400
2017-12-12,2.0333,2.0367,1.8967,1.9467,58800
2017-12-13,1.95,2.0,1.8367,1.8433,61200
2017-12-14,1.86,1.93,1.8467,1.8467,46200
2017-12-15,1.85,1.9,1.6667,1.6667,162300
2017-12-18,1.6667,1.74,1.6667,1.7133,122100
2017-12-19,1.7267,1.7467,1.6733,1.6733,81300
2017-12-20,1.7173,1.7173,1.6067,1.6067,79200
2017-12-21,1.63,1.7367,1.6167,1.72,44100
2017-12-22,1.6733,1.6767,1.65,1.65,48300
2017-12-26,1.6563,1.6833,1.6563,1.67,31200
2017-12-27,1.67,1.6733,1.6367,1.64,185100
2017-12-28,1.66,1.705,1.6467,1.6833,17100
2017-12-29,1.6833,1.75,1.6833,1.75,20400
2018-01-02,1.75,1.8733,1.6867,1.8733,14700
2018-01-03,1.8667,1.874,1.7337,1.7667,28800
2018-01-04,1.7567,1.82,1.7153,1.7717,9300
2018-01-05,1.7667,1.8427,1.7667,1.8367,8400
2018-01-08,1.85,1.85,1.7267,1.7467,78900
2018-01-09,1.738,1.813,1.7367,1.7467,33600
2018-01-10,1.843,1.85,1.72,1.73,46800
2018-01-11,1.7467,1.7983,1.74,1.7467,6600
