DateTime,Open,High,Low,Close,Volume
2025-01-02,8.42,8.73,8.34,8.7,870200
2025-01-03,8.76,9.11,8.65,9.04,877600
2025-01-06,9.3,9.88,9.25,9.67,1466200
2025-01-07,9.76,9.85,9.42,9.64,965400
2025-01-08,9.75,10.71,9.75,10.49,1896700
2025-01-10,10.22,10.32,9.87,10.17,1037000
2025-01-13,9.92,10.04,9.59,10.01,695500
2025-01-14,10.09,10.34,9.82,9.94,1160300
2025-01-15,10.27,10.41,10.09,10.13,914100
2025-01-16,10.26,10.3,9.97,10.13,868500
2025-01-17,10.2,10.31,9.91,10.19,943900
2025-01-21,10.4,10.88,10.32,10.46,1933800
2025-01-22,10.74,11.23,10.38,10.48,1625400
2025-01-23,10.39,10.55,10.3,10.34,1054400
2025-01-24,10.36,10.44,10.1,10.31,972400
2025-01-27,10.09,10.22,9.3,9.49,1027000
2025-01-28,9.67,9.71,9.44,9.63,602000
2025-01-29,9.72,9.99,9.62,9.82,531100
2025-01-30,10.0,11.19,9.98,10.65,1867500
2025-01-31,10.74,10.99,10.34,10.37,1246100
2025-02-03,10.02,10.6,9.91,10.24,1329500
2025-02-04,10.19,10.5,9.99,10.42,872700
2025-02-05,10.52,11.02,10.45,11.0,2302200
2025-02-06,11.14,11.49,10.8,11.44,1335300
2025-02-07,11.44,11.53,10.84,11.11,1058000
2025-02-10,11.14,11.54,11.14,11.35,1189900
2025-02-11,11.11,11.31,10.97,11.07,595100
2025-02-12,10.83,11.08,10.71,11.06,831200
2025-02-13,11.31,12.03,11.25,11.83,2407700
2025-02-14,11.8,12.16,11.56,11.65,1037300
2025-02-18,11.8,11.9,11.47,11.53,649800
2025-02-19,11.35,11.72,11.29,11.71,712400
2025-02-20,11.62,11.66,11.22,11.53,731600
2025-02-21,11.52,11.75,10.82,10.84,1137500
2025-02-24,10.89,10.97,10.41,10.64,1084800
2025-02-25,10.69,10.7,10.21,10.43,1365200
2025-02-26,10.62,10.99,10.53,10.61,1419400
