DateTime,Open,High,Low,Close,Volume
2024-03-21,66.0,80.0,63.45,64.15,11454300
2024-03-22,65.5,72.0,65.21,70.0,4376000
2024-03-25,73.39,86.95,70.0,85.0,7353900
2024-03-26,88.9,95.21,77.5,83.38,10591500
2024-03-27,81.21,82.0,75.0,79.92,3574700
2024-03-28,79.57,81.58,73.35,74.19,2379700
2024-04-01,72.62,73.4,66.76,71.12,4316900
2024-04-02,69.7,74.628,68.0,72.21,2024100
2024-04-03,72.06,74.72,69.01,69.28,1700600
2024-04-04,69.71,73.2,67.75,69.77,1695500
2024-04-05,69.04,75.0,67.626,71.34,1473500
2024-04-08,73.0,74.5,69.162,69.92,1250100
2024-04-09,69.92,70.99,66.0,68.37,1146900
2024-04-10,66.32,71.67,65.89,71.31,1520900
2024-04-11,71.46,77.5,70.76,75.59,2467500
2024-04-12,74.65,75.36,70.53,72.73,1195100
2024-04-15,74.83,79.47,70.89,71.3,2510800
2024-04-16,71.9,75.75,69.2,74.52,1493800
2024-04-17,75.0,75.54,71.16,73.21,1399600
2024-04-18,72.99,72.99,68.55,70.92,1393300
2024-04-19,69.08,69.7,60.21,64.49,3996900
2024-04-22,65.0,68.73,64.562,65.79,1330300
2024-04-23,67.55,73.52,66.81,71.72,1514800
2024-04-24,73.2,75.5,69.13,70.99,1470700
2024-04-25,68.42,73.194,67.29,71.59,1281200
2024-04-26,70.97,85.27,70.2,85.0,3013700
2024-04-29,81.28,88.59,80.24,85.7,3601200
2024-04-30,83.97,87.2,81.68,84.76,1983900
2024-05-01,80.52,80.62,74.43,74.83,3959100
2024-05-02,76.91,79.58,71.68,79.06,2647400
2024-05-03,81.07,81.25,76.51,76.96,2142000
2024-05-06,77.3,81.04,76.705,78.11,1935800
2024-05-07,75.86,78.94,75.01,76.19,2392100
2024-05-08,71.06,74.2,66.1,69.26,5411700
2024-05-09,72.02,72.15,68.01,70.06,3297400
2024-05-10,71.14,74.19,68.89,70.08,1828600
2024-05-13,71.18,74.035,69.92,70.26,1930000
2024-05-14,71.0,72.88,68.81,72.32,1611200
2024-05-15,73.8,77.42,71.458,77.42,2755300
2024-05-16,77.52,77.57,72.15,73.0,2175200
2024-05-17,73.63,74.46,70.92,72.5,1204200
2024-05-20,71.11,73.13,70.15,72.51,1332300
2024-05-21,72.3,75.38,71.71,73.34,1101800
2024-05-22,74.0,75.14,72.75,73.14,1272100
2024-05-23,76.0,76.65,69.5,70.07,2212100
2024-05-24,71.1,72.816,70.68,71.99,855700
2024-05-28,72.83,72.83,68.14,68.89,2246200
2024-05-29,67.99,68.88,66.415,67.45,1352400
2024-05-30,67.35,67.39,61.58,65.44,2787500
2024-05-31,66.0,66.01,61.72,64.54,1517100
2024-06-03,65.13,66.48,62.403,63.62,1622100
2024-06-04,63.16,63.47,60.73,61.21,1800800
2024-06-05,62.04,63.59,60.03,62.21,2002300
2024-06-06,62.5,64.27,60.791,63.01,1461900
2024-06-07,62.09,64.04,61.27,61.94,1163900
2024-06-10,62.11,67.22,62.0,66.7,1918300
2024-06-11,66.0,66.9,64.41,65.13,1162500
2024-06-12,66.33,67.18,63.66,64.57,1096700
2024-06-13,65.24,66.49,62.7,63.11,1221900
2024-06-14,62.08,64.668,61.5,63.92,1458600
2024-06-17,64.32,66.39,63.49,64.88,1412000
2024-06-18,65.0,68.5,64.19,67.16,1533800
2024-06-20,67.6,68.48,62.83,63.16,1756700
2024-06-21,60.84,62.02,58.92,59.01,4204500
2024-06-24,58.35,59.42,55.8,58.92,1553400
2024-06-25,59.78,59.92,57.36,57.81,727100
2024-06-26,57.16,59.32,54.9,55.6,1811600
2024-06-27,55.0,57.97,54.514,57.88,1120100
2024-06-28,58.26,61.8,58.06,60.51,3001800
2024-07-01,60.5,60.78,56.4,57.54,1890400
2024-07-02,57.1,60.55,56.81,60.5,847600
2024-07-03,59.47,60.8199,58.12,59.31,421518
2024-07-05,59.74,61.49,58.58,59.44,931921
2024-07-08,60.01,60.98,58.41,58.91,1399671
2024-07-09,58.54,59.0,55.39,56.2,1501796
2024-07-10,56.71,57.59,55.26,56.88,894274
2024-07-11,57.51,57.94,54.91,55.14,1305203
2024-07-12,55.53,57.26,54.8,55.89,1100842
2024-07-15,56.84,61.0,56.3,57.87,2201195
2024-07-16,58.69,59.5112,56.02,57.52,1527330
2024-07-17,55.97,55.98,54.1149,54.34,1755892
2024-07-18,55.0,55.1367,52.14,53.5,1021292
2024-07-19,53.69,54.5,51.58,51.64,707423
2024-07-22,52.88,53.28,51.32,52.96,896195
2024-07-23,52.56,54.062,51.95,52.61,622733
2024-07-24,52.08,52.08,46.55,47.15,2419950
2024-07-25,48.0,49.6,45.41,47.05,2529405
2024-07-26,47.88,47.9,45.47,47.135,1813975
2024-07-29,47.51,48.798,45.89,46.01,1433513
2024-07-30,45.92,46.1016,41.822,42.22,2166751
2024-07-31,44.41,45.19,43.47,43.84,1447135
2024-08-01,43.6,44.59,39.41,40.45,1932709
2024-08-02,38.03,44.15,36.87,42.38,3035648
2024-08-05,37.52,46.25,37.52,43.78,3342782
2024-08-06,44.32,44.9,41.3,42.48,2534292
2024-08-07,43.12,43.4,36.215,36.37,5705574
2024-08-08,37.26,41.89,37.25,41.01,5972996
2024-08-09,40.69,41.36,38.93,40.91,2017061
2024-08-12,40.64,40.71,38.73,39.73,1669913
2024-08-13,40.64,41.1,39.07,40.4,2286309
2024-08-14,40.5,40.6,38.55,38.86,1965349
2024-08-15,40.0,45.0,39.65,43.3,4713938
2024-08-16,41.78,42.0,39.97,40.91,4750704
2024-08-19,40.87,41.2,39.52,41.09,2380447
2024-08-20,40.93,41.346,38.42,39.16,3294918
2024-08-21,39.01,40.721,38.01,40.66,2130430
2024-08-22,41.38,41.38,39.29,39.785,1435231
2024-08-23,39.49,41.87,38.9246,41.77,2528488
