DateTime,Open,High,Low,Close,Volume
2025-01-02,1.44,1.5525,1.44,1.5525,23378
2025-01-03,1.575,1.63125,1.5705,1.62225,35111
2025-01-06,1.59975,1.62,1.5705,1.602,24889
2025-01-07,1.539,1.5975,1.539,1.59525,22667
2025-01-08,1.59525,1.59525,1.59525,1.59525,0
2025-01-10,1.53,1.53,1.42875,1.46475,8800
2025-01-13,1.377,1.48725,1.377,1.48725,3289
2025-01-14,1.4895,1.5075,1.485,1.5075,34489
2025-01-15,1.49175,1.5075,1.49175,1.4985,9111
2025-01-16,1.476,1.4985,1.476,1.4985,5511
2025-01-17,1.50075,1.50075,1.4355,1.4355,622
2025-01-21,1.55925,1.566,1.55475,1.55475,4267
2025-01-22,1.52775,1.55025,1.521,1.5255,25467
2025-01-23,1.539,1.539,1.539,1.539,578
2025-01-24,1.539,1.539,1.539,1.539,0
2025-01-27,1.6245,1.67175,1.6155,1.67175,11778
2025-01-28,1.56375,1.73925,1.56375,1.73925,8222
2025-01-29,1.8225,2.0092499,1.80675,1.953,45333
2025-01-30,1.96875,1.99575,1.818,1.83375,23244
2025-01-31,1.8675,1.8675,1.7955,1.80675,9689
2025-02-03,1.86525,1.8675,1.85625,1.85625,3333
2025-02-04,1.93725,2.2725,1.926,2.2185,51467
2025-02-05,2.3625,2.71125,2.3625,2.62125,51244
2025-02-06,2.7225,2.9025,2.5425,2.7675,120000
2025-02-07,2.97,3.05325,2.79,3.0375,150044
2025-02-10,3.4875,3.4875,3.1275,3.2625,164844
2025-02-11,3.375,3.375,2.9025,3.2625,106311
2025-02-12,3.09375,3.1725,3.0375,3.1455,64889
2025-02-13,3.195,3.195,2.88,3.015,56756
2025-02-14,3.015,3.015,2.8125,2.94975,53733
2025-02-18,2.835,3.06675,2.835,3.0375,67556
2025-02-19,2.97,3.1725,2.97,3.1725,31867
2025-02-20,3.3525,3.3525,3.06,3.06,36044
2025-02-21,3.0825,3.0825,2.84175,2.89125,15067
2025-02-24,2.925,3.08925,2.925,3.0375,99067
2025-02-25,2.98575,2.9925,2.81025,2.925,17644
2025-02-26,2.98125,3.05325,2.95875,2.97,14133
2025-02-27,2.88,2.9475,2.8575,2.8575,6533
2025-02-28,2.8575,3.07125,2.8575,2.98575,11911
2025-03-03,2.9925,3.08475,2.90925,2.91825,32089
2025-03-04,2.97,2.97,2.8125,2.844,23600
2025-03-05,2.8125,2.89575,2.808,2.88,23911
2025-03-06,2.97,3.04425,2.925,3.015,117511
2025-03-07,2.98125,2.98125,2.85075,2.89575,5422
2025-03-10,2.8125,2.8125,2.34,2.37825,30578
2025-03-11,2.52,2.5875,2.44575,2.5875,71822
2025-03-12,2.6325,2.6325,2.4075,2.42325,10889
2025-03-13,2.3625,2.43,2.295,2.3175,15111
2025-03-14,2.34,2.4975,2.34,2.4075,12311
2025-03-17,2.3715,2.4975,2.3715,2.4975,16178
2025-03-18,2.8125,3.5865,2.8125,3.55725,135378
2025-03-19,3.69,4.0050001,3.3705,3.69,38178
2025-03-20,3.7125,3.7125,3.3075,3.3435,40044
2025-03-21,3.42,3.6225,3.42,3.6225,70222
2025-03-24,3.645,3.906,3.645,3.69,56756
2025-03-25,3.7125,3.7125,3.50775,3.645,31378
2025-03-26,3.5325,3.5325,3.348,3.3525,57022
2025-03-27,3.44475,3.465,3.294,3.4425,43378
2025-03-28,3.4425,3.555,3.35025,3.35025,6578
2025-03-31,3.33,3.59325,3.33,3.5325,8978
2025-04-01,3.375,3.3975,3.195,3.33,82089
2025-04-02,3.42,3.4425,3.33,3.3975,20178
2025-04-03,3.51,3.6,3.42,3.5325,152844
2025-04-04,3.375,3.375,3.15,3.15,62400
2025-04-07,3.285,3.285,2.95425,3.105,36889
2025-04-08,3.33675,3.37725,3.096,3.096,29244
2025-04-09,3.105,3.465,3.105,3.4425,37244
2025-04-10,3.465,3.465,3.2625,3.31425,18222
2025-04-11,3.30525,3.34125,3.0825,3.33,35556
2025-04-14,3.6675,3.96,3.3975,3.96,88933
2025-04-15,4.2075,4.2075,3.825,4.0050001,61556
2025-04-16,4.185,4.32,3.942,4.2075,72756
2025-04-17,4.455,4.455,4.221,4.275,31600
2025-04-21,4.095,4.29525,4.0275,4.0905,31244
2025-04-22,4.185,4.2975,4.1085,4.1625,14222
2025-04-23,4.14,4.14,3.96,3.9825,23644
2025-04-24,3.9375,4.0050001,3.78,3.94875,23956
2025-04-25,3.87,3.8925,3.7575,3.8025,13956
2025-04-28,4.023,4.0725,3.9375,3.9375,12489
2025-04-29,4.05,4.06125,3.9825,3.98925,9156
2025-04-30,3.9285,4.1085,3.816,4.086,6178
2025-05-01,4.2525,4.2525,3.68775,3.7125,55911
2025-05-02,3.9375,4.05,3.90375,4.04775,17289
2025-05-05,3.8925,4.0050001,3.825,3.834,17289
2025-05-06,3.8025,3.8475,3.78,3.81375,9467
2025-05-07,3.8925,4.095,3.8025,3.8025,40756
2025-05-08,3.8475,4.0050001,3.78,3.9825,14578
2025-05-09,4.01625,4.05,3.96,3.96,11689
2025-05-12,3.825,3.825,3.6,3.71475,91778
2025-05-13,3.7125,3.9375,3.7125,3.915,54356
2025-05-14,3.915,3.915,3.735,3.83175,10178
2025-05-15,3.87,3.9825,3.87,3.9825,17378
2025-05-16,3.78,4.0050001,3.78,3.8475,5422
2025-05-19,3.4425,3.996,3.375,3.88125,5867
2025-05-20,3.99375,4.014,3.78,3.9555,18222
2025-05-21,4.10625,4.10625,3.906,3.924,6222
2025-05-22,3.96,3.96675,3.8925,3.9105,17244
2025-05-23,3.915,3.96,3.84075,3.93075,7778
2025-05-27,4.04325,4.2525,4.04325,4.185,46800
2025-05-28,4.19175,4.2075,4.03425,4.1625,35822
2025-05-29,4.20525,4.2975,4.20525,4.284,8933
2025-05-30,4.4775,4.4775,4.2075,4.275,14489
2025-06-02,4.356,4.5675,4.356,4.518,24578
2025-06-03,4.75875,5.07825,4.75875,5.0625,144222
2025-06-04,5.0625,5.0895,4.95,5.06025,36400
2025-06-05,5.175,5.22675,5.0175,5.22675,30578
2025-06-06,5.22,5.2425,5.0625,5.11875,31556
2025-06-09,5.0625,5.4225,5.0625,5.33475,28044
2025-06-10,5.355,5.6475,5.2875,5.31675,27511
2025-06-11,5.2245,5.3775,5.175,5.2875,19067
2025-06-12,5.2875,5.328,5.13,5.17275,23467
2025-06-13,5.22,5.256,5.13,5.184,12667
2025-06-16,5.265,5.265,5.1435,5.175,16800
2025-06-17,5.175,5.22225,5.1075,5.1525,39111
2025-06-18,5.085,5.1975,5.0625,5.14575,24711
