DateTime,Open,High,Low,Close,Volume
2015-01-02,24.99,25.16,24.6,24.96,6910200
2015-01-05,24.75,24.9,24.15,24.16,11419800
2015-01-06,24.13,24.3,23.23,23.25,19678300
2015-01-07,23.37,23.54,23.09,23.47,15710300
2015-01-08,23.69,24.32,23.67,24.22,16696900
2015-01-09,24.1,24.34,23.9,24.24,8737000
2015-01-12,24.27,24.28,23.52,23.66,12581500
2015-01-13,23.9,24.28,23.21,23.33,14419300
2015-01-14,23.01,23.32,22.85,23.02,21954700
2015-01-15,23.57,23.72,23.24,23.33,26527200
2015-01-16,23.21,23.51,22.88,23.47,16733200
2015-01-20,23.58,23.77,23.31,23.63,13686000
2015-01-21,23.75,24.5,23.64,24.32,13106700
2015-01-22,24.3,24.63,23.77,24.62,12543500
2015-01-23,24.52,24.52,23.97,24.11,13218600
2015-01-26,24.11,24.3,23.81,24.24,7787700
2015-01-27,23.86,23.99,23.4,23.57,13424700
2015-01-28,23.78,24.2,23.35,23.38,10843000
2015-01-29,23.37,23.72,23.059999,23.62,8518900
2015-01-30,23.39,23.72,22.79,22.84,13074500
2015-02-02,22.92,23.0,22.29,22.86,14152300
2015-02-03,22.87,23.47,22.83,23.45,11810800
2015-02-04,23.46,23.85,23.44,23.62,14635900
2015-02-05,23.63,24.049999,23.37,23.96,13207000
2015-02-06,24.059999,24.67,23.93,24.24,16898700
2015-02-09,24.0,24.049999,23.48,23.51,11718200
2015-02-10,23.7,24.31,23.48,24.28,11140100
2015-02-11,24.27,24.35,23.99,24.26,14902200
2015-02-12,23.65,24.31,23.58,24.14,19818300
2015-02-13,24.07,24.53,23.94,24.12,12979000
2015-02-17,23.99,24.32,23.89,24.13,12948700
2015-02-18,24.1,24.24,23.9,24.1,11429700
2015-02-19,24.01,25.39,24.01,24.93,29232400
2015-02-20,24.92,25.57,24.8,25.13,23555700
2015-02-23,25.049999,25.25,24.75,24.91,14203100
2015-02-24,24.99,25.39,24.89,25.36,13374500
2015-02-25,25.24,25.39,24.91,25.1,11742700
2015-02-26,25.049999,25.049999,24.45,24.91,21342100
2015-02-27,24.88,25.25,24.74,25.049999,13294300
2015-03-02,24.94,25.64,24.94,25.63,17091100
2015-03-03,25.46,25.47,24.45,24.49,18989700
2015-03-04,24.44,24.45,23.96,24.27,12448600
2015-03-05,24.29,24.35,24.07,24.18,10047400
2015-03-06,24.11,24.21,23.65,23.91,18044100
2015-03-09,23.8,24.19,23.8,24.09,9924300
2015-03-10,23.94,24.049999,23.48,23.51,11622000
2015-03-11,23.64,23.83,23.44,23.46,16238700
2015-03-12,23.34,23.78,23.23,23.77,14311000
2015-03-13,23.98,24.32,23.93,24.24,14834900
2015-03-16,24.34,24.59,24.18,24.57,12944500
2015-03-17,24.4,24.49,24.15,24.21,12973600
2015-03-18,24.07,24.4,23.5,24.37,23018300
2015-03-19,24.37,24.37,23.97,24.08,9698600
2015-03-20,24.24,24.31,24.1,24.12,17346600
2015-03-23,24.14,24.46,23.96,23.97,11439900
2015-03-24,24.0,24.26,23.84,23.9,11834900
2015-03-25,23.88,23.95,22.5,22.63,25737200
2015-03-26,22.25,22.88,21.8,22.4,34670400
2015-03-27,22.51,22.95,22.31,22.83,20147100
2015-03-30,22.98,23.09,22.62,22.77,19359200
2015-03-31,22.55,22.76,22.43,22.56,13746600
2015-04-01,22.53,22.67,22.18,22.39,16055300
2015-04-02,22.48,22.61,22.2,22.27,9281100
2015-04-06,22.1,22.26,21.94,22.16,32215500
2015-04-07,22.19,22.27,21.79,21.99,28793600
2015-04-08,22.01,22.42,22.0,22.38,18046100
2015-04-09,22.31,22.58,22.11,22.51,14365500
2015-04-10,22.44,22.58,22.22,22.5,12043900
2015-04-13,22.44,22.58,22.31,22.33,8909000
2015-04-14,22.21,22.34,22.040001,22.2,12358400
2015-04-15,22.059999,22.71,22.049999,22.55,15021000
2015-04-16,22.2,22.22,21.71,21.88,33201500
2015-04-17,21.7,21.76,21.37,21.49,20698400
2015-04-20,21.71,21.93,21.68,21.76,13365200
2015-04-21,22.27,22.67,22.059999,22.29,30028400
2015-04-22,22.26,22.42,22.01,22.31,11528400
2015-04-23,22.14,22.24,21.95,22.17,9290300
2015-04-24,22.27,22.35,21.75,21.8,14286800
2015-04-27,20.53,20.55,19.64,19.97,219415200
2015-04-28,20.13,20.49,19.99,20.040001,55701400
2015-04-29,19.95,20.01,19.63,20.01,31274200
2015-04-30,19.92,19.92,19.65,19.79,33200100
2015-05-01,19.93,20.11,19.82,19.98,27346000
2015-05-04,19.98,20.08,19.86,19.88,14802900
2015-05-05,19.77,19.84,19.32,19.36,27823300
2015-05-06,19.45,19.56,19.17,19.45,24425100
2015-05-07,19.21,19.67,19.2,19.56,14345900
2015-05-08,19.78,19.85,19.65,19.69,15655300
2015-05-11,19.8,19.96,19.73,19.92,18837100
2015-05-12,19.91,19.99,19.78,19.89,15269900
2015-05-13,19.95,20.040001,19.78,19.93,23811200
2015-05-14,20.030001,20.1,19.79,19.86,30896500
2015-05-15,20.57,20.59,20.12,20.2,55400700
2015-05-18,20.26,20.34,20.02,20.19,24351900
2015-05-19,20.2,20.33,19.93,19.99,22054900
2015-05-20,19.95,20.07,19.87,19.91,17596200
2015-05-21,19.83,20.26,19.82,20.15,11819800
2015-05-22,20.18,20.28,20.07,20.14,13257200
2015-05-26,20.11,20.24,19.88,19.99,15117000
2015-05-27,19.96,20.5,19.96,20.34,16439200
2015-05-28,20.34,20.6,20.29,20.36,18479800
2015-05-29,20.43,20.43,20.059999,20.13,17857100
2015-06-01,20.030001,20.34,20.030001,20.31,11839700
2015-06-02,20.27,20.59,20.09,20.38,15954100
2015-06-03,20.54,20.59,20.33,20.36,9133500
2015-06-04,20.24,20.31,19.86,20.059999,17684700
2015-06-05,20.040001,20.23,19.93,20.15,12782500
2015-06-08,20.14,20.24,19.81,19.87,15101500
2015-06-09,19.82,20.01,19.71,19.91,12721000
2015-06-10,20.0,20.14,19.96,20.040001,14241500
2015-06-11,20.040001,20.11,19.74,19.78,16586500
2015-06-12,19.74,19.79,19.59,19.62,12228200
2015-06-15,19.45,19.79,19.34,19.71,15661300
2015-06-16,19.64,19.85,19.57,19.82,11534800
2015-06-17,19.79,19.9,19.52,19.54,18479200
2015-06-18,19.62,19.86,19.58,19.84,16078000
2015-06-19,19.83,19.93,19.68,19.72,16973900
2015-06-22,19.79,19.95,19.7,19.86,13235400
2015-06-23,19.84,20.13,19.83,19.96,11025300
2015-06-24,20.24,20.46,20.08,20.1,19194700
2015-06-25,20.22,20.28,20.01,20.059999,10723500
2015-06-26,19.96,20.16,19.63,19.78,17069800
2015-06-29,19.59,19.59,19.19,19.21,20049100
2015-06-30,19.28,19.41,19.059999,19.22,15942300
2015-07-01,19.34,19.66,19.34,19.51,13062000
2015-07-02,19.55,19.64,19.45,19.61,9067000
2015-07-06,19.38,19.72,19.26,19.27,11559000
2015-07-07,19.23,19.3,18.73,19.17,20994000
2015-07-08,19.0,19.040001,18.52,18.55,18978900
2015-07-09,18.74,18.91,18.51,18.52,14214400
2015-07-10,18.83,18.99,18.72,18.77,18375200
2015-07-13,18.9,19.63,18.87,19.31,21962000
2015-07-14,19.31,19.42,18.86,18.89,27788000
2015-07-15,18.9,18.99,18.52,18.57,22511400
2015-07-16,18.43,18.48,17.64,17.87,32327000
2015-07-17,17.9,17.9,17.69,17.77,13387000
2015-07-20,17.75,17.96,17.69,17.77,12652800
2015-07-21,17.77,18.040001,17.74,17.83,9426700
2015-07-22,17.66,17.7,17.4,17.49,12036100
2015-07-23,17.47,17.86,17.46,17.72,13400500
2015-07-24,17.74,17.74,17.21,17.37,14637100
2015-07-27,17.25,17.49,17.13,17.38,18439200
2015-07-28,17.39,17.77,17.21,17.62,14067200
2015-07-29,17.56,17.6,17.35,17.55,11913300
2015-07-30,17.6,17.74,17.53,17.57,12332800
2015-07-31,17.52,17.6,17.32,17.36,16080600
2015-08-03,17.46,17.46,17.11,17.16,12754200
2015-08-04,17.1,17.22,16.83,16.83,17050000
2015-08-05,16.99,17.23,16.92,17.030001,13308100
2015-08-06,17.11,17.19,16.8,16.85,12857200
2015-08-07,16.78,16.99,16.77,16.98,13570800
2015-08-10,17.16,17.69,17.13,17.6,14581500
2015-08-11,17.36,17.45,17.14,17.34,20174000
2015-08-12,17.1,17.39,16.98,17.3,14675100
2015-08-13,17.38,17.45,17.0,17.049999,17273900
2015-08-14,16.7,16.78,16.24,16.64,42704600
2015-08-17,16.54,17.059999,16.47,17.030001,14596500
2015-08-18,16.96,16.96,16.46,16.53,15286200
2015-08-19,16.44,16.66,16.24,16.44,13984600
2015-08-20,16.31,16.37,15.97,15.98,12890000
2015-08-21,15.82,16.040001,15.46,15.48,19420700
2015-08-24,14.67,15.67,14.25,15.1,34065200
2015-08-25,15.43,15.6,14.84,14.84,26214300
2015-08-26,15.2,15.35,14.71,15.24,38654400
2015-08-27,15.38,16.0,15.36,15.94,21758900
2015-08-28,15.86,16.18,15.84,15.99,11053700
2015-08-31,15.96,16.21,15.85,16.09,16130200
2015-09-01,15.68,16.01,15.39,15.49,17930300
2015-09-02,15.73,15.79,15.38,15.68,13136800
2015-09-03,15.78,16.13,15.74,15.76,13300400
2015-09-04,15.57,15.67,15.28,15.39,15285300
2015-09-08,15.68,15.8,15.62,15.73,14935300
2015-09-09,15.74,15.91,15.44,15.46,15443800
2015-09-10,15.41,15.8,15.26,15.56,15424000
2015-09-11,15.54,15.63,15.35,15.5,10501800
2015-09-14,15.5,15.71,15.49,15.6,10151500
2015-09-15,15.77,15.95,15.68,15.92,13098700
2015-09-16,15.98,16.2,15.83,16.17,12053400
2015-09-17,16.040001,16.31,15.92,16.02,15661700
2015-09-18,15.83,16.1,15.73,15.93,24123400
2015-09-21,16.0,16.049999,15.56,15.64,14699300
2015-09-22,15.46,15.56,14.97,15.1,19368400
2015-09-23,15.05,15.1,14.58,14.61,16846500
2015-09-24,14.55,14.88,14.29,14.69,19878600
2015-09-25,14.96,15.0,14.4,14.6,17564300
2015-09-28,14.59,14.65,14.36,14.37,29601100
2015-09-29,14.42,14.73,14.33,14.55,17131100
2015-09-30,14.69,14.87,14.59,14.69,22366300
2015-10-01,14.72,14.78,14.45,14.67,17555400
