DateTime,Open,High,Low,Close,Volume
2013-12-19,189.0,194.9,188.1,194.9,160540
2013-12-20,196.5,197.7,194.0,196.8,73710
2013-12-23,197.9,199.9,195.0,197.4,69810
2013-12-24,197.4,198.2,195.0,195.3,21370
2013-12-26,195.5,199.0,193.5,197.8,41650
2013-12-27,199.3,205.9,195.3,201.4,75820
2013-12-30,201.0,201.4,198.2,199.8,24680
2013-12-31,199.6,207.2,199.6,205.5,31390
2014-01-02,206.2,209.4,199.6,201.8,42580
2014-01-03,201.0,202.8,197.8,200.2,29870
2014-01-06,200.5,201.0,198.1,200.1,50970
2014-01-07,200.4,201.7,199.3,200.5,85680
2014-01-08,201.0,201.0,198.9,199.6,49790
2014-01-09,199.6,200.5,198.1,200.3,29020
2014-01-10,200.5,201.5,199.9,200.4,66010
2014-01-13,199.0,200.1,197.5,199.8,39260
2014-01-14,198.6,203.4,197.5,201.2,21580
2014-01-15,201.8,203.0,198.1,199.9,31180
2014-01-16,199.2,204.9,199.0,203.0,27930
2014-01-17,201.8,204.9,200.4,202.4,13140
2014-01-21,204.0,210.0,203.2,208.5,62030
2014-01-22,209.4,214.9,209.2,212.6,32680
2014-01-23,212.7,212.7,205.0,212.7,15430
2014-01-24,212.7,216.1,208.0,213.7,40900
2014-01-27,212.6,214.7,210.2,213.5,49720
2014-01-28,219.7,219.7,211.0,219.1,33260
2014-01-29,219.2,219.2,213.5,216.4,7720
2014-01-30,218.8,220.0,214.3,215.3,12270
2014-01-31,212.5,218.2,211.6,213.7,23080
2014-02-03,215.0,215.0,210.1,210.5,23220
2014-02-04,210.5,211.7,206.2,210.2,31150
2014-02-05,208.4,211.3,203.0,210.4,36200
2014-02-06,209.9,211.6,207.1,211.6,21160
2014-02-07,212.1,213.3,209.1,213.2,12990
2014-02-10,212.5,213.7,210.7,213.7,11830
2014-02-11,214.6,217.8,213.0,217.7,15620
2014-02-12,217.1,220.9,214.6,220.4,14790
2014-02-13,217.4,224.5,217.2,221.0,18340
2014-02-14,221.8,221.8,213.2,220.0,17260
2014-02-18,221.0,221.0,218.0,219.9,18380
2014-02-19,219.2,222.5,217.6,219.3,21090
2014-02-20,218.0,220.6,216.3,219.5,17980
2014-02-21,220.0,226.4,217.9,223.1,30380
2014-02-24,224.0,225.0,219.0,223.9,24540
2014-02-25,224.8,229.3,223.1,224.7,25280
2014-02-26,227.5,228.8,216.7,225.2,56750
2014-02-27,225.2,229.4,221.4,227.4,37430
2014-02-28,227.4,229.4,223.5,228.9,30620
2014-03-03,229.7,236.0,227.7,229.5,43290
2014-03-04,230.8,244.6,230.8,239.8,115720
2014-03-05,240.4,248.0,240.4,246.6,35540
2014-03-06,247.8,252.9,245.9,252.2,35130
2014-03-07,254.3,258.1,247.6,254.7,48770
2014-03-10,253.0,264.0,247.4,248.1,39850
2014-03-11,249.4,266.8,239.8,239.8,122670
2014-03-12,239.9,245.8,230.2,232.9,50810
2014-03-13,233.4,245.6,233.4,238.7,82760
2014-03-14,238.5,248.0,237.3,241.1,56700
2014-03-17,241.7,254.3,241.7,250.6,86800
2014-03-18,251.7,252.5,243.4,244.0,54750
2014-03-19,239.0,239.0,231.9,235.8,56920
2014-03-20,234.7,236.5,229.8,235.1,42920
2014-03-21,232.8,236.9,228.2,230.6,164590
2014-03-24,230.0,232.3,223.0,231.8,38550
2014-03-25,233.1,242.1,233.0,240.1,39840
2014-03-26,240.7,240.7,237.0,238.6,23820
2014-03-27,237.7,240.7,232.6,234.2,28430
2014-03-28,234.2,239.9,233.8,239.0,28360
2014-03-31,239.9,242.5,233.8,242.5,233730
2014-04-01,242.0,247.2,238.7,247.2,37460
2014-04-02,247.3,251.4,245.2,248.0,32150
2014-04-03,248.6,250.0,234.4,234.8,37470
2014-04-04,236.0,237.0,225.9,230.2,32290
2014-04-07,230.1,231.6,225.4,230.2,23850
2014-04-08,230.4,241.8,228.1,239.7,52200
2014-04-09,240.6,241.2,235.7,236.4,28200
2014-04-10,235.9,236.4,228.8,228.8,11800
2014-04-11,227.3,237.1,219.1,236.0,58150
