DateTime,Open,High,Low,Close,Volume
2008-02-20,62.8,63.2,61.0,61.0,385
2008-02-21,62.0,64.0,62.0,63.6,780
2008-02-22,64.0,64.0,60.0,63.2,610
2008-02-25,62.4,68.8,62.0,65.0,765
2008-02-26,64.0,66.8,62.0,65.0,670
2008-02-27,63.8,69.8,56.6,56.6,6935
2008-02-28,57.0,63.0,56.6,59.8,755
2008-02-29,57.8,59.6,56.4,57.2,430
2008-03-03,59.4,65.2,54.6,56.2,430
2008-03-04,56.2,58.0,49.6,52.6,1250
2008-03-05,56.4,56.4,50.0,53.8,1240
2008-03-06,54.8,60.0,54.8,58.2,1385
2008-03-07,59.0,59.0,56.0,59.0,490
2008-03-10,59.0,59.0,55.0,55.4,450
2008-03-11,56.4,58.4,52.4,56.2,345
2008-03-12,54.8,57.4,53.0,55.2,540
2008-03-13,54.8,55.8,52.0,55.6,1110
2008-03-14,56.0,56.0,51.0,52.0,1410
2008-03-17,52.8,54.4,50.0,51.8,1135
2008-03-18,52.0,52.4,48.0,52.4,1070
2008-03-19,52.4,54.8,51.6,53.6,365
2008-03-20,51.4,52.8,48.0,52.0,915
2008-03-24,51.0,53.0,50.8,52.6,340
2008-03-25,52.4,53.4,51.8,52.4,725
2008-03-26,51.4,53.0,50.2,53.0,425
2008-03-27,52.0,52.0,51.0,52.0,240
2008-03-28,51.8,53.0,51.2,53.0,410
2008-03-31,53.0,54.8,53.0,54.8,535
2008-04-01,53.8,53.8,51.4,53.4,525
2008-04-02,52.0,55.0,52.0,53.4,775
2008-04-03,51.6,53.4,51.4,53.4,390
2008-04-04,52.4,55.4,52.4,54.6,875
2008-04-07,53.8,54.6,51.4,52.0,635
2008-04-08,52.6,55.0,52.6,54.4,675
2008-04-09,54.0,59.8,53.2,59.6,1450
2008-04-10,60.0,61.6,56.2,60.0,850
2008-04-11,59.4,60.0,54.6,57.4,455
2008-04-14,56.6,61.8,56.4,61.4,1200
2008-04-15,61.4,61.4,56.0,59.0,980
2008-04-16,56.0,56.0,54.2,56.0,330
2008-04-17,55.4,58.0,55.4,56.8,815
2008-04-18,55.4,58.0,55.4,58.0,460
2008-04-21,58.6,60.0,58.6,59.0,795
2008-04-22,56.4,56.4,56.4,56.4,10
2008-04-23,56.0,61.0,56.0,60.0,805
2008-04-24,60.0,60.0,58.4,59.8,275
2008-04-25,56.6,60.6,56.2,60.6,900
2008-04-28,59.6,59.6,56.6,59.4,530
2008-04-29,59.2,59.2,58.8,59.2,200
2008-04-30,59.2,59.2,57.0,57.6,1030
2008-05-01,57.0,58.0,54.0,54.8,1155
2008-05-02,54.0,56.8,52.0,52.0,820
2008-05-05,52.0,55.6,52.0,54.0,115
2008-05-06,56.2,56.4,52.4,52.8,310
2008-05-07,53.4,54.4,52.6,54.4,555
2008-05-08,53.0,53.0,50.8,51.4,930
