DateTime,Open,High,Low,Close,Volume
2021-07-12,14.96,15.0,14.39,14.57,5734200
2021-07-13,14.72,15.01,14.58,14.62,4781100
2021-07-14,14.55,14.91,14.14,14.27,8718200
2021-07-15,14.34,14.51,13.88,14.06,4809700
2021-07-16,14.21,14.26,13.16,13.24,6423500
2021-07-19,12.6,13.04,12.29,12.54,9656700
2021-07-20,12.54,13.21,12.41,13.07,6053400
2021-07-21,13.47,14.18,13.39,13.91,5749700
2021-07-22,13.93,13.94,13.39,13.66,4167000
2021-07-23,13.73,13.79,13.12,13.68,6863900
2021-07-26,13.7,14.63,13.7,14.62,5190000
2021-07-27,14.64,14.64,13.6,13.89,6599000
2021-07-28,14.0,14.25,13.53,13.81,6604900
2021-07-29,13.33,13.98,12.77,13.61,9569200
2021-07-30,13.51,13.75,13.27,13.6,6360700
2021-08-02,13.65,14.0,13.05,13.05,6831700
2021-08-03,13.0,13.66,12.72,13.47,4799300
2021-08-04,13.21,13.81,13.08,13.27,4671600
2021-08-05,13.34,13.85,13.23,13.24,3703600
2021-08-06,13.26,13.75,13.24,13.62,4663600
2021-08-09,13.57,13.9,13.33,13.35,7342600
2021-08-10,13.54,14.0,13.4,13.78,4672700
2021-08-11,13.65,13.8,13.17,13.8,5733600
2021-08-12,13.8,14.18,13.3,13.49,6477800
2021-08-13,13.36,13.47,12.55,12.61,6233100
2021-08-16,12.5,12.81,12.16,12.57,5752500
2021-08-17,12.47,12.95,12.36,12.68,5576400
2021-08-18,12.64,12.85,11.89,11.99,7881600
2021-08-19,11.71,11.87,10.91,11.38,11457100
2021-08-20,11.33,11.67,11.19,11.62,7812600
2021-08-23,12.01,12.43,11.88,12.22,6849500
2021-08-24,12.41,12.49,12.18,12.39,4876700
2021-08-25,12.48,13.11,12.28,12.85,4562300
2021-08-26,12.8,13.17,12.68,12.86,5783100
2021-08-27,13.07,14.16,13.05,13.84,7585400
2021-08-30,13.85,14.2,13.49,13.69,7314300
2021-08-31,13.57,13.97,13.42,13.72,5091100
2021-09-01,13.7,14.78,13.58,14.68,7830900
2021-09-02,14.85,15.76,14.75,15.42,10230200
2021-09-03,15.47,16.49,15.26,16.28,8152800
2021-09-07,16.17,16.38,15.69,15.94,6150300
2021-09-08,16.24,16.87,15.98,16.0,8210700
2021-09-09,15.76,16.34,15.54,16.049999,6140000
2021-09-10,16.23,16.52,15.91,15.93,5632600
2021-09-13,16.34,17.030001,16.29,16.52,8119600
2021-09-14,16.65,16.75,15.94,16.08,6711000
2021-09-15,16.74,17.85,16.5,17.74,7868500
2021-09-16,17.29,17.36,16.64,17.040001,5239600
2021-09-17,17.040001,17.38,16.71,16.71,9340600
2021-09-20,16.049999,16.66,15.94,16.34,6059500
2021-09-21,16.62,16.7,15.74,16.43,5222800
2021-09-22,16.8,17.1,16.53,16.66,5776700
2021-09-23,16.9,17.95,16.86,17.85,5929100
2021-09-24,17.6,18.19,17.51,17.61,6272000
2021-09-27,18.42,19.47,18.31,19.11,10376800
2021-09-28,19.44,19.44,18.36,18.47,7851900
2021-09-29,18.27,18.77,18.02,18.61,7172700
2021-09-30,18.69,19.07,18.16,18.81,8485500
2021-10-01,18.84,19.58,18.56,19.18,6805300
2021-10-04,19.77,21.25,19.55,20.42,11647700
2021-10-05,21.01,21.12,19.7,20.76,11134800
2021-10-06,20.25,20.45,19.56,19.75,8941300
2021-10-07,19.82,20.43,19.47,20.34,6402600
2021-10-08,20.58,21.18,20.12,20.53,5001500
2021-10-11,20.9,21.18,19.79,19.82,7726100
2021-10-12,19.82,20.07,18.9,19.49,8767100
2021-10-13,19.36,19.8,18.99,19.29,4682900
2021-10-14,19.7,20.030001,19.37,19.58,7408400
2021-10-15,19.9,20.19,19.54,19.59,5290200
2021-10-18,20.27,21.17,19.57,19.81,8260800
2021-10-19,19.76,20.5,19.41,20.3,6265000
2021-10-20,20.13,20.83,19.74,20.74,5385800
2021-10-21,20.55,20.61,19.52,19.58,6709200
2021-10-22,19.95,20.29,19.58,20.27,5478800
2021-10-25,20.76,21.6,20.73,21.43,7622800
2021-10-26,21.39,21.71,20.73,20.75,5084300
2021-10-27,20.49,21.01,19.8,20.030001,7234000
2021-10-28,19.75,20.52,19.049999,20.36,9568600
2021-10-29,20.3,20.6,19.34,19.87,6117800
2021-11-01,20.15,21.0,20.07,20.38,6322400
2021-11-02,20.3,21.11,20.26,20.94,5677100
2021-11-03,20.45,21.39,20.27,21.09,7835000
2021-11-04,21.61,21.99,20.33,20.57,5822300
2021-11-05,20.77,21.09,20.54,20.99,3662900
2021-11-08,21.0,21.5,20.6,20.71,5384900
2021-11-09,20.73,20.83,19.54,20.33,5915200
2021-11-10,20.11,20.24,18.14,19.0,9510200
2021-11-11,19.29,19.84,19.2,19.52,5189700
2021-11-12,19.2,19.62,19.11,19.26,5142800
2021-11-15,19.43,19.97,18.9,19.63,4830300
2021-11-16,19.8,20.17,19.48,20.02,5613900
2021-11-17,19.71,20.07,18.99,19.24,4962600
2021-11-18,19.67,20.0,18.81,19.11,5287700
2021-11-19,18.39,18.71,18.0,18.18,9024200
2021-11-22,18.19,18.62,17.92,18.02,6522400
2021-11-23,18.51,18.98,18.24,18.74,5332900
2021-11-24,18.29,19.07,18.27,18.97,3269900
2021-11-26,17.56,18.54,17.46,18.39,6180300
2021-11-29,18.55,18.91,17.93,18.57,5667200
2021-11-30,18.23,18.37,16.99,17.56,8907600
2021-12-01,17.92,18.1,15.8,15.83,10965400
