DateTime,Open,High,Low,Close,Volume
2019-06-13,9.99,10.1496,9.0996,9.1704,224000
2019-06-14,9.15,9.2196,8.0004,8.4996,142600
2019-06-17,8.46,8.4996,6.9696,7.05,362600
2019-06-18,7.0896,7.44,6.99,7.1496,52700
2019-06-19,7.14,7.1796,6.5004,6.5004,115600
2019-06-20,6.5604,6.9,6.1104,6.2196,108300
2019-06-21,6.2004,6.6192,6.2004,6.3096,43000
2019-06-24,6.3504,6.8112,6.3504,6.6996,22000
2019-06-25,6.75,7.0704,6.75,7.0704,20400
2019-06-26,7.1196,7.6104,7.1184,7.6104,64000
2019-06-27,7.65,7.9896,7.6104,7.98,35700
2019-06-28,7.914,8.07,7.236,8.07,27400
2019-07-01,8.16,8.16,7.35,7.8396,23900
2019-07-02,7.59,7.7736,7.1304,7.35,37000
2019-07-03,7.3104,7.5204,7.3104,7.3104,2600
2019-07-05,7.2396,7.6704,7.2,7.6404,17100
2019-07-08,7.86,7.86,7.1004,7.1604,20500
2019-07-09,7.2504,7.5,7.2504,7.5,35200
2019-07-10,7.5,7.6296,7.2504,7.44,22100
2019-07-11,7.7496,7.7496,7.0704,7.2504,22900
2019-07-12,7.2504,7.4604,7.0704,7.2804,19000
2019-07-15,7.4904,7.4904,7.08,7.2804,12700
2019-07-16,7.2096,7.5396,7.1004,7.5,27400
2019-07-17,7.458,7.5144,7.26,7.35,31700
2019-07-18,7.4604,7.5,7.2096,7.41,12400
2019-07-19,7.35,7.5,7.2204,7.5,6600
2019-07-22,7.5504,7.7748,7.35,7.4952,26500
2019-07-23,7.5,7.6404,7.0704,7.5,14900
2019-07-24,7.2996,7.44,7.11,7.2396,34000
2019-07-25,7.2996,7.32,6.7596,7.05,34900
2019-07-26,6.99,7.2696,6.9504,7.2696,11500
2019-07-29,7.44,7.7496,6.84,7.1256,8500
2019-07-30,7.59,7.59,6.75,6.96,30300
2019-07-31,6.6264,7.2672,6.5004,7.02,27600
2019-08-01,7.1496,7.2948,6.33,6.4092,47200
2019-08-02,7.2396,7.2396,6.0096,6.24,76000
