DateTime,Open,High,Low,Close,Volume
2012-11-09,844.2,844.2,729.0,729.0,288
2012-11-12,718.2,833.4,718.2,828.0,134
2012-11-13,835.2,837.0,795.6,795.6,109
2012-11-14,820.8,820.8,768.6,774.0,11
2012-11-15,810.0,840.6,808.2,840.6,42
2012-11-16,847.8,847.8,770.4,770.4,49
2012-11-19,788.4,810.0,788.4,810.0,21
2012-11-20,835.2,835.2,804.6,804.6,13
2012-11-21,835.2,835.2,799.2,819.0,68
2012-11-23,847.8,847.8,822.6,828.0,7
2012-11-26,828.0,828.0,793.8,828.0,54
2012-11-27,817.2,819.0,806.4,817.2,8
2012-11-28,810.0,819.0,810.0,810.0,14
2012-11-29,835.2,835.2,813.6,815.4,56
2012-11-30,835.2,835.2,804.6,820.8,47
2012-12-03,802.8,820.8,763.2,768.6,43
2012-12-04,820.8,828.0,779.4,828.0,10
2012-12-05,828.0,828.0,783.0,783.0,33
2012-12-06,792.0,792.0,792.0,792.0,13
2012-12-07,808.2,901.8,795.6,855.0,431
2012-12-10,842.4,1009.8,828.0,867.6,1272
2012-12-11,943.2,943.2,867.6,898.2,191
2012-12-12,961.2,961.2,885.6,885.6,128
2012-12-13,919.8,936.0,826.2,853.2,125
2012-12-14,837.0,862.2,811.8,817.2,158
2012-12-17,810.0,810.0,720.0,763.2,66
2012-12-18,745.2,745.2,619.2,703.8,87
2012-12-19,705.6,804.6,675.0,693.0,91
2012-12-20,707.4,779.4,705.6,739.8,19
2012-12-21,774.0,808.2,763.2,765.0,45
2012-12-24,797.4,797.4,797.4,797.4,7
2012-12-27,781.2,797.4,648.0,729.0,63
2012-12-28,729.0,788.4,723.6,788.4,26
2012-12-31,714.6,720.0,702.0,702.0,39
2013-01-02,718.2,718.2,678.6,684.0,11
2013-01-03,702.0,775.8,702.0,775.8,68
2013-01-04,777.6,777.6,730.8,738.0,17
2013-01-07,756.0,756.0,691.2,711.0,63
2013-01-08,712.8,756.0,712.8,745.2,86
2013-01-09,748.8,754.2,748.8,754.2,3
2013-01-10,756.0,756.0,730.8,730.8,12
