DateTime,Open,High,Low,Close,Volume
2021-12-09,9.12,9.42,8.05,8.08,402600
2021-12-10,8.05,8.28,7.065,7.15,497800
2021-12-13,7.27,7.4,6.75,7.05,289600
2021-12-14,7.04,8.98,7.03,8.3,1359700
2021-12-15,8.58,8.89,7.534,8.43,592300
2021-12-16,8.38,8.519,7.6,8.01,315300
2021-12-17,7.85,8.8,7.77,8.72,307400
2021-12-20,8.28,8.28,7.677,8.03,156200
2021-12-21,7.95,8.18,7.12,7.27,215400
2021-12-22,7.31,7.51,6.61,6.83,188300
2021-12-23,6.86,7.13,6.75,6.85,235600
2021-12-27,6.8,7.19,6.04,6.1,300300
2021-12-28,6.18,6.2,6.0,6.01,162200
2021-12-29,6.04,6.31,5.95,6.08,173900
2021-12-30,5.98,6.2,5.9,5.94,197700
2021-12-31,5.9,6.04,5.52,5.66,235600
2022-01-03,5.66,5.86,5.63,5.86,111600
2022-01-04,5.89,6.07,5.854,6.02,59700
2022-01-05,6.02,6.091,5.69,5.72,119000
2022-01-06,5.64,5.8,5.13,5.28,184900
2022-01-07,5.3,5.3,5.08,5.12,58300
2022-01-10,5.01,5.26,4.81,5.01,196500
2022-01-11,5.0,5.213,4.89,4.95,56100
2022-01-12,4.98,5.12,4.81,4.96,87300
2022-01-13,4.96,5.08,4.62,4.73,128000
2022-01-14,4.66,4.79,4.45,4.75,99000
2022-01-18,4.8,4.95,4.672,4.86,81400
2022-01-19,4.91,5.02,4.82,5.02,46300
2022-01-20,5.0,5.44,5.0,5.27,135300
2022-01-21,5.28,5.42,5.12,5.26,117700
2022-01-24,5.14,5.72,5.11,5.59,141600
2022-01-25,5.53,5.85,5.22,5.29,80400
2022-01-26,5.33,5.39,5.25,5.3,53800
2022-01-27,5.35,5.54,5.03,5.03,92700
2022-01-28,5.15,5.15,4.96,5.05,26000
2022-01-31,5.08,5.4,5.025,5.11,33100
2022-02-01,5.15,5.5,5.12,5.16,97400
2022-02-02,5.15,5.4,5.06,5.16,32700
2022-02-03,5.11,5.231,5.04,5.17,21500
2022-02-04,5.1,5.3,4.99,5.29,59200
2022-02-07,5.21,5.35,5.16,5.2,36700
2022-02-08,5.2,5.2,4.91,5.08,61800
2022-02-09,5.06,5.195,4.86,4.93,85500
2022-02-10,4.92,5.02,4.69,4.73,69300
2022-02-11,4.71,4.81,4.55,4.61,73700
2022-02-14,4.53,4.98,4.53,4.84,65200
2022-02-15,4.81,5.28,4.78,5.2,80700
2022-02-16,5.19,5.32,5.14,5.25,42100
2022-02-17,5.23,5.345,4.99,5.19,73400
2022-02-18,5.09,5.174,4.95,5.1,34700
2022-02-22,5.0,5.155,4.9,5.01,24200
2022-02-23,5.0,5.214,5.0,5.21,34400
2022-02-24,5.21,6.29,4.98,5.5,449000
2022-02-25,5.88,6.44,5.33,6.06,800400
2022-02-28,6.18,6.64,5.39,5.78,449600
2022-03-01,5.78,5.99,5.69,5.84,84400
2022-03-02,5.98,7.11,5.77,6.68,949500
2022-03-03,6.6,7.46,6.42,7.46,547700
2022-03-04,7.31,8.194,7.17,7.75,573800
2022-03-07,7.95,9.71,7.78,9.61,1107300
2022-03-08,9.46,9.5,7.0,7.93,1051700
2022-03-09,7.92,9.13,7.55,8.54,526400
2022-03-10,8.27,9.43,8.27,8.61,468600
2022-03-11,8.8,10.5,8.49,9.46,1085600
2022-03-14,10.37,10.37,8.44,8.48,408800
2022-03-15,8.7,8.7,7.55,8.16,335200
2022-03-16,8.34,8.76,7.91,8.45,218600
2022-03-17,8.44,9.06,8.29,8.29,708900
2022-03-18,6.96,6.96,6.21,6.44,973000
2022-03-21,6.55,6.6,6.15,6.17,501400
2022-03-22,6.25,6.42,5.92,6.2,349000
2022-03-23,6.2,6.48,6.01,6.29,322700
2022-03-24,6.43,7.466,6.3,7.33,274100
2022-03-25,7.15,7.655,6.9,7.56,170500
2022-03-28,7.85,8.12,7.41,7.47,253200
2022-03-29,7.37,8.04,6.89,7.0,188600
2022-03-30,7.32,8.27,7.31,8.27,680200
2022-03-31,8.33,8.48,7.99,8.24,302200
2022-04-01,8.82,8.98,8.04,8.36,224600
2022-04-04,8.72,8.9,8.37,8.74,186000
2022-04-05,8.79,11.27,8.79,10.34,2104700
2022-04-06,14.69,16.12,10.28,10.37,18016500
2022-04-07,10.97,12.73,10.5,11.54,5024900
2022-04-08,11.78,14.04,11.4,11.58,4901500
2022-04-11,11.17,12.7,10.62,12.32,1508600
2022-04-12,11.79,12.29,10.82,11.74,590300
2022-04-13,11.99,13.11,11.76,12.69,853400
2022-04-14,12.53,13.59,12.38,12.63,823600
2022-04-18,12.76,12.93,11.57,11.63,578500
2022-04-19,11.7,12.18,10.97,11.13,466500
2022-04-20,10.97,11.95,10.97,11.67,294400
2022-04-21,11.71,12.1,11.27,11.8,289500
2022-04-22,11.5,12.389,8.11,8.55,1007400
2022-04-25,9.55,10.34,8.4,10.1,594400
2022-04-26,9.9,10.25,9.65,9.96,148700
2022-04-27,9.76,10.85,9.55,10.6,212000
2022-04-28,10.41,10.77,10.093,10.43,98800
2022-04-29,10.03,10.38,9.57,10.01,113200
2022-05-02,9.81,11.02,9.779,10.67,151600
2022-05-03,10.63,11.61,10.52,11.1,352500
2022-05-04,10.93,11.386,10.06,10.57,246900
2022-05-05,10.49,10.92,10.185,10.34,126200
2022-05-06,10.18,10.29,9.84,10.07,76700
2022-05-09,9.85,9.98,8.06,8.24,257300
2022-05-10,8.49,8.76,7.64,8.01,129200
2022-05-11,7.99,8.13,7.35,7.5,87000
2022-05-12,7.35,7.6,7.135,7.4,90200
2022-05-13,7.56,7.72,7.42,7.64,56200
2022-05-16,7.54,7.86,7.25,7.33,81700
2022-05-17,7.27,7.648,7.15,7.6,95400
2022-05-18,7.7,9.72,7.439,9.21,961500
2022-05-19,9.21,10.258,8.88,9.7,786500
2022-05-20,10.15,10.3,9.09,10.0,575100
2022-05-23,9.98,10.52,9.267,10.12,511300
2022-05-24,7.91,7.99,6.02,6.11,878500
2022-05-25,6.36,7.2,6.21,6.52,555700
2022-05-26,6.25,6.455,5.705,5.78,450600
2022-05-27,5.89,5.89,5.08,5.38,381400
2022-05-31,5.37,5.74,5.23,5.33,297400
2022-06-01,5.28,5.69,5.12,5.17,227000
2022-06-02,5.0,5.44,4.97,5.44,241600
2022-06-03,5.34,5.5,5.2,5.37,118800
2022-06-06,5.46,5.62,4.91,4.99,232700
2022-06-07,4.99,5.34,4.745,5.03,338500
2022-06-08,4.93,5.25,4.84,5.11,282500
2022-06-09,5.01,5.36,5.01,5.16,193200
2022-06-10,5.15,5.392,4.92,4.94,177000
2022-06-13,4.86,4.86,4.385,4.52,439600
2022-06-14,4.43,4.465,4.216,4.37,120800
2022-06-15,4.51,4.51,4.05,4.06,227300
2022-06-16,4.0,4.17,3.86,3.99,220500
2022-06-17,4.06,4.426,4.0,4.05,314800
