DateTime,Open,High,Low,Close,Volume
2025-01-02,10.81,11.11,10.27,10.69,763800
2025-01-03,10.82,12.01,10.65,11.87,1209900
2025-01-06,12.17,12.64,11.72,11.86,1200100
2025-01-07,11.69,12.11,10.98,11.11,615500
2025-01-08,10.75,10.98,10.0,10.13,994500
2025-01-10,10.2,10.2,9.36,9.77,963500
2025-01-13,9.6,9.78,9.31,9.55,690500
2025-01-14,9.75,9.99,9.33,9.6,677300
2025-01-15,9.97,10.36,9.84,9.93,549500
2025-01-16,10.05,10.76,9.81,10.45,1021600
2025-01-17,10.66,11.92,10.21,11.73,1699000
2025-01-21,12.34,12.599,11.55,12.09,2247300
2025-01-22,12.12,12.3,11.56,11.69,1393900
2025-01-23,11.62,12.66,11.36,11.94,1923000
2025-01-24,12.39,15.25,12.215,14.96,4252700
2025-01-27,14.09,14.395,13.06,13.16,1895900
2025-01-28,15.81,17.39,13.76,14.02,7991900
2025-01-29,14.09,14.45,12.92,13.42,1472200
2025-01-30,13.71,14.48,13.45,13.57,966300
2025-01-31,13.79,15.8,13.69,14.99,1890000
2025-02-03,14.3,15.6,14.2,15.19,1282100
2025-02-04,15.94,18.3,15.94,17.7,2981400
2025-02-05,17.78,18.33,17.126,17.66,1524200
2025-02-06,17.8,17.94,16.56,16.64,1176600
2025-02-07,16.79,17.32,16.29,16.5,871700
2025-02-10,16.77,17.874,16.74,17.54,971000
2025-02-11,17.6,18.0,17.159,17.32,1159200
2025-02-12,16.68,16.971,15.75,16.36,1302100
2025-02-13,17.57,18.1,16.52,17.76,1512600
2025-02-14,17.77,18.0,16.58,16.83,1041900
2025-02-18,17.5,20.5,17.12,18.85,4116200
2025-02-19,20.49,21.92,19.61,19.96,4322000
2025-02-20,19.77,19.94,17.601,18.31,2298700
2025-02-21,18.86,19.3,16.67,16.68,1987500
2025-02-24,16.85,16.915,14.66,15.03,2246800
2025-02-25,15.1,15.58,14.06,14.69,1904300
2025-02-26,15.14,15.936,14.88,14.91,1350200
2025-02-27,15.2,15.5,14.395,14.47,1259900
2025-02-28,14.0,14.75,13.48,14.47,1667300
2025-03-03,14.74,14.97,12.61,12.91,1858500
2025-03-04,12.33,13.2,11.911,12.63,2148500
2025-03-05,12.86,13.549,12.361,13.2,2322700
2025-03-06,10.05,11.37,9.78,10.01,3873500
2025-03-07,9.86,10.16,9.5,9.86,1751900
2025-03-10,9.015,9.34,8.82,9.23,1990000
2025-03-11,9.28,9.6,8.71,9.09,1536800
2025-03-12,9.6,9.97,8.756,9.24,1541100
2025-03-13,9.27,9.3,8.56,8.8,938100
2025-03-14,9.25,9.26,8.72,9.08,1267300
2025-03-17,9.12,9.49,8.96,9.36,828600
2025-03-18,9.15,9.31,8.52,8.61,1161200
2025-03-19,8.68,9.19,8.65,8.97,740200
2025-03-20,8.69,9.16,8.67,8.76,570100
2025-03-21,8.49,8.81,8.3,8.71,866100
2025-03-24,8.91,9.34,8.8,9.28,1000400
2025-03-25,9.385,9.67,9.08,9.52,865000
2025-03-26,9.61,9.79,9.08,9.18,932500
2025-03-27,9.01,9.095,8.54,8.58,792100
2025-03-28,8.5,8.558,7.815,7.91,1780300
2025-03-31,7.58,7.82,7.38,7.73,1061700
2025-04-01,7.74,7.82,7.29,7.73,717100
2025-04-02,7.45,8.27,7.42,8.06,653300
2025-04-03,7.28,7.52,7.19,7.31,857000
2025-04-04,6.97,7.0,6.15,6.81,1336200
2025-04-07,6.32,7.54,6.15,7.09,855800
2025-04-08,7.63,7.742,6.73,6.91,937300
2025-04-09,6.78,8.17,6.59,7.81,1434300
2025-04-10,7.79,7.877,7.23,7.54,795000
2025-04-11,7.6,7.744,7.3,7.63,488800
2025-04-14,7.96,7.99,7.19,7.27,803400
2025-04-15,7.17,7.654,7.12,7.28,607700
2025-04-16,7.11,7.21,6.88,7.12,470000
2025-04-17,7.1,7.24,6.9,7.07,483000
2025-04-21,6.87,6.97,6.44,6.63,676100
2025-04-22,6.7,6.99,6.67,6.86,461700
2025-04-23,7.25,7.62,7.19,7.2,447300
2025-04-24,7.28,8.23,7.26,8.18,825600
2025-04-25,8.16,8.608,8.05,8.47,833300
2025-04-28,8.47,8.69,8.241,8.55,853200
2025-04-29,8.58,8.65,8.36,8.63,435700
2025-04-30,8.27,8.39,7.86,8.36,623400
2025-05-01,8.53,8.81,8.37,8.58,516800
2025-05-02,8.83,9.165,8.68,8.84,691400
2025-05-05,8.75,8.82,8.57,8.62,468400
2025-05-06,8.4,8.63,8.29,8.54,362700
2025-05-07,8.67,8.97,8.62,8.74,530800
2025-05-08,9.25,11.74,9.25,11.45,2531500
2025-05-09,11.45,11.91,11.01,11.55,1074200
2025-05-12,12.68,12.73,11.37,11.52,1191500
2025-05-13,11.95,12.04,11.58,11.84,934700
2025-05-14,12.15,12.53,11.81,12.32,1061400
2025-05-15,12.19,12.31,11.67,12.15,698500
2025-05-16,12.25,12.4,11.81,11.83,787300
2025-05-19,11.47,11.815,11.211,11.77,876600
2025-05-20,11.78,11.96,11.55,11.78,577700
2025-05-21,11.7,11.85,11.15,11.38,653900
2025-05-22,10.81,11.18,9.876,10.75,1948700
2025-05-23,10.47,10.99,10.421,10.83,791200
2025-05-27,11.29,11.8,10.918,11.73,1001700
2025-05-28,11.75,12.44,11.45,12.07,1020800
2025-05-29,12.48,12.52,11.26,11.35,941800
2025-05-30,11.25,11.35,10.8,11.19,1303600
2025-06-02,11.29,11.33,10.61,11.22,917700
2025-06-03,11.61,11.695,11.13,11.3,790800
2025-06-04,11.53,12.15,11.26,12.02,1148200
2025-06-05,12.1,12.75,11.61,12.13,2201900
2025-06-06,12.5,12.98,12.035,12.9,1767500
2025-06-09,13.17,13.34,12.5,12.72,1457200
2025-06-10,12.75,12.799,11.8,12.08,1132700
2025-06-11,12.2,12.28,11.7,11.77,961900
2025-06-12,11.61,11.79,11.37,11.45,721600
2025-06-13,10.9,11.5,10.8,10.89,995300
2025-06-16,11.21,11.66,11.12,11.48,1101200
2025-06-17,11.265,11.82,11.265,11.44,1096500
2025-06-18,11.53,12.907,11.36,12.71,1806400
2025-06-20,13.2,14.725,12.51,14.22,4608400
2025-06-23,14.5,16.591,13.62,16.47,5198100
2025-06-24,17.040001,17.7,16.44,17.58,3760200
2025-06-25,17.69,18.0,16.86,17.28,2224300
2025-06-26,18.0,20.95,17.95,20.48,3888500
2025-06-27,20.4,20.4,18.6,19.49,3951500
2025-06-30,19.86,21.12,19.53,20.58,2495700
2025-07-01,20.0,20.809,19.19,20.040001,1745300
2025-07-02,20.07,20.3,19.227,20.27,1322800
2025-07-03,20.22,21.54,19.995,21.48,1412600
2025-07-07,21.5,21.754,20.5,21.66,1633700
