DateTime,Open,High,Low,Close,Volume
2021-07-21,46.58,49.21,46.25,49.02,1090800
2021-07-22,49.049999,53.09,48.925,52.52,4420000
2021-07-23,53.14,53.28,50.44,51.76,1833800
2021-07-26,52.080002,52.9,50.46,50.62,1137200
2021-07-27,50.51,50.86,48.3,49.26,1423200
2021-07-28,49.984,52.63,49.75,52.52,955900
2021-07-29,52.58,52.645,51.33,51.61,746500
2021-07-30,51.0,52.48,50.61,50.88,637200
2021-08-02,50.95,51.37,50.099998,50.21,788300
2021-08-03,50.32,50.33,47.47,48.12,1339300
2021-08-04,48.0,48.63,46.94,47.51,815500
2021-08-05,47.48,48.77,47.2,47.98,957200
2021-08-06,48.0099983,49.18,48.0099983,48.78,779400
2021-08-09,49.07,49.42,46.7,48.07,1222000
2021-08-10,49.099998,49.75,46.5,46.63,1379800
2021-08-11,47.029999,48.95,46.241,47.67,3159100
2021-08-12,47.4,52.0,44.24,50.83,6779300
2021-08-13,50.94,51.41,48.12,49.57,2523800
2021-08-16,48.92,49.85,47.12,49.46,1432000
2021-08-17,48.0,49.44,46.15,46.46,2271300
2021-08-18,47.23,51.35,46.75,51.0099983,1956200
2021-08-19,50.09,52.37,48.75,49.14,3124400
2021-08-20,49.099998,49.82,47.74,48.29,984800
2021-08-23,48.66,51.465,48.51,51.35,1202300
2021-08-24,51.8,53.966,51.8,53.86,1133700
2021-08-25,53.91,55.2,53.42,53.79,1159900
2021-08-26,53.54,54.27,51.35,53.060001,974300
2021-08-27,53.31,55.378,53.080002,55.19,1079800
2021-08-30,55.6,56.48,53.63,55.5,1140100
2021-08-31,55.62,55.85,54.11,54.5,1023200
2021-09-01,54.5,55.68,54.11,55.29,1640100
2021-09-02,55.49,58.24,55.49,57.73,1446900
2021-09-03,57.9,60.0,57.11,59.94,1410300
2021-09-07,60.0,60.87,57.27,57.77,1351300
2021-09-08,55.75,57.765,55.0,55.84,2273700
2021-09-09,55.62,57.55,54.65,55.68,1628800
2021-09-10,54.049999,61.049999,52.58,58.2,19651500
2021-09-13,57.28,57.36,54.14,54.65,3618100
2021-09-14,54.2,54.57,51.92,52.31,3096800
2021-09-15,52.31,55.0099983,52.31,54.45,1891000
2021-09-16,53.91,54.89,52.9,54.89,1410400
2021-09-17,55.29,55.43,52.86,53.97,3865900
2021-09-20,51.79,54.02,51.3,51.98,1714600
2021-09-21,52.939,54.18,51.23,53.3,2046500
2021-09-22,53.75,55.59,53.645,55.54,1901900
2021-09-23,55.83,56.723,54.54,55.31,929800
2021-09-24,55.0029984,55.29,52.74,53.5,3327700
2021-09-27,53.41,54.95,53.09,53.97,1153500
2021-09-28,53.17,53.58,50.45,51.2,1888400
2021-09-29,51.42,51.7,49.63,49.88,832700
2021-09-30,49.9,50.42,49.29,49.98,1527700
2021-10-01,50.5,51.18,49.36,51.09,1229200
2021-10-04,50.5,50.53,47.8,48.27,1492900
2021-10-05,48.65,50.14,48.33,49.25,729400
2021-10-06,48.42,49.7,48.15,48.85,741100
2021-10-07,49.46,51.74,49.34,50.7,1143300
2021-10-08,50.75,51.23,48.92,49.0099983,749000
2021-10-11,48.74,49.29,47.85,48.89,698300
2021-10-12,49.4,50.93,48.92,50.25,1144200
2021-10-13,50.33,52.71,50.0,51.92,1998600
2021-10-14,53.049999,54.48,52.27,53.029999,1313900
2021-10-15,53.692,53.692,51.23,52.18,703600
2021-10-18,50.915,52.74,50.83,50.97,705100
2021-10-19,51.23,52.38,50.63,51.52,858600
2021-10-20,51.78,53.88,51.67,52.34,696000
2021-10-21,52.0,60.5,50.91,56.26,5202700
2021-10-22,54.53,56.37,53.54,55.48,979100
2021-10-25,55.64,57.19,55.17,56.6,756800
2021-10-26,56.65,56.8,54.63,55.14,488400
2021-10-27,54.91,56.22,54.11,54.21,450200
2021-10-28,54.25,55.365,53.55,54.11,679700
2021-10-29,54.0,54.76,52.15,52.52,1093500
2021-11-01,52.55,53.28,51.12,51.47,1214500
2021-11-02,51.5,51.5,49.35,49.56,1689000
2021-11-03,49.47,52.88,49.4,52.0,2204100
2021-11-04,52.26,52.55,51.4,51.7,1169600
2021-11-05,52.13,52.73,51.2,52.0,1054600
2021-11-08,52.23,53.17,51.731,52.25,979600
2021-11-09,52.0099983,52.6,50.53,50.84,969400
2021-11-10,50.22,50.64,46.75,47.75,2376600
2021-11-11,39.71,41.8,37.8,38.56,12753400
2021-11-12,39.0,39.0,35.9,36.55,6581800
2021-11-15,36.9,39.21,36.8,38.47,4215400
2021-11-16,38.3,38.9,37.92,38.41,1958400
2021-11-17,38.5,39.41,37.91,38.23,2275500
2021-11-18,38.25,38.31,36.8,37.97,2400800
2021-11-19,37.91,38.09,36.105,36.38,1543000
2021-11-22,36.84,36.84,33.63,34.3,2087000
2021-11-23,35.099998,35.55,33.5,34.39,2138900
2021-11-24,33.8,34.95,33.286,34.38,989000
2021-11-26,33.54,34.27,33.34,33.83,850900
2021-11-29,35.92,35.92,34.107,35.029999,1847100
2021-11-30,34.94,35.45,33.060001,34.26,2547500
2021-12-01,34.7,35.95,32.0,32.080002,1928400
2021-12-02,32.33,33.23,31.9,32.29,1212500
2021-12-03,32.47,32.6,30.1,31.74,1710600
2021-12-06,31.43,33.5,30.5,33.25,1464000
2021-12-07,35.75,37.66,35.73,36.48,4750900
2021-12-08,36.49,38.64,36.0099983,37.62,2112900
2021-12-09,37.22,38.65,36.060001,36.65,1938200
2021-12-10,36.81,37.67,35.95,36.27,1905700
2021-12-13,36.21,36.21,34.35,34.99,2119800
2021-12-14,34.41,35.59,34.0,35.31,1381500
2021-12-15,35.24,35.52,33.51,35.17,1880000
2021-12-16,35.65,35.89,33.15,33.81,1144800
2021-12-17,33.48,33.697,31.91,32.85,3250700
2021-12-20,32.15,32.99,31.39,31.93,1443500
2021-12-21,32.5,34.96,32.2,34.63,1866900
2021-12-22,34.14,34.976,33.39,34.58,849600
2021-12-23,34.31,35.47,33.915,34.87,790000
2021-12-27,34.8,35.11,33.46,33.86,1160500
2021-12-28,33.52,34.67,32.95,33.39,869500
2021-12-29,33.45,33.49,32.13,32.66,896500
2021-12-30,32.66,34.5,32.64,33.9,967100
2021-12-31,33.74,34.94,33.4,33.86,986900
2022-01-03,34.17,35.764,33.35,35.13,967900
2022-01-04,35.52,35.52,32.47,33.6,1582200
2022-01-05,33.28,33.85,31.5,32.02,1603600
2022-01-06,31.57,32.84,31.07,31.6,1424700
2022-01-07,31.55,32.66,30.52,31.47,1634700
2022-01-10,30.73,32.23,29.6,32.19,1530500
2022-01-11,32.23,33.965,31.85,33.12,1105100
2022-01-12,33.98,33.99,32.41,32.69,673000
2022-01-13,34.656,34.97,32.095001,32.59,2063500
2022-01-14,32.19,33.54,32.15,33.25,1656400
2022-01-18,32.93,32.932,30.51,30.75,1855100
2022-01-19,31.049999,32.172,30.98,31.14,1239700
2022-01-20,31.49,32.66,30.62,30.75,1576000
2022-01-21,30.51,31.586,29.5,30.0,1652300
2022-01-24,28.92,29.6,26.42,29.45,2492400
2022-01-25,28.28,29.396,27.57,28.65,1266000
2022-01-26,29.48,30.79,28.34,28.99,2311600
2022-01-27,29.72,29.945,26.56,26.78,2610600
2022-01-28,27.34,28.02,25.9,27.96,2096000
2022-01-31,27.93,30.07,27.57,29.51,2184500
2022-02-01,29.92,30.61,29.030001,30.31,4323600
2022-02-02,30.18,30.99,29.8,29.82,2713400
2022-02-03,28.81,29.41,27.1,27.32,2197800
2022-02-04,27.23,28.14,26.3,27.66,1633400
2022-02-07,28.059999,29.01,27.34,27.5,1139300
2022-02-08,27.5,27.81,26.77,27.28,2407800
2022-02-09,27.59,29.735,27.47,29.59,3467700
2022-02-10,28.88,30.37,28.71,29.48,1252900
2022-02-11,29.61,30.08,27.7,28.1,1035200
2022-02-14,27.99,29.33,27.64,28.07,880200
2022-02-15,28.683,29.14,28.2,29.030001,766400
2022-02-16,28.89,29.014999,28.0,28.8,994700
2022-02-17,28.38,28.55,26.57,26.64,1161000
2022-02-18,26.36,26.783,24.88,25.19,1717900
2022-02-22,24.77,25.18,24.0,24.52,1399700
2022-02-23,24.71,25.35,24.12,24.22,1506900
2022-02-24,22.56,25.74,22.44,25.44,2403100
2022-02-25,25.71,26.52,24.885,26.38,1078700
2022-02-28,25.91,26.668,25.38,25.63,1557700
2022-03-01,25.42,25.655,23.22,23.35,2005900
2022-03-02,23.43,23.85,21.96,23.12,1846700
2022-03-03,23.24,23.24,19.25,19.48,6084500
2022-03-04,19.43,19.51,17.23,18.08,5249400
2022-03-07,18.049999,18.58,15.921,16.23,7859300
2022-03-08,16.44,17.131,15.41,16.66,11772900
2022-03-09,22.0,24.75,21.98,23.64,38247000
2022-03-10,22.93,25.34,22.78,23.24,11153400
2022-03-11,23.37,23.72,21.082001,21.63,6467700
2022-03-14,21.12,22.37,20.6,21.030001,5244100
2022-03-15,21.23,23.16,21.0,22.73,4918600
2022-03-16,23.29,25.84,23.059999,25.56,5177200
2022-03-17,25.08,29.13,24.97,29.0,5841300
2022-03-18,28.54,29.51,27.95,28.95,3823100
2022-03-21,29.08,29.84,28.22,28.94,2692800
2022-03-22,29.136,29.95,28.36,28.58,2784700
2022-03-23,28.07,29.75,27.651,28.31,2426200
2022-03-24,29.26,30.47,27.11,28.9,2754800
2022-03-25,28.74,29.09,27.68,28.17,1120200
2022-03-28,28.02,29.23,27.61,28.99,1335800
2022-03-29,29.39,30.33,28.76,29.08,2126400
2022-03-30,28.74,29.78,28.53,29.2,1475900
2022-03-31,29.15,29.7,28.7,28.98,1449500
2022-04-01,29.5,29.78,27.55,27.95,1654200
2022-04-04,28.5,30.22,28.36,29.53,1914400
2022-04-05,29.32,29.48,27.66,28.049999,1398100
2022-04-06,27.205,27.58,26.030001,27.17,1755700
2022-04-07,26.86,27.68,25.78,26.67,1880500
2022-04-08,26.3,26.73,25.697,25.78,1034000
2022-04-11,25.24,26.2,24.901,25.54,2246100
2022-04-12,26.47,26.679,25.02,25.39,1421500
2022-04-13,25.54,26.985,25.38,26.66,1332400
2022-04-14,26.76,26.87,25.82,25.91,1199800
2022-04-18,25.89,25.9,24.47,25.63,1206000
2022-04-19,25.56,27.93,25.485,27.19,1932100
2022-04-20,27.3,27.3,25.69,25.82,1939100
2022-04-21,26.56,27.18,24.19,24.37,1896800
2022-04-22,24.17,24.59,23.08,23.45,2187800
2022-04-25,23.1,24.94,22.78,24.59,2249400
2022-04-26,24.68,24.91,23.17,23.78,3042000
2022-04-27,23.397,24.32,22.81,23.22,1690000
2022-04-28,23.73,25.26,22.851,25.23,1879700
2022-04-29,24.98,25.58,23.92,23.99,1436000
2022-05-02,23.97,25.77,23.77,25.71,2548400
2022-05-03,25.48,26.0,24.040001,24.5,2326000
2022-05-04,24.11,25.51,22.08,25.46,2883900
2022-05-05,24.92,25.0,22.3,23.74,2577100
2022-05-06,23.36,23.36,21.168,21.91,3203800
2022-05-09,21.059999,21.55,19.435,19.66,2529800
2022-05-10,20.29,20.89,17.73,19.23,3536500
2022-05-11,18.77,19.935,17.62,17.63,4981900
2022-05-12,19.19,24.21,18.81,22.36,14575900
2022-05-13,22.75,26.11,22.74,25.54,6082600
2022-05-16,24.82,26.9,24.57,25.81,3430200
2022-05-17,26.11,27.58,25.79,27.54,2566800
2022-05-18,26.85,27.8,26.11,26.5,3118600
2022-05-19,26.25,29.1,26.25,28.32,2330400
2022-05-20,29.0,29.58,26.97,28.17,2355600
2022-05-23,28.15,28.39,26.72,27.54,1767600
2022-05-24,26.9,26.9,25.18,26.52,2144700
