DateTime,Open,High,Low,Close,Volume
2019-10-11,15.34,15.34,13.5,13.82,1364300
2019-10-14,13.83,13.91,12.525,12.75,899100
2019-10-15,12.99,13.0,12.53,12.92,484700
2019-10-16,13.2,13.88,12.61,12.94,524200
2019-10-17,13.24,13.48,12.675,13.0,413000
2019-10-18,13.3,14.25,13.3,14.14,231900
2019-10-21,14.94,16.28,14.82,16.28,290000
2019-10-22,17.05,20.64,17.05,20.64,407900
2019-10-23,21.95,21.99,16.79,17.64,476600
2019-10-24,18.73,20.0,17.11,18.85,269200
2019-10-25,18.5,18.5,16.75,17.57,231500
2019-10-28,17.08,18.18,16.46,16.46,253000
2019-10-29,16.92,17.285,16.63,17.0,136700
2019-10-30,17.0,17.19,16.43,16.79,94100
2019-10-31,16.8,16.82,16.39,16.82,63900
2019-11-01,16.8,16.8,16.12,16.52,82900
2019-11-04,17.05,19.68,17.05,18.97,206800
2019-11-05,20.39,20.39,18.23,18.48,97900
2019-11-06,18.39,18.66,17.03,17.38,88100
2019-11-07,17.36,18.58,17.36,18.42,47700
2019-11-08,18.35,19.14,18.35,18.87,78100
2019-11-11,19.36,19.98,19.04,19.74,148100
2019-11-12,19.5,19.71,17.07,17.64,228200
2019-11-13,17.8,18.92,17.8,18.55,55700
2019-11-14,18.86,19.37,18.647,19.0,61800
2019-11-15,19.1,19.8,19.02,19.24,65600
2019-11-18,19.15,20.5,19.15,19.7,120000
2019-11-19,19.64,20.69,19.5,20.33,99200
2019-11-20,20.0,21.67,19.98,20.35,160300
2019-11-21,20.8,22.0,18.6,19.68,190000
2019-11-22,20.0,21.98,20.0,21.33,89900
2019-11-25,22.55,23.4,20.38,20.75,188900
2019-11-26,21.03,21.45,20.49,21.36,89300
2019-11-27,21.92,21.98,21.165,21.88,29700
2019-11-29,22.0,23.215,21.85,21.98,57000
2019-12-02,22.66,23.13,21.09,21.87,106500
2019-12-03,22.05,23.15,20.72,20.77,88400
2019-12-04,21.49,22.96,21.05,21.37,146500
2019-12-05,21.75,22.67,21.35,22.49,129900
2019-12-06,22.85,24.47,22.66,24.37,251500
2019-12-09,25.0,29.97,25.0,29.0,393900
2019-12-10,29.0,29.49,27.28,28.0,180200
2019-12-11,28.7,31.3,28.65,31.3,205200
2019-12-12,32.7,34.0,28.98,29.84,380900
2019-12-13,32.15,32.85,30.7,32.45,232700
2019-12-16,38.44,38.75,34.66,35.0,622900
2019-12-17,36.51,36.918,34.82,36.91,261600
2019-12-18,35.48,35.82,33.12,35.0,146500
2019-12-19,33.87,33.87,27.728,29.34,250500
2019-12-20,31.81,34.97,31.81,34.97,447900
2019-12-23,34.91,35.9,33.1,34.73,103500
2019-12-24,34.61,34.61,33.01,33.47,23900
2019-12-26,33.29,34.0,31.591,33.2,53900
2019-12-27,32.61,33.58,32.02,32.58,38100
2019-12-30,33.0,34.91,33.0,34.91,33500
