DateTime,Open,High,Low,Close,Volume
2023-04-14,9.7,9.7,6.3,7.03,554703
2023-04-17,6.39,7.8299,6.39,6.9,202033
2023-04-18,6.62,7.7,6.2,6.7,241378
2023-04-19,6.68,7.1,6.24,6.41,80959
2023-04-20,6.2,6.32,5.7,6.15,194657
2023-04-21,5.87,7.48,5.87,6.68,181762
2023-04-24,6.6,7.4,6.6,6.92,55888
2023-04-25,6.78,7.22,6.6,6.92,66938
2023-04-26,6.95,8.16,6.95,7.705,83995
2023-04-27,7.41,7.79,7.24,7.6,27247
2023-04-28,7.65,7.78,7.14,7.5,85493
2023-05-01,7.35,7.6199,7.2,7.345,23906
2023-05-02,7.07,7.36,7.0,7.19,28389
2023-05-03,7.57,7.57,6.8,6.81,27522
2023-05-04,6.9,6.9,6.1,6.25,81024
2023-05-05,6.5,6.7,6.0,6.27,68429
2023-05-08,6.2,6.2,5.7,5.79,70648
2023-05-09,5.72,6.18,5.72,5.93,31719
2023-05-10,6.0416,6.43,6.0201,6.0641,11538
2023-05-11,6.0,6.0291,5.5,5.51,69623
2023-05-12,5.5982,6.12,5.51,5.62,65512
2023-05-15,5.69,5.84,5.3,5.55,49317
2023-05-16,5.35,5.665,5.2,5.46,26657
2023-05-17,5.31,5.64,5.26,5.42,16241
2023-05-18,5.42,5.4992,5.06,5.06,32228
2023-05-19,5.36,5.36,4.63,4.81,90759
2023-05-22,4.81,5.0858,4.75,4.87,15318
2023-05-23,5.0155,5.28,5.01,5.14,14840
2023-05-24,4.93,5.14,4.93,5.0,10609
2023-05-25,5.0,5.04,4.93,4.93,1937
2023-05-26,5.08,5.28,4.94,5.12,10696
2023-05-30,5.27,5.48,5.01,5.03,21820
2023-05-31,5.06,5.48,4.6,4.92,42362
2023-06-01,4.94,5.25,4.85,5.03,5878
2023-06-02,4.9001,5.26,4.85,4.85,10545
2023-06-05,5.12,5.16,4.75,4.83,183627
2023-06-06,4.65,5.17,4.65,5.17,56703
2023-06-07,5.1073,5.22,4.85,4.99,36986
2023-06-08,5.01,5.0703,4.88,5.01,9406
2023-06-09,5.0801,5.2399,5.04,5.05,19991
2023-06-12,5.11,6.5,5.09,6.24,225785
2023-06-13,6.02,7.48,5.83,7.4,344990
2023-06-14,7.4,7.52,7.2393,7.48,118050
2023-06-15,7.45,9.68,7.18,7.56,214441
2023-06-16,8.46,11.6,7.56,11.41,712299
2023-06-20,10.6,12.8499,9.9201,10.73,388415
2023-06-21,10.74,10.9999,10.5,10.88,107508
2023-06-22,10.53,11.73,10.5,11.41,95860
2023-06-23,11.51,11.793,11.0,11.37,33350
2023-06-26,11.3,11.3,10.79,11.0,33968
2023-06-27,10.85,10.85,10.2,10.54,117769
2023-06-28,10.39,10.8746,10.25,10.47,22948
2023-06-29,10.47,11.88,10.32,11.88,97814
2023-06-30,11.51,11.8,10.58,11.2,39066
2023-07-03,11.19,11.6539,10.52,11.49,12542
2023-07-05,11.34,12.0,11.34,11.79,20283
2023-07-06,11.65,12.73,11.5,12.49,25546
2023-07-07,12.06,12.65,12.022,12.64,35173
2023-07-10,12.51,14.09,12.17,13.2,84941
2023-07-11,13.06,13.2,11.0004,12.61,59231
2023-07-12,12.21,12.6,11.7726,11.9,49308
2023-07-13,12.06,13.74,12.06,13.74,63934
2023-07-14,13.74,14.3,13.17,14.01,193944
2023-07-17,14.1,14.5096,13.885,14.27,65208
2023-07-18,14.28,14.28,12.801,12.91,40736
2023-07-19,13.19,13.87,12.02,12.42,114119
2023-07-20,12.41,12.42,11.82,12.05,47984
2023-07-21,12.01,12.01,10.6,11.28,91796
2023-07-24,10.83,10.83,10.2,10.25,52235
2023-07-25,10.38,10.8,10.23,10.27,22642
2023-07-26,10.21,10.6016,10.2,10.2,14752
2023-07-27,10.3,10.71,10.2,10.2,42391
2023-07-28,10.27,10.4,10.2,10.2,41306
2023-07-31,10.2,10.48,10.2,10.42,35168
2023-08-01,10.25,10.4,10.2,10.2,65463
2023-08-02,10.2,10.3183,10.0,10.22,51763
2023-08-03,10.3664,10.3664,9.845,9.94,70706
2023-08-04,10.215,10.2174,9.16,9.16,26082
2023-08-07,9.21,10.11,9.21,9.5,38443
2023-08-08,9.25,9.4946,9.0084,9.28,41357
2023-08-09,9.18,10.328,9.18,9.76,11219
2023-08-10,9.65,10.0,9.15,9.29,17456
2023-08-11,9.5,13.9,9.21,12.58,622786
2023-08-14,12.18,13.49,11.91,11.96,98183
2023-08-15,11.97,13.88,11.842,13.51,40694
2023-08-16,12.25,14.47,12.25,14.31,123668
2023-08-17,14.0,14.6,13.31,13.73,80505
2023-08-18,12.9,13.85,12.78,13.29,100451
2023-08-21,13.09,13.88,13.09,13.76,36203
2023-08-22,13.89,13.95,13.44,13.89,64254
2023-08-23,12.5,14.22,12.5,13.82,113959
2023-08-24,14.03,14.13,13.38,13.62,71775
2023-08-25,13.51,14.0,13.34,14.0,82987
2023-08-28,13.85,14.04,12.5106,13.99,105635
2023-08-29,14.02,14.47,13.09,13.56,107456
2023-08-30,13.95,14.5,13.11,13.78,101560
2023-08-31,13.55,14.5,13.07,13.55,750698
2023-09-01,13.54,13.75,12.25,12.71,44252
2023-09-05,12.63,13.13,12.2,12.75,46116
2023-09-06,13.08,13.08,12.0,12.11,44178
2023-09-07,12.32,12.32,11.5001,11.6,31647
2023-09-08,11.68,11.7199,11.21,11.53,7958
2023-09-11,11.46,11.77,10.41,10.41,45662
2023-09-12,10.97,11.07,9.6,9.7,186335
2023-09-13,9.75,10.545,9.11,10.26,159526
2023-09-14,9.95,11.4,9.85,11.0,129450
2023-09-15,10.85,13.57,10.725,13.0,597601
2023-09-18,12.81,14.65,12.3,12.93,185564
2023-09-19,12.67,13.91,12.67,13.58,75626
2023-09-20,13.2,13.5,12.65,12.95,23831
2023-09-21,13.0,13.87,12.81,13.58,69270
2023-09-22,13.45,13.89,12.01,12.01,83191
2023-09-25,12.01,12.01,11.21,11.22,18417
2023-09-26,11.16,11.445,9.51,9.53,163145
2023-09-27,9.78,10.4,9.78,9.98,131916
2023-09-28,9.98,10.36,9.63,9.8,89076
2023-09-29,10.0,10.24,9.6,9.64,84441
2023-10-02,9.84,10.2,9.42,9.62,102357
2023-10-03,9.62,9.775,8.39,8.68,119410
2023-10-04,8.8,8.8,8.33,8.505,78449
2023-10-05,8.4,8.62,7.66,8.0,66202
