DateTime,Open,High,Low,Close,Volume
2025-01-02,1.7,1.805,1.645,1.73,2124400
2025-01-03,1.7,1.8,1.69,1.78,1324300
2025-01-06,1.81,1.895,1.78,1.81,1795900
2025-01-07,1.82,1.835,1.73,1.74,1441900
2025-01-08,1.7,1.72,1.625,1.63,1629100
2025-01-10,1.65,1.65,1.57,1.6,1558100
2025-01-13,1.57,1.57,1.44,1.44,1351400
2025-01-14,1.48,1.53,1.44,1.46,688300
2025-01-15,1.54,1.589,1.47,1.56,1761200
2025-01-16,1.57,1.63,1.56,1.61,1136900
2025-01-17,1.65,1.67,1.59,1.61,812600
2025-01-21,1.62,1.629,1.53,1.56,890200
2025-01-22,1.56,1.58,1.5,1.51,627300
2025-01-23,1.5,1.56,1.5,1.53,774900
2025-01-24,1.52,1.57,1.45,1.46,787200
2025-01-27,1.44,1.44,1.26,1.3,1418200
2025-01-28,1.33,1.35,1.26,1.31,674100
2025-01-29,1.31,1.338,1.24,1.24,943600
2025-01-30,1.32,1.41,1.27,1.35,1082100
2025-01-31,1.35,1.43,1.35,1.36,647700
2025-02-03,1.27,1.39,1.27,1.34,657900
2025-02-04,1.34,1.39,1.31,1.39,467200
2025-02-05,1.4,1.5,1.37,1.44,1011900
2025-02-06,1.49,1.53,1.45,1.46,817600
2025-02-07,1.47,1.47,1.375,1.4,557700
2025-02-10,1.42,1.42,1.35,1.39,503700
2025-02-11,1.37,1.4,1.35,1.36,458400
2025-02-12,1.32,1.395,1.3,1.39,648400
2025-02-13,1.4,1.44,1.36,1.43,788500
2025-02-14,1.45,1.45,1.28,1.29,1016400
2025-02-18,1.33,1.34,1.28,1.31,679900
2025-02-19,1.3,1.32,1.26,1.28,669200
2025-02-20,1.3,1.3,1.15,1.2,1702900
2025-02-21,1.19,1.21,1.14,1.15,665600
2025-02-24,1.15,1.15,1.06,1.09,988400
2025-02-25,1.1,1.11,1.021,1.09,877200
2025-02-26,1.1,1.11,1.055,1.1,703300
2025-02-27,1.1,1.15,1.07,1.07,882200
2025-02-28,1.07,1.12,1.03,1.08,1129800
2025-03-03,1.09,1.098,1.0,1.03,962400
2025-03-04,1.03,1.04,0.97000003,1.0,1161200
2025-03-05,1.02,1.065,1.0,1.05,661500
2025-03-06,1.05,1.06,1.01,1.02,705800
2025-03-07,1.02,1.1,1.01,1.09,981300
2025-03-10,1.07,1.08,1.0,1.0,847800
