DateTime,Open,High,Low,Close,Volume
2015-05-22,10.8,11.22,10.5,11.08,2806600
2015-05-26,11.4,13.7,11.2,12.78,4898900
2015-05-27,13.58,14.77,12.05,12.24,4104300
2015-05-28,11.84,12.39,11.4,11.88,1768000
2015-05-29,12.06,12.45,11.88,12.22,831000
2015-06-01,12.39,13.09,11.37,11.49,1686600
2015-06-02,11.82,11.89,11.12,11.34,818500
2015-06-03,11.17,11.39,10.88,10.91,1128200
2015-06-04,10.65,11.34,10.61,10.76,1058400
2015-06-05,10.78,11.2,10.709,10.96,791100
2015-06-08,11.24,12.09,11.05,11.85,1392900
2015-06-09,11.85,11.87,11.25,11.37,477400
2015-06-10,11.31,11.74,11.31,11.59,385900
2015-06-11,11.65,11.99,11.6,11.85,623400
2015-06-12,11.7,12.7,11.51,12.48,1344600
2015-06-15,12.2,12.47,11.7,11.84,1092100
2015-06-16,11.66,12.0,11.4,11.93,562300
2015-06-17,11.97,12.35,11.78,11.89,790600
2015-06-18,12.4,12.5,11.86,12.09,1439000
2015-06-19,11.99,12.05,11.65,11.77,601500
2015-06-22,11.82,11.84,11.5,11.62,568900
2015-06-23,11.56,11.82,11.4,11.75,567400
2015-06-24,11.75,12.05,11.53,11.71,1070700
2015-06-25,11.69,11.69,11.31,11.44,473900
2015-06-26,11.2,11.39,10.32,11.06,906700
2015-06-29,10.52,10.8,9.95,10.12,1113000
2015-06-30,10.48,10.8,10.4,10.77,464000
2015-07-01,10.6,10.6,10.299,10.31,393400
2015-07-02,10.27,10.5,10.05,10.23,374400
2015-07-06,9.99,10.0,9.54,9.55,553700
2015-07-07,9.37,9.55,7.05,7.425,3467800
2015-07-08,6.66,7.565,6.65,7.16,1172000
2015-07-09,8.1,8.45,8.01,8.13,1115500
2015-07-10,8.84,8.94,8.15,8.33,693000
2015-07-13,8.35,8.59,8.15,8.15,453900
2015-07-14,8.1,8.16,7.8,8.09,397200
2015-07-15,7.99,8.04,7.67,7.67,409800
2015-07-16,7.7,7.85,7.46,7.47,397600
2015-07-17,7.55,7.74,7.53,7.67,318200
2015-07-20,7.67,7.719,7.3,7.36,480500
2015-07-21,7.51,7.79,7.4,7.75,224900
2015-07-22,7.9,9.0,7.9,8.97,1261500
2015-07-23,9.0,9.44,8.65,8.68,587500
2015-07-24,8.72,8.81,7.92,8.13,759000
2015-07-27,7.6,8.819,7.47,8.79,889700
2015-07-28,8.78,8.78,8.26,8.37,626100
2015-07-29,8.42,8.698,8.26,8.53,393700
2015-07-30,8.48,8.48,8.19,8.35,326300
2015-07-31,8.41,8.51,8.31,8.31,213000
2015-08-03,8.26,8.62,8.17,8.38,273700
2015-08-04,8.35,8.52,8.3,8.4,139000
2015-08-05,8.31,8.65,8.31,8.41,231800
2015-08-06,8.5,8.5,8.13,8.19,144900
2015-08-07,8.27,8.5,8.21,8.28,156600
2015-08-10,8.38,8.64,8.28,8.55,243300
2015-08-11,8.5,8.6,8.2,8.24,645600
2015-08-12,7.65,8.1,7.48,8.09,357200
2015-08-13,8.04,8.07,7.61,7.7,253300
2015-08-14,7.74,8.0,7.57,7.73,176200
2015-08-17,7.69,7.83,7.67,7.74,64300
2015-08-18,7.7,7.92,7.57,7.87,267200
2015-08-19,8.49,8.49,6.88,6.9,1680600
2015-08-20,6.88,6.88,6.01,6.02,925400
2015-08-21,5.96,5.96,5.545,5.65,636500
2015-08-24,4.0,5.19,4.0,4.69,1028300
2015-08-25,5.1,5.18,4.51,4.66,942600
2015-08-26,4.7,4.8,4.4,4.69,369200
2015-08-27,4.79,5.18,4.79,5.18,599300
2015-08-28,5.11,5.56,5.06,5.28,441800
2015-08-31,5.21,5.296,5.06,5.12,203800
2015-09-01,4.95,5.13,4.8,4.89,202300
2015-09-02,4.94,4.99,4.84,4.94,104100
2015-09-03,4.99,5.61,4.9,5.28,613300
2015-09-04,5.18,5.37,5.02,5.15,245300
2015-09-08,5.3,5.38,5.3,5.34,143700
2015-09-09,5.46,5.49,5.03,5.1,252400
2015-09-10,5.1,5.22,5.0,5.11,76900
2015-09-11,5.05,5.12,5.03,5.09,86900
2015-09-14,5.08,5.21,4.95,4.99,54800
2015-09-15,4.99,5.1,4.97,5.08,293200
2015-09-16,5.13,5.3,5.08,5.29,172000
2015-09-17,5.34,5.45,5.2,5.35,145400
2015-09-18,5.26,5.45,5.26,5.43,110000
2015-09-21,5.46,5.46,5.1,5.15,110500
2015-09-22,5.05,5.39,5.0,5.19,129300
2015-09-23,5.2,5.245,4.92,4.96,128000
2015-09-24,4.9,5.11,4.85,5.11,121300
2015-09-25,5.16,5.17,4.92,5.03,103000
2015-09-28,4.96,5.16,4.75,4.8,183300
2015-09-29,4.8,4.9,4.7,4.8,104300
2015-09-30,4.85,5.12,4.72,4.82,122200
2015-10-01,4.76,4.922,4.55,4.64,118800
2015-10-02,4.58,5.29,4.5,5.25,626800
2015-10-05,5.31,5.36,5.15,5.22,202200
