DateTime,Open,High,Low,Close,Volume
2013-07-08,32.45,32.69,31.81,31.92,1191300
2013-07-09,32.19,32.29,31.66,31.69,1151200
2013-07-10,31.57,32.33,31.33,32.3,1285900
2013-07-11,33.040001,33.3,32.19,32.56,1175300
2013-07-12,32.34,32.84,32.13,32.76,1288500
2013-07-15,33.0099983,33.09,32.099998,32.22,959000
2013-07-16,32.12,32.22,30.38,31.21,3023600
2013-07-17,31.48,32.48,31.28,32.13,2068600
2013-07-18,32.18,32.82,32.11,32.47,801100
2013-07-19,32.28,32.51,32.060001,32.22,560600
2013-07-22,32.61,32.61,31.55,31.65,1286200
2013-07-23,31.89,32.51,31.62,31.81,1173900
2013-07-24,31.93,32.11,30.8,30.99,1067000
2013-07-25,30.99,31.1,30.6,30.8,1464900
2013-07-26,30.58,30.88,29.78,30.86,2135400
2013-07-29,30.41,30.65,29.86,30.44,2011900
2013-07-30,30.61,31.059999,30.5,30.59,803900
2013-07-31,30.85,31.9,30.71,31.64,1535800
2013-08-01,31.9,32.22,31.38,32.18,1993700
2013-08-02,32.040001,32.099998,31.41,31.85,1007200
2013-08-05,31.76,32.02,31.15,31.42,1089000
2013-08-06,31.42,31.7,30.21,30.78,1728300
2013-08-07,29.5,30.14,27.91,29.3,5932900
2013-08-08,29.37,29.69,28.58,29.26,2959500
2013-08-09,29.3,29.54,28.56,28.64,1716300
2013-08-12,28.33,28.74,28.3,28.62,1217500
2013-08-13,28.8,28.94,27.85,28.72,1779700
2013-08-14,28.75,29.33,28.56,28.9,1360700
2013-08-15,28.81,28.85,28.11,28.67,1731800
2013-08-16,28.63,28.84,28.23,28.5,944800
2013-08-19,28.34,28.58,27.78,27.93,952100
2013-08-20,28.0,28.78,27.66,28.67,891600
2013-08-21,28.6,28.62,27.99,28.18,886000
2013-08-22,28.19,29.059999,28.19,28.77,593800
2013-08-23,28.97,28.97,28.48,28.81,554700
2013-08-26,28.84,29.25,28.5,28.57,678000
2013-08-27,28.18,28.28,27.19,27.27,1434300
2013-08-28,27.13,27.55,26.92,27.36,1201300
2013-08-29,27.3,28.049999,27.29,27.3,1024600
2013-08-30,27.45,27.59,26.57,26.77,756900
2013-09-03,27.23,27.68,27.02,27.58,1713100
2013-09-04,27.54,27.9,27.32,27.69,1233700
2013-09-05,27.71,28.31,27.71,28.0,888100
2013-09-06,28.13,28.14,27.36,27.76,808900
2013-09-09,27.84,28.63,27.79,28.23,1931500
2013-09-10,28.37,29.27,28.37,29.14,1484700
2013-09-11,29.1,30.24,29.1,29.63,1690200
2013-09-12,29.67,29.78,29.24,29.68,1013100
2013-09-13,29.7,30.049999,29.52,30.01,872500
2013-09-16,30.5,30.67,30.23,30.54,1263100
2013-09-17,30.46,30.71,30.09,30.63,975500
2013-09-18,30.47,30.65,29.7,30.07,1627400
2013-09-19,30.07,30.33,29.45,29.87,1444000
2013-09-20,29.83,29.88,29.16,29.42,1783000
2013-09-23,29.43,29.65,28.97,29.35,1177100
2013-09-24,29.35,30.41,29.1,30.02,1597600
2013-09-25,30.1,30.69,29.85,30.1,977600
2013-09-26,28.35,29.83,27.27,28.040001,9146200
2013-09-27,27.46,28.71,26.82,28.53,4616200
2013-09-30,28.12,29.21,27.9,28.83,3204800
2013-10-01,28.72,29.32,27.99,28.32,2793400
2013-10-02,27.79,29.48,27.77,29.43,2415900
2013-10-03,29.31,29.7,28.35,29.45,2853500
2013-10-04,29.5,30.45,29.4,30.42,1789300
2013-10-07,30.02,30.5,29.52,29.52,2342400
2013-10-08,29.54,29.76,28.1,28.27,2438000
2013-10-09,28.65,28.89,28.14,28.21,2454800
2013-10-10,28.72,29.3,28.52,29.02,994600
2013-10-11,28.88,29.78,28.88,29.63,1256400
2013-10-14,29.33,29.64,29.01,29.4,1231000
2013-10-15,29.27,29.48,28.73,28.96,1167100
2013-10-16,29.21,29.7,29.12,29.46,1021600
2013-10-17,29.31,29.75,28.92,29.61,1522800
2013-10-18,29.75,30.0,29.38,29.67,1181900
2013-10-21,28.68,29.9,28.68,29.75,1137200
2013-10-22,30.049999,30.29,29.56,29.6,1474500
2013-10-23,29.24,29.63,29.09,29.35,891900
2013-10-24,29.38,30.25,29.37,30.059999,1112600
2013-10-25,30.13,30.34,29.62,29.77,636000
2013-10-28,29.69,29.87,29.23,29.4,1586900
2013-10-29,29.5,29.75,28.55,29.01,3134300
2013-10-30,28.89,29.4,28.49,28.7,2176700
2013-10-31,30.049999,31.98,28.88,31.33,3939900
2013-11-01,31.42,32.09,30.96,31.13,1753500
2013-11-04,31.09,32.14,31.09,32.049999,1768300
2013-11-05,31.94,32.53,30.15,31.059999,4533700
2013-11-06,31.19,31.54,30.53,31.24,1445200
2013-11-07,31.26,31.5,30.55,30.93,1480300
2013-11-08,31.01,32.32,30.92,32.19,2290700
2013-11-11,32.16,32.72,31.78,32.71,1130300
2013-11-12,32.7,33.5,32.7,33.17,2381200
2013-11-13,33.0,33.88,32.81,33.82,1520800
2013-11-14,33.88,34.76,33.83,34.7,1490700
2013-11-15,34.78,35.35,34.71,34.97,2612000
2013-11-18,34.62,35.26,34.61,34.83,2012200
2013-11-19,34.76,34.99,34.54,34.68,1335100
2013-11-20,34.73,35.37,34.45,34.61,1367800
2013-11-21,34.9,35.85,34.73,35.57,1153800
2013-11-22,35.63,36.27,35.51,36.11,1105300
2013-11-25,36.099998,36.77,35.95,36.59,1345300
2013-11-26,36.6,37.040001,36.23,36.29,1742400
2013-11-27,36.14,36.98,36.11,36.67,978000
2013-11-29,36.73,37.26,36.49,36.86,446200
2013-12-02,36.86,37.48,36.69,37.099998,1358000
2013-12-03,37.029999,37.75,35.95,36.15,1681500
2013-12-04,35.96,36.44,35.63,36.07,1001300
2013-12-05,35.86,36.72,35.85,35.98,1120200
2013-12-06,36.3,36.8,36.2,36.63,1033600
2013-12-09,36.35,37.19,36.22,37.16,957100
2013-12-10,37.26,38.0,36.96,36.98,1436500
2013-12-11,36.86,37.09,35.97,36.13,1958800
2013-12-12,36.12,36.63,35.84,35.88,1519900
2013-12-13,35.97,36.58,35.87,36.13,1001400
2013-12-16,36.27,37.27,36.25,37.25,1074300
2013-12-17,37.49,37.49,36.46,36.69,999900
2013-12-18,36.86,37.92,36.34,37.52,1565100
2013-12-19,37.5,38.2,37.34,37.35,1377100
2013-12-20,37.56,38.47,37.33,38.11,1585700
2013-12-23,38.3,38.87,38.19,38.54,956300
2013-12-24,38.65,38.85,38.17,38.39,324900
2013-12-26,38.5,39.89,38.45,39.5,1860000
2013-12-27,39.31,39.5,39.17,39.4,1306900
2013-12-30,39.33,39.75,39.2,39.51,1144800
2013-12-31,39.82,40.72,39.61,40.42,1689900
2014-01-02,40.21,40.53,39.87,40.45,2074300
2014-01-03,40.57,41.49,40.44,40.53,1873900
2014-01-06,40.74,40.92,39.95,40.049999,1799400
2014-01-07,40.26,40.48,39.61,39.81,1383300
2014-01-08,39.81,40.28,39.54,40.099998,1006800
2014-01-09,40.15,40.57,39.65,40.3,956400
2014-01-10,40.4,40.74,40.14,40.54,951500
2014-01-13,40.48,40.78,39.6,39.74,979700
2014-01-14,39.96,40.7,39.67,40.68,1078300
2014-01-15,40.71,41.91,40.68,41.71,2386900
2014-01-16,42.11,42.48,41.32,41.52,1514000
2014-01-17,41.4,41.66,40.85,40.96,2930700
2014-01-21,41.38,41.55,40.22,40.75,1594000
2014-01-22,40.74,41.25,40.6,41.15,1917700
2014-01-23,40.95,40.95,39.95,40.07,1457500
2014-01-24,39.8,39.87,38.09,38.6,2301100
2014-01-27,38.6,39.8,36.68,38.11,1913700
2014-01-28,37.56,38.76,37.56,38.35,1567600
2014-01-29,37.84,38.15,37.38,37.49,1235100
2014-01-30,38.0099983,38.68,37.74,38.27,1791500
2014-01-31,37.92,38.17,37.34,37.71,1197400
2014-02-03,37.53,37.6,35.56,35.92,2936500
2014-02-04,36.29,38.15,36.2,37.81,3560000
2014-02-05,37.53,37.76,36.41,37.63,2392200
2014-02-06,37.68,39.19,37.68,38.82,1973300
2014-02-07,39.12,39.51,38.4,38.95,1453900
2014-02-10,39.07,39.35,38.49,39.25,1593900
2014-02-11,39.3,39.63,38.32,39.31,1961100
2014-02-12,39.32,39.85,38.57,38.68,2555300
2014-02-13,38.44,38.83,37.92,38.67,2279800
2014-02-14,38.73,38.91,38.040001,38.75,1889000
2014-02-18,38.97,39.46,38.71,38.92,1533600
2014-02-19,38.71,40.19,38.7,40.0,6827300
2014-02-20,40.099998,44.64,40.0099983,43.61,6090700
2014-02-21,43.99,44.89,43.83,44.88,3656700
2014-02-24,45.16,47.080002,44.88,46.049999,4223500
2014-02-25,45.94,47.57,45.94,46.64,3378600
2014-02-26,46.63,46.93,46.12,46.75,1948700
2014-02-27,46.75,47.94,46.55,47.89,1298900
2014-02-28,48.049999,48.75,46.56,46.99,2231500
2014-03-03,46.049999,46.96,45.84,46.84,1922600
2014-03-04,47.52,48.52,47.21,48.39,1481500
2014-03-05,48.34,48.97,48.13,48.77,1171100
2014-03-06,49.0099983,50.0,48.64,48.66,1463300
2014-03-07,48.94,49.39,48.17,48.34,1251000
2014-03-10,48.24,48.36,47.36,48.31,1214400
2014-03-11,48.46,48.79,46.46,47.07,1812700
2014-03-12,46.63,47.21,45.96,46.33,1897000
2014-03-13,46.43,46.76,44.84,45.31,2104300
2014-03-14,45.3,46.55,45.15,46.13,1888600
2014-03-17,46.57,47.18,45.74,46.92,2564700
2014-03-18,46.56,48.57,46.11,48.34,1767100
2014-03-19,48.38,48.92,48.07,48.31,1206300
2014-03-20,48.26,48.8,47.57,48.72,938400
2014-03-21,48.55,50.48,48.11,49.11,7428700
2014-03-24,49.35,49.68,47.22,47.75,1702100
2014-03-25,48.13,48.5,46.9,47.099998,1207100
2014-03-26,48.47,48.47,46.41,46.89,1756100
2014-03-27,46.79,47.57,45.93,46.22,1734100
2014-03-28,46.26,47.13,46.029999,46.78,1059000
2014-03-31,47.16,49.56,47.16,48.7,1455800
2014-04-01,48.85,49.79,48.74,49.76,989500
2014-04-02,49.81,51.47,49.22,51.4,1958200
2014-04-03,51.55,52.19,51.11,51.36,1807700
2014-04-04,51.82,52.24,50.35,50.63,1412400
2014-04-07,50.4,50.48,46.53,47.5,4171900
2014-04-08,47.64,50.07,47.37,49.63,2860700
2014-04-09,49.86,51.02,48.82,50.93,2050000
2014-04-10,51.09,51.099998,48.69,49.14,1392400
2014-04-11,48.31,49.22,47.55,48.040001,2070700
2014-04-14,48.71,48.8,47.36,48.07,1518300
2014-04-15,48.34,49.83,47.82,49.63,2324600
2014-04-16,50.07,52.31,49.9,51.97,2110800
2014-04-17,52.0,56.049999,51.93,52.53,3109900
2014-04-21,52.26,53.51,52.02,53.18,1201400
2014-04-22,53.31,54.12,53.099998,54.0,1520200
2014-04-23,54.26,54.71,53.46,53.76,1621600
2014-04-24,54.46,54.61,52.87,54.22,1218800
2014-04-25,53.95,54.080002,52.76,53.18,1480600
2014-04-28,53.49,53.85,51.3,52.44,2362600
2014-04-29,52.85,53.11,51.66,52.72,1482500
2014-04-30,52.56,52.87,51.9,52.59,1312700
2014-05-01,52.62,53.38,52.39,53.36,1749000
2014-05-02,54.11,54.78,53.33,53.69,2874700
2014-05-05,53.32,55.0099983,52.46,54.23,1780300
2014-05-06,53.83,55.040001,53.49,53.88,1823700
2014-05-07,54.3,54.7,52.77,54.029999,1880800
2014-05-08,55.099998,56.25,51.47,51.79,2787400
2014-05-09,52.07,52.76,51.34,51.87,2098600
2014-05-12,52.25,53.71,51.87,53.46,1763600
2014-05-13,53.68,55.12,53.51,55.049999,2026700
2014-05-14,54.8,55.56,54.24,55.43,1820400
2014-05-15,55.4,55.65,54.049999,55.07,1977100
2014-05-16,54.91,55.36,54.12,55.16,1108600
2014-05-19,55.43,56.37,55.029999,56.099998,1538000
2014-05-20,55.28,55.99,54.83,55.57,1515600
2014-05-21,55.48,55.69,54.68,55.18,1436500
2014-05-22,54.89,56.07,54.81,55.66,1418100
2014-05-23,55.89,56.61,55.62,56.099998,1325000
2014-05-27,56.7,57.58,56.31,57.19,2210200
2014-05-28,57.15,57.28,55.97,56.96,2588400
2014-05-29,57.22,57.45,56.4,56.99,1576500
2014-05-30,56.98,57.28,56.43,57.23,1129100
2014-06-02,57.060001,58.0,56.21,57.96,1427000
2014-06-03,58.0,58.3,56.96,57.28,985100
2014-06-04,57.2,58.0099983,57.16,57.8,886400
2014-06-05,58.0099983,59.7,57.5,58.71,1472300
2014-06-06,58.29,60.43,58.13,60.049999,2326600
2014-06-09,60.099998,60.23,59.09,59.33,1770100
2014-06-10,59.49,59.92,58.56,59.92,929500
2014-06-11,59.48,59.7,58.32,58.35,1163000
2014-06-12,58.26,58.35,56.31,56.79,1621800
2014-06-13,56.35,57.4,56.34,56.79,2374500
2014-06-16,56.8,57.29,56.43,57.18,1621800
2014-06-17,57.34,57.72,56.9,57.4,734000
2014-06-18,57.39,58.82,57.25,58.54,1749500
2014-06-19,58.58,59.53,58.24,58.81,1163100
2014-06-20,58.77,59.02,58.28,58.4,1114400
2014-06-23,58.51,58.69,57.15,57.71,1085000
2014-06-24,57.71,58.0,56.51,56.75,1008300
2014-06-25,56.63,58.0,56.51,57.96,1089500
2014-06-26,57.82,58.82,57.65,58.68,1021300
2014-06-27,58.29,59.32,58.27,59.040001,1314000
2014-06-30,59.17,59.83,58.97,59.69,1506900
2014-07-01,59.71,61.29,59.7,60.51,1545200
2014-07-02,60.54,61.47,60.54,60.95,909800
2014-07-03,61.19,61.95,61.19,61.73,639600
2014-07-07,61.099998,61.49,60.2,60.5,689400
2014-07-08,60.44,60.5,59.049999,59.099998,1227900
2014-07-09,59.36,59.93,58.81,59.74,1225900
2014-07-10,59.31,60.27,58.32,59.83,823400
2014-07-11,59.77,60.6,59.53,60.26,553700
2014-07-14,60.74,60.94,60.16,60.19,573900
2014-07-15,60.049999,60.71,59.76,59.95,510100
2014-07-16,60.41,60.5,59.82,60.12,3406700
2014-07-17,59.97,60.27,58.15,58.34,941700
2014-07-18,58.81,59.71,58.67,59.49,732700
2014-07-21,59.28,59.7,59.060001,59.43,753400
2014-07-22,59.75,60.57,59.5,59.99,745800
2014-07-23,60.28,60.31,59.86,60.19,520600
2014-07-24,60.63,60.76,59.86,60.0,540800
2014-07-25,59.72,59.99,58.96,59.14,542100
2014-07-28,59.37,59.4,57.9,57.97,687700
2014-07-29,58.29,58.97,57.42,57.47,695500
