DateTime,Open,High,Low,Close,Volume
2023-06-15,42.0,47.89,40.0,43.78,16751824
2023-06-16,44.87,46.68,36.4501,38.15,8417538
2023-06-20,38.0,39.48,37.5649,38.43,1607220
2023-06-21,38.43,39.2,37.9,38.34,738611
2023-06-22,38.0,40.14,37.59,39.16,2365572
2023-06-23,39.0,40.81,38.7,40.15,1118775
2023-06-26,40.65,43.23,40.25,42.59,1630269
2023-06-27,42.87,46.1399,42.6115,45.55,1797496
2023-06-28,45.55,45.55,41.23,42.21,1875014
2023-06-29,42.69,44.2,42.6292,43.53,942627
2023-06-30,43.7,44.5,40.29,40.95,1936006
2023-07-03,41.0,41.0645,38.45,39.48,1574538
2023-07-05,38.97,39.43,37.07,38.04,1650300
2023-07-06,37.43,40.4,37.26,39.2,1304700
2023-07-07,39.52,41.6,38.75,39.62,915600
2023-07-10,40.51,44.1,40.51,44.0,2520200
2023-07-11,45.8,47.0,43.37,45.45,3043900
2023-07-12,47.44,52.25,46.215,52.01,4386000
2023-07-13,54.22,54.86,46.82,47.68,5134300
2023-07-14,47.2,49.24,45.855,47.67,2041700
2023-07-17,47.67,49.71,46.54,47.62,1262000
2023-07-18,47.62,51.49,47.25,51.02,1908200
2023-07-19,51.84,51.94,47.89,48.52,1813900
2023-07-20,48.22,50.43,48.22,49.56,1191300
2023-07-21,49.75,49.75,47.65,48.78,864200
2023-07-24,49.33,53.326,49.1,53.28,2097100
2023-07-25,53.23,53.45,51.06,51.85,1687200
2023-07-26,51.8,52.5,50.25,51.63,898300
2023-07-27,51.69,53.249,49.6,49.88,1323700
2023-07-28,50.525,53.1,50.25,52.91,843600
2023-07-31,53.67,57.29,53.11,57.11,2364200
2023-08-01,56.39,57.74,54.5,56.99,952800
2023-08-02,56.0,58.1,54.15,55.32,1471900
2023-08-03,55.38,57.16,54.77,55.68,712200
2023-08-04,56.55,56.81,52.82,53.44,925000
2023-08-07,53.68,54.22,52.06,52.96,621100
2023-08-08,52.2,52.2,49.715,50.51,1081800
2023-08-09,50.51,50.84,47.51,48.06,964300
2023-08-10,48.2,50.72,47.87,48.09,872200
2023-08-11,47.75,49.2,47.71,48.48,621700
2023-08-14,48.58,48.877,46.62,47.85,966800
2023-08-15,47.08,48.467,45.85,46.39,2356600
2023-08-16,49.5,51.16,44.57,46.93,8425400
2023-08-17,47.25,47.39,42.15,42.37,3611600
2023-08-18,42.0,43.98,40.89,43.11,1936900
2023-08-21,42.95,43.78,41.64,41.69,1215300
2023-08-22,41.75,42.88,40.61,42.75,1159700
2023-08-23,42.5,45.63,42.3,44.84,2098600
2023-08-24,44.8,44.88,41.82,42.65,1345400
2023-08-25,43.11,43.44,41.58,41.62,1044500
2023-08-28,41.62,43.2,41.4,41.93,1016500
2023-08-29,41.76,44.97,41.6,44.6,2244200
2023-08-30,44.5,46.1,43.55,45.5,1273900
2023-08-31,45.71,45.933,44.13,44.41,945100
2023-09-01,44.95,45.37,43.485,43.82,569500
2023-09-05,43.3,43.816,41.93,42.15,1457500
2023-09-06,42.06,43.177,41.7,42.53,801000
2023-09-07,41.9,41.9,40.32,41.01,1653500
2023-09-08,40.96,41.45,39.02,39.18,1378100
2023-09-11,39.37,39.58,37.43,37.56,1917000
2023-09-12,36.94,37.24,35.87,35.99,4154700
2023-09-13,35.5,37.09,34.88,35.64,2056100
2023-09-14,36.0,36.7,35.0,36.06,1347500
2023-09-15,35.73,35.955,34.42,35.42,4204100
2023-09-18,35.0,35.42,34.13,34.36,1085300
2023-09-19,34.09,34.258,32.2,33.3,2132500
2023-09-20,33.32,33.888,31.68,31.73,1267600
2023-09-21,31.08,31.7,30.39,30.39,2077500
2023-09-22,30.56,31.36,30.39,30.89,1046900
2023-09-25,30.88,32.68,30.65,32.42,1877700
2023-09-26,31.96,33.5,31.735,32.29,1501400
2023-09-27,32.19,32.63,31.37,31.42,1227800
2023-09-28,31.39,31.69,29.917,31.19,1408400
2023-09-29,31.64,32.206,30.11,30.63,1153200
2023-10-02,30.4,31.1,29.77,31.0,1179900
2023-10-03,30.71,30.738,29.3,29.98,1179500
2023-10-04,30.0,31.27,29.05,31.26,1298400
2023-10-05,31.03,31.694,30.01,30.63,1337300
2023-10-06,30.63,32.15,30.09,31.61,1655600
2023-10-09,30.75,31.67,30.54,31.41,1003900
2023-10-10,31.75,32.62,30.94,32.08,1212200
2023-10-11,33.5,34.55,31.58,32.55,2612600
2023-10-12,32.5,32.5,31.22,31.51,1416300
2023-10-13,31.39,33.28,31.39,33.14,1517500
2023-10-16,33.3,34.44,32.34,33.98,1035200
2023-10-17,33.91,35.2,33.34,35.06,1233300
2023-10-18,35.01,35.36,33.38,33.78,870200
2023-10-19,34.0,34.37,33.22,33.62,903200
2023-10-20,33.22,33.52,31.87,33.0,952900
2023-10-23,32.94,34.13,32.17,33.25,617900
2023-10-24,33.87,34.09,33.26,33.9,1058100
2023-10-25,34.04,34.1,32.07,32.19,771400
2023-10-26,32.39,32.79,30.7,31.14,1032000
2023-10-27,31.38,32.23,31.27,31.63,480600
2023-10-30,31.98,32.55,30.3,31.08,1124000
2023-10-31,31.94,32.48,30.51,31.59,593800
2023-11-01,31.64,32.13,31.07,31.95,676300
2023-11-02,33.47,34.23,33.19,34.05,1097600
2023-11-03,34.75,36.39,34.2,35.92,1420600
2023-11-06,37.15,37.644,33.39,34.18,1389600
2023-11-07,34.05,35.235,33.23,33.7,2368100
2023-11-08,34.1,34.1,30.3,31.1,5171200
2023-11-09,31.43,31.94,30.805,31.53,1836100
2023-11-10,31.6,31.6,29.66,31.07,1738600
2023-11-13,30.999,31.51,30.0,31.36,1279000
2023-11-14,32.33,32.68,31.41,32.17,1478700
2023-11-15,32.66,34.26,32.48,33.83,1543900
2023-11-16,33.72,34.92,33.38,34.28,1172100
2023-11-17,34.42,34.42,32.91,34.12,1244700
2023-11-20,33.79,34.95,33.37,33.88,1256400
2023-11-21,33.82,34.91,33.325,33.41,1194900
2023-11-22,34.89,34.89,32.33,33.38,1597900
2023-11-24,32.84,34.8,32.81,34.27,832900
2023-11-27,34.0,35.75,33.475,33.59,1642500
2023-11-28,33.59,34.1,33.35,33.59,1009300
2023-11-29,33.83,34.61,33.44,34.0,1576900
2023-11-30,34.76,35.43,33.69,34.01,1593300
2023-12-01,33.58,36.62,33.5,36.22,1480600
2023-12-04,36.14,37.072,35.05,36.14,1386900
2023-12-05,35.8,36.28,35.69,36.06,779400
2023-12-06,36.56,37.48,35.81,36.37,1171100
2023-12-07,36.35,36.398,33.28,33.34,1814800
2023-12-08,33.0,33.69,31.78,32.24,2673600
2023-12-11,32.14,32.75,31.47,32.49,2440100
2023-12-12,33.8,39.0,33.32,38.87,17866500
2023-12-13,38.9,41.55,36.685,41.25,8786900
2023-12-14,41.7,41.99,39.88,40.62,2822300
2023-12-15,40.67,40.69,39.33,40.04,2096200
2023-12-18,39.5,43.18,39.15,41.49,3138600
2023-12-19,41.99,43.27,40.94,40.96,2597300
2023-12-20,40.9,42.49,40.51,41.1,2080600
2023-12-21,42.35,43.379,41.83,42.76,3291600
2023-12-22,43.0,43.25,41.72,41.92,1268300
2023-12-26,42.17,44.78,42.0,43.8,2511100
2023-12-27,44.39,44.86,43.21,44.44,1811000
2023-12-28,44.45,44.89,44.0,44.63,1266300
2023-12-29,44.54,45.08,42.85,42.98,1353300
2024-01-02,42.43,42.84,40.87,40.87,2352700
2024-01-03,40.23,40.72,39.05,39.47,2616700
2024-01-04,39.25,41.129,39.12,40.67,1399700
2024-01-05,40.21,42.42,39.81,41.15,1319400
2024-01-08,41.01,42.85,40.05,42.56,1491900
2024-01-09,42.2,43.205,41.84,42.52,994200
2024-01-10,42.29,42.66,41.561,42.27,907900
2024-01-11,41.97,43.59,41.61,42.94,1191000
2024-01-12,43.05,43.86,42.02,42.92,1047000
2024-01-16,43.3,44.23,42.65,43.7,1360400
2024-01-17,43.16,45.37,42.72,43.97,2521400
2024-01-18,44.62,45.56,43.51,45.47,1741400
2024-01-19,45.94,46.508,45.16,46.25,1576500
2024-01-22,46.45,47.94,46.42,47.86,1422100
2024-01-23,48.05,48.21,46.77,47.3,1323100
2024-01-24,47.79,48.69,47.49,47.84,1652900
2024-01-25,48.0,48.32,45.44,45.89,1836500
2024-01-26,46.14,46.49,44.8,45.8,1380200
2024-01-29,45.78,47.64,45.71,47.64,1392000
2024-01-30,47.3,47.85,46.79,47.69,853500
2024-01-31,47.6,48.27,46.56,46.8,1257600
2024-02-01,47.5,49.68,47.196,49.41,2383700
2024-02-02,49.0,49.95,48.14,49.93,1665400
2024-02-05,48.98,49.367,47.86,49.1,1275100
2024-02-06,49.23,50.7,47.68,49.8,1732000
2024-02-07,50.16,52.47,50.0,51.35,1842800
2024-02-08,51.64,53.48,51.1,52.77,2342900
2024-02-09,53.075,53.24,51.791,52.88,1918100
2024-02-12,52.78,54.87,52.505,53.68,1103400
2024-02-13,52.37,54.85,51.84,53.22,1368300
2024-02-14,54.12,54.73,52.9,53.97,1129900
2024-02-15,54.22,56.34,54.22,54.7,1554500
2024-02-16,54.3,55.54,54.09,54.63,1353900
2024-02-20,54.1,54.725,52.96,54.18,1135300
2024-02-21,50.73,51.25,48.1,48.51,4258300
2024-02-22,49.28,50.98,48.55,50.0,3288600
2024-02-23,50.49,51.312,48.75,51.0,1867300
2024-02-26,51.88,52.58,50.37,50.5,2745000
2024-02-27,54.29,58.22,52.81,56.66,7878400
2024-02-28,55.68,57.21,54.21,56.9,4659900
2024-02-29,58.77,59.84,57.11,58.41,4773700
2024-03-01,59.27,59.57,56.8,58.3,2517200
2024-03-04,58.54,59.25,56.4,57.97,3250700
2024-03-05,57.44,58.59,56.03,57.36,2485200
2024-03-06,58.3,60.61,57.92,59.25,3221100
2024-03-07,59.44,62.09,59.3,61.72,2727000
2024-03-08,63.0,65.76,62.83,63.34,3505300
2024-03-11,62.83,64.5,62.12,62.78,2003700
2024-03-12,62.9,66.22,62.53,65.84,2457400
2024-03-13,66.05,67.79,64.85,65.44,2931600
2024-03-14,66.28,66.81,62.95,63.7,2760300
2024-03-15,63.37,65.0,63.3,64.16,4534400
2024-03-18,64.9,65.44,60.7,62.05,3411400
2024-03-19,62.58,65.47,61.48,65.1,2736300
2024-03-20,64.91,69.04,64.63,68.32,3518500
2024-03-21,67.25,69.2,66.25,67.82,2607700
2024-03-22,67.5,69.16,66.8,67.96,1468800
2024-03-25,68.32,69.18,67.6,68.25,1279500
2024-03-26,68.52,69.66,67.9,68.22,1695700
2024-03-27,68.5,69.3,66.81,69.17,2614500
2024-03-28,70.0,71.5,69.51,70.05,1860400
2024-04-01,71.38,71.6,68.02,68.4,1998800
2024-04-02,65.88,66.501,64.01,65.75,2946100
2024-04-03,65.38,67.32,63.83,66.77,2769100
2024-04-04,67.35,68.19,63.25,63.33,2404300
2024-04-05,63.54,65.55,63.31,64.65,1315200
2024-04-08,64.89,65.4,64.24,64.94,889000
2024-04-09,64.55,64.88,59.29,60.28,4516200
2024-04-10,59.7,63.81,59.22,63.69,3645700
2024-04-11,64.23,66.665,63.81,66.38,2247700
2024-04-12,66.02,66.79,63.1,63.75,2026000
2024-04-15,64.03,65.3,61.44,61.75,2169500
2024-04-16,62.49,63.97,61.89,62.86,1408600
2024-04-17,63.45,63.85,60.26,61.56,1652100
2024-04-18,62.3,62.99,60.5,61.5,1063800
2024-04-19,61.25,61.959,58.69,59.67,1661200
