DateTime,Open,High,Low,Close,Volume
2000-01-04,32.5,32.5,31.25,31.25,17170
2000-01-05,31.25,31.875,30.625,31.875,10640
2000-01-06,32.5,32.5,30.625,31.875,5670
2000-01-07,32.5,33.75,31.875,33.125,9280
2000-01-10,33.125,33.125,30.625,31.875,21050
2000-01-11,31.875,32.5,31.25,31.875,12930
2000-01-12,31.875,32.5,31.25,31.25,4450
2000-01-13,32.5,33.75,31.875,32.5,19570
2000-01-14,33.75,35.0,33.125,33.75,12480
2000-01-18,33.75,37.5,33.75,37.5,18530
2000-01-19,36.875,37.5,35.0,35.625,5870
2000-01-20,36.25,36.875,35.0,35.0,9700
2000-01-21,33.125,35.0,32.5,32.5,10720
2000-01-24,33.125,33.75,31.875,33.125,10050
2000-01-25,33.75,34.375,31.875,32.5,9730
2000-01-26,31.875,33.125,31.25,31.25,7460
2000-01-27,32.5,36.25,32.5,36.25,14420
2000-01-28,37.5,37.5,33.125,33.125,19410
2000-01-31,35.0,35.0,33.125,33.125,6110
2000-02-01,33.125,35.0,33.125,33.75,12490
2000-02-02,35.0,36.25,34.375,36.25,9870
2000-02-03,36.875,36.875,35.0,35.625,8230
2000-02-04,37.5,40.625,36.25,38.75,34940
2000-02-07,40.625,41.25,36.25,36.875,50600
2000-02-08,36.875,37.5,35.625,36.25,18300
2000-02-09,37.5,38.75,36.25,38.75,19940
2000-02-10,39.375,40.0,37.5,38.75,40910
2000-02-11,39.375,39.375,37.5,38.75,26870
2000-02-14,40.0,40.0,37.5,38.75,14290
2000-02-15,37.5,39.375,37.5,38.125,11820
2000-02-16,38.75,40.625,38.75,40.625,22730
2000-02-17,41.875,43.125,40.0,41.25,24710
2000-02-18,41.25,41.25,40.0,40.625,12150
2000-02-22,40.0,41.25,38.125,38.75,16370
2000-02-23,38.75,39.375,36.875,38.125,14940
2000-02-24,37.5,38.125,36.25,38.125,16440
2000-02-25,36.25,37.5,36.25,37.5,7870
2000-02-28,38.125,38.125,33.125,33.125,18950
2000-02-29,33.75,34.375,33.125,33.75,10000
2000-03-01,33.125,35.0,33.125,33.75,5660
2000-03-02,33.75,35.0,33.125,35.0,8440
2000-03-03,35.0,35.625,33.75,34.375,8480
2000-03-06,35.0,35.0,33.75,34.375,6100
2000-03-07,35.0,37.5,34.375,37.5,16010
2000-03-08,36.25,36.875,34.375,35.625,8360
2000-03-09,35.0,35.625,33.75,35.625,9280
2000-03-10,35.625,35.625,33.125,33.125,10550
2000-03-13,33.125,36.875,33.125,36.25,14940
2000-03-14,36.25,36.25,33.75,34.375,5690
2000-03-15,34.375,35.0,34.375,34.375,18520
2000-03-16,37.5,37.5,32.5,34.375,12470
2000-03-17,35.0,35.0,32.5,33.75,11720
2000-03-20,33.125,33.75,32.5,32.5,14380
2000-03-21,33.125,34.375,32.5,33.75,12810
2000-03-22,32.5,35.0,32.5,33.125,12950
2000-03-23,33.125,33.125,32.5,33.125,9330
2000-03-24,32.5,33.75,32.5,32.5,8940
2000-03-27,32.5,33.125,31.25,31.875,10380
2000-03-28,31.25,32.5,30.625,31.25,17100
2000-03-29,30.625,31.25,23.75,29.375,34570
2000-03-30,29.375,30.625,28.75,28.75,8770
2000-03-31,28.75,30.625,28.75,29.375,11030
2000-04-03,29.375,30.625,28.125,28.75,6920
2000-04-04,28.125,30.625,27.5,28.125,14100
2000-04-05,30.0,30.0,27.5,29.375,10860
2000-04-06,29.375,29.375,27.5,27.5,7220
2000-04-07,28.75,28.75,25.625,27.5,11700
2000-04-10,28.125,28.75,26.25,28.125,8200
2000-04-11,26.25,28.125,25.625,25.625,9510
2000-04-12,25.625,30.0,25.625,27.5,9360
2000-04-13,28.125,29.375,23.75,25.0,24720
2000-04-14,25.625,28.125,25.0,26.875,25480
2000-04-17,26.875,27.5,23.75,24.375,21280
2000-04-18,23.75,25.0,23.125,24.375,15750
2000-04-19,24.375,27.5,23.75,27.5,12290
2000-04-20,26.25,26.875,25.0,25.0,12110
2000-04-24,26.875,27.5,25.0,25.625,11700
2000-04-25,25.625,27.5,25.625,26.875,12010
2000-04-26,26.25,26.875,25.0,26.25,5580
2000-04-27,26.25,26.875,25.625,26.25,9790
2000-04-28,26.875,26.875,24.375,25.0,13660
2000-05-01,23.75,27.5,23.75,27.5,15310
2000-05-02,26.875,30.0,26.875,30.0,32360
2000-05-03,28.75,30.0,26.25,28.125,16870
2000-05-04,28.75,31.875,28.125,31.25,21390
2000-05-05,30.625,30.625,28.75,29.375,15530
2000-05-08,28.75,38.75,27.5,38.75,28500
2000-05-09,31.875,32.5,28.75,30.625,25750
2000-05-10,30.0,30.625,29.375,30.0,9800
2000-05-11,30.0,30.0,27.5,30.0,11140
2000-05-12,28.75,30.625,28.125,30.625,10160
2000-05-15,29.375,30.625,28.125,28.125,9140
2000-05-16,29.375,30.625,28.75,30.0,12290
2000-05-17,26.875,28.75,26.875,28.75,12050
2000-05-18,28.125,29.375,27.5,28.125,4680
2000-05-19,27.5,28.125,25.625,25.625,16200
2000-05-22,26.875,26.875,25.625,25.625,9130
2000-05-23,25.0,26.25,25.0,25.0,14350
2000-05-24,25.0,25.625,25.0,25.625,7460
2000-05-25,25.625,25.625,24.375,24.375,8350
2000-05-26,25.0,25.625,24.375,25.0,8090
2000-05-30,25.0,26.25,24.375,24.375,10370
2000-05-31,24.375,25.0,24.375,24.375,8300
2000-06-01,24.375,25.0,23.125,23.125,14310
2000-06-02,24.375,25.625,23.75,24.375,23600
2000-06-05,25.625,26.875,24.375,26.875,22920
2000-06-06,28.125,28.75,26.875,28.125,20690
2000-06-07,27.5,27.5,25.625,26.25,12930
2000-06-08,25.625,26.875,25.625,26.25,3700
2000-06-09,25.0,26.25,23.75,25.0,12940
2000-06-12,23.75,25.625,23.75,25.625,9040
2000-06-13,26.25,27.5,23.75,23.75,26350
2000-06-14,24.375,26.875,24.375,26.875,24570
2000-06-15,26.25,28.125,26.25,28.125,17750
2000-06-16,27.5,28.125,25.625,28.125,20030
2000-06-19,26.875,27.5,25.0,25.0,13170
2000-06-20,25.0,26.25,24.375,24.375,19770
2000-06-21,24.375,26.25,24.375,26.25,11860
2000-06-22,25.625,26.875,24.375,25.625,19830
2000-06-23,25.625,25.625,24.375,25.0,19760
2000-06-26,23.75,25.0,23.75,24.375,16480
2000-06-27,23.75,25.0,23.75,25.0,19860
2000-06-28,25.0,25.0,23.75,24.375,15060
2000-06-29,24.375,25.0,23.75,23.75,12590
