DateTime,Open,High,Low,Close,Volume
2025-12-10,23.0,23.84,22.73,23.5,3595800
2025-12-11,23.0,25.85,23.0,25.31,1153200
2025-12-12,25.26,29.75,24.084999,29.65,847100
2025-12-15,29.2,29.2,25.793,28.23,452800
2025-12-16,27.93,27.945,23.6,25.77,559100
2025-12-17,25.72,25.75,22.5,23.9,456100
2025-12-18,24.0,24.5,23.168,24.28,156800
2025-12-19,24.59,24.59,23.3,24.059999,219200
2025-12-22,24.059999,24.059999,23.0,23.0,236000
2025-12-23,23.0,24.26,22.75,23.75,319200
2025-12-24,23.42,24.094999,23.285,23.46,98500
2025-12-26,23.4,24.08,23.21,23.62,76700
2025-12-29,23.45,24.73,22.09,23.68,416700
2025-12-30,23.31,24.73,22.789,23.89,288900
2025-12-31,23.8,24.45,22.8,24.18,267300
2026-01-02,23.98,24.32,22.145,22.62,387900
2026-01-05,22.28,23.1,22.0,23.01,418300
2026-01-06,22.66,23.1,21.98,22.030001,763400
2026-01-07,22.0,23.8,22.0,23.64,616800
2026-01-08,23.18,23.397,22.31,22.95,199300
2026-01-09,23.35,23.36,22.16,23.36,248100
2026-01-12,23.26,25.295,22.925,25.08,239800
2026-01-13,24.94,26.78,24.7,25.87,169000
2026-01-14,25.58,26.35,25.1,26.16,141500
2026-01-15,26.35,27.0049992,25.545,26.57,113200
2026-01-16,26.91,27.2,25.63,26.45,107600
2026-01-20,26.42,26.95,25.6,26.82,217200
2026-01-21,26.75,27.15,25.51,26.74,145600
2026-01-22,26.94,27.15,25.74,26.96,118600
2026-01-23,26.96,27.73,25.19,26.93,132000
2026-01-26,27.15,27.66,25.19,27.53,123100
2026-01-27,27.7,28.45,27.41,27.72,183000
2026-01-28,27.56,27.925,25.57,25.91,212000
2026-01-29,26.030001,27.12,24.5,25.59,128200
2026-01-30,26.0,26.0,24.565,25.19,74600
2026-02-02,25.17,25.83,24.22,24.5,113100
2026-02-03,24.985,24.985,24.02,24.33,116800
2026-02-04,24.48,26.084999,24.315,25.36,133200
2026-02-05,25.55,27.0,25.01,25.31,139000
2026-02-06,25.8,27.040001,25.493,26.41,166300
2026-02-09,26.34,27.68,25.81,26.39,137300
2026-02-10,26.22,27.0,24.595,25.5,174300
2026-02-11,25.97,26.72,24.655,24.91,130100
2026-02-12,25.44,25.953,23.975,24.37,130100
2026-02-13,24.71,25.64,24.3,25.0,75300
2026-02-17,25.0,26.225,24.2,24.83,89800
2026-02-18,24.89,25.483,24.51,24.56,135900
2026-02-19,26.95,33.080002,26.0,32.25,968500
2026-02-20,32.09,35.461,31.51,34.3,862500
2026-02-23,34.94,35.725,32.78,33.76,537000
2026-02-24,34.15,35.22,33.07,34.22,479600
2026-02-25,34.84,35.76,33.81,34.69,332800
2026-02-26,34.75,34.75,32.0099983,33.049999,434400
2026-02-27,32.8,33.095001,30.81,32.22,394700
2026-03-02,31.74,34.11,31.74,32.3,245400
2026-03-03,32.25,33.585,30.049999,31.57,206200
2026-03-04,32.029999,35.32,31.1,31.51,169800
2026-03-05,31.59,33.29,30.57,31.22,236400
2026-03-06,30.2,31.355,29.309,29.82,173700
2026-03-09,30.37,31.821,27.85,29.32,527400
2026-03-10,29.46,32.43,28.26,30.55,237900
2026-03-11,30.4,30.91,28.97,29.72,148600
2026-03-12,29.53,30.76,28.88,30.12,171700
2026-03-13,29.93,30.625,29.08,29.45,124100
2026-03-16,29.97,31.83,29.94,31.69,205400
2026-03-17,32.0,33.58,31.83,33.26,268700
2026-03-18,32.88,33.88,31.95,32.72,366400
2026-03-19,31.13,34.171,29.106,33.18,493300
2026-03-20,36.25,36.25,31.835,33.029999,2482800
2026-03-23,33.56,35.36,32.796,33.67,507600
2026-03-24,33.65,34.78,32.79,34.72,517900
2026-03-25,35.54,37.48,34.875,36.71,316300
2026-03-26,35.8,36.75,35.375,36.099998,258200
2026-03-27,35.9,37.02,35.695,36.3,341200
2026-03-30,37.56,38.84,36.69,37.35,533300
2026-03-31,37.22,39.8,37.07,39.655,373700
2026-04-01,40.0,41.18,39.6,40.91,405200
2026-04-02,40.24,42.51,39.26,42.17,448300
2026-04-06,42.72,43.3,41.11,41.28,495800
2026-04-07,41.049999,42.049999,40.15,41.54,283700
2026-04-08,42.86,44.48,42.5,42.95,437000
2026-04-09,42.93,44.9,42.41,44.68,411300
2026-04-10,45.79,46.5,43.029999,45.63,436600
2026-04-13,45.63,47.59,44.55,44.58,565100
2026-04-14,45.34,49.94,44.9,49.78,593900
2026-04-15,49.27,52.258,48.4,51.89,717300
2026-04-16,52.060001,52.65,49.02,49.85,721000
2026-04-17,50.83,54.55,48.745,51.64,566362
