DateTime,Open,High,Low,Close,Volume
2010-02-11,1.3,1.3,1.2333,1.2333,149400
2010-02-12,1.2333,1.2667,1.2333,1.2667,86700
2010-02-16,1.2667,1.2667,1.1967,1.1967,266100
2010-02-17,1.2333,1.2333,1.1833,1.2,76800
2010-02-18,1.1967,1.2167,1.18,1.2,62100
2010-02-19,1.2,1.2333,1.18,1.2167,154800
2010-02-22,1.2167,1.2333,1.1733,1.1733,160800
2010-02-23,1.2167,1.2167,1.1067,1.1467,98400
2010-02-24,1.1467,1.1667,1.0333,1.1667,132000
2010-02-25,1.15,1.1667,1.1333,1.1433,56400
2010-02-26,1.1667,1.1667,1.12,1.1267,63000
2010-03-01,1.1333,1.1333,1.0933,1.1333,97200
2010-03-02,1.15,1.15,1.0767,1.1,282000
2010-03-03,1.1167,1.1167,1.0667,1.09,251100
2010-03-04,1.1667,1.1667,1.0667,1.0867,530400
2010-03-05,1.1333,1.1333,1.0167,1.0333,171900
2010-03-08,1.2133,1.2133,1.0367,1.04,202500
2010-03-09,1.05,1.0667,0.9933,0.9933,219600
2010-03-10,1.0333,1.0667,0.9767,1.0667,243000
2010-03-11,1.06,1.1167,1.0167,1.1133,182400
2010-03-12,1.1033,1.13,1.0833,1.1033,160500
2010-03-15,1.1033,1.1033,1.05,1.0667,90600
2010-03-16,1.0667,1.0667,1.04,1.05,47400
2010-03-17,1.0367,1.0367,1.0167,1.0267,51000
2010-03-18,1.0,1.0233,1.0,1.0067,38700
2010-03-19,0.9833,1.0167,0.9733,0.9833,112800
2010-03-22,1.0167,1.0167,0.9933,1.0,66000
2010-03-23,1.0,1.02,0.9833,1.0067,82800
2010-03-24,1.0333,1.2667,1.0167,1.1967,691200
2010-03-25,1.2,1.2167,1.1833,1.1867,199500
2010-03-26,1.17,1.17,1.0,1.11,86100
2010-03-29,1.0967,1.0967,1.0233,1.0533,71400
2010-03-30,1.04,1.0633,0.9967,1.0333,136800
2010-03-31,1.14,1.14,1.02,1.0833,21900
2010-04-01,1.0833,1.1,1.06,1.0833,50700
2010-04-05,1.0833,1.2333,1.0733,1.2,447000
2010-04-06,1.2,1.27,1.1667,1.27,233700
2010-04-07,1.2833,1.3,1.18,1.23,247500
2010-04-08,1.2333,1.2333,1.1667,1.1867,126300
2010-04-09,1.35,1.35,1.24,1.3167,405600
2010-04-12,1.38,1.4967,1.3333,1.4,874800
2010-04-13,1.4,1.4367,1.36,1.36,202500
2010-04-14,1.3667,1.43,1.34,1.3733,208800
2010-04-15,1.3833,1.4,1.27,1.33,148200
2010-04-16,1.3333,1.3333,1.27,1.3067,71400
2010-04-19,1.2833,1.3167,1.23,1.23,262500
2010-04-20,1.24,1.31,1.2133,1.2133,62100
2010-04-21,1.2167,1.25,1.2,1.2167,93000
2010-04-22,1.25,1.29,1.1833,1.2667,126600
2010-04-23,1.27,1.3233,1.1833,1.2133,146100
2010-04-26,1.23,1.23,1.05,1.0767,465600
2010-04-27,1.1567,1.1567,1.07,1.07,191400
2010-04-28,1.1367,1.1367,1.07,1.1233,45600
2010-04-29,1.11,1.1267,1.07,1.0867,81900
2010-04-30,1.09,1.1333,1.0833,1.0967,100500
2010-05-03,1.1067,1.1267,1.0567,1.11,74400
2010-05-04,1.1333,1.1633,1.0567,1.0667,49800
2010-05-05,1.0667,1.16,1.0567,1.0967,80100
2010-05-06,1.06,1.0733,0.99,1.0,184200
2010-05-07,1.0,1.0567,0.9433,1.0,148800
2010-05-10,1.0,1.1133,1.0,1.0533,209700
2010-05-11,1.0667,1.1133,1.0333,1.0333,108000
2010-05-12,1.0767,1.0833,1.0367,1.0833,95700
2010-05-13,1.05,1.0667,0.8833,0.92,750600
2010-05-14,0.92,0.9433,0.91,0.9133,130800
2010-05-17,0.94,0.9467,0.9133,0.9467,84600
2010-05-18,0.9933,1.0167,0.9467,0.9767,93900
2010-05-19,0.97,0.97,0.9533,0.9533,63000
2010-05-20,0.9467,0.95,0.9,0.9167,75300
2010-05-21,0.9033,0.9633,0.84,0.9133,131700
2010-05-24,0.9,0.9,0.8733,0.89,20100
2010-05-25,0.89,0.89,0.8333,0.8533,59100
2010-05-26,0.8533,0.86,0.8233,0.8267,65400
2010-05-27,0.83,0.8333,0.7567,0.7967,94200
2010-05-28,0.8133,0.8133,0.7667,0.7767,52800
2010-06-01,0.7767,0.8,0.7667,0.7667,20400
2010-06-02,0.76,0.8333,0.7533,0.7533,96000
2010-06-03,0.7933,0.7967,0.7567,0.7567,30000
2010-06-04,0.7533,0.7767,0.7333,0.7333,44700
2010-06-07,0.7333,0.7333,0.6833,0.7,33600
2010-06-08,0.7,0.7,0.61,0.6567,303300
2010-06-09,0.6533,0.6767,0.6,0.6167,180300
2010-06-10,0.6167,0.6633,0.6167,0.6167,70200
2010-06-11,0.6167,0.6633,0.6167,0.6633,59100
2010-06-14,0.6633,0.69,0.64,0.6633,91200
2010-06-15,0.67,0.69,0.64,0.6667,27600
2010-06-16,0.6667,0.67,0.6533,0.6667,22500
2010-06-17,0.68,0.6833,0.6367,0.6367,33600
2010-06-18,0.6433,0.6667,0.53,0.5533,221400
2010-06-21,0.56,0.5933,0.5133,0.5133,107700
2010-06-22,0.51,0.55,0.5,0.5033,153300
2010-06-23,0.5367,0.5367,0.5133,0.52,40500
2010-06-24,0.5133,0.53,0.4867,0.53,63300
2010-06-25,0.53,0.6133,0.53,0.61,47700
2010-06-28,0.61,0.6267,0.5767,0.6133,172500
2010-06-29,0.6067,0.6067,0.5533,0.6,44100
2010-06-30,0.5833,0.6133,0.58,0.61,125100
2010-07-01,0.5867,0.6133,0.56,0.5733,108300
2010-07-02,0.6667,0.6667,0.5833,0.5967,34500
2010-07-06,0.61,0.64,0.5867,0.5867,36900
2010-07-07,0.6,0.6167,0.5867,0.6,34200
2010-07-08,0.6233,0.6667,0.6233,0.6467,56700
2010-07-09,0.6467,0.6667,0.64,0.65,61500
2010-07-12,0.65,0.6667,0.65,0.65,108600
2010-07-13,0.6633,0.7167,0.65,0.6767,81300
2010-07-14,0.68,0.8233,0.68,0.8,73500
2010-07-15,0.81,0.9133,0.74,0.7833,83100
2010-07-16,0.74,0.7533,0.6633,0.6733,133500
2010-07-19,0.6733,0.7233,0.6733,0.6833,70500
2010-07-20,0.65,0.6833,0.6467,0.6833,67800
2010-07-21,0.6833,0.6833,0.6,0.6167,58500
2010-07-22,0.6167,0.6633,0.6167,0.65,52500
2010-07-23,0.65,0.6667,0.63,0.6667,20100
2010-07-26,0.6667,0.6667,0.6167,0.64,28200
2010-07-27,0.62,0.6667,0.62,0.6633,12600
2010-07-28,0.6467,0.7033,0.62,0.6833,70500
2010-07-29,0.7033,0.72,0.6267,0.72,33600
2010-07-30,0.7267,0.7267,0.67,0.7167,12300
2010-08-02,0.7167,0.7167,0.6833,0.7033,15300
2010-08-03,0.7167,0.8167,0.7,0.76,18300
2010-08-04,0.72,0.7667,0.7,0.7667,59400
2010-08-05,0.7767,0.8167,0.7,0.8067,76200
2010-08-06,0.78,0.8,0.76,0.78,28800
2010-08-09,0.8133,0.8167,0.7367,0.7367,46800
2010-08-10,0.7367,0.75,0.7333,0.7333,38700
2010-08-11,0.7333,0.7433,0.7167,0.7433,27300
2010-08-12,0.75,0.7667,0.6333,0.6333,229800
2010-08-13,0.6533,0.6633,0.6167,0.65,72600
2010-08-16,0.62,0.6533,0.5867,0.65,56100
2010-08-17,0.6767,0.7567,0.65,0.6733,41100
2010-08-18,0.5967,0.7133,0.5967,0.6667,25800
2010-08-19,0.6667,0.68,0.6167,0.6533,59100
2010-08-20,0.7267,0.73,0.6433,0.6667,22500
2010-08-23,0.6667,0.6667,0.6033,0.65,35700
2010-08-24,0.6633,0.6633,0.6167,0.6167,91800
2010-08-25,0.6067,0.6267,0.6067,0.6167,15900
2010-08-26,0.62,0.6267,0.62,0.6233,6900
2010-08-27,0.6333,0.64,0.6,0.62,18000
2010-08-30,0.6033,0.6167,0.58,0.5833,105600
2010-08-31,0.5733,0.6167,0.56,0.56,61500
2010-09-01,0.6067,0.6067,0.55,0.5667,66300
2010-09-02,0.5667,0.5667,0.5467,0.5567,38100
2010-09-03,0.5833,0.5833,0.55,0.55,21600
2010-09-07,0.5467,0.5867,0.5333,0.5533,49500
2010-09-08,0.5367,0.6033,0.5367,0.5833,18600
2010-09-09,0.5867,0.59,0.56,0.5633,12000
2010-09-10,0.5567,0.6667,0.4733,0.5367,201900
2010-09-13,0.5433,0.5967,0.5333,0.5733,96300
2010-09-14,0.5633,0.5633,0.5333,0.55,8700
2010-09-15,0.58,0.58,0.5333,0.5433,11100
2010-09-16,0.5367,0.5667,0.5167,0.5333,31800
2010-09-17,0.5333,0.58,0.4567,0.4567,139200
2010-09-20,0.4667,0.5333,0.4333,0.4533,225300
2010-09-21,0.4633,0.47,0.45,0.45,77700
2010-09-22,0.44,0.47,0.44,0.4667,41400
2010-09-23,0.4667,0.4667,0.4467,0.45,67800
2010-09-24,0.45,0.46,0.45,0.4567,35100
2010-09-27,0.4567,0.4733,0.4433,0.4667,21900
2010-09-28,0.46,0.4633,0.3867,0.4267,251400
2010-09-29,0.44,0.45,0.42,0.45,89400
2010-09-30,0.45,0.46,0.45,0.45,17400
2010-10-01,0.4667,0.48,0.4667,0.4767,39900
2010-10-04,0.4733,0.5333,0.45,0.4833,218700
2010-10-05,0.4967,0.5,0.4533,0.4767,176100
2010-10-06,0.4633,0.4733,0.4567,0.4733,103800
2010-10-07,0.4733,0.4767,0.4667,0.4767,64200
2010-10-08,0.4767,0.48,0.47,0.48,52800
2010-10-11,0.47,0.4933,0.47,0.4733,14100
2010-10-12,0.4767,0.49,0.4733,0.4833,25200
2010-10-13,0.4833,0.5,0.4833,0.4967,107700
2010-10-14,0.5,0.5,0.4833,0.4833,70800
2010-10-15,0.4933,0.4933,0.4667,0.4733,81300
2010-10-18,0.4833,0.4833,0.45,0.45,34200
2010-10-19,0.46,0.48,0.4467,0.4767,23100
2010-10-20,0.4833,0.4933,0.4533,0.4833,76500
2010-10-21,0.4833,0.4867,0.4833,0.4867,40800
2010-10-22,0.4933,0.5,0.4767,0.4933,44100
2010-10-25,0.4933,0.55,0.4833,0.5167,160800
2010-10-26,0.52,0.52,0.5033,0.5167,30600
2010-10-27,0.51,0.52,0.4467,0.5,200700
2010-10-28,0.4933,0.4933,0.4833,0.4833,1500
2010-10-29,0.4867,0.49,0.46,0.4667,39900
2010-11-01,0.4833,0.4833,0.45,0.4533,87000
2010-11-02,0.4933,0.4933,0.4533,0.4733,132900
2010-11-03,0.47,0.4767,0.45,0.46,81900
2010-11-04,0.4833,0.4833,0.4533,0.4567,65100
2010-11-05,0.4667,0.4733,0.45,0.45,108300
2010-11-08,0.4667,0.48,0.4533,0.4733,70200
2010-11-09,0.48,0.5067,0.4767,0.4867,129900
2010-11-10,0.4767,0.4967,0.4567,0.4567,96300
2010-11-11,0.3867,0.4167,0.29,0.29,2174700
2010-11-12,0.3167,0.3167,0.3,0.3067,387600
2010-11-15,0.3267,0.3267,0.25,0.25,583500
2010-11-16,0.2533,0.2567,0.1867,0.2133,883500
2010-11-17,0.2,0.2267,0.1933,0.1933,381600
2010-11-18,0.1867,0.21,0.1833,0.2,403500
2010-11-19,0.21,0.22,0.2033,0.2067,139200
2010-11-22,0.2067,0.21,0.1933,0.2067,117000
2010-11-23,0.2067,0.22,0.2033,0.22,162000
2010-11-24,0.2567,0.2733,0.2233,0.2667,361500
2010-11-26,0.2667,0.2667,0.25,0.26,177600
2010-11-29,0.2533,0.26,0.23,0.26,183000
2010-11-30,0.25,0.25,0.2267,0.2467,203100
2010-12-01,0.2667,0.2667,0.2233,0.2267,157200
2010-12-02,0.2333,0.2467,0.23,0.2367,75600
2010-12-03,0.2467,0.2467,0.2033,0.2267,167400
2010-12-06,0.2267,0.2267,0.1933,0.2167,228600
2010-12-07,0.2267,0.2267,0.2,0.2067,113100
2010-12-08,0.2,0.2067,0.1933,0.1933,120300
2010-12-09,0.2067,0.21,0.1933,0.2,91200
2010-12-10,0.2067,0.2233,0.1967,0.2067,148800
2010-12-13,0.2167,0.22,0.2,0.2,56400
2010-12-14,0.1933,0.2067,0.1667,0.18,389100
2010-12-15,0.18,0.19,0.1733,0.18,64800
2010-12-16,0.1967,0.2,0.1767,0.1933,75300
2010-12-17,0.1933,0.21,0.1833,0.21,209100
2010-12-20,0.2,0.2133,0.2,0.2067,79200
2010-12-21,0.2067,0.22,0.2067,0.2167,95100
2010-12-22,0.2133,0.2133,0.1933,0.2067,77700
2010-12-23,0.1933,0.1933,0.12,0.1233,1996800
2010-12-27,0.1333,0.1333,0.1067,0.1167,362100
2010-12-28,0.1167,0.13,0.1167,0.1267,244800
2010-12-29,0.1233,0.14,0.1233,0.14,387600
2010-12-30,0.14,0.15,0.1367,0.1367,378900
2010-12-31,0.14,0.1467,0.1333,0.14,473700
2011-01-03,0.1533,0.1533,0.1167,0.1267,207600
2011-01-04,0.1267,0.14,0.1233,0.1267,95100
2011-01-05,0.1267,0.15,0.1233,0.13,182100
2011-01-06,0.13,0.1467,0.13,0.1333,69600
2011-01-07,0.1333,0.1333,0.1267,0.13,53100
2011-01-10,0.1467,0.1467,0.1267,0.1433,242400
2011-01-11,0.1433,0.1433,0.12,0.13,272100
2011-01-12,0.1467,0.1467,0.1267,0.1267,49500
2011-01-13,0.1267,0.1333,0.1233,0.1333,72000
2011-01-14,0.1333,0.1433,0.13,0.1333,69000
2011-01-18,0.13,0.1433,0.0767,0.0967,972300
2011-01-19,0.1133,0.1267,0.08,0.0833,701400
2011-01-20,0.0933,0.11,0.0767,0.08,93000
2011-01-21,0.1033,0.1033,0.08,0.0833,19800
2011-01-24,0.1267,0.1267,0.0833,0.0933,158400
2011-01-25,0.0833,0.0967,0.08,0.0933,228000
2011-01-26,0.0933,0.0933,0.08,0.09,81600
2011-01-27,0.0967,0.0967,0.0967,0.0967,87300
2011-01-28,0.0867,0.1333,0.0833,0.0867,129300
2011-01-31,0.14,0.14,0.0867,0.1067,172800
2011-02-01,0.1167,0.1167,0.0867,0.1067,62400
2011-02-02,0.0867,0.09,0.0867,0.09,14100
2011-02-03,0.09,0.1067,0.09,0.09,36300
2011-02-04,0.09,0.1067,0.09,0.09,32400
2011-02-07,0.11,0.11,0.09,0.1033,55500
2011-02-08,0.09,0.1067,0.09,0.1033,111600
2011-02-09,0.1,0.1067,0.1,0.1,38400
2011-02-10,0.1067,0.11,0.1033,0.1067,57900
2011-02-11,0.1067,0.1167,0.1067,0.11,63600
2011-02-14,0.1133,0.1267,0.1067,0.1067,299100
2011-02-15,0.1167,0.12,0.1067,0.11,86700
2011-02-16,0.1067,0.12,0.1067,0.12,105900
2011-02-17,0.1267,0.1333,0.1167,0.12,524400
2011-02-18,0.1333,0.1333,0.1167,0.1167,86100
2011-02-22,0.12,0.1333,0.1067,0.12,81000
2011-02-23,0.12,0.13,0.1167,0.1167,123900
2011-02-24,0.1133,0.12,0.1133,0.1133,57000
2011-02-25,0.1067,0.1133,0.1067,0.11,147900
2011-02-28,0.1067,0.12,0.1067,0.1067,63000
2011-03-01,0.12,0.12,0.1067,0.1067,19500
2011-03-02,0.12,0.13,0.1167,0.13,97500
2011-03-03,0.1333,0.1333,0.12,0.1267,336600
2011-03-04,0.1233,0.1367,0.11,0.1333,280800
2011-03-07,0.14,0.2,0.1333,0.2,669000
2011-03-08,0.2,0.3233,0.15,0.17,276000
2011-03-09,0.2,0.2,0.1367,0.1767,118500
2011-03-10,0.1767,0.1833,0.1367,0.1667,87900
2011-03-11,0.1333,0.15,0.1267,0.1333,245400
2011-03-14,0.1267,0.1833,0.1167,0.1667,316800
2011-03-15,0.1467,0.1733,0.13,0.15,247500
2011-03-16,0.16,0.1667,0.12,0.1567,23700
2011-03-17,0.1667,0.1667,0.12,0.1633,85800
2011-03-18,0.12,0.16,0.12,0.1567,70500
2011-03-21,0.1567,0.1567,0.1267,0.1267,14700
2011-03-22,0.1267,0.1267,0.1267,0.1267,36300
2011-03-23,0.1567,0.1567,0.13,0.1533,41100
2011-03-24,0.1533,0.1533,0.13,0.1533,51900
2011-03-25,0.1233,0.1533,0.1233,0.1533,99600
2011-03-28,0.16,0.16,0.1333,0.1433,103500
2011-03-29,0.16,0.16,0.1333,0.1567,57300
2011-03-30,0.1567,0.1567,0.1433,0.1433,43500
2011-03-31,0.1567,0.1567,0.1167,0.13,255000
2011-04-01,0.12,0.15,0.12,0.15,33600
2011-04-04,0.15,0.15,0.1233,0.1267,56100
2011-04-05,0.1267,0.1333,0.1267,0.1267,19500
2011-04-06,0.12,0.1333,0.12,0.1333,90000
2011-04-07,0.14,0.14,0.12,0.14,27000
2011-04-08,0.12,0.14,0.12,0.14,41100
2011-04-11,0.14,0.14,0.12,0.14,32100
2011-04-12,0.1233,0.14,0.1233,0.1367,22800
2011-04-13,0.14,0.14,0.14,0.14,59700
2011-04-14,0.1233,0.14,0.1233,0.1233,108300
2011-04-15,0.1233,0.1367,0.12,0.12,22200
2011-04-18,0.1233,0.1367,0.12,0.1233,38400
2011-04-19,0.1333,0.1333,0.12,0.1233,66000
