DateTime,Open,High,Low,Close,Volume
2019-06-17,34.72,35.36,32.67,33.7,15403000
2019-06-18,34.5,37.47,34.35,37.36,11022800
2019-06-19,37.6,37.63,34.25,34.9,11163600
2019-06-20,35.11,35.55,33.6,34.23,7901000
2019-06-21,33.49,34.0,31.2,32.28,9277700
2019-06-24,31.88,32.87,30.79,31.53,3680400
2019-06-25,32.0,32.56,30.785,31.8,3232900
2019-06-26,32.4,32.78,31.735,32.37,2124600
2019-06-27,32.42,33.4,32.368,33.31,1559900
2019-06-28,33.4,35.4,33.35,35.0,5280600
2019-07-01,35.0,35.16,33.05,33.65,2549000
2019-07-02,33.62,33.62,32.5,33.01,1194800
2019-07-03,33.0,34.31,33.0,33.82,1191400
2019-07-05,33.53,34.58,33.22,34.27,1889100
2019-07-08,34.2,34.8,33.93,34.4,2177900
2019-07-09,33.92,34.49,32.759,33.29,3507700
2019-07-10,33.44,34.14,33.005,33.21,2065900
2019-07-11,33.4,33.63,32.92,33.38,1597100
2019-07-12,33.4,34.06,33.4,33.96,1414500
2019-07-15,34.01,34.05,33.04,33.09,1840700
2019-07-16,33.23,33.28,32.55,32.81,1800600
2019-07-17,32.57,32.6,31.15,31.66,3829900
2019-07-18,31.35,33.15,30.94,32.85,5567800
2019-07-19,33.81,33.82,30.25,30.69,11071400
2019-07-22,30.85,31.73,30.2,30.21,3180800
2019-07-23,30.47,30.574,29.03,29.61,5317800
2019-07-24,29.72,32.85,29.52,32.7,5582000
2019-07-25,32.58,33.85,32.31,33.75,4979600
2019-07-26,33.63,33.75,32.314,32.45,2169700
2019-07-29,32.45,34.2,32.4,34.16,1896300
2019-07-30,33.86,34.64,33.69,34.43,1320000
2019-07-31,34.57,35.5,33.25,33.56,2406900
2019-08-01,33.73,35.09,33.46,33.58,1884700
2019-08-02,33.57,34.3,32.34,32.57,2101100
2019-08-05,31.7,32.62,31.5,32.21,2519600
2019-08-06,32.65,33.21,31.79,32.62,1617800
