DateTime,Open,High,Low,Close,Volume
2000-01-04,184.4062,192.2812,182.875,186.1562,1165943
2000-01-05,182.0,182.6562,168.6562,174.125,1824114
2000-01-06,175.0,180.6875,158.8125,160.5625,1687943
2000-01-07,172.8125,210.875,168.0,202.125,5233571
2000-01-10,210.2188,228.8125,203.4375,225.3125,2154657
2000-01-11,219.625,230.125,209.5625,211.3125,1423457
2000-01-12,210.0,218.75,200.8125,207.375,901314
2000-01-13,220.9375,223.125,210.875,218.75,951743
2000-01-14,220.5,238.1642,220.5,233.8438,1561257
2000-01-18,235.375,244.7812,232.75,243.9062,1163000
2000-01-19,245.0,246.75,232.5312,238.875,660571
2000-01-20,252.0,269.2812,250.6875,257.0312,1936800
2000-01-21,260.75,266.4375,246.3125,258.3438,943943
2000-01-24,262.9375,277.8125,259.875,269.0625,1085686
2000-01-25,273.875,274.3125,243.25,259.0,1170914
2000-01-26,258.8908,262.5,237.125,238.4375,872200
2000-01-27,249.375,262.5,241.0625,247.4062,1268714
2000-01-28,243.6875,252.0,223.125,231.4375,1081371
2000-01-31,231.875,234.5,210.2188,229.6875,989514
2000-02-01,238.875,244.5625,229.9062,242.375,647714
2000-02-02,243.25,262.5,243.25,259.4375,899771
2000-02-03,262.2812,264.25,250.9062,264.0312,1152829
2000-02-04,265.125,270.1562,259.875,264.4688,719314
2000-02-07,275.625,291.8125,273.0,282.8438,1285029
2000-02-08,290.5,302.75,287.4375,301.875,1040171
2000-02-09,299.9062,304.5,288.75,292.9062,907257
2000-02-10,294.6562,349.7812,294.4375,346.5,3100171
2000-02-11,346.5,368.375,329.4375,339.5,1823486
2000-02-14,345.625,364.875,345.1875,349.3438,986314
2000-02-15,349.125,364.0,329.6562,348.9062,1037857
2000-02-16,343.2188,425.25,342.5625,411.9062,3219200
2000-02-17,413.4375,413.6562,385.2188,397.4688,1971657
2000-02-18,409.5,439.25,401.625,403.5938,2387429
2000-02-22,409.5,436.625,399.6562,416.7188,1573886
2000-02-23,416.5,426.125,404.25,408.8438,1012286
2000-02-24,415.8438,442.75,409.9375,436.4062,1507057
2000-02-25,441.0,498.75,432.25,474.6875,1612057
2000-02-28,478.1875,532.0,451.0625,522.5938,2238886
2000-02-29,533.75,566.125,530.25,559.3438,2460686
2000-03-01,559.5625,631.75,553.0,619.5,1791971
2000-03-02,635.25,661.5,535.5,551.25,2598543
2000-03-03,577.9375,630.875,560.2188,592.5938,2185657
2000-03-06,601.125,633.2812,600.25,616.6562,889543
2000-03-07,628.25,628.25,570.5,591.5,1442714
2000-03-08,595.875,597.1875,528.5,537.6875,2155057
2000-03-09,556.0625,591.5,531.5625,587.7812,1355686
2000-03-10,575.75,598.5,549.5,570.0625,804886
2000-03-13,523.25,556.5,504.0,514.9375,1479086
2000-03-14,528.7188,539.0,469.0,469.0,1851343
2000-03-15,471.4062,471.625,428.75,438.5938,2117371
2000-03-16,463.75,468.5625,402.9375,467.1954,3151971
2000-03-17,470.75,503.5625,465.5,499.1875,1502571
2000-03-20,504.0,504.0,456.9688,459.5938,1368114
2000-03-21,451.5,501.1562,417.1562,492.4062,1503086
2000-03-22,496.125,553.0,483.875,526.9688,1459229
2000-03-23,521.5,544.25,505.75,541.4062,1232114
2000-03-24,564.375,581.875,546.4375,568.3125,1370029
2000-03-27,570.0625,579.25,548.625,551.0312,776771
2000-03-28,548.625,549.0625,514.0625,515.1562,966657
2000-03-29,516.25,517.125,451.5,454.3438,1858743
2000-03-30,430.5,476.0,427.0,452.375,1830343
2000-03-31,465.5,465.5,427.875,441.4375,1398257
2000-04-03,425.6875,450.8438,392.6562,398.5625,1723829
2000-04-04,400.5312,401.625,277.375,357.4375,4631629
2000-04-05,332.5,374.5,323.75,346.9375,2309000
2000-04-06,367.5,414.75,364.0,411.0312,2065343
2000-04-07,430.0625,466.8125,420.4375,463.75,2031286
2000-04-10,463.75,464.625,390.0312,395.5,1869886
2000-04-11,376.25,415.6796,350.875,371.6562,3103857
2000-04-12,372.75,376.6875,331.4062,338.1875,2418029
2000-04-13,347.375,370.7812,316.75,350.0,2544314
2000-04-14,333.8125,347.375,288.75,308.0,2217771
2000-04-17,278.25,327.25,277.375,325.9375,2074286
2000-04-18,322.875,367.5,307.7812,364.875,1715429
2000-04-19,360.0625,385.0,343.0,350.2188,1233600
2000-04-20,355.6875,361.5938,335.125,339.5,815686
2000-04-24,319.8125,332.0625,306.0312,316.75,943514
2000-04-25,326.8125,374.5,319.5938,370.5625,1259400
2000-04-26,366.625,420.6562,363.7812,404.4688,2452829
2000-04-27,383.25,449.9688,378.875,435.5312,2392200
2000-04-28,446.9062,462.0,423.5,432.6875,1463657
2000-05-01,443.625,499.1875,439.25,490.2188,2344943
2000-05-02,481.4688,501.7579,444.5,449.0938,1925686
2000-05-03,437.9375,456.75,416.9375,444.3359,1419286
2000-05-04,442.9688,473.8125,431.375,464.1875,1281000
2000-05-05,452.8125,485.625,451.5,481.4688,1107114
2000-05-08,464.1875,471.625,437.9375,437.9375,1125829
2000-05-09,452.5938,466.8125,412.125,421.5312,2649286
2000-05-10,413.0,462.0,404.25,453.0312,2821457
2000-05-11,470.8046,474.6875,427.875,453.0312,2000029
2000-05-12,457.625,489.125,457.625,480.375,1644771
2000-05-15,479.5,497.0,456.75,495.0312,1132800
2000-05-16,508.375,537.25,503.7812,534.4062,1834343
2000-05-17,520.1875,523.25,504.0,504.4375,1118229
2000-05-18,517.7812,519.75,478.625,480.5938,1804600
2000-05-19,468.5625,469.5467,405.5625,407.75,4083543
2000-05-22,401.625,402.5,338.1875,377.5625,3943457
2000-05-23,374.5,390.25,348.25,349.125,1853057
2000-05-24,342.125,353.5,314.5625,341.9062,2354029
2000-05-25,349.7812,384.5625,346.5,365.75,2393829
2000-05-26,362.4688,374.2812,341.25,348.9062,1390571
2000-05-30,360.5,427.0,360.5,425.25,2824743
2000-05-31,409.5,448.0,402.5,418.9062,2799771
2000-06-01,435.75,462.0,428.9688,455.6562,2138286
2000-06-02,488.4688,512.75,470.9688,484.0938,2313029
2000-06-05,469.875,487.375,456.9688,467.6875,1349886
2000-06-06,464.1875,507.5,461.125,482.5625,1720257
2000-06-07,480.5938,493.5,455.0,460.0312,1764514
2000-06-08,472.9375,476.0,444.5,472.9375,1720143
2000-06-09,493.5,498.75,481.6875,489.5625,1427143
2000-06-12,507.0625,511.875,486.9375,487.8125,1303743
2000-06-13,483.5467,509.25,473.1562,507.2812,1308371
