DateTime,Open,High,Low,Close,Volume
2006-06-27,96.862,97.118,94.71,94.71,2487500
2006-06-28,95.76,95.76,92.92,94.502,3530000
2006-06-29,95.0,97.8,94.75,97.544,3870000
2006-06-30,97.4,98.888,96.0,98.23,2589500
2006-07-03,98.43,99.9,98.099998,99.37,1050000
2006-07-05,97.97,101.494,97.86,100.522,3939000
2006-07-06,100.602,100.898,99.714,100.148,1931000
2006-07-07,100.15,101.768,98.86,99.012001,2722500
2006-07-10,99.084,100.4,97.010002,97.7,3099500
2006-07-11,97.5,97.5,95.21,96.128,3586000
2006-07-12,96.010002,96.722,94.38,94.68,2437500
2006-07-13,93.95,94.948,92.48,93.17,3065000
2006-07-14,93.17,94.298,91.222,92.832,2294500
2006-07-17,92.482,93.54,91.6,92.292,1612000
2006-07-18,93.0,93.49,91.4,92.198,1800000
2006-07-19,92.6,94.402,92.031998,94.2,2951000
2006-07-20,95.15,95.15,92.2,92.6,2278500
2006-07-21,92.6,92.8,90.396,90.4,2640000
2006-07-24,91.642,93.358,90.904,93.0,2434000
2006-07-25,92.6,92.6,89.224,91.050003,4093500
2006-07-26,91.050003,91.3,89.6,90.0,1880500
2006-07-27,90.0,91.099998,88.73,89.068001,2433000
2006-07-28,89.4,90.97,89.4,90.7,1947000
2006-07-31,90.32,92.262,89.604,92.24,2187500
2006-08-01,93.0,93.68,91.0,92.272,3033500
2006-08-02,92.6,93.015999,90.602,91.019997,2097500
2006-08-03,91.019997,92.68,90.546,91.614,1834000
2006-08-04,96.8,97.416,95.332,97.144,7314500
2006-08-07,96.9,97.896,96.9,97.36,3795500
2006-08-08,97.5,98.79,97.152,98.0,4684000
2006-08-09,98.51,98.798,96.65,97.040001,4294500
2006-08-10,97.2,97.884,95.3,95.3,32463000
2006-08-11,94.92,95.578,92.416,92.982,6363000
2006-08-14,94.3,94.56,92.15,92.28,4140000
2006-08-15,93.37,93.8,92.2,93.4,3557000
2006-08-16,93.4,94.17,93.0019989,93.55,3128500
2006-08-17,93.2,93.86,92.6,93.0,2397000
2006-08-18,92.95,92.95,91.96,92.27,2292500
2006-08-21,92.27,92.272,90.51,91.029999,2083000
2006-08-22,91.028,91.906,89.544,90.28,2814000
2006-08-23,89.75,90.040001,88.8,89.12,2965500
2006-08-24,89.16,89.6,87.702,89.099998,4035000
2006-08-25,89.099998,89.938,88.73,89.696,1723500
2006-08-28,89.8,89.93,87.085999,87.45,4287000
2006-08-29,87.45,87.742,85.158,87.49,4916000
2006-08-30,87.998,88.4,85.8,86.85,3975000
