DateTime,Open,High,Low,Close,Volume
2007-04-25,18.91,19.29,18.91,19.08,3461900
2007-04-26,19.3,20.69,19.2,19.51,1153800
2007-04-27,19.5,19.6,18.96,19.0,829200
2007-04-30,19.04,19.23,18.9,18.9,1411200
2007-05-01,18.9,18.99,18.6,18.85,1096400
2007-05-02,18.85,18.88,18.1,18.43,1659500
2007-05-03,18.35,18.75,18.05,18.1,778500
2007-05-04,18.2,18.8,18.18,18.6,717300
2007-05-07,18.85,19.45,18.7,19.12,761000
2007-05-08,19.05,19.15,18.9,19.02,130600
2007-05-09,18.95,19.23,18.81,19.0,181400
2007-05-10,19.0,19.05,18.9,19.0,506000
2007-05-11,19.0,19.16,18.92,19.11,156400
2007-05-14,19.11,19.31,18.85,19.23,388300
2007-05-15,19.25,19.85,19.23,19.48,342200
2007-05-16,19.4,19.5,19.06,19.25,129700
2007-05-17,19.1,19.15,18.62,19.0,307500
2007-05-18,18.96,19.48,18.95,19.33,544000
2007-05-21,19.15,19.8,19.1,19.7,435800
2007-05-22,19.6,19.95,19.45,19.54,165700
2007-05-23,19.45,19.6,19.2,19.31,150300
2007-05-24,19.3,19.35,19.01,19.23,147800
2007-05-25,19.19,19.25,19.08,19.18,74400
2007-05-29,19.05,19.12,18.91,18.95,107500
2007-05-30,18.92,19.71,18.92,19.17,251700
2007-05-31,19.04,19.37,19.0,19.35,397500
2007-06-01,19.3,19.5,19.1,19.46,209400
2007-06-04,19.6,19.8,19.29,19.32,272700
2007-06-05,19.35,19.69,19.0,19.13,126400
2007-06-06,19.05,19.2,18.89,19.03,172400
2007-06-07,19.0,19.0,18.52,18.8,101900
2007-06-08,19.0,19.0,18.52,18.7,388900
2007-06-11,18.6,18.6,18.25,18.53,115600
2007-06-12,18.55,18.99,18.38,18.59,411700
2007-06-13,18.59,18.59,18.37,18.5,348300
2007-06-14,18.47,18.6,18.35,18.57,137000
2007-06-15,18.59,18.7,18.35,18.7,81600
2007-06-18,18.7,18.85,18.56,18.7,211500
2007-06-19,18.75,18.89,18.44,18.46,173800
2007-06-20,18.5,18.74,18.33,18.51,328000
2007-06-21,18.46,18.64,18.33,18.55,146900
2007-06-22,18.0,18.21,17.35,17.42,1855100
2007-06-25,17.36,17.36,16.15,17.04,1790300
2007-06-26,17.2,17.6,17.2,17.37,327500
2007-06-27,17.19,17.62,17.1,17.58,131900
2007-06-28,17.6,18.21,17.57,17.93,237300
2007-06-29,18.04,18.15,17.75,17.89,199800
2007-07-02,17.95,18.0,17.5,17.53,416700
2007-07-03,17.55,17.56,16.9,16.94,82100
2007-07-05,16.93,17.02,16.67,16.79,354200
2007-07-06,16.79,16.9,16.7,16.86,286600
2007-07-09,16.9,17.41,16.9,17.01,487700
2007-07-10,16.94,17.1,16.7,16.76,212400
2007-07-11,16.75,16.96,16.65,16.79,341400
2007-07-12,16.85,17.5,16.81,17.08,414100
2007-07-13,17.06,17.3,16.94,17.25,434000
2007-07-16,17.2,18.02,17.01,17.99,183000
2007-07-17,18.0,18.15,17.73,17.75,67100
2007-07-18,17.63,18.0,17.58,17.9,167500
2007-07-19,17.9,18.0,17.73,17.81,165700
2007-07-20,17.77,17.88,17.22,17.39,371500
2007-07-23,17.4,17.44,17.21,17.3,179200
2007-07-24,17.3,17.32,16.72,16.92,296600
2007-07-25,16.85,17.02,16.77,17.02,257500
2007-07-26,16.8,17.18,16.5,16.99,235800
2007-07-27,17.0,17.16,16.32,16.34,468700
2007-07-30,16.33,16.8,15.9,16.75,427200
2007-07-31,16.85,16.85,16.29,16.35,446400
2007-08-01,16.68,16.71,16.01,16.42,444500
2007-08-02,16.42,16.42,15.32,15.94,280400
2007-08-03,15.9,16.22,15.06,15.7,480800
2007-08-06,15.7,15.94,14.83,15.94,437000
2007-08-07,15.94,16.92,15.86,16.33,356200
2007-08-08,16.25,17.47,16.23,17.4,364200
2007-08-09,17.1,17.68,16.95,17.0,302700
2007-08-10,17.0,17.98,16.13,16.98,161400
2007-08-13,17.07,17.08,16.5,16.98,232400
2007-08-14,17.49,17.99,16.56,16.66,201300
2007-08-15,16.69,16.88,16.5,16.5,161600
2007-08-16,16.5,17.45,16.45,17.38,283000
2007-08-17,18.0,18.35,17.53,17.58,299400
2007-08-20,17.7,18.17,17.7,17.8,96200
2007-08-21,17.74,18.0,17.68,17.78,84400
2007-08-22,17.83,18.1,17.7,17.72,105700
2007-08-23,17.82,18.05,17.5,17.65,56900
2007-08-24,17.67,18.04,17.54,17.99,170400
2007-08-27,17.97,18.54,17.97,18.38,170400
2007-08-28,18.28,18.28,17.85,17.98,121800
2007-08-29,18.03,18.59,18.03,18.33,74200
2007-08-30,18.12,18.78,18.12,18.41,137800
2007-08-31,18.6,18.69,17.86,17.98,113800
2007-09-04,17.88,18.21,17.8,17.91,123800
2007-09-05,17.91,17.91,17.37,17.56,112600
2007-09-06,18.01,18.53,17.83,18.33,443700
2007-09-07,17.96,18.43,17.96,18.22,168400
2007-09-10,18.26,18.34,17.4,17.65,231800
2007-09-11,17.8,18.22,17.53,17.68,141000
2007-09-12,17.69,18.21,17.45,17.6,90100
2007-09-13,17.85,18.13,17.78,17.94,163600
2007-09-14,17.8,18.09,17.47,18.01,113900
2007-09-17,17.99,18.35,17.88,17.96,245500
2007-09-18,18.02,18.65,17.9,18.38,143200
2007-09-19,18.58,18.65,18.03,18.22,107200
2007-09-20,18.4,18.55,18.36,18.49,139900
2007-09-21,18.5,18.52,18.38,18.49,246400
2007-09-24,18.47,18.56,18.36,18.5,61300
2007-09-25,18.45,18.57,18.19,18.52,125200
2007-09-26,18.61,19.04,18.53,18.78,99200
2007-09-27,18.73,18.89,18.52,18.8,168100
2007-09-28,18.82,19.48,18.43,18.56,318800
2007-10-01,18.6,19.6,18.6,19.33,183700
2007-10-02,19.48,19.57,19.15,19.42,157100
2007-10-03,19.27,19.55,19.18,19.2,180900
2007-10-04,19.33,19.35,18.8,19.13,61900
2007-10-05,19.31,20.0,19.26,19.28,258800
2007-10-08,19.33,19.41,19.03,19.25,119300
2007-10-09,19.3,19.35,18.98,19.27,89400
2007-10-10,19.31,19.5,19.0,19.5,134300
2007-10-11,19.65,19.89,18.65,18.65,190200
2007-10-12,18.73,19.27,18.62,18.75,182900
2007-10-15,18.82,19.25,18.0,18.28,266700
2007-10-16,18.27,18.38,18.15,18.27,69600
2007-10-17,18.52,18.67,18.24,18.5,157600
2007-10-18,18.46,18.7,18.03,18.2,327100
2007-10-19,18.12,18.2,17.47,17.72,203000
2007-10-22,17.41,17.97,17.41,17.49,81300
2007-10-23,17.6,17.62,17.09,17.28,176400
2007-10-24,17.25,17.37,17.01,17.1,153400
2007-10-25,17.15,17.53,17.12,17.31,220000
2007-10-26,17.51,17.98,17.33,17.98,191800
2007-10-29,17.87,17.97,17.3,17.42,131100
2007-10-30,17.41,17.52,17.07,17.2,107700
2007-10-31,17.23,17.45,16.97,17.21,229700
2007-11-01,17.05,17.26,16.7,16.9,185800
2007-11-02,17.08,17.35,16.87,17.23,109700
2007-11-05,16.95,17.36,16.9,17.17,179400
2007-11-06,17.17,17.43,17.17,17.3,167600
2007-11-07,17.2,17.53,16.92,17.29,277600
2007-11-08,17.46,17.46,17.0,17.22,199600
2007-11-09,17.0,17.48,16.93,17.08,125500
2007-11-12,17.08,17.81,17.0,17.62,177500
2007-11-13,17.75,17.75,16.86,17.25,727300
2007-11-14,17.44,17.44,16.59,16.93,541000
2007-11-15,16.8,17.1,16.65,16.87,188700
2007-11-16,16.92,17.04,16.77,16.87,204600
2007-11-19,16.74,16.75,16.49,16.61,263300
2007-11-20,16.73,17.03,16.63,16.77,223400
2007-11-21,16.74,17.01,16.45,16.54,189400
2007-11-23,16.6,17.14,15.98,16.84,116500
2007-11-26,16.92,16.96,16.45,16.5,194600
2007-11-27,16.58,16.58,16.1,16.26,181200
2007-11-28,16.46,16.77,16.46,16.77,282000
2007-11-29,16.7,17.18,16.56,17.12,535300
2007-11-30,17.33,17.33,16.44,16.69,764500
2007-12-03,16.65,16.98,16.57,16.87,334800
2007-12-04,16.75,16.98,16.5,16.6,405200
2007-12-05,16.79,16.83,16.32,16.49,341400
2007-12-06,16.59,17.09,16.51,16.65,813400
2007-12-07,16.76,17.17,16.26,16.83,622900
2007-12-10,16.89,16.89,16.11,16.24,202200
2007-12-11,16.36,17.22,16.36,16.87,1064700
2007-12-12,16.84,17.55,16.4,16.46,861900
2007-12-13,16.29,16.42,15.95,16.22,160900
2007-12-14,16.15,16.69,16.15,16.51,278500
