DateTime,Open,High,Low,Close,Volume
2002-10-02,8.95,9.1,8.7,8.9,1453700
2002-10-03,8.9,9.11,8.6,9.0,1468000
2002-10-04,9.0,9.18,8.3,8.8,1366600
2002-10-07,8.85,8.88,8.45,8.7,1611100
2002-10-08,8.63,8.65,6.8,7.05,3207500
2002-10-09,7.06,7.32,6.49,7.12,3844700
2002-10-10,7.2,7.5,6.8,7.5,2321200
2002-10-11,7.51,8.7,6.91,7.25,6013100
2002-10-14,7.0,7.01,6.65,6.65,2822700
2002-10-15,6.9,7.15,6.66,7.15,1725700
2002-10-16,7.3,7.3,6.58,6.63,1274100
2002-10-17,6.64,6.94,6.13,6.13,2560100
2002-10-18,6.0,6.0,5.65,5.73,2227800
2002-10-21,5.8,5.93,5.7,5.8,1931600
2002-10-22,5.82,5.99,5.41,5.65,2036800
2002-10-23,5.75,5.76,5.42,5.75,1613200
2002-10-24,5.8,6.19,5.64,5.99,1725100
2002-10-25,5.95,6.3,5.75,6.18,1453000
2002-10-28,6.65,6.96,6.37,6.5,1776500
2002-10-29,6.8,6.95,6.5,6.64,1638100
2002-10-30,6.7,7.2,6.7,7.2,1166700
2002-10-31,7.18,7.2,6.85,7.08,1676800
2002-11-01,7.04,7.51,6.95,7.31,1130000
2002-11-04,7.32,7.75,7.32,7.65,1122900
2002-11-05,7.2,7.21,6.25,6.35,3373000
2002-11-06,6.38,6.8,6.15,6.2,3383000
2002-11-07,6.19,7.25,6.17,7.2,5275100
2002-11-08,7.7,7.7,6.36,6.36,7319900
2002-11-11,6.35,6.7,6.16,6.45,1715700
2002-11-12,6.5,6.69,6.47,6.6,1983500
2002-11-13,6.36,6.67,6.36,6.63,1487400
2002-11-14,6.63,6.92,6.61,6.78,1138200
2002-11-15,6.8,7.01,6.78,6.98,1614700
2002-11-18,6.99,7.25,6.99,7.1,1777000
2002-11-19,7.03,7.14,6.86,7.01,1239500
2002-11-20,7.0,7.14,7.0,7.13,927800
2002-11-21,7.05,7.29,7.05,7.26,1289800
2002-11-22,7.24,7.61,7.1,7.52,1518500
2002-11-25,7.55,7.63,7.41,7.46,1137200
2002-11-26,7.5,7.78,7.38,7.65,2099700
2002-11-27,7.55,7.76,7.5,7.59,871000
2002-11-29,7.5,7.71,7.5,7.65,419100
2002-12-02,7.65,7.73,7.4,7.61,817700
2002-12-03,7.55,7.59,7.27,7.48,802000
2002-12-04,7.4,7.47,6.81,6.86,1515000
2002-12-05,7.07,7.1,6.9,6.97,1407400
2002-12-06,7.0,7.03,6.69,6.85,981100
2002-12-09,6.8,6.97,6.75,6.82,1094500
2002-12-10,6.82,7.22,6.81,7.22,1240400
2002-12-11,7.2,7.6,6.9,7.5,2256700
2002-12-12,7.42,7.59,7.36,7.5,1434500
2002-12-13,7.6,7.65,6.9,7.47,784400
2002-12-16,7.68,7.98,7.6,7.98,1697700
2002-12-17,8.0,8.15,7.88,7.99,1334300
2002-12-18,8.0,8.12,7.91,7.98,2240100
2002-12-19,8.0,8.21,7.9,8.0,1139700
2002-12-20,8.0,8.38,8.0,8.36,1450400
2002-12-23,8.36,8.64,8.29,8.45,1140800
2002-12-24,8.5,8.77,8.49,8.59,598100
2002-12-26,8.49,8.65,8.36,8.5,895200
2002-12-27,8.5,8.59,8.31,8.55,750200
2002-12-30,8.55,8.6,8.36,8.5,1230900
2002-12-31,8.43,8.59,8.41,8.5,1674600
2003-01-02,8.56,8.58,8.35,8.5,1644900
2003-01-03,8.6,8.65,8.5,8.55,1954700
2003-01-06,8.62,8.68,8.2,8.55,3747200
2003-01-07,8.05,8.2,8.0,8.06,1842500
2003-01-08,8.06,8.27,8.02,8.14,1713800
2003-01-09,8.15,8.28,8.07,8.25,1266600
2003-01-10,8.25,8.4,8.1,8.4,1077600
2003-01-13,8.41,8.41,8.08,8.25,1621900
2003-01-14,8.43,8.43,8.17,8.2,1128000
2003-01-15,8.22,8.28,8.06,8.1,771400
2003-01-16,8.18,8.37,8.13,8.3,710400
2003-01-17,8.22,8.23,8.01,8.04,866000
2003-01-21,8.12,8.2,7.85,7.88,1095500
2003-01-22,7.96,7.96,7.57,7.59,1229600
2003-01-23,7.69,7.75,7.47,7.5,1155800
2003-01-24,7.35,7.65,6.98,7.6,2319400
2003-01-27,7.35,7.5,6.7,6.8,1821300
2003-01-28,6.9,7.17,6.84,7.1,1111200
2003-01-29,7.0,7.04,6.8,6.95,671600
2003-01-30,6.9,7.05,6.8,6.95,784400
2003-01-31,6.88,7.07,6.85,6.97,867800
2003-02-03,7.05,7.44,6.98,7.44,738900
2003-02-04,7.24,7.24,7.0,7.1,1419200
2003-02-05,7.11,7.14,6.6,6.75,1129600
2003-02-06,6.65,6.85,6.51,6.78,1210900
2003-02-07,6.75,6.75,6.08,6.12,4054000
2003-02-10,6.22,6.25,6.01,6.18,1853900
2003-02-11,6.19,6.25,5.9,5.95,1836000
2003-02-12,6.0,6.0,5.64,5.7,1971800
2003-02-13,5.68,5.69,5.05,5.2,3503100
2003-02-14,5.23,5.32,4.75,5.05,2807800
2003-02-18,5.06,5.26,5.04,5.04,1729300
2003-02-19,5.08,5.1,4.52,4.8,2137500
2003-02-20,4.8,4.96,4.6,4.65,1694700
2003-02-21,4.6,4.72,4.35,4.55,1874500
2003-02-24,4.6,4.68,4.53,4.54,2157400
2003-02-25,4.5,4.62,4.35,4.5,1996300
2003-02-26,4.5,4.67,4.5,4.65,2108000
2003-02-27,4.65,4.8,4.62,4.75,1974900
2003-02-28,4.85,4.92,4.62,4.65,963000
2003-03-03,5.9,5.98,5.49,5.8,6139400
2003-03-04,5.7,5.83,5.45,5.7,2433200
2003-03-05,5.71,5.97,5.61,5.97,2628200
2003-03-06,5.91,6.08,5.76,6.0,1593700
2003-03-07,6.0,6.55,6.0,6.4,3066800
2003-03-10,6.2,6.37,6.05,6.05,2368400
2003-03-11,6.05,6.23,6.05,6.08,1063800
2003-03-12,6.28,6.28,5.95,6.09,1145300
2003-03-13,6.19,6.28,5.98,6.1,1911400
2003-03-14,6.16,6.32,6.16,6.22,2094900
2003-03-17,6.29,6.4,6.18,6.29,1084200
2003-03-18,6.29,6.49,6.2,6.3,1826300
2003-03-19,6.35,6.46,6.25,6.45,1044000
2003-03-20,6.45,6.75,6.43,6.75,1542400
2003-03-21,6.85,7.16,6.73,6.87,1716200
2003-03-24,6.87,6.95,6.69,6.72,821300
2003-03-25,6.7,7.06,6.66,7.05,1445200
2003-03-26,7.05,7.25,6.8,6.85,1674800
2003-03-27,6.77,6.88,6.7,6.73,1107800
2003-03-28,6.78,6.95,6.69,6.88,822000
2003-03-31,6.9,7.5,6.89,7.05,1258900
2003-04-01,7.35,7.5,7.2,7.43,1221500
2003-04-02,7.53,7.62,7.3,7.37,993400
2003-04-03,7.37,7.6,7.3,7.49,1145100
2003-04-04,7.53,7.62,7.43,7.54,1357200
2003-04-07,7.55,7.7,7.51,7.51,835200
2003-04-08,7.52,7.62,7.5,7.56,864000
2003-04-09,7.62,7.75,7.46,7.58,843700
2003-04-10,7.52,7.63,7.4,7.59,553700
2003-04-11,7.59,7.67,7.44,7.5,869700
2003-04-14,7.57,7.62,7.48,7.6,834800
2003-04-15,7.6,7.6,7.52,7.6,607900
2003-04-16,7.56,7.68,7.4,7.4,1346200
2003-04-17,7.48,7.65,7.45,7.59,1310900
2003-04-21,7.58,7.65,7.4,7.56,1077200
2003-04-22,7.6,7.84,7.54,7.78,1334500
2003-04-23,7.76,7.89,7.65,7.85,1565600
2003-04-24,7.9,8.59,7.9,8.1,3761000
2003-04-25,8.2,8.3,8.05,8.14,776000
2003-04-28,8.14,8.23,8.08,8.13,1339900
2003-04-29,8.12,8.12,7.97,7.97,1853500
2003-04-30,7.97,8.08,7.82,7.9,1552100
2003-05-01,7.86,7.9,7.58,7.85,1226800
2003-05-02,7.88,8.2,7.86,8.2,1742400
2003-05-05,8.2,8.24,8.03,8.09,1054300
2003-05-06,8.1,8.19,7.98,8.02,1032600
2003-05-07,8.02,8.19,8.0,8.1,1013500
2003-05-08,8.15,8.15,7.85,8.02,986000
2003-05-09,8.15,8.17,7.97,7.97,995100
2003-05-12,8.0,8.12,7.98,8.0,1762100
2003-05-13,7.89,7.98,7.57,7.72,11770300
2003-05-14,7.73,8.38,7.73,8.28,17331700
2003-05-15,8.25,8.99,8.18,8.99,11319100
