DateTime,Open,High,Low,Close,Volume
2000-01-04,4.1927,4.349,4.1406,4.1667,468720
2000-01-05,4.1667,4.2708,4.1406,4.2188,431040
2000-01-06,4.2708,4.5052,4.2708,4.401,115200
2000-01-07,4.401,4.5833,4.401,4.5313,118320
2000-01-10,4.5833,4.6094,4.4792,4.5573,80160
2000-01-11,4.5573,4.5573,4.4271,4.5052,76320
2000-01-12,4.4531,4.6354,4.401,4.5833,526560
2000-01-13,4.5833,4.8958,4.5573,4.8177,166320
2000-01-14,4.8177,4.8958,4.7396,4.7917,348720
2000-01-18,4.8438,4.974,4.7917,4.8698,89760
2000-01-19,4.8177,4.8958,4.7917,4.7917,54000
2000-01-20,4.8438,4.974,4.8438,4.9219,104640
2000-01-21,4.9219,5.0521,4.9219,4.9479,301200
2000-01-24,5.0,5.0781,4.9219,4.9479,125760
2000-01-25,4.8958,4.974,4.8438,4.8958,174720
2000-01-26,4.7917,4.8958,4.4792,4.5052,284640
2000-01-27,4.5573,4.8177,4.5573,4.7917,96240
2000-01-28,4.7396,5.0781,4.7396,5.0521,158160
2000-01-31,5.026,5.0781,4.974,5.0521,86400
2000-02-01,5.0781,5.1042,4.8958,4.974,140640
2000-02-02,5.026,5.1823,4.974,5.0521,102240
2000-02-03,5.0521,5.1823,5.0521,5.1042,99600
2000-02-04,5.0781,5.1042,4.9479,5.026,201360
2000-02-07,5.026,5.026,4.8698,4.9479,172320
2000-02-08,4.7917,5.026,4.7917,5.026,552000
2000-02-09,5.026,5.2604,5.026,5.2344,396240
2000-02-10,5.1823,5.1823,5.1302,5.1823,61680
2000-02-11,5.1823,5.2083,5.0,5.026,100320
2000-02-14,5.026,5.1823,5.026,5.0781,39120
2000-02-15,5.1042,5.1042,5.0,5.026,45360
2000-02-16,5.0781,5.1563,5.0521,5.1042,80400
2000-02-17,5.1042,5.1563,5.026,5.0781,77280
2000-02-18,5.0781,5.1302,5.0,5.1042,76080
2000-02-22,5.0521,5.1563,5.0391,5.0781,72960
2000-02-23,5.0781,5.1042,4.8438,4.8438,64080
2000-02-24,4.8958,4.9219,4.8438,4.8438,104880
2000-02-25,4.8698,4.974,4.8177,4.8177,74400
2000-02-28,4.7917,4.8177,4.7135,4.7396,88080
2000-02-29,4.7917,4.8438,4.6875,4.8438,116160
2000-03-01,4.8438,4.8438,4.6875,4.7396,108240
2000-03-02,4.7396,4.7656,4.6875,4.7656,109920
2000-03-03,4.7396,4.7917,4.7135,4.7917,193200
2000-03-06,4.7917,4.8698,4.7656,4.8438,60960
2000-03-07,4.8438,4.8438,4.8177,4.8438,290880
2000-03-08,4.8438,4.8438,4.7396,4.7656,19200
2000-03-09,4.8177,4.8438,4.7917,4.8177,36960
2000-03-10,4.8177,4.8177,4.7135,4.7396,125040
2000-03-13,4.7656,4.7656,4.6875,4.7135,49440
2000-03-14,4.7135,4.7656,4.7135,4.7396,71760
2000-03-15,4.7917,4.7917,4.7135,4.7656,127200
2000-03-16,4.7656,4.7917,4.7135,4.7396,105600
2000-03-17,4.6875,4.7656,4.6875,4.7396,48000
2000-03-20,4.7135,4.7135,4.5833,4.6875,49680
2000-03-21,4.6354,4.7656,4.6354,4.7135,99360
2000-03-22,4.6615,4.7396,4.5313,4.5833,33120
2000-03-23,4.5833,4.6875,4.5833,4.6354,130080
