DateTime,Open,High,Low,Close,Volume
2025-03-28,39.0,41.94,37.46,40.0,41091102
2025-03-31,38.49,38.49,36.0,37.08,15164952
2025-04-01,38.5,53.27,37.2,52.57,37918450
2025-04-02,55.91,64.62,51.4,61.36,52252156
2025-04-03,55.39,57.6462,48.26,53.8,27067013
2025-04-04,49.6,51.0,43.5101,47.82,14444190
2025-04-07,43.885,52.0,42.16,49.85,11369032
2025-04-08,52.195,52.32,42.36,43.61,10067862
2025-04-09,43.725,49.88,39.12115,48.77,17177193
2025-04-10,46.9,46.9999,41.8443,42.2,9350624
2025-04-11,42.5,44.88,41.02,43.75,5565860
2025-04-14,46.795,46.85,42.4,43.61,4792981
2025-04-15,43.56,44.7399,40.0003,40.78,6694242
2025-04-16,40.165,40.84,38.2641,40.73,7186762
2025-04-17,41.05,41.63,38.35,39.09,4824958
2025-04-21,38.62,38.6388,33.515,35.415,8104357
2025-04-22,36.98,39.61,36.0,38.51,9486221
2025-04-23,42.075,43.948,40.16,41.62,7635314
2025-04-24,42.55,43.5,38.8,41.77,9272791
2025-04-25,41.95,44.36,40.9,41.54,8755238
2025-04-28,42.01,43.33,39.78,42.02,5186528
2025-04-29,42.205,46.45,41.0101,42.82,10448906
2025-04-30,41.0,41.5099,39.5,41.3,5727022
2025-05-01,47.025,48.35,44.03,44.32,12962376
2025-05-02,46.939,51.82,45.8,51.57,9132591
2025-05-05,50.429,52.78,49.7,51.01,6414381
2025-05-06,49.36,54.832,49.0608,54.295,9539099
2025-05-07,54.91,54.91,51.4,53.6,5978910
2025-05-08,54.71,55.7,52.77,55.0,6263642
2025-05-09,55.96,56.82,50.18,51.37,7924544
2025-05-12,54.3,59.44,52.9,58.49,10591980
2025-05-13,57.6,64.87,57.32,63.26,9979342
2025-05-14,66.0,68.5,64.0,67.46,23739311
2025-05-15,68.87,72.97,61.33,65.77,36046559
2025-05-16,68.075,84.0,67.55,80.3,42549998
2025-05-19,76.9,88.9,76.08,86.59,32752387
2025-05-20,89.67,96.3499,83.305,90.24,34778741
2025-05-21,89.46,109.49,89.3,107.39,61390237
2025-05-22,112.14,116.5388,99.51,100.16,60811273
2025-05-23,98.0,106.79,97.1,102.74,31007954
2025-05-27,109.268,125.02,107.975,123.97,37739446
2025-05-28,123.75,123.75,113.0,116.15,27355978
2025-05-29,123.5,130.76,105.53,105.55,38467785
2025-05-30,109.0,111.95,104.9,111.31,23480790
2025-06-02,116.295,123.66,114.0,120.2,26178634
2025-06-03,125.3,150.88,124.7,150.48,53490725
2025-06-04,155.875,166.63,144.3,163.1,55241700
2025-06-05,156.0,157.46,132.8,135.05,50555437
2025-06-06,144.93,148.79,138.59,140.16,22841549
2025-06-09,147.8,163.29,144.1367,162.1,29337617
2025-06-10,156.5,158.3,149.0,154.9,24180306
2025-06-11,160.01,166.03,145.5,149.7,25467913
2025-06-12,153.7,154.8,142.5,148.97,15210093
2025-06-13,143.24,154.4999,142.5,147.19,16461839
2025-06-16,148.6,158.5,143.48,158.5,19593090
2025-06-17,156.98,175.38,155.8,171.93,32278571
2025-06-18,173.33,176.75,165.55,170.0,19833589
2025-06-20,171.82,187.0,168.85,183.58,31248852
2025-06-23,183.32,183.53,159.0,173.68,26506732
2025-06-24,176.37,183.98,171.2301,172.62,18267583
2025-06-25,178.02,180.25,157.9,159.5,17774862
2025-06-26,164.15,165.99,152.8892,158.08,16978294
2025-06-27,160.13,167.88,158.2,159.99,17406867
2025-06-30,163.31,173.349,160.46,163.06,13665895
2025-07-01,162.78,162.78,154.9,155.94,11264265
2025-07-02,152.81,158.72,151.26,151.77,8421908
2025-07-03,155.0,166.22,153.55,165.2,10442274
2025-07-07,161.18,163.66,155.26,159.7,12601766
2025-07-08,159.345,160.42,148.75,151.45,11971857
2025-07-09,155.2,156.47,149.7,153.05,9547944
2025-07-10,152.8,153.5,136.01,138.29,16429839
2025-07-11,132.925,136.3599,125.67,125.84,15631456
2025-07-14,130.38,135.67,129.99,132.375,11408077
2025-07-15,144.24,146.75,140.05,140.59,17247378
2025-07-16,143.15,146.99,139.02,143.04,10835868
2025-07-17,141.37,141.37,131.34,132.21,12153656
2025-07-18,132.52,132.52,122.19,123.02,12815528
2025-07-21,126.53,134.3,124.11,124.91,11276418
2025-07-22,125.925,132.4,122.7001,129.77,9380861
2025-07-23,127.16,128.25,125.5,126.05,1835973
2025-07-24,125.75,126.32,120.0,120.0,7634934
2025-07-25,119.93,119.93,114.23,115.62,10268101
2025-07-28,115.0,116.8,109.6,110.28,9628063
2025-07-29,108.84,113.44,106.3,108.74,10513259
2025-07-30,108.755,109.5,100.8,102.89,11052032
2025-07-31,112.63,119.59,111.5,114.13,24987827
2025-08-01,104.9,109.3,103.105,104.14,13055033
2025-08-04,106.675,107.58,101.6,106.01,9034851
2025-08-05,105.225,114.25,104.503,111.84,11902823
2025-08-06,110.5,111.9999,105.56,110.24,7794309
2025-08-07,115.48,122.2,115.02,121.08,17715871
2025-08-08,128.05,130.9799,121.7,129.55,17159705
2025-08-11,134.8,141.5,130.18,139.78,19430289
2025-08-12,135.825,148.8,130.43,148.75,28929798
2025-08-13,132.975,134.5,117.6,117.76,37157592
2025-08-14,115.26,116.8799,98.8101,99.505,51195165
2025-08-15,95.9,102.0,94.7,99.97,52661059
2025-08-18,102.21,103.91,96.7,96.8,33761102
2025-08-19,96.44,96.5,88.65,92.89,32158872
2025-08-20,90.155,91.65,85.26,91.52,32919787
2025-08-21,94.015,95.84,90.65,90.79,27261778
2025-08-22,91.09,98.6,88.58,93.99,34000406
2025-08-25,94.0,94.0,90.0,92.38,14803443
2025-08-26,91.82,94.77,90.32,91.39,16042721
2025-08-27,93.84,97.5,92.65,96.93,32747405
2025-08-28,100.64,105.5,99.9,102.79,45313150
2025-08-29,100.9,103.08,96.3193,103.04,24208320
2025-09-02,96.63,97.13,90.7001,93.34,33402460
2025-09-03,93.745,93.79,88.76,89.88,18944025
2025-09-04,88.48,89.72,85.21,87.48,17805121
2025-09-05,90.02,90.44,84.4,89.09,18448517
2025-09-08,88.92,96.17,88.6427,93.53,24743394
2025-09-09,99.885,103.89,97.05,100.22,40286652
2025-09-10,110.06,124.9,109.01,117.14,70126969
2025-09-11,117.9,118.643,112.13,112.69,25179328
2025-09-12,113.925,115.31,104.07,111.96,32550357
2025-09-15,120.85,121.88,116.11,120.47,37532703
2025-09-16,121.47,125.76,115.12,118.75,29506841
2025-09-17,119.48,121.84,114.57,120.86,24420736
2025-09-18,122.375,122.88,118.2,121.39,21873392
2025-09-19,122.05,129.39,122.0,124.86,47567714
2025-09-22,124.69,136.4799,119.5,133.23,40323417
2025-09-23,135.71,136.0,127.04,130.89,29126438
2025-09-24,132.82,133.8,124.0601,133.4,26409243
2025-09-25,130.075,138.95,125.8,126.66,48895644
2025-09-26,127.915,129.38,119.5,120.34,29939282
2025-09-29,120.71,126.5,120.5,122.52,22532248
2025-09-30,136.21,142.67,133.22,136.85,71176750
2025-10-01,135.93,137.61,132.27,137.05,22675047
2025-10-02,140.5,140.6499,134.5251,138.0,21567601
2025-10-03,139.0,140.55,130.8,134.79,23405642
2025-10-06,137.35,144.3292,133.78,133.85,26763610
2025-10-07,136.155,138.51,126.36,128.83,26822542
2025-10-08,131.98,140.8,131.23,139.98,34398798
2025-10-09,139.77,143.69,136.49,143.08,24633297
2025-10-10,146.06,153.1999,137.04,138.43,44473972
2025-10-13,141.855,144.0,136.01,141.62,20760620
2025-10-14,138.17,139.4,130.3,134.06,25696077
2025-10-15,139.53,141.48,134.42,139.24,20652941
2025-10-16,141.44,150.4,137.81,141.74,36104180
2025-10-17,137.365,137.5999,129.04,136.87,30264649
2025-10-20,137.9,138.305,126.71,127.06,25428477
2025-10-21,123.905,126.25,119.31,125.06,24392793
2025-10-22,123.455,124.57,114.17,121.53,26660116
2025-10-23,120.09,124.9,118.26,123.34,14707264
2025-10-24,127.1,133.055,125.99,132.55,21235994
2025-10-27,135.57,136.93,132.6,136.06,13680758
2025-10-28,136.81,141.79,134.55,134.8,23205397
2025-10-29,137.75,140.33,134.12,139.93,19836993
2025-10-30,135.45,137.18,130.41,131.06,19142020
2025-10-31,133.86,138.36,132.3,133.71,16050198
2025-11-03,133.835,133.835,125.88,126.32,14294406
2025-11-04,119.96,123.24,115.14,115.75,18552215
2025-11-05,118.42,118.49,112.1701,114.42,17381030
2025-11-06,115.94,116.44,104.1,106.93,26204558
2025-11-07,103.12,105.3498,100.02,104.01,24982631
2025-11-10,110.3,110.3,102.78,105.61,43561485
2025-11-11,96.1,98.0,88.0,88.39,76900369
2025-11-12,91.77,92.5,85.32,85.43,41722493
2025-11-13,84.385,85.0,77.25,78.34,42804793
2025-11-14,75.845,80.2,73.47,77.36,52465550
2025-11-17,75.51,78.48,72.55,75.33,29176435
2025-11-18,74.445,77.8799,70.471,74.9,33464425
2025-11-19,75.0,77.37,72.88,74.92,26796045
2025-11-20,82.62,83.49,68.9501,69.21,40999839
2025-11-21,70.75,72.85,65.22,71.65,38889453
2025-11-24,72.95,74.2099,70.84,73.6,29927635
2025-11-25,70.835,72.24,66.0,71.29,27805514
2025-11-26,74.76,76.5999,72.85,74.29,28793302
2025-11-28,75.625,75.63,72.125,73.12,14114876
2025-12-01,71.25,77.39,69.3201,77.06,25412569
2025-12-02,77.5,82.84,75.95,76.03,25651306
2025-12-03,75.54,79.63,73.3794,79.36,19858752
2025-12-04,79.185,88.375,77.86,85.75,29382948
2025-12-05,86.97,88.76,84.62,88.3,20076811
2025-12-08,83.65,87.0,80.145,86.24,39915874
2025-12-09,84.52,91.22,83.77,90.66,34362163
2025-12-10,88.435,89.7899,85.35,88.16,26553865
2025-12-11,83.01,88.53,81.1,87.38,26922845
2025-12-12,86.19,87.6999,77.66,78.59,35221384
2025-12-15,79.33,79.74,72.02,72.35,31357605
2025-12-16,70.7,71.5,67.75,69.5,36004023
2025-12-17,69.55,69.9897,63.8,64.55,48237253
2025-12-18,67.445,68.94,65.8661,67.68,34161555
2025-12-19,70.86,84.29,70.73,83.0,70583043
2025-12-22,84.99,87.31,84.18,84.83,23984263
2025-12-23,82.28,83.71,78.7,80.26,22239750
2025-12-24,80.07,80.94,78.55,78.87,11922598
2025-12-26,79.0,79.29,75.73,76.42,14073499
2025-12-29,73.54,77.75,73.4,74.92,14033053
2025-12-30,74.755,75.8616,73.65,73.9,13291778
2025-12-31,73.49,73.675,70.43,71.61,18122831
2026-01-02,73.865,81.17,73.16,79.32,30050016
2026-01-05,82.9,84.54,76.77,76.86,27206462
2026-01-06,78.65,78.84,73.75,77.94,25473266
2026-01-07,77.14,79.94,75.75,77.18,14413401
2026-01-08,77.575,79.9299,75.91,77.09,20472247
2026-01-09,78.32,81.5,75.51,80.14,26303232
2026-01-12,78.75,91.94,77.81,89.93,43610479
2026-01-13,89.05,91.5,86.86,87.48,20414056
2026-01-14,89.2,93.18,86.5,89.8,28378258
2026-01-15,94.73,99.73,94.25,95.01,40670384
2026-01-16,97.32,102.9793,95.75,101.23,34781378
2026-01-20,95.3,97.37,93.13,95.22,26822540
2026-01-21,95.395,95.92,87.25,94.05,29676614
2026-01-22,97.52,99.47,91.57,91.79,19946388
2026-01-23,90.45,95.98,87.07,92.98,20374955
2026-01-26,102.0,108.65,98.05,98.31,49348962
2026-01-27,103.7,111.79,101.86,108.86,49218762
2026-01-28,114.155,114.45,102.64,106.02,36455558
2026-01-29,103.86,106.4399,96.1,99.53,30885933
2026-01-30,99.0,99.5,92.5001,93.19,25314890
2026-02-02,92.835,94.7699,88.52,88.94,19489110
2026-02-03,91.02,92.1199,83.93,90.06,25101357
2026-02-04,89.55,91.95,81.01,82.46,26247809
2026-02-05,79.65,81.97,74.0,74.65,23637671
2026-02-06,77.9,90.6,77.1,89.95,36852754
2026-02-09,90.07,97.94,88.7,96.79,25424406
2026-02-10,95.0,97.29,93.8,95.11,14088159
2026-02-11,95.82,97.77,88.53,95.15,21192299
2026-02-12,94.265,97.5,90.33,95.7,20441449
2026-02-13,94.28,100.69,91.0,96.04,23116988
2026-02-17,92.69,95.4599,89.09,91.0,17482204
2026-02-18,91.085,97.29,87.5,95.45,17481824
2026-02-19,95.285,98.29,93.51,97.14,10807572
2026-02-20,93.56,93.675,84.5,89.25,46366165
2026-02-23,87.36,93.39,86.57,90.84,21774808
2026-02-24,91.06,99.37,90.6863,99.3,24587573
2026-02-25,100.98,103.44,97.85,98.01,20880987
2026-02-26,98.85,100.75,95.02,97.63,27329418
2026-02-27,84.22,84.38,75.66,79.56,67921276
2026-03-02,76.61,80.33,75.6,78.05,25514169
2026-03-03,75.23,75.3699,70.37,73.78,24549363
2026-03-04,77.8,80.66,75.8,79.5,25322759
2026-03-05,77.0,78.68,73.25,74.82,22667512
2026-03-06,72.95,77.9497,71.85,72.99,25591588
2026-03-09,71.54,74.5,70.7,74.41,21551455
2026-03-10,75.02,75.92,73.75,74.92,16449259
2026-03-11,79.0,82.99,77.86,81.96,33672129
2026-03-12,79.687,82.38,78.4,79.86,16174676
2026-03-13,81.07,84.44,79.46,81.11,17700719
2026-03-16,85.925,88.26,81.88,85.86,25842506
2026-03-17,83.98,85.1,81.56,82.12,17332108
2026-03-18,80.71,85.28,80.04,82.82,17332834
2026-03-19,80.0,81.6,78.78,80.66,19522350
2026-03-20,80.14,83.15,77.58,81.47,29378469
