DateTime,Open,High,Low,Close,Volume
2006-11-10,16.08,16.1,15.0,15.08,2407300
2006-11-13,15.44,15.44,14.59,14.7,1115500
2006-11-14,14.8,15.2,14.75,15.0,440100
2006-11-15,15.18,15.18,14.85,15.08,293400
2006-11-16,15.09,15.7,15.05,15.45,247200
2006-11-17,15.45,16.0,15.05,15.22,362600
2006-11-20,15.24,15.24,14.7,14.77,209600
2006-11-21,14.75,14.97,14.6,14.9,514300
2006-11-22,14.93,15.2,14.77,15.2,437300
2006-11-24,15.25,15.27,15.0,15.01,94100
2006-11-27,14.83,15.1,14.69,14.8,291500
2006-11-28,14.81,14.88,12.76,12.84,1202500
2006-11-29,13.12,13.37,12.25,12.6,269100
2006-11-30,12.71,12.97,12.04,12.08,177600
2006-12-01,12.24,12.24,11.75,11.99,147200
2006-12-04,12.02,12.02,10.2,10.59,1075000
2006-12-05,10.59,12.14,10.5,11.75,710800
2006-12-06,11.57,11.7,11.2,11.55,291000
2006-12-07,11.5,11.57,11.0,11.17,120400
2006-12-08,11.17,11.17,10.75,10.93,164200
2006-12-11,11.4,11.98,10.21,10.3,664700
2006-12-12,10.25,10.4,9.98,10.05,213200
2006-12-13,10.12,10.2,9.8,10.08,284400
2006-12-14,10.1,10.37,10.0,10.28,267400
2006-12-15,10.39,10.39,10.0,10.0,92000
2006-12-18,10.16,10.16,9.89,9.98,133900
2006-12-19,10.0,10.14,9.7,9.73,403600
2006-12-20,9.77,10.09,9.75,9.88,113300
2006-12-21,10.05,10.05,9.75,9.75,35700
2006-12-22,9.75,9.75,9.49,9.57,79800
2006-12-26,9.65,9.8,9.43,9.6,262700
2006-12-27,9.54,9.94,9.54,9.83,125300
2006-12-28,9.89,10.16,9.89,10.13,190300
2006-12-29,10.2,10.54,10.04,10.48,289300
2007-01-03,10.98,11.0,10.65,10.82,176300
2007-01-04,10.82,10.82,10.39,10.41,164100
2007-01-05,10.5,10.7,10.12,10.15,68600
2007-01-08,10.1,10.34,9.95,9.98,195500
2007-01-09,10.0,10.05,9.77,9.77,85900
2007-01-10,9.69,9.97,9.61,9.68,77800
2007-01-11,9.7,10.0,9.65,9.88,178100
2007-01-12,10.0,10.0,9.84,9.89,188400
2007-01-16,9.95,10.0,9.7,9.75,212200
2007-01-17,9.7,9.87,9.65,9.72,61700
2007-01-18,9.75,9.75,9.42,9.48,177000
2007-01-19,9.47,9.53,9.4,9.46,36300
2007-01-22,9.48,9.78,9.26,9.48,113500
2007-01-23,9.6,10.29,9.53,9.84,488600
2007-01-24,10.24,10.84,10.1,10.76,432300
2007-01-25,10.65,10.65,9.75,9.89,153000
2007-01-26,9.81,9.95,9.6,9.65,188300
2007-01-29,9.68,10.67,9.65,10.33,474700
2007-01-30,10.6,11.7,10.41,11.6,533400
2007-01-31,11.67,11.87,10.94,10.96,678500
2007-02-01,11.07,11.8,10.98,11.46,662000
2007-02-02,11.51,11.59,11.27,11.34,161600
2007-02-05,11.42,12.44,11.42,12.15,564600
2007-02-06,12.2,12.33,11.48,11.54,463900
2007-02-07,11.6,11.97,10.84,11.01,396100
2007-02-08,11.08,11.46,10.85,11.45,214600
2007-02-09,11.5,11.88,10.75,10.9,273400
2007-02-12,10.9,10.98,10.3,10.39,305500
2007-02-13,10.79,10.79,10.32,10.67,103800
2007-02-14,11.0,12.09,11.0,11.55,712100
2007-02-15,11.7,12.82,11.27,12.41,757200
2007-02-16,12.45,13.05,12.21,12.82,494900
2007-02-20,13.05,13.6,13.01,13.43,357400
2007-02-21,13.43,14.36,13.11,13.19,611400
2007-02-22,13.39,13.39,12.3,12.65,784000
2007-02-23,12.71,12.71,12.13,12.33,517200
2007-02-26,12.6,13.18,12.28,12.6,763900
2007-02-27,11.88,11.9,10.72,11.23,1337800
2007-02-28,11.27,11.53,10.9,11.13,282800
2007-03-01,10.57,10.98,10.13,10.7,342600
2007-03-02,10.7,10.99,10.19,10.32,240100
2007-03-05,10.05,10.2,9.88,9.88,429700
2007-03-06,10.2,10.6,10.15,10.54,311500
2007-03-07,10.5,10.55,10.35,10.43,128900
2007-03-08,10.61,11.3,10.6,11.14,306700
2007-03-09,11.25,11.68,10.95,11.2,219200
2007-03-12,10.92,11.1,10.63,10.87,207500
