DateTime,Open,High,Low,Close,Volume
2007-10-24,20.25,20.9,19.8,20.88,1125400
2007-10-25,21.05,22.47,21.05,22.2,739200
2007-10-26,22.87,24.87,22.87,23.73,960500
2007-10-29,24.24,24.65,23.2,23.4,443500
2007-10-30,23.41,23.7,21.9,22.75,382800
2007-10-31,23.25,23.35,22.5,22.8,400800
2007-11-01,22.1,22.45,22.0,22.1,397100
2007-11-02,22.11,23.0,21.95,22.45,224400
2007-11-05,20.21,22.58,20.21,22.0,310100
2007-11-06,22.25,23.27,22.25,22.74,423900
2007-11-07,22.56,22.99,22.02,22.4,152800
2007-11-08,22.55,22.7,21.75,22.04,423300
2007-11-09,22.04,22.37,21.69,22.37,128100
2007-11-12,22.75,22.75,21.75,21.97,192700
2007-11-13,21.63,22.35,21.45,21.88,336600
2007-11-14,21.61,22.24,21.46,21.96,165200
2007-11-15,21.82,21.89,21.07,21.48,173200
2007-11-16,21.75,22.15,20.61,21.68,521800
2007-11-19,21.6,22.09,20.96,21.91,479200
2007-11-20,21.91,22.1,21.62,21.76,445400
2007-11-21,21.51,21.75,20.96,21.65,634600
2007-11-23,21.57,21.86,21.0,21.85,90300
2007-11-26,22.0,22.0,21.45,21.66,338200
2007-11-27,21.65,21.69,21.24,21.5,318200
2007-11-28,21.41,22.0,21.4,21.51,747300
2007-11-29,21.51,21.71,21.4,21.62,273100
2007-11-30,21.8,22.09,21.8,22.02,448700
2007-12-03,22.02,22.25,21.75,22.0,734400
2007-12-04,21.8,21.94,21.43,21.94,301800
2007-12-05,21.85,22.2,21.26,21.75,369100
2007-12-06,21.75,21.83,21.43,21.55,312600
2007-12-07,21.65,21.75,21.25,21.45,106400
2007-12-10,21.5,21.5,21.23,21.35,123600
2007-12-11,21.38,21.5,21.1,21.27,140000
2007-12-12,21.4,22.52,21.25,22.43,314500
2007-12-13,22.0,22.16,21.92,22.08,115200
2007-12-14,22.61,23.84,22.61,23.2,370700
2007-12-17,23.22,24.02,23.04,23.74,202600
2007-12-18,24.36,24.36,23.48,23.54,77500
2007-12-19,23.7,24.49,22.97,24.34,79400
2007-12-20,24.37,24.58,23.43,24.5,293600
2007-12-21,24.46,24.88,23.81,24.73,1143100
2007-12-24,24.91,25.98,24.67,25.7,176000
2007-12-26,25.7,26.25,25.22,25.33,225300
2007-12-27,25.38,25.38,24.8,24.96,315800
2007-12-28,25.0,25.34,24.92,25.06,272600
2007-12-31,25.06,25.46,24.82,24.94,290700
2008-01-02,25.0,25.26,24.68,25.0,332400
2008-01-03,25.11,25.15,23.67,23.91,656100
2008-01-04,23.9,25.02,23.5,24.31,526900
2008-01-07,24.5,25.0,23.89,24.4,607600
2008-01-08,24.29,26.13,23.91,25.19,751000
2008-01-09,25.03,25.13,24.6,24.93,701800
2008-01-10,24.5,25.37,24.48,25.13,372500
2008-01-11,24.91,25.07,24.53,24.91,754900
2008-01-14,25.08,26.03,25.01,26.0,1024700
2008-01-15,25.75,25.89,24.77,25.45,884600
2008-01-16,25.33,26.52,23.76,25.51,833800
2008-01-17,25.7,27.0,24.4,24.78,830000
2008-01-18,24.83,25.72,24.55,25.35,364600
2008-01-22,23.76,24.99,23.22,24.82,423600
2008-01-23,24.19,25.06,22.05,24.8,946200
2008-01-24,24.99,26.54,24.66,25.14,513900
2008-01-25,25.6,26.08,24.67,25.27,451800
2008-01-28,25.2,26.13,24.48,25.94,524100
2008-01-29,26.4,27.05,25.71,26.83,581900
2008-01-30,26.77,26.77,26.0,26.17,464600
2008-01-31,25.8,26.57,25.05,26.51,742300
2008-02-01,26.55,27.4,25.49,26.68,947000
2008-02-04,26.66,26.77,25.67,26.26,936300
2008-02-05,25.75,25.82,24.84,24.98,358800
2008-02-06,25.2,25.28,23.73,24.59,622700
2008-02-07,24.55,25.16,23.99,24.96,291000
2008-02-08,24.96,26.25,24.66,26.02,611400
2008-02-11,26.6,26.99,25.54,26.23,792500
2008-02-12,26.42,27.2,26.08,26.61,624200
2008-02-13,27.0,27.25,26.45,27.18,538700
2008-02-14,27.71,28.48,26.99,27.01,962100
2008-02-15,27.05,27.69,26.36,26.83,405500
2008-02-19,27.13,27.91,26.96,27.19,441200
2008-02-20,27.06,27.54,26.78,27.0,325800
2008-02-21,27.11,27.5,26.28,26.46,481500
2008-02-22,26.61,26.84,26.01,26.76,268500
2008-02-25,26.94,27.8,26.73,27.74,358100
2008-02-26,27.75,29.58,27.5,29.32,849800
2008-02-27,29.48,29.85,28.88,29.55,692600
2008-02-28,29.38,30.94,29.11,29.32,1099600
2008-02-29,29.29,29.62,27.99,28.1,832000
2008-03-03,27.9,28.75,26.9,27.41,470100
2008-03-04,27.24,27.32,26.5,27.09,412500
2008-03-05,27.31,27.5,26.55,26.99,216500
2008-03-06,26.61,27.08,25.75,25.89,345500
2008-03-07,25.9,26.79,24.89,25.08,274300
2008-03-10,25.17,25.24,24.16,24.58,238000
2008-03-11,25.55,26.25,25.55,26.19,529200
2008-03-12,25.76,26.16,24.45,24.59,364800
2008-03-13,24.3,24.3,23.25,23.95,589500
2008-03-14,24.11,24.34,21.75,21.96,849500
2008-03-17,21.93,22.87,20.71,22.41,719000
2008-03-18,23.24,24.85,22.53,24.18,894800
2008-03-19,23.83,24.86,23.42,24.07,611600
2008-03-20,23.59,25.57,23.59,24.64,1233100
2008-03-24,24.87,25.64,24.65,25.53,288800
2008-03-25,25.75,26.11,24.55,25.06,481700
2008-03-26,25.0,25.21,24.24,24.45,713300
2008-03-27,24.59,24.9,22.92,23.16,354300
2008-03-28,23.09,23.85,22.6,22.87,380500
2008-03-31,23.17,23.17,22.6,23.03,256300
2008-04-01,23.35,24.24,23.15,24.19,317700
2008-04-02,24.23,24.98,23.82,24.8,382400
2008-04-03,24.5,25.34,24.33,24.61,355900
2008-04-04,24.85,25.25,24.12,24.24,331100
2008-04-07,24.41,25.39,23.8,23.95,440200
2008-04-08,23.68,24.1,23.48,23.94,159000
2008-04-09,23.97,24.41,23.35,23.4,367700
2008-04-10,23.22,24.25,23.22,23.89,303400
2008-04-11,23.65,23.81,22.31,23.12,347400
2008-04-14,23.06,24.05,22.53,23.81,684200
2008-04-15,24.0,24.38,22.7,22.84,508000
2008-04-16,23.11,24.11,23.01,23.45,913100
2008-04-17,23.38,24.17,23.34,23.47,1010400
2008-04-18,23.82,24.0,23.29,23.68,403400
2008-04-21,23.49,24.28,23.35,24.07,519500
2008-04-22,24.14,24.7,23.25,23.94,848700
2008-04-23,24.0,24.5,23.25,23.5,399300
2008-04-24,23.41,23.94,22.4,23.3,601500
2008-04-25,23.38,23.38,22.73,23.09,396300
2008-04-28,22.73,23.35,22.7,23.0,344700
2008-04-29,23.0,23.06,22.32,22.45,204500
2008-04-30,22.47,22.47,20.0,21.53,1291000
2008-05-01,21.38,22.12,20.69,21.58,900000
2008-05-02,21.33,22.19,20.14,21.4,1396800
2008-05-05,21.3,21.81,21.07,21.54,592400
2008-05-06,21.56,21.57,20.71,20.8,736500
2008-05-07,20.8,21.3,20.36,20.45,491400
2008-05-08,20.78,20.78,19.82,19.98,480500
2008-05-09,19.9,20.5,19.57,19.92,648100
2008-05-12,19.79,21.14,19.79,21.13,1071600
2008-05-13,21.16,21.82,20.45,21.43,528800
2008-05-14,23.23,23.23,21.29,22.3,1354400
2008-05-15,24.14,24.14,22.65,22.75,1034100
2008-05-16,22.97,24.58,22.44,24.23,699000
2008-05-19,24.15,24.97,23.84,23.84,744500
2008-05-20,23.93,24.43,23.6,24.19,355900
2008-05-21,24.25,25.05,24.11,24.4,525300
2008-05-22,24.59,25.33,24.36,24.81,514300
2008-05-23,24.71,25.25,24.66,25.01,311200
2008-05-27,25.21,25.83,24.57,25.63,314700
2008-05-28,25.75,25.79,24.9,25.64,459600
2008-05-29,25.61,26.02,25.29,26.02,265500
