DateTime,Open,High,Low,Close,Volume
2019-08-19,16.1,16.132,14.952,15.43,8872000
2019-08-20,15.342,15.448,15.0059996,15.324,6402500
2019-08-21,15.486,16.754,15.452,16.618,14306000
2019-08-22,16.626,16.676,15.92,15.984,7498500
2019-08-23,15.94,16.368,15.632,15.72,8234000
2019-08-26,15.99,16.24,15.47,16.188,5971500
2019-08-27,16.414,16.9196,15.948,16.030001,4767500
2019-08-28,16.049999,16.55,15.727,16.392,4959000
2019-08-29,16.598,16.708,16.282,16.492,5535500
2019-08-30,16.622,16.622,15.874,16.232,4612000
2019-09-03,15.992,16.56,15.7,15.924,6149000
2019-09-04,16.158,16.688,16.08,16.356,5975000
2019-09-05,16.502,17.0060005,16.502,16.922,7015500
2019-09-06,16.922,16.984,16.678,16.722,7053000
2019-09-09,16.83,17.014,16.26,16.6,7139500
2019-09-10,16.472,16.488,15.226,15.502,13414000
2019-09-11,15.52,15.808,15.238,15.594,6050000
2019-09-12,15.908,16.302,15.69,16.082001,4647500
2019-09-13,15.984,16.276,15.73,16.056,3596500
2019-09-16,15.912,16.372,15.588,16.306,4116000
2019-09-17,16.276,16.43,15.928,16.172,4203500
2019-09-18,16.25,16.31,14.552,15.482,13990500
2019-09-19,15.472,15.78,15.082,15.312,6312500
2019-09-20,15.362,15.62,14.954,15.102,15367500
2019-09-23,15.0039997,15.18,14.708,14.928,5836500
2019-09-24,14.944,14.97,13.922,14.092,12417000
2019-09-25,13.994,14.2018,13.664,14.104,8012500
2019-09-26,14.016,14.0702,13.436,13.662,9080000
2019-09-27,13.642,13.785,12.96,13.216,9172500
2019-09-30,13.156,13.254,12.68,13.2,10476500
2019-10-01,13.22,13.626,13.0,13.408,12832500
2019-10-02,13.216,13.216,12.622,12.844,11477500
2019-10-03,12.842,13.504,12.69,13.456,7574000
2019-10-04,13.55,13.656,13.086,13.562,5813500
2019-10-07,13.456,13.544,13.194,13.226,7102500
2019-10-08,13.0019999,13.492,12.89,13.278,5031000
2019-10-09,13.5,13.99,13.376,13.828,3966000
2019-10-10,13.854,13.918,13.624,13.852,5015000
2019-10-11,14.13,14.75,14.086,14.452,8121000
2019-10-14,14.452,14.91,14.3576,14.87,5934000
2019-10-15,14.976,15.768,14.96,15.566,10641000
2019-10-16,15.458,15.488,15.196,15.31,5540000
2019-10-17,15.364,15.5526,15.186,15.422,6520500
2019-10-18,15.36,15.514,14.702,14.77,12161500
2019-10-21,14.944,15.486,14.944,15.452,5580000
2019-10-22,15.514,15.86,15.124,15.16,8327500
