DateTime,Open,High,Low,Close,Volume
2000-01-04,10.3539,10.3539,9.6177,9.6177,1800458
2000-01-05,9.404,9.7364,9.3565,9.5465,1664917
2000-01-06,9.499,9.7364,9.4277,9.4752,1063799
2000-01-07,9.4515,9.6415,9.4515,9.6415,3669871
2000-01-10,9.8314,9.8789,9.6415,9.8552,1599647
2000-01-11,9.8789,9.9027,9.5465,9.594,1119068
2000-01-12,9.5227,9.6415,9.4515,9.5227,481894
2000-01-13,9.5227,9.8789,9.5227,9.6415,1107488
2000-01-14,9.7839,9.9264,9.7127,9.8789,1119332
2000-01-18,9.9739,10.0214,9.7839,9.8789,603486
2000-01-19,9.8789,9.8789,9.5227,9.5702,1048534
2000-01-20,9.6177,9.6177,9.119,9.1428,1947842
2000-01-21,9.1428,9.2615,8.8578,8.8815,1080117
2000-01-24,9.0715,9.119,8.5016,8.5016,1857306
2000-01-25,8.5966,8.7865,8.5491,8.7628,1204604
2000-01-26,8.9528,9.0715,8.7391,9.024,771926
2000-01-27,9.024,9.1665,8.6916,8.6916,994055
2000-01-28,8.7391,8.7391,8.3116,8.4066,954840
2000-01-31,8.4541,8.4541,8.2166,8.3116,730079
2000-02-01,8.3591,8.6678,8.2879,8.6441,577168
2000-02-02,8.5016,8.6916,8.4066,8.4541,848513
2000-02-03,8.929,8.929,8.3591,8.4303,2716873
2000-02-04,8.5016,8.5728,8.3591,8.3591,1825197
2000-02-07,8.4541,9.119,8.3116,9.119,2351307
2000-02-08,9.2615,9.309,8.9765,9.0715,1682814
2000-02-09,9.0715,9.0715,8.7628,8.8103,1616491
2000-02-10,8.8103,8.929,8.7153,8.834,1758085
2000-02-11,8.8578,8.8578,8.5728,8.5728,1449367
2000-02-14,8.5966,8.6916,8.3591,8.5966,1628334
2000-02-15,8.6441,8.7865,8.3591,8.7153,2133915
2000-02-16,8.6203,8.834,8.5491,8.7391,1533324
2000-02-17,8.6441,8.8103,8.5966,8.7628,1069853
2000-02-18,8.7153,8.7391,8.3828,8.5016,1228554
2000-02-22,8.5016,8.5728,8.4066,8.5016,2337884
2000-02-23,8.5016,8.834,8.3591,8.8103,1132754
2000-02-24,9.024,9.024,8.4778,8.6203,1075643
2000-02-25,8.5728,8.5728,8.3591,8.3828,1169863
2000-02-28,8.3116,8.3591,8.1691,8.2166,1023795
2000-02-29,8.3116,8.3591,8.1216,8.1216,639016
2000-03-01,8.0741,8.2166,8.0266,8.0741,1276191
2000-03-02,7.9316,8.834,7.8841,8.7391,1281191
2000-03-03,8.9765,9.309,8.9765,9.119,1971792
2000-03-06,9.214,9.214,8.6916,8.8578,1171969
2000-03-07,8.8103,9.594,8.6441,9.5702,2938212
2000-03-08,9.8552,10.0927,9.7364,10.0689,2176025
2000-03-09,10.1639,10.4964,10.1164,10.2589,1252241
2000-03-10,10.2114,10.4014,9.9264,9.9739,1957580
2000-03-13,9.7839,9.8789,9.499,9.7602,1216447
2000-03-14,9.7364,9.9502,9.6177,9.6177,1342250
2000-03-15,9.6415,9.7839,9.5227,9.7602,1449894
2000-03-16,9.8077,9.9264,9.594,9.689,865094
2000-03-17,9.689,9.9027,9.689,9.7839,527952
2000-03-20,9.9264,10.0214,9.8314,9.9739,1038270
2000-03-21,9.9264,10.0214,9.8789,9.9027,579273
2000-03-22,9.8789,9.8789,9.6177,9.6652,353196
2000-03-23,9.7602,9.8789,9.689,9.7839,1008530
2000-03-24,9.7839,9.8789,9.7127,9.7364,714025
2000-03-27,9.7839,9.7839,9.594,9.7364,844039
2000-03-28,9.7127,9.7127,9.3565,9.4515,490316
2000-03-29,9.4752,9.499,8.9765,9.0715,1230659
2000-03-30,9.024,9.024,8.5491,8.5966,1279349
