DateTime,Open,High,Low,Close,Volume
2014-09-25,33.15,35.88,30.52,31.39,16617400
2014-09-26,31.95,32.74,28.61,29.8,4636200
2014-09-29,28.19,29.44,27.27,27.39,2658200
2014-09-30,27.6,32.11,27.6,32.01,6416400
2014-10-01,31.5,32.188,29.5,29.62,3587400
2014-10-02,30.37,30.75,27.3,28.69,2457300
2014-10-03,30.49,31.48,29.52,30.38,3649800
2014-10-06,31.37,31.8,29.6,29.92,1425700
2014-10-07,30.12,30.48,28.5,29.35,1190300
2014-10-08,29.59,29.9,28.11,29.38,904200
2014-10-09,29.24,29.65,27.85,28.2,1046800
2014-10-10,29.58,31.49,28.52,29.84,2734700
2014-10-13,30.58,32.5,30.282,31.25,2659900
2014-10-14,32.81,33.15,29.45,29.6,1911800
2014-10-15,28.76,29.24,26.66,28.76,1860300
2014-10-16,27.6,30.4,27.6,29.45,936500
2014-10-17,30.76,30.95,28.851,30.29,818300
2014-10-20,30.0,30.75,29.401,29.88,866600
2014-10-21,30.4,30.85,29.4,29.48,1140700
2014-10-22,29.55,29.88,28.13,28.6,754700
2014-10-23,28.73,29.5,28.35,29.21,534000
2014-10-24,28.86,31.19,28.67,30.24,1212300
2014-10-27,30.26,35.17,29.4,35.08,3929100
2014-10-28,34.4,36.48,32.01,32.32,3748300
2014-10-29,33.5,34.96,31.5,34.91,2378500
2014-10-30,34.55,37.2,34.05,34.71,2649200
2014-10-31,36.04,36.15,34.7,35.28,953400
2014-11-03,35.54,37.5,35.03,36.58,1408700
2014-11-04,36.8,37.2,35.28,36.53,858900
2014-11-05,36.04,36.38,33.33,33.8,1580900
2014-11-06,34.0,34.32,32.85,33.03,665200
2014-11-07,33.36,33.5,31.69,32.71,741100
2014-11-10,32.8,35.39,32.8,34.88,1208800
2014-11-11,35.05,35.24,33.53,33.89,736200
2014-11-12,33.6,34.68,33.0,33.7,2499700
2014-11-13,38.4,43.3,38.38,42.92,11580500
2014-11-14,42.2,44.89,40.01,44.37,5299700
2014-11-17,43.91,45.68,43.0,43.45,2615700
2014-11-18,43.61,44.46,41.56,42.67,1507900
2014-11-19,43.31,43.6,41.76,42.41,783000
2014-11-20,42.08,44.35,41.98,42.64,1068900
2014-11-21,43.52,44.32,42.53,42.81,693800
2014-11-24,42.98,47.01,42.92,47.01,2395200
2014-11-25,44.93,46.17,42.47,42.59,3313100
2014-11-26,42.97,44.19,41.7,43.16,1318400
2014-11-28,42.68,43.797,41.08,41.32,610400
2014-12-01,41.0,41.94,38.96,39.04,1167100
2014-12-02,40.03,41.5,39.54,40.75,928100
2014-12-03,40.84,43.25,40.81,43.02,917300
2014-12-04,42.71,43.09,40.23,40.6,882600
2014-12-05,41.26,41.85,40.03,41.1,797900
2014-12-08,41.1,41.22,37.56,38.15,1398800
2014-12-09,36.9,40.95,36.0,40.91,1363000
2014-12-10,40.63,41.27,38.5,39.13,945800
2014-12-11,39.92,40.21,37.5,37.85,830400
2014-12-12,37.66,38.89,37.05,37.98,634800
2014-12-15,38.82,38.9,36.0,37.44,689600
2014-12-16,36.56,38.177,36.21,37.27,638500
2014-12-17,37.26,38.7,36.838,38.62,660700
2014-12-18,39.75,41.6,38.71,40.63,1374200
2014-12-19,41.0,41.959,39.305,41.95,1091800
2014-12-22,42.77,43.49,42.06,42.67,925200
2014-12-23,42.99,43.3,40.3,41.01,708500
2014-12-24,41.02,42.24,40.74,41.6,285000
2014-12-26,41.87,42.49,41.04,41.83,319400
2014-12-29,41.74,42.4,41.1,41.22,398300
2014-12-30,41.1,41.32,39.1,39.85,547300
2014-12-31,40.5,40.5,39.27,39.65,384000
2015-01-02,39.78,40.6,38.0,38.88,479300
2015-01-05,38.5,39.75,38.035,39.05,350100
2015-01-06,39.01,39.49,36.42,37.15,933300
2015-01-07,37.68,38.49,37.447,37.95,349800
2015-01-08,38.41,38.91,37.581,38.55,457100
2015-01-09,38.84,38.841,36.9,37.06,530200
2015-01-12,37.22,38.42,35.05,38.37,852200
2015-01-13,38.75,39.95,36.56,37.45,979600
2015-01-14,36.9,37.9,36.26,37.75,425200
2015-01-15,37.99,37.99,35.6,35.71,385500
2015-01-16,35.43,36.79,35.05,36.65,388500
2015-01-20,36.67,37.444,35.51,36.85,414100
2015-01-21,36.78,37.16,35.9,36.225,240800
2015-01-22,36.15,36.48,35.5,36.12,287600
2015-01-23,35.91,37.98,35.877,36.99,619600
2015-01-26,37.0,37.36,35.887,36.06,343100
2015-01-27,35.97,36.42,35.1,35.8,310500
2015-01-28,36.16,36.16,34.63,34.65,342000
2015-01-29,34.58,34.89,33.0,33.78,575000
