DateTime,Open,High,Low,Close,Volume
2023-02-27,43.14,43.27,42.39,42.98,445800
2023-02-28,42.81,43.6,42.55,43.36,1110300
2023-03-01,43.22,43.89,42.86,43.11,977300
2023-03-02,41.57,42.32,39.5,39.6,1692700
2023-03-03,39.73,42.76,39.7,41.95,1066000
2023-03-06,41.74,41.74,38.76,39.13,1990700
2023-03-07,39.29,40.5,38.96,40.11,1156500
2023-03-08,39.94,40.17,38.53,39.24,861100
2023-03-09,39.12,39.45,36.5,36.86,1190500
2023-03-10,36.64,36.67,34.4,35.6,1812000
2023-03-13,35.41,37.62,35.07,37.27,1499600
2023-03-14,37.75,38.39,37.31,37.76,895200
2023-03-15,37.34,37.71,36.48,37.27,767700
2023-03-16,36.99,37.94,36.4,37.060001,1146100
2023-03-17,36.87,36.94,35.02,35.33,2429100
2023-03-20,35.2,35.51,34.55,35.2,841100
2023-03-21,35.5,36.59,35.060001,36.18,1414500
2023-03-22,36.02,37.45,34.31,34.37,804900
2023-03-23,34.8,34.99,33.37,33.63,815100
2023-03-24,33.37,33.64,32.96,33.36,720700
2023-03-27,33.73,34.64,33.42,34.53,539800
2023-03-28,34.36,35.6,33.98,34.98,803700
2023-03-29,35.31,35.31,34.6,35.25,591200
2023-03-30,35.47,35.7,34.15,34.21,838200
2023-03-31,35.0,36.66,34.7,35.19,3036600
2023-04-03,35.15,37.76,34.6,37.71,1556100
2023-04-04,37.87,38.049999,36.02,36.33,1062900
2023-04-05,36.21,36.98,35.84,36.16,667800
2023-04-06,36.26,36.48,35.7,36.42,605300
2023-04-10,36.15,36.42,34.61,34.99,1655900
2023-04-11,35.11,35.64,34.9,35.3,542900
2023-04-12,35.68,35.91,33.88,34.049999,795600
2023-04-13,34.029999,36.099998,33.86,35.93,1195000
2023-04-14,35.91,36.18,34.5,34.78,551700
2023-04-17,35.23,36.51,34.74,36.41,988100
2023-04-18,36.92,37.51,36.42,36.8,1274500
2023-04-19,36.27,38.0,36.11,37.93,716600
2023-04-20,37.61,37.73,36.2,36.59,580200
2023-04-21,36.62,38.51,36.34,38.34,855200
2023-04-24,38.24,38.4,37.15,38.32,777000
2023-04-25,38.07,38.7,37.13,37.86,972700
2023-04-26,37.94,38.64,36.84,37.14,431100
2023-04-27,37.25,38.029999,36.65,37.86,753800
2023-04-28,37.87,38.5,37.25,37.4,978300
2023-05-01,37.36,38.48,37.15,37.77,1360300
2023-05-02,37.77,38.049999,36.77,37.31,965400
2023-05-03,37.47,40.25,37.15,39.34,1632000
2023-05-04,40.0099983,40.25,38.4,39.29,983100
2023-05-05,40.97,40.97,37.82,39.44,1882700
2023-05-08,39.61,40.0,37.89,38.41,590900
2023-05-09,37.99,38.86,37.46,38.84,482300
2023-05-10,38.84,39.39,38.5,39.23,507600
2023-05-11,39.5,39.66,37.68,37.83,1154900
2023-05-12,37.74,38.0099983,36.96,37.64,811000
2023-05-15,37.79,39.19,37.060001,38.95,618500
2023-05-16,38.29,38.5,36.59,37.23,815300
2023-05-17,37.45,37.87,36.2,37.81,497800
2023-05-18,37.8,37.88,36.66,37.58,388200
2023-05-19,38.28,39.099998,37.81,38.98,942900
2023-05-22,39.16,40.99,39.16,40.75,901900
2023-05-23,40.69,41.24,38.77,39.0099983,815000
2023-05-24,38.79,38.79,37.81,38.14,662500
2023-05-25,38.060001,38.060001,36.75,37.54,508400
2023-05-26,37.77,37.92,37.060001,37.36,371600
2023-05-30,37.19,38.02,36.96,37.96,365600
2023-05-31,38.11,39.02,37.14,37.69,696100
2023-06-01,37.84,38.96,37.16,37.96,612500
2023-06-02,38.56,39.24,37.95,38.63,688000
2023-06-05,38.16,39.0,37.98,38.0,621100
2023-06-06,38.049999,38.79,37.7,37.73,606200
2023-06-07,37.85,38.94,36.89,38.73,738300
2023-06-08,38.5,38.55,37.51,38.060001,577800
2023-06-09,37.98,38.15,36.98,37.029999,490400
2023-06-12,37.33,37.57,35.91,35.96,987500
2023-06-13,36.060001,37.0,35.89,36.34,1055900
2023-06-14,36.44,36.62,34.95,35.0099983,942200
2023-06-15,34.87,35.96,34.57,35.44,934900
2023-06-16,35.98,35.98,34.26,34.84,1863400
2023-06-20,34.7,35.84,34.47,35.66,764400
2023-06-21,35.47,36.16,34.76,36.12,756900
2023-06-22,36.63,37.86,36.36,37.22,826100
2023-06-23,36.91,37.21,35.19,35.22,2205400
2023-06-26,34.93,35.13,32.74,32.94,1577500
2023-06-27,32.96,33.95,32.32,33.75,1233100
2023-06-28,33.81,34.25,33.21,33.5,718100
2023-06-29,33.38,33.87,32.56,32.75,930000
2023-06-30,33.14,33.37,32.52,32.62,1048700
2023-07-03,32.37,33.5,32.26,33.36,344900
2023-07-05,33.099998,33.54,32.51,33.39,807900
2023-07-06,32.87,33.65,32.69,33.63,516200
2023-07-07,33.68,35.29,33.68,34.71,1427700
2023-07-10,34.63,36.040001,34.63,35.85,985400
2023-07-11,35.83,35.83,34.92,35.13,756600
2023-07-12,35.61,35.84,34.85,35.29,1043700
2023-07-13,35.37,36.26,35.080002,35.5,820600
2023-07-14,35.32,35.4,34.61,34.93,628200
2023-07-17,35.18,35.88,33.8,33.81,593600
2023-07-18,33.73,33.89,33.040001,33.19,703900
2023-07-19,33.41,34.27,33.33,33.62,891400
2023-07-20,33.6,33.68,32.39,32.4,1009900
2023-07-21,32.46,33.29,32.26,32.72,1096100
2023-07-24,32.76,33.17,32.049999,32.89,453100
2023-07-25,32.65,33.15,32.099998,32.14,884300
2023-07-26,32.0099983,32.58,31.81,32.4,940900
2023-07-27,32.68,32.77,31.92,32.23,676400
2023-07-28,32.28,33.56,32.17,33.25,1264700
2023-07-31,33.0,33.43,32.87,33.35,690600
2023-08-01,33.09,33.099998,32.0099983,32.5,766200
2023-08-02,32.0099983,32.44,30.66,31.08,816500
2023-08-03,31.02,32.27,30.82,31.7,1136400
2023-08-04,31.99,34.97,31.95,33.19,1112300
2023-08-07,33.45,33.45,31.049999,31.35,943400
2023-08-08,31.33,32.14,31.0,31.95,762000
2023-08-09,31.98,32.45,31.63,31.8,647300
2023-08-10,31.7,32.68,31.7,32.49,577200
2023-08-11,32.23,32.76,32.099998,32.75,338200
2023-08-14,32.45,32.6,31.63,32.099998,569000
2023-08-15,32.32,32.73,31.83,32.71,1165200
2023-08-16,32.59,33.69,32.16,33.17,785000
2023-08-17,33.14,33.23,31.81,31.88,520000
2023-08-18,31.66,32.78,31.57,32.44,747500
2023-08-21,32.37,33.32,31.8,32.94,730000
2023-08-22,32.94,33.66,32.26,33.36,441900
2023-08-23,33.58,34.099998,32.98,33.049999,356800
2023-08-24,32.94,33.77,32.75,33.68,641100
2023-08-25,33.96,35.26,33.68,34.86,700900
2023-08-28,35.060001,35.95,34.85,35.88,455100
2023-08-29,35.7,36.080002,35.21,35.49,373400
2023-08-30,35.58,35.72,34.92,35.22,466500
2023-08-31,35.0,35.83,34.8,34.94,603100
2023-09-01,35.33,36.57,35.3,36.0,718600
2023-09-05,35.83,35.87,34.96,35.16,585500
2023-09-06,35.57,36.22,35.49,35.81,436400
2023-09-07,35.67,36.74,35.67,36.61,595400
2023-09-08,36.78,37.099998,35.88,36.060001,699700
2023-09-11,36.060001,36.060001,34.66,34.73,845400
2023-09-12,34.73,35.22,34.24,35.049999,579900
2023-09-13,35.080002,35.21,34.41,34.83,734800
2023-09-14,34.86,35.27,34.16,34.21,1366100
2023-09-15,34.52,34.52,33.65,34.23,1499100
2023-09-18,34.12,34.59,33.17,33.87,1411000
2023-09-19,33.87,34.38,32.83,32.93,864400
2023-09-20,32.76,33.029999,31.96,31.97,849400
2023-09-21,31.44,31.9,30.6,31.24,1004800
2023-09-22,31.4,31.54,30.84,30.95,407700
2023-09-25,30.79,31.02,29.9,29.98,608600
2023-09-26,30.08,30.66,29.79,30.0,1035900
2023-09-27,30.01,30.55,29.71,29.92,706400
2023-09-28,29.81,31.72,28.96,30.8,1627700
2023-09-29,31.01,31.09,29.25,29.46,1689200
2023-10-02,29.36,29.4,27.56,27.88,1580800
2023-10-03,27.91,28.17,26.57,26.88,1386800
2023-10-04,26.85,27.33,25.98,27.049999,1192700
2023-10-05,26.95,27.7,26.55,27.47,939900
2023-10-06,27.34,31.36,26.83,30.6,2580700
2023-10-09,30.85,31.77,30.1,31.7,1505800
2023-10-10,31.79,35.049999,31.63,34.87,4580700
2023-10-11,35.14,36.0,34.26,35.95,3245800
2023-10-12,35.89,35.89,32.49,33.39,1915500
2023-10-13,33.42,35.33,32.79,34.21,1555500
2023-10-16,34.060001,35.7,32.99,34.65,1749900
2023-10-17,34.44,36.16,34.44,35.38,1712900
2023-10-18,35.18,35.65,33.99,34.3,1600800
2023-10-19,34.43,34.43,32.49,32.81,1943600
2023-10-20,33.33,34.07,32.93,33.11,1336100
