DateTime,Open,High,Low,Close,Volume
2022-01-07,285.12,290.88,172.8,186.24,55341
2022-01-10,186.56,186.56,147.84,162.56,24616
2022-01-11,163.52,163.52,152.32,160.16,13516
2022-01-12,161.6,168.96,147.84,166.4,24459
2022-01-13,163.904,239.68,163.2,198.08,425500
2022-01-14,190.72,198.08,183.36,194.88,22203
2022-01-18,189.76,202.88,184.32,197.76,12159
2022-01-19,202.56,222.4,198.4,216.32,17363
2022-01-20,217.6,238.4,195.84,231.68,12119
2022-01-21,227.84,315.84,215.36,301.76,92097
2022-01-24,299.52,381.76,256.0,282.24,120416
2022-01-25,278.72,307.2,272.0,290.56,19709
2022-01-26,307.84,310.944,287.68,307.52,18028
2022-01-27,306.24,307.2,292.8,294.72,7931
2022-01-28,288.96,443.584,275.52,364.48,122763
2022-01-31,371.2,432.0,369.92,401.6,58809
2022-02-01,408.0,468.16,396.8,457.6,62381
2022-02-02,472.96,491.072,421.76,445.44,35269
2022-02-03,412.8,424.32,339.84,346.24,18416
2022-02-04,346.24,374.4,326.08,364.16,18241
2022-02-07,348.48,397.28,344.64,359.68,22088
2022-02-08,352.0,386.56,342.112,371.52,12706
2022-02-09,373.44,373.44,332.8,335.68,18738
2022-02-10,333.76,368.0,322.88,326.72,14481
2022-02-11,329.28,342.4,294.08,298.24,19938
2022-02-14,268.16,281.6,184.64,188.16,90984
2022-02-15,187.52,197.76,182.4,183.36,54953
2022-02-16,183.68,185.6,171.2,182.08,25781
2022-02-17,183.36,183.36,163.2,167.68,14775
2022-02-18,169.6,170.56,145.28,167.36,22341
2022-02-22,163.52,167.68,154.56,154.56,11256
2022-02-23,159.36,164.8,149.184,154.88,13919
2022-02-24,142.4,154.88,142.4,148.16,20538
2022-02-25,149.44,157.12,142.72,153.6,25150
2022-02-28,149.76,153.28,138.56,139.84,23606
2022-03-01,139.84,143.36,134.4,137.6,10631
2022-03-02,137.92,138.88,130.56,131.84,10194
2022-03-03,134.72,152.0,132.16,145.6,24163
2022-03-04,143.68,148.8,133.44,140.8,11706
2022-03-07,138.88,145.92,126.4,130.56,24950
2022-03-08,128.96,166.08,128.96,139.52,37419
2022-03-09,144.96,169.92,144.96,165.12,34878
2022-03-10,160.96,190.08,160.0,177.6,36175
2022-03-11,174.4,189.76,174.4,185.6,28722
2022-03-14,181.76,207.04,181.76,205.76,31219
2022-03-15,204.16,227.2,203.52,214.08,27850
2022-03-16,213.44,241.6,213.44,237.44,28906
2022-03-17,233.6,271.04,230.432,254.72,42144
2022-03-18,281.76,333.12,250.688,323.52,379784
2022-03-21,318.08,395.2,315.84,339.2,71753
2022-03-22,290.24,327.68,278.72,305.92,60434
2022-03-23,306.24,323.52,268.8,280.0,56700
2022-03-24,286.4,299.2,259.2,269.44,14784
2022-03-25,267.52,267.52,227.84,232.96,26884
2022-03-28,232.0,232.96,206.72,208.64,25328
2022-03-29,209.28,279.68,209.28,265.92,71847
2022-03-30,259.2,262.08,242.56,248.64,24669
2022-03-31,258.88,273.6,227.392,228.8,29316
2022-04-01,232.0,236.192,212.928,218.56,26031
2022-04-04,220.16,239.68,218.88,232.64,17278
2022-04-05,236.8,237.44,220.8,233.28,12909
2022-04-06,224.32,224.32,200.64,211.52,34903
2022-04-07,213.44,216.64,182.4,193.92,29256
2022-04-08,194.56,196.48,178.24,181.92,21250
2022-04-11,177.92,186.24,173.44,178.24,21472
2022-04-12,181.44,196.32,177.92,180.48,24706
2022-04-13,181.76,181.76,169.6,173.76,20831
2022-04-14,175.04,175.36,161.28,163.52,21575
2022-04-18,167.2,167.2,149.44,158.08,26519
2022-04-19,151.04,163.84,146.88,158.72,23750
2022-04-20,158.72,161.28,148.736,160.0,20834
2022-04-21,159.36,162.24,151.36,155.52,19741
2022-04-22,155.52,157.12,139.2,141.76,19631
2022-04-25,141.44,146.88,136.0,144.0,34694
2022-04-26,142.08,142.4,129.92,135.68,27106
2022-04-27,137.92,140.48,129.28,131.2,14613
2022-04-28,132.48,135.776,124.16,135.68,20219
2022-04-29,133.44,136.32,127.68,129.6,17009
2022-05-02,130.56,130.88,119.04,123.52,24047
2022-05-03,124.8,128.32,114.24,123.2,25841
2022-05-04,124.8,125.44,110.72,122.24,23031
2022-05-05,119.36,120.0,112.32,112.64,17447
2022-05-06,111.04,111.04,100.96,103.36,19300
2022-05-09,100.48,102.08,84.16,84.48,23122
2022-05-10,93.44,93.76,67.2,73.44,54613
2022-05-11,71.68,72.768,63.68,64.0,25181
2022-05-12,62.72,81.92,55.04,74.88,93497
2022-05-13,78.08,98.56,77.12,91.84,72269
2022-05-16,88.0,89.6,81.6,82.88,39672
2022-05-17,85.76,88.96,80.16,83.52,39788
2022-05-18,80.0,80.96,74.4,78.08,25869
2022-05-19,77.44,77.76,70.4,74.24,25856
2022-05-20,78.08,78.08,69.44,73.28,13231
2022-05-23,71.36,74.88,70.08,72.32,15894
2022-05-24,70.88,72.032,66.88,68.8,17191
2022-05-25,67.2,72.96,65.6,71.36,11434
2022-05-26,72.96,75.84,69.76,73.28,19513
2022-05-27,74.24,78.08,70.4,73.92,25072
2022-05-31,75.2,75.52,72.32,73.28,16184
2022-06-01,74.56,76.16,70.4,72.96,17438
2022-06-02,74.24,74.56,71.68,73.6,29638
2022-06-03,74.24,74.24,60.8,63.68,37006
2022-06-06,66.56,67.2,45.12,46.72,135859
2022-06-07,47.68,52.16,43.2,43.84,88063
2022-06-08,43.84,46.4,41.6,45.12,59353
2022-06-09,46.4,47.68,40.0,40.0,46109
2022-06-10,37.44,38.08,27.84,31.68,241797
2022-06-13,31.36,35.2,29.12,30.304,137291
