DateTime,Open,High,Low,Close,Volume
2025-01-02,12.86,13.3,12.61,12.71,872100
2025-01-03,12.79,12.94,12.58,12.59,780400
2025-01-06,12.64,12.64,12.17,12.2,962900
2025-01-07,12.16,12.6,12.065,12.4,749000
2025-01-08,12.33,12.5,12.08,12.2,672300
2025-01-10,12.01,12.21,11.59,11.8,783900
2025-01-13,11.83,11.98,11.52,11.56,2334600
2025-01-14,11.58,11.6,11.13,11.16,2179700
2025-01-15,11.4,11.99,11.4,11.87,2252100
2025-01-16,11.83,12.52,11.76,12.4,1585700
2025-01-17,12.5,12.74,12.27,12.54,1302500
2025-01-21,12.64,12.74,12.2,12.24,948900
2025-01-22,12.23,12.51,12.04,12.38,685300
2025-01-23,12.3,12.515,12.15,12.51,1025100
2025-01-24,12.43,12.515,12.16,12.21,804000
2025-01-27,12.24,12.87,12.24,12.77,847500
2025-01-28,12.79,13.53,12.565,13.21,1239400
2025-01-29,13.18,13.38,12.75,13.01,859900
2025-01-30,13.01,13.17,12.7,12.86,904900
2025-01-31,12.88,13.01,12.34,12.37,867900
2025-02-03,12.2,12.375,11.93,12.07,1083600
2025-02-04,12.09,12.39,11.96,12.15,923400
2025-02-05,12.15,12.37,12.15,12.22,854300
2025-02-06,12.24,12.65,12.02,12.51,1004500
2025-02-07,12.45,12.61,11.94,12.05,772600
2025-02-10,12.14,12.33,11.7,11.87,799500
2025-02-11,11.86,11.94,11.52,11.92,530600
2025-02-12,11.69,12.21,11.69,12.13,529400
2025-02-13,12.15,12.26,11.88,12.21,693600
2025-02-14,12.22,12.45,12.073,12.26,601500
2025-02-18,12.26,12.54,11.86,11.93,839100
2025-02-19,11.91,12.05,11.65,11.78,496500
2025-02-20,11.76,12.24,11.69,12.23,821500
2025-02-21,12.38,12.46,12.19,12.43,758200
2025-02-24,12.36,12.57,11.96,12.18,718400
2025-02-25,12.31,12.38,11.7,11.82,1386900
2025-02-26,10.41,11.09,9.765,9.87,3343100
2025-02-27,9.93,10.06,9.43,9.435,1495100
2025-02-28,9.49,9.54,9.02,9.06,2353100
2025-03-03,9.06,9.258,8.24,8.25,2813200
2025-03-04,8.15,8.62,8.02,8.6,2733800
2025-03-05,9.1,9.73,9.0,9.7,2594600
2025-03-06,9.48,9.48,8.92,9.1,1086700
2025-03-07,9.06,9.07,8.66,8.67,1338100
2025-03-10,8.55,8.65,8.065,8.07,1554300
2025-03-11,8.05,8.665,7.88,8.66,1686700
2025-03-12,8.72,8.96,8.63,8.79,1209100
2025-03-13,8.73,8.85,8.34,8.7,913300
2025-03-14,8.78,8.89,8.1,8.12,1351600
2025-03-17,8.15,8.715,8.04,8.67,900200
2025-03-18,8.53,8.65,8.07,8.16,1097500
2025-03-19,8.15,8.349,8.1,8.28,1222000
2025-03-20,8.27,8.56,8.15,8.33,901000
2025-03-21,8.23,8.3,8.11,8.23,1688300
2025-03-24,8.19,8.44,8.12,8.31,907000
2025-03-25,8.31,8.39,7.99,8.28,834200
2025-03-26,8.28,8.28,7.93,8.12,820600
2025-03-27,8.15,8.28,8.05,8.19,749200
2025-03-28,8.19,8.29,7.93,8.07,598100
2025-03-31,7.78,7.96,7.54,7.93,1270400
2025-04-01,7.93,7.93,7.515,7.61,1029100
2025-04-02,7.56,8.14,7.55,7.97,839100
2025-04-03,7.72,7.9,7.57,7.71,824200
