DateTime,Open,High,Low,Close,Volume
2000-01-04,0.1458,0.1458,0.1389,0.1406,392400
2000-01-05,0.1432,0.1528,0.1389,0.1424,383400
2000-01-06,0.1406,0.1597,0.1406,0.1545,120600
2000-01-07,0.1528,0.1528,0.1406,0.1493,151200
2000-01-10,0.1406,0.1458,0.1389,0.1389,100800
2000-01-11,0.1458,0.1632,0.1458,0.1632,180000
2000-01-12,0.1667,0.1736,0.1528,0.1667,873000
2000-01-13,0.1771,0.1806,0.1753,0.1753,261000
2000-01-14,0.1753,0.1771,0.1597,0.1632,214200
2000-01-18,0.1736,0.1736,0.1667,0.1667,45000
2000-01-19,0.1667,0.1667,0.1667,0.1667,36000
2000-01-20,0.1597,0.1667,0.1597,0.1641,129600
2000-01-21,0.1615,0.1667,0.1615,0.1667,37800
2000-01-24,0.1667,0.1675,0.1667,0.1667,46800
2000-01-25,0.1736,0.1736,0.1563,0.1597,75600
2000-01-26,0.1597,0.1701,0.1563,0.1563,41400
2000-01-27,0.1528,0.1528,0.1458,0.1458,48600
2000-01-28,0.1528,0.1528,0.1528,0.1528,75600
2000-01-31,0.1528,0.1528,0.1458,0.1528,54000
2000-02-01,0.1597,0.1597,0.1597,0.1597,9000
2000-02-02,0.158,0.1597,0.158,0.1597,55800
2000-02-03,0.1597,0.1615,0.1458,0.1554,2583000
2000-02-04,0.1597,0.1667,0.1597,0.1632,118800
2000-02-07,0.1632,0.1667,0.1632,0.1667,331200
2000-02-08,0.1667,0.1736,0.1667,0.1701,158400
2000-02-09,0.1719,0.1875,0.1719,0.1806,300600
2000-02-10,0.1858,0.1944,0.1858,0.1944,117000
2000-02-11,0.1979,0.1979,0.1771,0.1875,844200
2000-02-14,0.1944,0.2222,0.1944,0.2222,892800
2000-02-15,0.2153,0.2222,0.2153,0.2222,313200
2000-02-16,0.2083,0.2222,0.2083,0.2153,99000
2000-02-17,0.2222,0.2222,0.2083,0.2188,162000
2000-02-18,0.2083,0.2188,0.2083,0.2153,63000
2000-02-22,0.2083,0.2083,0.2014,0.2014,64800
2000-02-23,0.1944,0.2109,0.1875,0.1875,523800
2000-02-24,0.1806,0.1944,0.1806,0.1875,1119600
2000-02-25,0.2083,0.2083,0.1944,0.1944,48600
2000-02-28,0.2014,0.2014,0.2014,0.2014,36000
2000-02-29,0.2014,0.2014,0.1944,0.1944,39600
2000-03-01,0.1944,0.1944,0.1667,0.1667,138600
2000-03-02,0.1806,0.1875,0.1684,0.1875,181800
2000-03-03,0.1944,0.1944,0.1771,0.1858,237600
2000-03-06,0.1806,0.2014,0.1806,0.1875,399600
2000-03-07,0.184,0.1962,0.1806,0.1823,354600
2000-03-08,0.1875,0.1875,0.1823,0.1823,52200
2000-03-09,0.1944,0.1944,0.1901,0.1944,208800
2000-03-10,0.1858,0.1858,0.1719,0.1736,207000
2000-03-13,0.1753,0.1944,0.1701,0.1753,142200
2000-03-14,0.1753,0.1875,0.1753,0.1875,16200
2000-03-15,0.1814,0.1814,0.1814,0.1814,14400
2000-03-16,0.1753,0.1753,0.1667,0.1667,396000
2000-03-17,0.1667,0.1771,0.1667,0.1771,365400
2000-03-20,0.1667,0.2014,0.1667,0.2014,504000
2000-03-21,0.2014,0.2222,0.2014,0.2118,131400
2000-03-22,0.2161,0.2222,0.2014,0.2188,340200
2000-03-23,0.2222,0.2292,0.2222,0.2222,585000
2000-03-24,0.224,0.2292,0.2188,0.2222,172800
2000-03-27,0.224,0.2292,0.2153,0.2222,588600
2000-03-28,0.2222,0.2222,0.1979,0.1979,223200
2000-03-29,0.2083,0.2205,0.2083,0.2083,226800
2000-03-30,0.2153,0.2153,0.2153,0.2153,10800
2000-03-31,0.2222,0.2292,0.2222,0.2222,581400
2000-04-03,0.224,0.2248,0.1979,0.2083,270000
2000-04-04,0.2083,0.2083,0.1944,0.1944,237600
2000-04-05,0.2049,0.2049,0.2049,0.2049,5400
2000-04-06,0.1944,0.1944,0.1944,0.1944,3600
2000-04-10,0.2153,0.2153,0.1875,0.1875,216000
2000-04-11,0.1875,0.2083,0.1875,0.1875,104400
2000-04-12,0.184,0.1944,0.184,0.1944,10800
2000-04-13,0.2083,0.2083,0.1944,0.1944,52200
2000-04-14,0.184,0.184,0.184,0.184,81000
2000-04-17,0.1806,0.1806,0.1806,0.1806,5400
2000-04-18,0.2153,0.2153,0.191,0.2014,45000
2000-04-19,0.1944,0.2153,0.1806,0.1806,81000
2000-04-20,0.1979,0.1979,0.1806,0.184,23400
2000-04-24,0.184,0.184,0.1806,0.1806,64800
2000-04-25,0.2144,0.2144,0.1806,0.2083,106200
2000-04-26,0.184,0.184,0.184,0.184,16200
2000-04-27,0.2135,0.2274,0.2083,0.2222,1047600
2000-04-28,0.2083,0.2222,0.1944,0.2222,739800
2000-05-01,0.2222,0.2292,0.1979,0.2222,140400
2000-05-02,0.2049,0.2049,0.2049,0.2049,5400
2000-05-03,0.2066,0.2222,0.2066,0.2083,43200
2000-05-05,0.2049,0.2083,0.1944,0.2083,219600
2000-05-08,0.1944,0.2222,0.1944,0.2083,90000
2000-05-09,0.2135,0.2135,0.2083,0.2083,79200
2000-05-10,0.2083,0.2083,0.2066,0.2066,275400
2000-05-11,0.2153,0.2153,0.1979,0.1979,133200
2000-05-12,0.1979,0.2118,0.1979,0.2014,50400
2000-05-15,0.191,0.2083,0.1892,0.1892,237600
2000-05-16,0.1944,0.2188,0.1944,0.2083,41400
2000-05-17,0.2083,0.2083,0.2083,0.2083,39600
2000-05-18,0.2014,0.2222,0.2014,0.2153,581400
2000-05-19,0.2014,0.2118,0.2014,0.2014,205200
2000-05-22,0.2014,0.2014,0.1632,0.1806,406800
2000-05-24,0.1806,0.2014,0.1806,0.2014,145800
2000-05-25,0.2014,0.2014,0.2014,0.2014,5400
2000-05-26,0.1944,0.1944,0.1736,0.1806,149400
2000-05-30,0.1806,0.1806,0.1806,0.1806,21600
2000-06-01,0.1806,0.1979,0.1806,0.1944,324000
2000-06-05,0.1736,0.2188,0.1736,0.1771,149400
2000-06-07,0.1806,0.1806,0.1806,0.1806,7200
2000-06-08,0.1806,0.1944,0.1806,0.1944,32400
2000-06-09,0.1806,0.1806,0.1806,0.1806,9000
2000-06-12,0.1806,0.1806,0.1806,0.1806,14400
2000-06-13,0.1875,0.1944,0.184,0.1944,106200
2000-06-14,0.1875,0.1944,0.1806,0.1944,111600
2000-06-15,0.1806,0.1806,0.1806,0.1806,7200
2000-06-16,0.1875,0.1944,0.1823,0.1944,21600
2000-06-19,0.1806,0.1823,0.1667,0.1736,95400
2000-06-20,0.1736,0.1736,0.1736,0.1736,18000
2000-06-21,0.1806,0.1875,0.1806,0.1806,82800
2000-06-22,0.1806,0.1806,0.1806,0.1806,9000
2000-06-23,0.1806,0.1875,0.1806,0.1875,57600
2000-06-26,0.1806,0.1806,0.1806,0.1806,154800
2000-06-27,0.1875,0.1944,0.1806,0.1806,149400
2000-06-28,0.1806,0.1806,0.1806,0.1806,243000
2000-06-29,0.1806,0.1806,0.1736,0.1771,145800
2000-07-03,0.1806,0.1806,0.1806,0.1806,12600
2000-07-05,0.1736,0.184,0.1736,0.184,167400
2000-07-06,0.184,0.184,0.1667,0.184,174600
2000-07-10,0.1806,0.1806,0.1806,0.1806,183600
2000-07-11,0.1736,0.1806,0.1736,0.1806,113400
2000-07-13,0.1806,0.1806,0.1806,0.1806,3600
2000-07-14,0.1806,0.184,0.1806,0.1806,12600
2000-07-17,0.1806,0.184,0.1701,0.1701,37800
