DateTime,Open,High,Low,Close,Volume
2019-08-07,9.76,9.76,9.76,9.76,150000
2019-08-08,9.76,9.76,9.76,9.76,150000
2019-08-09,9.76,9.76,9.76,9.76,150000
2019-08-12,9.76,9.76,9.76,9.76,150000
2019-08-13,9.77,9.78,9.77,9.78,320000
2019-08-14,9.77,9.78,9.77,9.78,320000
2019-08-15,9.77,9.78,9.77,9.78,320000
2019-08-20,9.84,9.85,9.84,9.85,1000
2019-08-27,9.85,9.85,9.85,9.85,99100
2019-08-28,9.85,9.85,9.85,9.85,97400
2019-09-18,9.85,9.92,9.85,9.9,88800
2019-09-20,9.84,9.85,9.84,9.85,290000
2019-09-24,9.85,9.85,9.85,9.85,26500
2019-09-26,9.85,9.85,9.85,9.85,25000
2019-10-01,9.906,9.92,9.906,9.92,2500
2019-10-03,9.89,9.89,9.89,9.89,100000
2019-10-04,9.92,9.92,9.896,9.92,900
2019-10-09,9.92,9.92,9.92,9.92,35800
2019-10-10,9.92,9.92,9.92,9.92,100
2019-10-15,9.85,9.95,9.85,9.95,6200
2019-10-16,9.85,9.95,9.85,9.926,706300
2019-10-17,9.9,9.95,9.9,9.95,151000
2019-10-18,9.95,9.95,9.9,9.95,10400
2019-10-21,9.95,9.95,9.9,9.924,32700
2019-10-22,9.9,9.9,9.87,9.87,279900
2019-10-25,9.85,9.85,9.85,9.85,100000
2019-10-29,9.93,9.93,9.93,9.93,17500
2019-10-30,9.9,9.912,9.85,9.881,7300
2019-10-31,10.15,10.15,10.07,10.08,1698200
2019-11-01,10.1,10.132,10.08,10.08,32800
2019-11-04,10.09,10.09,10.06,10.09,246500
2019-11-05,10.07,10.09,10.06,10.09,10100
2019-11-06,10.07,10.1,10.05,10.05,137700
2019-11-07,10.07,10.1,10.04,10.08,18500
2019-11-08,10.075,10.1,10.07,10.1,1600
2019-11-11,10.089,10.089,10.086,10.086,600
2019-11-12,10.086,10.086,10.086,10.086,100
2019-11-14,10.05,10.1,10.04,10.09,2011300
2019-11-15,10.09,10.09,10.09,10.09,100
2019-11-18,10.05,10.09,10.04,10.04,16900
2019-11-20,10.043,10.043,10.043,10.043,100
2019-11-21,10.043,10.043,10.043,10.043,100
2019-11-25,10.09,10.09,10.04,10.04,255300
2019-11-26,10.09,10.09,10.04,10.04,96800
2019-11-27,10.04,10.062,10.04,10.05,168600
2019-12-02,10.08,10.08,10.075,10.075,300
2019-12-05,10.06,10.06,10.06,10.06,100000
2019-12-06,10.06,10.065,10.06,10.065,2000
2019-12-09,10.084,10.084,10.06,10.06,7800
2019-12-10,10.09,10.09,10.09,10.09,10000
2019-12-11,10.084,10.084,10.08,10.08,2000
2019-12-12,10.074,10.074,10.074,10.074,1000
