DateTime,Open,High,Low,Close,Volume
2024-11-01,53.5,61.2299,51.75,52.49,2332875
2024-11-04,51.12,55.82,50.0,53.7,1307828
2024-11-05,53.89,55.24,51.51,51.51,1732450
2024-11-06,52.5,56.06,51.9,54.61,1159751
2024-11-07,55.0,63.33,55.0,62.1,1568645
2024-11-08,62.91,63.63,61.33,62.93,1151125
2024-11-11,62.59,67.1099,62.59,63.85,1474073
2024-11-12,63.75,65.0165,59.83,61.03,619113
2024-11-13,61.53,64.21,58.91,59.22,336598
2024-11-14,59.13,60.78,56.59,56.74,534424
2024-11-15,55.56,57.13,55.4456,56.34,509797
2024-11-18,56.32,59.86,56.18,59.32,697727
2024-11-19,58.98,62.94,58.6,61.39,344778
2024-11-20,61.23,61.93,60.07,60.08,451449
2024-11-21,60.39,64.35,59.985,64.28,819143
2024-11-22,64.73,66.25,63.97,65.07,468272
2024-11-25,66.0,67.99,63.52,63.91,510377
2024-11-26,64.02,65.57,63.52,64.55,362120
2024-11-27,64.0,65.0,63.315,64.66,409360
2024-11-29,65.52,65.52,63.305,63.66,255596
2024-12-02,63.4,64.13,61.88,62.9,370438
2024-12-03,62.57,65.87,61.54,65.47,628475
2024-12-04,67.24,68.31,64.65,67.25,485734
2024-12-06,69.01,70.2499,66.91,68.62,349793
2024-12-10,66.99,67.78,65.59,66.16,298497
2024-12-11,67.09,67.85,65.82,67.83,688861
2024-12-12,67.81,71.035,67.23,68.8,700161
2024-12-13,68.78,69.475,67.05,68.17,309860
2024-12-16,68.34,71.42,67.59,71.16,428163
2024-12-17,70.7,70.77,68.83,69.67,639490
2024-12-18,70.47,71.26,68.06,68.5,1093571
2024-12-19,68.82,69.98,64.22,64.6,1075740
2024-12-20,63.55,67.39,62.56,67.09,1062748
2024-12-23,66.57,68.82,66.375,68.8,371046
2024-12-24,68.76,70.65,68.4,70.58,168274
2024-12-26,70.36,73.73,69.77,73.61,225390
2024-12-27,72.75,73.01,69.05,69.85,269884
2024-12-30,69.16,69.17,66.22,66.87,427253
2024-12-31,66.99,67.52,65.28,65.75,553116
2025-01-02,66.25,70.65,65.77,69.28,709343
2025-01-03,68.92,69.93,67.345,68.96,583935
2025-01-06,69.1,70.75,67.48,67.7,403670
2025-01-07,67.67,70.14,67.45,69.12,495603
2025-01-08,68.59,69.82,66.53,66.66,384337
2025-01-10,66.13,67.53,64.6,64.67,266392
2025-01-13,64.55,66.06,64.5,65.87,269352
2025-01-14,66.64,69.92,66.64,69.34,204638
2025-01-15,71.9,73.83,69.88,69.95,460605
2025-01-16,69.9,70.2,66.18,66.29,635234
2025-01-17,66.8,71.24,66.5,69.68,1455127
2025-01-21,70.76,73.505,69.67,72.5,319991
2025-01-22,72.92,77.0299,72.575,76.1,586313
2025-01-23,75.45,76.21,74.025,75.34,519420
2025-01-24,75.32,77.9325,75.2,76.76,730408
2025-01-27,73.25,73.3,66.07,68.45,1705125
2025-01-28,70.07,70.75,64.86,67.99,747562
2025-01-29,67.7,69.035,66.36,66.56,515710
2025-01-30,68.32,71.23,67.6,70.49,464124
2025-01-31,70.96,71.08,67.305,68.81,748783
2025-02-03,66.81,68.74,66.47,66.65,424868
2025-02-04,66.65,68.12,65.885,67.61,357904
2025-02-05,68.16,70.35,67.24,69.08,352755
2025-02-06,69.75,71.0117,68.25,70.72,277077
2025-02-07,71.21,72.3,70.02,70.28,437224
2025-02-10,70.6,71.0,68.1825,69.92,371993
2025-02-11,69.14,69.86,66.87,68.42,455274
2025-02-12,65.89,65.89,55.51,55.99,2042212
2025-02-13,56.0,56.05,47.62,49.54,1851730
2025-02-14,49.41,50.41,47.34,48.14,1010066
2025-02-18,48.46,49.2099,46.3,47.89,973557
2025-02-19,47.51,47.86,46.16,46.58,818424
2025-02-20,47.29,47.38,45.73,46.54,639794
2025-02-21,46.81,46.91,43.395,43.56,741130
2025-02-24,43.24,43.83,38.46,38.62,1371833
2025-02-25,38.64,42.94,37.84,42.3,1367863
2025-02-26,42.42,45.83,42.31,45.0,1246940
2025-02-27,44.72,46.0,41.75,41.9,1675977
2025-02-28,41.79,43.1,41.13,41.6,773364
2025-03-03,41.94,41.955,38.985,39.29,509856
2025-03-04,38.4,38.4,37.61,38.01,204681
2025-03-05,38.1,39.95,37.51,39.86,664941
2025-03-06,38.66,39.8,37.65,39.54,771352
2025-03-07,39.75,40.25,38.0,39.97,484997
2025-03-10,39.13,39.61,38.17,38.24,836382
2025-03-11,38.6,39.97,37.56,37.9,756844
2025-03-12,39.04,39.6899,37.27,38.73,603766
2025-03-13,38.76,39.1,37.0,37.79,555059
2025-03-14,38.65,40.35,37.47,38.05,924335
2025-03-17,38.13,39.38,37.66,38.98,625377
2025-03-18,38.0,38.36,36.96,37.69,374785
2025-03-19,37.6,40.4299,37.58,39.96,590832
2025-03-20,39.5,41.0,39.208,40.2,591297
2025-03-21,39.47,40.35,38.94,39.21,1634664
2025-03-24,39.95,41.69,39.64,41.35,469457
2025-03-25,41.29,41.62,38.4,38.58,433656
2025-03-26,38.65,38.94,36.275,36.87,537990
2025-03-27,36.29,36.75,34.41,34.97,787805
2025-03-28,34.76,36.23,33.9,36.18,943846
2025-03-31,35.49,37.255,35.14,37.09,705530
2025-04-01,37.03,37.86,36.03,37.6,850905
2025-04-02,36.78,38.37,36.71,38.37,973627
2025-04-03,37.01,37.68,34.745,35.31,802677
2025-04-04,33.39,34.3863,31.38,33.6,818623
2025-04-07,32.75,35.55,32.255,35.21,1222799
2025-04-08,36.5,36.96,34.36,35.07,1004477
2025-04-09,34.55,40.21,34.55,39.58,783635
2025-04-10,38.2,39.38,37.1978,37.97,567796
2025-04-11,37.74,39.01,37.06,38.5,742400
2025-04-14,39.41,40.0,36.91,37.51,609832
2025-04-15,37.7,38.82,37.42,38.54,555938
2025-04-16,37.63,38.59,37.24,38.17,760735
2025-04-17,38.25,38.975,37.805,38.85,734755
2025-04-21,38.34,38.34,35.1948,35.74,396905
2025-04-22,36.08,37.475,36.08,36.94,408426
2025-04-23,39.79,40.16,38.13,38.46,324770
2025-04-24,38.9,41.3,37.7238,40.97,462457
2025-04-25,40.55,41.2,40.1,40.85,437834
2025-04-28,40.69,42.175,40.04,40.79,418678
2025-04-29,40.73,40.94,39.7,40.64,377681
2025-04-30,39.16,40.25,38.515,40.24,449427
2025-05-01,41.17,43.61,40.725,42.84,708534
2025-05-02,43.5,46.11,43.25,45.12,785534
2025-05-05,44.61,45.83,44.61,45.4,643737
2025-05-06,44.55,45.77,43.86,45.35,400006
2025-05-07,45.45,46.97,44.97,46.59,553100
2025-05-08,47.4,49.04,47.12,48.27,719636
2025-05-09,48.63,49.2,47.77,47.93,781592
2025-05-12,50.3,51.14,49.11,50.1,769063
2025-05-13,50.3,53.01,50.3,51.42,1132845
2025-05-14,59.3,65.0,56.4975,60.3,3731675
2025-05-15,59.3,61.42,59.3,61.24,1147000
2025-05-16,61.24,61.51,58.79,59.48,693520
2025-05-19,58.34,60.415,58.1801,59.26,483452
2025-05-20,59.01,60.07,58.23,58.98,458421
2025-05-21,58.47,59.105,56.285,56.81,572322
2025-05-22,57.16,58.03,55.31,57.39,618537
2025-05-23,56.81,57.89,56.42,56.7,365464
2025-05-27,57.65,59.54,56.4901,59.45,673381
2025-05-28,59.19,59.35,58.0,58.78,356707
2025-05-29,59.19,59.19,57.59,57.87,307051
2025-05-30,57.48,58.31,56.1,57.91,545768
2025-06-02,57.94,58.5,56.3804,57.58,322233
2025-06-03,57.92,60.34,57.3701,60.2,285396
2025-06-04,60.86,61.235,59.76,59.78,339278
2025-06-05,60.3,60.9999,59.18,60.4,267141
2025-06-06,61.3,61.69,60.635,61.19,230361
2025-06-09,61.59,61.9,60.17,61.03,367747
2025-06-10,61.52,61.61,58.7,59.83,370351
2025-06-11,60.4,60.5571,59.65,60.31,162887
2025-06-12,60.31,60.97,59.52,60.44,351652
2025-06-13,59.58,60.33,58.86,59.54,188528
2025-06-16,60.6,61.5,59.74,59.77,322387
2025-06-17,58.71,60.28,58.0,59.75,329729
2025-06-18,60.2,61.57,59.26,59.79,336125
2025-06-20,59.65,60.2,58.08,59.18,530538
2025-06-23,59.02,61.48,58.9701,60.76,380988
2025-06-24,61.42,62.13,61.0,61.94,220727
2025-06-25,62.46,62.815,60.63,61.74,373064
2025-06-26,62.31,62.62,61.498,61.95,251183
2025-06-27,62.09,64.045,62.09,63.42,467349
2025-06-30,63.69,64.585,63.03,63.53,501697
2025-07-01,63.31,63.9344,60.7825,62.81,434196
2025-07-02,62.96,64.28,62.43,64.05,255646
2025-07-03,64.33,65.9999,64.0,65.16,155084
2025-07-07,65.09,65.3,63.65,64.35,247030
2025-07-08,64.56,65.82,62.925,65.31,433335
2025-07-09,65.99,67.81,65.392,67.45,441044
2025-07-10,67.61,68.8,66.595,67.34,475532
2025-07-11,68.25,69.875,67.64,68.81,294707
2025-07-14,68.98,69.28,67.905,68.68,293229
2025-07-15,69.29,69.306,67.036,68.33,494991
2025-07-16,67.785,69.7,65.972,69.27,487557
2025-07-17,69.3,70.0,67.76,69.2,478013
2025-07-18,69.31,69.54,67.831,69.17,850052
2025-07-21,69.96,70.38,68.43,68.81,525903
2025-07-22,68.05,68.19,65.27,66.7,1129480
2025-07-23,68.2046,69.18,68.2046,69.01,163839
2025-07-24,69.24,69.77,67.8,69.0,236993
2025-07-25,69.33,73.59,68.95,73.53,701826
2025-07-28,73.71,74.24,72.3672,72.47,682441
2025-07-29,73.13,75.0,72.56,74.1,501793
2025-07-30,74.14,75.71,73.92,75.29,527476
2025-07-31,75.61,76.18,73.9925,74.26,502762
2025-08-01,71.71,72.81,68.51,70.17,637009
2025-08-04,71.71,72.09,70.495,72.0,391574
2025-08-05,73.01,74.84,71.78,72.94,324721
2025-08-06,72.8,73.08,71.06,73.07,354014
2025-08-07,73.4,74.625,71.3,71.53,241805
2025-08-08,71.61,71.74,69.94,71.42,339305
2025-08-11,71.65,71.82,69.61,70.88,390335
2025-08-12,71.56,76.65,70.93,75.8,866702
2025-08-13,83.6,90.0,77.07,79.16,3150709
2025-08-14,78.5,79.35,74.77,75.31,1186507
2025-08-15,75.07,75.82,73.02,75.69,694114
2025-08-18,75.95,76.7499,74.805,76.17,670018
2025-08-19,76.43,76.43,74.5484,75.37,508559
2025-08-20,74.59,75.12,72.43,74.78,589067
2025-08-21,74.78,75.9899,73.86,75.79,580283
2025-08-22,75.98,78.31,75.11,76.11,352524
2025-08-25,76.61,77.6531,75.4,75.61,343525
2025-08-26,75.57,78.58,75.555,78.56,528303
2025-08-27,78.36,78.36,76.57,77.33,301283
2025-08-28,77.27,80.5225,77.08,80.31,539746
2025-08-29,80.91,80.91,77.42,78.44,537943
2025-09-02,76.52,76.7,75.4,76.24,335846
2025-09-03,76.61,77.275,75.04,75.35,240882
2025-09-04,76.18,77.68,75.011,77.39,408763
2025-09-05,77.65,77.9104,73.14,74.17,593142
2025-09-08,74.27,75.3612,73.0,75.055,302109
2025-09-09,75.66,76.36,73.015,75.91,544585
2025-09-10,76.55,79.47,76.55,77.57,433893
2025-09-11,78.59,79.42,77.734,79.2,289712
2025-09-12,78.88,79.18,77.67,78.67,337068
2025-09-15,79.28,80.4425,78.554,79.24,295488
2025-09-16,78.47,79.075,77.94,78.97,250499
2025-09-17,79.37,81.475,78.77,78.82,438782
2025-09-18,79.85,83.36,78.18,81.89,443125
2025-09-19,82.11,82.6823,80.945,82.23,997818
2025-09-22,81.82,83.0,80.682,82.51,289682
