DateTime,Open,High,Low,Close,Volume
2025-01-02,22.8,24.45,22.8,23.9,170700
2025-01-03,24.21,25.37,24.0,24.425,249300
2025-01-06,24.37,25.08,24.049999,24.07,154300
2025-01-07,23.93,24.625,23.51,23.86,192800
2025-01-08,23.42,24.23,21.714,24.15,137700
2025-01-10,23.55,24.21,21.41,21.74,323100
2025-01-13,21.33,22.41,21.33,22.07,257700
2025-01-14,22.18,22.575,20.16,20.46,503900
2025-01-15,21.1,23.08,20.3,22.66,426500
2025-01-16,22.81,22.81,21.44,21.99,273800
2025-01-17,22.16,22.24,20.92,21.47,168400
2025-01-21,21.8,22.68,21.62,22.0,364900
2025-01-22,21.84,22.815,21.453,22.049999,198300
2025-01-23,21.76,22.34,21.615,22.040001,121600
2025-01-24,21.98,22.368,21.64,21.86,509900
2025-01-27,21.81,22.28,21.145,21.29,209500
2025-01-28,21.17,21.5,20.715,21.040001,375200
2025-01-29,20.82,21.3,20.4,20.86,326700
2025-01-30,21.13,21.76,21.02,21.27,173600
2025-01-31,21.21,22.415,21.21,21.86,222200
2025-02-03,21.28,22.295,21.28,21.9,192000
2025-02-04,21.94,22.125,21.39,22.0,166600
2025-02-05,21.95,23.14,21.695,22.75,285300
2025-02-06,22.69,23.18,22.3,22.47,181500
2025-02-07,22.39,22.39,21.69,22.0,188300
2025-02-10,22.049999,22.36,21.54,21.55,137800
2025-02-11,21.2,21.82,20.817,21.41,157500
2025-02-12,20.98,22.08,20.965,22.049999,170100
2025-02-13,20.67,22.91,20.67,21.5,318200
2025-02-14,21.64,22.375,21.17,21.68,387400
2025-02-18,22.18,22.355,21.55,21.82,117500
2025-02-19,21.76,22.065001,21.49,21.9,157300
2025-02-20,21.92,21.93,21.16,21.47,110200
2025-02-21,21.94,22.5,21.75,21.8,170000
2025-02-24,21.91,21.98,21.31,21.35,153200
2025-02-25,21.53,21.53,20.1,20.13,203700
2025-02-26,20.1,20.75,20.02,20.28,117900
2025-02-27,20.1,20.84,20.0,20.15,91100
2025-02-28,20.28,21.035,20.030001,20.83,185200
2025-03-03,20.7,21.238,19.53,19.62,299000
2025-03-04,19.36,20.02,18.67,19.92,349400
2025-03-05,20.02,21.26,19.833,21.25,283000
2025-03-06,20.84,22.36,20.785,21.46,325300
2025-03-07,21.64,22.29,20.98,21.0,347300
2025-03-10,20.9,20.9,19.925,20.27,162200
2025-03-11,20.42,20.75,19.5,20.69,212900
2025-03-12,20.72,21.155,20.47,21.02,138200
2025-03-13,21.12,21.12,20.21,20.29,141700
2025-03-14,21.1,22.21,20.55,20.74,205400
2025-03-17,20.61,21.059999,19.975,21.040001,140100
2025-03-18,20.57,21.175,20.26,20.28,244800
2025-03-19,20.23,21.18,20.18,20.89,144100
