DateTime,Open,High,Low,Close,Volume
2023-01-17,8.23,8.59,8.17,8.3,3250900
2023-01-18,8.34,8.635,8.06,8.07,3480800
2023-01-19,7.91,7.97,7.56,7.73,2975600
2023-01-20,7.89,8.15,7.73,7.96,2580200
2023-01-23,8.0,8.295,7.87,8.22,3200700
2023-01-24,8.1,8.12,7.552,7.99,4494300
2023-01-25,7.8,8.02,7.62,7.97,2899000
2023-01-26,8.15,8.21,7.66,7.68,3376000
2023-01-27,7.65,8.25,7.55,8.14,5070000
2023-01-30,7.99,8.09,7.6,7.61,2779400
2023-01-31,7.64,7.94,7.565,7.94,2945100
2023-02-01,7.99,8.35,7.68,8.2,4112200
2023-02-02,8.45,8.885,8.035,8.78,5244300
2023-02-03,8.51,9.44,8.46,9.09,4163100
2023-02-06,8.89,9.02,8.72,8.97,2232400
2023-02-07,8.93,8.93,8.47,8.87,2630800
2023-02-08,8.79,9.1,8.52,8.57,2266500
2023-02-09,8.85,9.28,8.485,8.61,3828200
2023-02-10,8.59,8.59,8.1,8.27,2646000
2023-02-13,8.31,8.64,8.1,8.29,2129000
2023-02-14,8.2,8.52,7.92,8.45,1958200
2023-02-15,8.34,9.14,8.34,9.11,2136600
2023-02-16,8.92,9.21,8.711,8.77,2615700
2023-02-17,8.7,8.8,8.45,8.69,2850100
2023-02-21,8.5,8.6,7.96,7.97,2748100
2023-02-22,8.04,8.45,7.95,8.28,3720900
2023-02-23,9.6,10.27,8.87,9.27,12344900
2023-02-24,9.0,9.065,8.615,8.86,4523800
2023-02-27,9.0,9.2,8.505,8.58,3103900
2023-02-28,8.61,9.43,8.555,9.22,4405500
2023-03-01,9.29,9.4,8.75,8.87,3697600
2023-03-02,8.74,8.875,8.51,8.79,2223400
2023-03-03,8.88,9.8,8.65,9.72,4188600
2023-03-06,9.79,10.35,9.71,9.87,4085400
2023-03-07,9.9,10.226,9.611,9.99,3392000
2023-03-08,10.19,10.3,9.63,9.91,3334200
2023-03-09,9.9,10.33,9.39,9.52,3282300
2023-03-10,9.85,10.06,9.17,9.56,5514600
2023-03-13,9.7,11.19,9.43,10.87,8765500
2023-03-14,11.24,11.29,10.66,10.99,5150300
2023-03-15,10.81,10.83,9.845,10.25,4693900
2023-03-16,10.64,11.3,10.59,10.87,5125600
2023-03-17,10.94,11.41,10.49,11.23,6814800
2023-03-20,11.25,11.51,10.63,10.85,4617700
2023-03-21,11.1,11.71,10.965,11.57,6445700
2023-03-22,11.53,11.67,10.98,11.01,4670700
2023-03-23,11.35,12.19,11.205,11.5,6994100
2023-03-24,11.3,11.41,11.01,11.24,4513100
2023-03-27,11.36,11.72,11.24,11.66,3935000
2023-03-28,11.63,11.7,11.05,11.24,3404400
2023-03-29,12.02,13.71,11.81,13.65,17161700
2023-03-30,13.89,14.45,13.262,14.2,11248700
2023-03-31,14.22,15.48,13.929,14.91,9918900
2023-04-03,14.83,14.844,13.57,14.31,7098400
2023-04-04,14.53,14.94,13.71,14.25,4503300
2023-04-05,14.04,14.19,12.87,12.89,6681900
2023-04-06,12.71,12.71,12.15,12.31,5561600
2023-04-10,12.295,13.37,12.0,13.13,6058300
2023-04-11,13.2,14.04,13.12,13.84,4574700
2023-04-12,14.23,14.57,13.81,14.04,6682000
2023-04-13,14.19,14.63,13.64,13.93,4442000
2023-04-14,13.94,13.94,12.95,13.68,4894400
2023-04-17,13.71,14.08,13.26,13.57,4099500
2023-04-18,13.58,14.37,13.12,13.31,17429300
2023-04-19,13.1,13.46,12.33,12.59,10948200
2023-04-20,12.34,12.745,12.1,12.64,6011300
2023-04-21,12.63,12.8,12.27,12.59,4729900
2023-04-24,12.615,13.25,12.26,13.245,5849800
2023-04-25,13.07,13.28,12.5,12.67,6081100
2023-04-26,12.8,13.069,12.27,12.5,6677900
2023-04-27,12.14,12.54,9.06,10.54,24575200
2023-04-28,10.49,11.03,10.18,10.82,6401500
2023-05-01,10.765,11.19,10.53,10.93,5176900
2023-05-02,10.87,11.1,10.71,11.0,3890200
2023-05-03,10.97,11.87,10.815,11.52,4779200
2023-05-04,11.49,11.85,11.31,11.77,3538500
2023-05-05,12.12,12.695,11.975,12.64,5030800
2023-05-08,12.68,13.36,12.51,13.33,5670600
2023-05-09,13.03,13.3,12.68,13.11,3539800
2023-05-10,13.32,13.59,12.99,13.02,4130700
2023-05-11,13.02,13.12,12.49,12.73,3490200
2023-05-12,12.82,12.96,12.451,12.56,2593400
2023-05-15,12.56,13.07,12.36,12.78,2189700
2023-05-16,12.62,12.63,12.215,12.38,2931500
2023-05-17,12.355,12.755,12.34,12.56,3398400
2023-05-18,12.49,12.5,11.7,12.08,4219700
2023-05-19,12.18,12.338,11.56,11.67,3189600
2023-05-22,11.67,12.32,11.588,12.09,4413300
2023-05-23,12.0,12.48,11.88,12.13,3502100
2023-05-24,12.0,12.019,11.619,11.99,2678700
2023-05-25,12.15,12.38,11.79,12.3,3203800
2023-05-26,12.35,12.43,11.99,12.13,3191000
2023-05-30,12.26,13.26,12.26,13.25,6236200
2023-05-31,13.23,13.488,12.745,13.27,5785900
2023-06-01,13.21,14.5,13.05,14.48,8010600
2023-06-02,14.75,14.8,13.85,14.27,5142100
2023-06-05,13.61,13.97,12.75,13.11,7684100
2023-06-06,13.17,13.795,13.0,13.72,5444100
2023-06-07,13.8,14.355,13.6,13.61,6655200
2023-06-08,13.59,14.34,13.16,14.14,6812100
2023-06-09,14.18,14.23,13.51,13.73,3623300
2023-06-12,13.83,14.07,13.18,13.44,3601000
