DateTime,Open,High,Low,Close,Volume
2007-05-03,9.4125,9.45,9.385,9.41,1028000
2007-05-04,9.4025,9.4675,9.325,9.3525,817600
2007-05-07,9.3875,9.485,9.1525,9.2625,2882000
2007-05-08,9.775,10.265,9.775,9.9775,10167600
2007-05-09,9.915,10.0275,9.8525,9.975,1616000
2007-05-10,9.9125,10.0275,9.8975,9.9825,605200
2007-05-11,9.9925,10.0,9.91,9.975,288400
2007-05-14,9.975,10.125,9.9475,9.98,424400
2007-05-15,9.95,10.055,9.95,10.055,393200
2007-05-16,10.05,10.09,9.955,10.0275,517200
2007-05-17,10.0,10.025,9.9525,10.01,404400
2007-05-18,9.975,10.0375,9.9525,9.9975,1220800
2007-05-21,9.9875,10.055,9.94,10.005,1072000
2007-05-22,9.975,10.02,9.92,9.965,425600
2007-05-23,9.95,10.0,9.92,9.9525,473200
2007-05-24,9.925,10.0075,9.9125,9.9375,623600
2007-05-25,9.9375,10.0375,9.8875,9.9975,280800
2007-05-29,9.935,10.015,9.89,10.0075,398000
2007-05-30,10.0125,10.1275,9.975,10.11,450400
2007-05-31,10.075,10.1875,9.975,10.1725,718800
2007-06-01,10.1625,10.2275,10.125,10.1875,562800
2007-06-04,10.3125,10.3125,10.2,10.255,1054400
2007-06-05,10.2525,10.375,10.14,10.365,942400
2007-06-06,10.3375,10.34,10.1875,10.2725,736800
2007-06-07,10.3,10.3,10.05,10.16,704400
2007-06-08,10.1,10.175,10.0425,10.165,487200
2007-06-11,10.05,10.23,10.035,10.19,594400
2007-06-12,10.15,10.2025,10.065,10.16,634000
2007-06-13,10.15,10.3025,10.125,10.2575,698400
2007-06-14,10.2375,10.2775,10.165,10.25,530800
2007-06-15,10.25,10.295,10.1675,10.1825,475200
2007-06-18,10.1475,10.195,10.12,10.125,328000
2007-06-19,10.075,10.22,10.045,10.1225,351600
2007-06-20,10.125,10.425,10.0925,10.2875,677200
2007-06-21,10.35,10.55,10.335,10.445,449600
2007-06-22,10.4525,10.71,10.4525,10.6175,1628800
2007-06-25,10.6575,10.6575,10.3925,10.555,855200
2007-06-26,10.5,10.6275,10.5,10.62,472800
2007-06-27,10.6425,10.7375,10.6075,10.73,468800
2007-06-28,10.565,10.59,10.38,10.5375,739200
2007-06-29,10.475,10.6225,10.3775,10.6225,580800
2007-07-02,10.55,10.7025,10.5425,10.6625,719600
2007-07-03,10.6625,10.7025,10.5675,10.66,278000
2007-07-05,10.655,10.675,10.6025,10.62,189600
2007-07-06,10.6375,10.7375,10.58,10.6775,408000
2007-07-09,10.6775,10.7075,10.5975,10.6125,426800
2007-07-10,10.6125,10.6425,10.49,10.55,898400
2007-07-11,10.625,10.625,10.4675,10.5225,286400
2007-07-12,10.525,10.555,10.2225,10.325,2740400
2007-07-13,10.45,10.4975,10.26,10.2775,1682400
2007-07-16,10.325,10.385,10.2,10.2575,4239600
2007-07-17,10.3375,10.3625,10.1875,10.225,936800
2007-07-18,10.135,10.22,10.09,10.21,556000
2007-07-19,10.2875,10.315,10.185,10.2175,507200
2007-07-20,10.25,10.275,10.1875,10.2325,592800
2007-07-23,10.1825,10.3,10.125,10.175,4242400
2007-07-24,10.1725,10.2375,10.085,10.1475,1313600
2007-07-25,10.1275,10.1825,10.085,10.1325,896000
2007-07-26,10.0625,10.09,9.6325,9.9475,4224000
2007-07-27,9.875,9.9025,9.735,9.8475,3312800
2007-07-30,9.65,9.7225,9.3825,9.6075,4776000
2007-07-31,9.5,9.75,9.2225,9.6425,4146800
2007-08-01,9.5875,9.675,9.425,9.6075,2928800
2007-08-02,9.5425,9.5875,8.975,9.1,4698000
2007-08-03,8.875,9.32,8.7,9.135,2768800
2007-08-06,9.075,9.2,7.7825,9.0375,5143600
2007-08-07,9.1375,9.4675,8.9775,9.08,4557600
2007-08-08,9.2375,9.25,8.9075,9.085,2636400
2007-08-09,9.0,9.215,8.6625,8.8625,1295200
2007-08-10,8.43,8.85,8.43,8.7675,1680000
2007-08-13,8.9125,8.9625,8.655,8.85,1043600
2007-08-14,8.8125,9.145,8.7275,8.8875,608000
2007-08-15,8.7,8.78,8.4525,8.585,1103600
2007-08-16,8.4425,9.275,7.455,8.9625,4590400
2007-08-17,8.9625,9.0,7.875,8.9675,2063200
2007-08-20,9.0,9.035,8.905,8.99,1092400
2007-08-21,8.99,9.0,8.89,8.9875,942800
2007-08-22,9.0,9.1475,8.88,9.1125,1351200
2007-08-23,9.1125,9.25,9.0525,9.2425,540800
2007-08-24,9.2425,9.2825,9.175,9.2475,628400
2007-08-27,9.23,9.3425,9.215,9.24,536000
2007-08-28,9.195,9.2775,9.0775,9.225,799200
2007-08-29,9.225,9.2625,9.1625,9.2125,520400
2007-08-30,9.1475,9.175,9.0475,9.125,818400
2007-08-31,9.1875,9.255,9.155,9.1875,765600
2007-09-04,9.15,9.275,9.15,9.25,1151600
2007-09-05,9.2,9.3375,9.17,9.2075,1193200
2007-09-06,9.225,9.2625,9.1925,9.23,309600
2007-09-07,9.1975,9.2475,9.12,9.2325,389600
2007-09-10,9.275,9.275,9.1475,9.21,910400
2007-09-11,9.125,9.2325,9.1025,9.1925,1124400
2007-09-12,9.1375,9.1375,9.0575,9.08,1204800
2007-09-13,9.0825,9.195,8.9375,9.0275,905600
2007-09-14,9.025,9.125,9.0,9.0975,529600
2007-09-17,8.9925,9.085,8.9575,9.0,1088000
2007-09-18,8.95,9.055,8.9375,9.015,873200
2007-09-19,9.0125,9.0925,8.9725,9.0275,762000
2007-09-20,9.0275,9.04,8.9725,9.0,675600
2007-09-21,8.9775,9.0125,8.8175,8.98,1051600
2007-09-24,8.98,9.0825,8.8975,8.9325,1338800
2007-09-25,8.975,8.9775,8.6975,8.745,1167200
2007-09-26,8.645,8.67,8.4375,8.525,1459200
2007-09-27,8.48,8.5725,8.4625,8.505,1651200
2007-09-28,8.4375,8.575,8.4225,8.575,492800
2007-10-01,8.5,8.605,8.3375,8.475,1724000
2007-10-02,8.62,8.62,8.4175,8.4725,1723600
2007-10-03,8.4275,8.53,8.2775,8.3125,1145200
2007-10-04,8.3125,8.3175,8.2275,8.31,1002000
2007-10-05,8.3625,8.505,8.34,8.5,1256800
2007-10-08,8.56,8.75,8.56,8.72,930400
2007-10-09,8.8375,8.96,8.715,8.94,1493200
2007-10-10,8.94,9.1775,8.94,9.1,2768800
2007-10-11,9.245,9.2475,8.925,8.97,788400
2007-10-12,9.075,9.1675,8.9525,8.995,906000
2007-10-15,8.995,9.0375,8.8225,8.9675,766000
2007-10-16,9.04,9.0625,8.86,8.985,698000
2007-10-17,9.0125,9.0175,8.8775,8.9475,1100000
2007-10-18,8.9475,8.9575,8.785,8.945,961600
2007-10-19,8.875,8.9575,8.7775,8.9075,522400
2007-10-22,8.8875,8.9325,8.7275,8.9,530000
2007-10-23,8.9125,8.9125,8.72,8.8125,1270400
2007-10-24,8.7575,8.7575,8.635,8.7475,650000
2007-10-25,8.75,8.7525,8.625,8.72,461600
2007-10-26,8.71,8.76,8.625,8.75,739600
2007-10-29,8.75,8.7575,8.675,8.755,432000
2007-10-30,8.695,8.9475,8.6275,8.9475,1344000
2007-10-31,8.825,8.8975,8.7225,8.8975,1392000
2007-11-01,8.855,8.8975,8.515,8.6775,1533200
2007-11-02,8.7375,8.7375,8.475,8.49,1224400
2007-11-05,8.44,8.515,8.31,8.3125,1240400
2007-11-06,8.25,8.25,7.97,8.0,6000400
2007-11-07,7.9375,8.045,7.9,7.925,4959200
2007-11-08,7.8875,8.525,7.8875,8.175,28125600
2007-11-09,8.125,8.275,8.0475,8.19,3787600
2007-11-12,8.435,8.435,8.175,8.1875,2722000
2007-11-13,8.1625,8.2725,8.065,8.1275,2026400
2007-11-14,8.1175,8.2375,8.05,8.205,1816800
2007-11-15,8.225,8.2475,8.11,8.16,702000
2007-11-16,8.13,8.25,8.065,8.25,1048400
2007-11-19,8.15,8.2575,8.1125,8.1975,6632400
2007-11-20,8.2225,8.25,8.1675,8.25,1256400
2007-11-21,8.3,8.3,8.1925,8.27,1116800
2007-11-23,8.2675,8.375,8.245,8.36,270000
2007-11-26,8.34,8.3825,8.2325,8.37,766000
2007-11-27,8.335,8.405,8.245,8.28,976400
2007-11-28,8.28,8.3775,8.1725,8.3375,2718800
2007-11-29,8.3625,8.4,8.245,8.35,3896400
2007-11-30,8.375,8.6275,8.3225,8.6275,3103600
2007-12-03,8.6375,8.715,8.505,8.5975,1023600
2007-12-04,8.6325,8.64,8.475,8.59,1355200
2007-12-05,8.6925,8.6925,8.53,8.61,805600
2007-12-06,8.5425,8.62,8.4275,8.4775,1437600
2007-12-07,8.4425,8.5125,8.41,8.48,585200
2007-12-10,8.475,8.5975,8.445,8.5275,1208800
2007-12-11,8.4575,8.6925,8.4575,8.6325,1746400
2007-12-12,8.585,8.6425,8.5375,8.6325,1562800
2007-12-13,8.575,8.625,8.44,8.555,1001200
2007-12-14,8.445,8.55,8.395,8.4975,4530000
2007-12-17,8.5,8.5,8.3975,8.43,3810800
2007-12-18,8.4875,8.5675,8.3925,8.4275,1367600
2007-12-19,8.4725,8.4725,7.9,8.3875,1678800
2007-12-20,8.4475,8.4475,8.3075,8.3725,604400
2007-12-21,8.3775,8.7575,8.35,8.655,1866800
2007-12-24,8.6,8.925,8.5825,8.8975,992000
2007-12-26,8.895,8.9025,8.7975,8.9025,1227200
2007-12-27,8.8675,8.8675,8.795,8.855,1042400
2007-12-28,8.855,8.855,8.8075,8.8325,1301200
2007-12-31,8.7875,8.8425,8.7,8.8075,9428400
2008-01-02,8.7575,8.815,8.75,8.8125,964400
2008-01-03,8.7925,8.8125,8.675,8.685,1534400
2008-01-04,8.625,8.71,8.5475,8.5575,2141200
2008-01-07,8.5675,8.675,8.4575,8.545,1140000
2008-01-08,8.5275,8.6,8.5275,8.5425,990000
2008-01-09,8.5375,8.56,8.3775,8.46,832800
2008-01-10,8.5,8.5,8.3025,8.3675,1759200
2008-01-11,8.235,8.3525,8.2125,8.3025,775200
2008-01-14,8.3775,8.3975,8.2,8.2725,1424800
2008-01-15,8.25,8.4175,8.22,8.29,2208000
2008-01-16,8.245,8.265,8.1625,8.2375,1002000
2008-01-17,8.235,8.2575,8.125,8.18,1078800
2008-01-18,8.25,8.25,8.0625,8.125,799600
2008-01-22,7.96,8.1275,6.7475,8.1,1877200
2008-01-23,8.0,8.025,7.7925,7.9925,1470800
2008-01-24,8.0,8.235,8.0,8.2,1279600
2008-01-25,8.3,8.425,7.99,8.015,1255600
2008-01-28,8.05,8.19,7.985,8.0775,1533600
2008-01-29,8.1,8.2125,8.0775,8.1075,798000
2008-01-30,8.0275,8.1825,7.98,8.15,466000
2008-01-31,8.095,8.2625,8.02,8.2575,846400
2008-02-01,8.3325,8.38,8.11,8.115,789200
2008-02-04,8.1175,8.2725,8.115,8.25,633200
2008-02-05,8.295,8.295,8.1275,8.24,826000
2008-02-06,8.22,8.31,8.125,8.1825,671600
2008-02-07,8.1675,8.2625,8.1625,8.2375,912800
2008-02-08,8.2375,8.2625,8.1675,8.1675,399200
2008-02-11,8.21,8.2375,7.9375,7.995,916000
2008-02-12,8.0225,8.0875,8.0025,8.0175,718800
2008-02-13,8.0825,8.0825,7.9725,7.9975,3032400
2008-02-14,7.9725,8.1175,7.9725,8.005,640000
2008-02-15,8.0,8.1,7.93,8.0,430800
2008-02-19,8.1125,8.115,7.99,8.0325,717200
2008-02-20,7.985,8.1,7.9625,8.0625,733600
2008-02-21,8.0425,8.085,7.985,8.0175,378400
2008-02-22,8.005,8.05,7.9825,8.005,467600
2008-02-25,8.0025,8.085,8.0,8.0675,322000
2008-02-26,8.0025,8.1175,8.0025,8.0475,429200
2008-02-27,8.0425,8.105,8.025,8.06,656000
