DateTime,Open,High,Low,Close,Volume
2000-04-04,1.1771,1.1927,1.0312,1.1667,39410400
2000-04-05,1.1562,1.1875,1.151,1.1615,19048800
2000-04-06,1.1667,1.1979,1.1562,1.1927,21543600
2000-04-07,1.1979,1.2708,1.1979,1.2031,41714400
2000-04-10,1.2292,1.25,1.2083,1.2135,15842400
2000-04-11,1.1927,1.2187,1.1875,1.1927,19770000
2000-04-12,1.1823,1.2135,1.1771,1.1927,25639200
2000-04-13,1.1927,1.2187,1.1927,1.2044,20623200
2000-04-14,1.2031,1.2083,1.1771,1.2031,7878000
2000-04-17,1.1927,1.2031,1.1719,1.1875,8976000
2000-04-18,1.2031,1.2083,1.1615,1.1719,8688000
2000-04-19,1.1875,1.2187,1.1875,1.1979,13987200
2000-04-20,1.1927,1.2292,1.1875,1.2187,13676400
2000-04-24,1.1979,1.2187,1.1771,1.1875,11445600
2000-04-25,1.1927,1.2604,1.1562,1.2552,13906800
2000-04-26,1.2604,1.375,1.25,1.276,15963600
2000-04-27,1.2552,1.2552,1.2135,1.2344,12255600
2000-04-28,1.2292,1.25,1.2083,1.25,10617600
2000-05-01,1.25,1.25,1.2031,1.2292,12930000
2000-05-02,1.2187,1.2292,1.2031,1.2135,8053200
2000-05-03,1.1823,1.2135,1.1719,1.1875,12493200
2000-05-04,1.1979,1.2292,1.1875,1.2292,10831200
2000-05-05,1.2396,1.2812,1.2396,1.2604,5132400
2000-05-08,1.2812,1.3021,1.2656,1.2708,4306800
2000-05-09,1.2865,1.2917,1.25,1.25,4030800
2000-05-10,1.25,1.2812,1.2396,1.2656,2325600
2000-05-11,1.2656,1.2917,1.2292,1.2448,6861600
2000-05-12,1.2448,1.3073,1.2448,1.3073,2305200
2000-05-15,1.2917,1.4062,1.2917,1.3646,3985200
2000-05-16,1.375,1.4115,1.3594,1.375,3790800
2000-05-17,1.375,1.375,1.3177,1.3333,7551600
2000-05-18,1.3333,1.3437,1.2865,1.2969,6236400
2000-05-19,1.2969,1.3021,1.276,1.276,1891200
2000-05-22,1.2865,1.3073,1.276,1.2969,1888800
2000-05-23,1.2917,1.3333,1.2917,1.3021,2601600
2000-05-24,1.3021,1.3958,1.3021,1.3698,6796800
2000-05-25,1.3594,1.4687,1.3594,1.4427,9045600
2000-05-26,1.4531,1.5104,1.4427,1.5,6882000
2000-05-30,1.5,1.651,1.5,1.6458,11426400
2000-05-31,1.6458,1.7187,1.6458,1.6927,9780000
2000-06-01,1.6719,1.6875,1.6146,1.6562,4317600
2000-06-02,1.6562,1.6771,1.5469,1.599,3984000
2000-06-05,1.5781,1.5781,1.5052,1.5104,6038400
2000-06-06,1.5208,1.5208,1.401,1.4271,11726400
2000-06-07,1.4583,1.5521,1.4583,1.5417,7087200
2000-06-08,1.5208,1.5417,1.5156,1.5417,4168800
