DateTime,Open,High,Low,Close,Volume
2005-08-10,48.38,49.04,47.34,47.4,2559000
2005-08-11,47.16,47.56,45.56,45.74,1705150
2005-08-12,45.46,45.5,43.0,44.6,1688950
2005-08-15,45.0,45.16,42.6,42.88,1489850
2005-08-16,42.58,43.2,41.38,42.9,2345600
2005-08-17,42.36,43.98,42.3,43.38,1120650
2005-08-18,42.58,44.0,42.58,43.5,1339950
2005-08-19,43.22,43.8,43.08,43.3,736700
2005-08-22,43.4,43.6,42.4,43.2,1630650
2005-08-23,42.76,43.28,42.42,42.9,1077250
2005-08-24,42.6,43.56,42.44,43.2,1159600
2005-08-25,42.86,44.62,42.86,44.32,789650
2005-08-26,44.28,45.06,43.8,44.22,539950
2005-08-29,44.1,45.0,43.8,44.68,465050
2005-08-30,44.08,45.0,44.0,44.8,606100
2005-08-31,44.54,44.86,44.0,44.52,826950
2005-09-01,44.28,44.88,44.12,44.44,740500
2005-09-02,44.38,45.26,43.44,44.74,918500
2005-09-06,43.38,45.1,43.38,44.18,1242250
2005-09-07,43.9,45.18,43.82,44.56,683450
2005-09-08,44.34,45.94,44.04,44.9,640200
2005-09-09,44.0,44.7,43.5,44.12,1995900
2005-09-12,43.9,45.58,43.9,44.2,1010650
2005-09-13,44.68,44.82,44.0,44.14,748300
2005-09-14,43.88,44.28,43.5,43.64,727350
2005-09-15,43.46,43.7,42.1,42.82,1261450
2005-09-16,42.5,42.92,41.5,42.0,951900
2005-09-19,41.6,42.62,41.52,42.1,1082050
2005-09-20,42.14,42.14,41.52,41.88,665300
2005-09-21,42.88,43.0,37.22,41.3,896600
2005-09-22,41.32,41.34,39.26,40.5,972650
2005-09-23,40.58,40.6,39.5,40.16,690250
2005-09-26,40.06,40.66,39.8,40.08,765550
2005-09-27,40.08,40.54,39.3,39.84,676500
2005-09-28,39.76,39.86,39.28,39.46,651600
2005-09-29,39.22,40.22,39.08,40.04,1144150
2005-09-30,39.3,39.98,39.04,39.62,1072950
2005-10-03,40.82,42.5,40.4,40.82,1023300
2005-10-04,40.88,42.04,40.8,41.18,672800
2005-10-05,41.2,41.54,39.84,40.18,538700
2005-10-06,40.6,40.6,39.32,40.08,367750
2005-10-07,39.84,40.8,39.44,40.2,546500
2005-10-10,40.0,41.0,39.8,40.6,442300
2005-10-11,40.62,41.16,39.8,40.1,446050
2005-10-12,39.9,40.5,39.08,39.3,620350
2005-10-13,39.04,39.82,38.6,39.52,621500
2005-10-14,39.62,41.92,39.4,40.28,479800
2005-10-17,40.16,41.0,39.5,40.84,600700
2005-10-18,40.94,41.16,39.4,39.74,300700
2005-10-19,39.7,39.98,38.9,39.18,467450
2005-10-20,39.04,39.4,37.96,39.0,588100
2005-10-21,38.72,39.88,38.42,39.16,417250
2005-10-24,39.24,39.24,37.72,38.54,794050
2005-10-25,38.18,38.48,37.5,37.66,491150
2005-10-26,37.62,38.06,37.02,37.48,471600
2005-10-27,38.16,38.2,37.4,37.66,572650
2005-10-28,37.18,37.78,37.16,37.56,607300
2005-10-31,37.22,38.46,36.98,37.7,903800
2005-11-01,37.36,38.38,37.36,38.08,820850
2005-11-02,37.88,39.08,37.6,38.8,824000
2005-11-03,41.0,41.94,40.26,41.42,2266850
2005-11-04,46.96,48.24,44.4,45.46,4354650
2005-11-07,45.6,45.74,44.12,45.26,723600
2005-11-08,44.84,45.8,43.8,45.18,704750
2005-11-09,45.24,45.58,44.04,44.6,823250
2005-11-10,44.2,44.92,43.82,44.0,647100
2005-11-11,43.98,44.24,42.76,43.0,686900
2005-11-14,43.0,43.64,42.3,43.14,949850
2005-11-15,42.92,43.18,42.16,43.02,661400
2005-11-16,43.38,44.16,42.74,42.82,575300
2005-11-17,42.9,43.74,42.32,43.3,1132600
2005-11-18,43.3,43.82,43.1,43.4,833900
2005-11-21,43.36,45.8,43.36,45.2,2279850
2005-11-22,45.44,47.38,44.84,46.8,1898650
2005-11-23,46.2,46.8,45.1,45.6,1132350
2005-11-25,45.88,46.84,45.88,46.28,193350
2005-11-28,46.7,46.94,45.84,46.38,645500
2005-11-29,46.26,48.5,46.2,47.32,1951850
2005-11-30,47.94,49.98,47.48,49.78,2771550
2005-12-01,49.78,50.16,49.26,49.68,1448950
2005-12-02,49.3,49.86,48.8,49.8,470850
2005-12-05,49.94,49.94,48.28,48.76,1101300
2005-12-06,49.26,49.58,48.42,48.62,676450
2005-12-07,48.42,49.6,48.42,49.16,995950
2005-12-08,49.0,49.54,48.4,49.24,528500
2005-12-09,49.1,50.24,48.66,49.8,980950
2005-12-12,50.5,50.6,49.2,50.4,704450
2005-12-13,50.3,50.86,49.46,50.24,891550
2005-12-14,50.42,50.96,49.62,50.72,693100
2005-12-15,50.86,51.16,50.06,50.86,834850
2005-12-16,51.3,52.64,49.92,52.2,8207950
2005-12-19,51.32,51.88,49.6,50.84,2319800
2005-12-20,50.98,51.12,48.9,49.52,1073350
2005-12-21,49.32,49.52,48.3,48.64,1044650
2005-12-22,48.82,49.12,47.22,48.36,1500000
2005-12-23,48.52,48.78,47.54,47.92,498550
2005-12-27,47.8,48.44,46.3,47.44,550500
2005-12-28,47.14,48.12,46.2,47.9,946950
2005-12-29,48.0,48.46,47.36,47.66,449450
2005-12-30,47.36,48.38,46.8,47.92,529050
2006-01-03,48.0,48.4,46.9,48.0,1029700
2006-01-04,48.0,48.6,47.18,48.5,1135550
2006-01-05,48.66,48.7,47.6,48.0,618850
2006-01-06,48.48,48.68,47.22,48.02,1600500
2006-01-09,48.08,49.02,47.6,48.84,1079550
2006-01-10,49.72,50.8,49.04,50.62,1861150
2006-01-11,50.56,51.3,50.1,50.88,966900
2006-01-12,50.5,51.4,50.1,51.26,854700
2006-01-13,51.06,51.6,50.74,51.44,635100
2006-01-17,51.68,51.98,51.44,51.74,1292000
2006-01-18,51.34,52.26,51.34,51.92,1305900
2006-01-19,51.9,52.22,51.26,51.96,437250
2006-01-20,51.46,52.0,50.42,50.7,760550
2006-01-23,50.54,51.54,50.0,51.32,634200
2006-01-24,51.32,51.76,50.5,50.98,1179400
2006-01-25,50.84,51.0,49.4,50.6,589100
2006-01-26,51.2,51.8,50.62,51.34,605000
2006-01-27,51.38,53.1,51.14,52.34,972600
2006-01-30,52.66,53.22,52.26,52.62,736800
2006-01-31,52.58,52.92,51.2,52.04,587300
2006-02-01,51.86,52.6,50.96,52.36,418450
2006-02-02,52.02,55.1,51.24,51.78,753850
2006-02-03,50.96,51.34,49.6,50.94,846850
2006-02-06,50.46,51.18,50.4,51.04,393200
2006-02-07,50.54,51.44,50.4,51.08,491250
2006-02-08,51.06,51.74,50.66,51.4,486650
2006-02-09,51.26,52.22,50.2,50.48,440450
2006-02-10,48.62,48.8,47.1,48.48,2202100
2006-02-13,48.04,48.56,47.64,48.4,735450
2006-02-14,48.16,48.4,46.56,47.66,1425650
2006-02-15,47.42,49.28,46.98,48.5,1952150
2006-02-16,39.4,41.52,38.9,39.64,13689650
2006-02-17,39.6,41.0,39.46,40.24,2051050
2006-02-21,40.14,40.42,39.56,39.96,2299400
2006-02-22,40.2,41.12,39.96,40.6,1656900
2006-02-23,40.56,40.6,39.88,40.04,852400
2006-02-24,39.88,40.0,39.0,39.04,1933250
2006-02-27,39.24,39.68,38.98,39.02,1206600
2006-02-28,39.12,39.12,37.58,37.94,2488550
2006-03-01,38.02,39.14,37.7,38.8,1285350
2006-03-02,38.5,38.8,38.02,38.32,625950
2006-03-03,38.14,38.98,37.84,38.8,776050
2006-03-06,38.62,39.0,38.52,38.72,996400
2006-03-07,38.76,38.76,37.9,38.26,719900
2006-03-08,38.0,38.26,36.94,37.54,1467700
2006-03-09,37.66,37.88,37.04,37.14,1017100
2006-03-10,37.16,37.6,36.1,36.94,1060300
2006-03-13,37.04,37.52,36.5,37.3,579150
2006-03-14,37.4,37.68,36.9,37.2,739550
2006-03-15,37.12,37.76,36.82,37.4,438800
2006-03-16,37.28,37.34,36.18,36.28,1155450
2006-03-17,36.28,36.4,35.92,36.36,2022700
2006-03-20,36.32,36.62,36.12,36.24,672950
2006-03-21,36.14,36.46,34.98,35.24,1427800
2006-03-22,34.96,37.22,34.84,37.0,1568700
2006-03-23,37.16,37.62,36.66,36.98,1242550
2006-03-24,36.98,37.12,36.72,36.98,556950
2006-03-27,36.68,36.92,36.5,36.56,485400
2006-03-28,36.6,36.72,36.38,36.54,493550
2006-03-29,36.42,37.84,36.26,37.44,1366300
2006-03-30,37.6,39.76,37.24,39.62,1421350
2006-03-31,39.54,40.76,39.28,40.54,1406750
2006-04-03,40.98,40.98,39.0,39.1,1037100
2006-04-04,38.8,41.1,38.8,40.86,1618950
2006-04-05,41.08,41.1,39.68,40.2,784950
