DateTime,Open,High,Low,Close,Volume
2009-11-19,1.657,1.712,1.606,1.689,22173000
2009-11-20,1.688,1.696,1.606,1.694,11390000
2009-11-23,1.706,1.717,1.66,1.69,11858000
2009-11-24,1.68,1.705,1.673,1.701,4677000
2009-11-25,1.715,1.728,1.695,1.72,4280000
2009-11-27,1.677,1.768,1.67,1.689,1740000
2009-11-30,1.705,1.732,1.681,1.699,4338000
2009-12-01,1.7,1.724,1.663,1.682,4125000
2009-12-02,1.69,1.69,1.615,1.662,9602000
2009-12-03,1.662,1.686,1.652,1.668,5699000
2009-12-04,1.685,1.73,1.636,1.728,8127000
2009-12-07,1.712,1.761,1.684,1.692,5232000
2009-12-08,1.695,1.695,1.645,1.655,2080000
2009-12-09,1.65,1.725,1.65,1.699,4055000
2009-12-10,1.718,1.718,1.677,1.692,763000
2009-12-11,1.683,1.697,1.666,1.694,1312000
2009-12-14,1.69,1.721,1.681,1.7,787000
2009-12-15,1.71,1.724,1.685,1.7,2445000
2009-12-16,1.7,1.834,1.7,1.825,7823000
2009-12-17,1.83,1.846,1.781,1.795,6717000
2009-12-18,1.818,1.837,1.755,1.758,19493000
2009-12-21,1.765,1.796,1.72,1.763,3028000
2009-12-22,1.771,1.777,1.711,1.723,2614000
2009-12-23,1.73,1.817,1.721,1.796,4023000
2009-12-24,1.799,1.855,1.791,1.836,2376000
2009-12-28,1.867,1.878,1.75,1.773,5537000
2009-12-29,1.773,1.84,1.773,1.835,3317000
2009-12-30,1.83,1.833,1.79,1.802,1173000
2009-12-31,1.806,1.824,1.753,1.757,1518000
2010-01-04,1.788,1.82,1.763,1.8,3580000
2010-01-05,1.803,1.86,1.8,1.839,4114000
2010-01-06,1.888,1.985,1.88,1.941,9367000
2010-01-07,1.953,1.961,1.9,1.945,1376000
2010-01-08,1.955,2.059,1.922,2.011,4571000
2010-01-11,2.025,2.025,1.969,2.005,1879000
2010-01-12,1.989,2.024,1.969,1.979,4737000
2010-01-13,1.976,1.988,1.841,1.944,3909000
2010-01-14,1.946,2.007,1.925,1.99,3534000
2010-01-15,1.996,1.996,1.915,1.963,3255000
2010-01-19,1.965,2.048,1.962,1.98,3086000
2010-01-20,1.972,2.0,1.888,1.906,2316000
2010-01-21,1.915,1.915,1.825,1.839,3555000
2010-01-22,1.84,1.884,1.783,1.788,4645000
