DateTime,Open,High,Low,Close,Volume
2019-03-11,16.5,17.7,16.19,16.8,2888500
2019-03-12,17.0,17.52,16.1,16.4,1667300
2019-03-13,16.16,16.85,15.77,15.77,942800
2019-03-14,15.81,17.55,15.8,17.5,1486900
2019-03-15,18.37,19.18,17.76,18.0,1570600
2019-03-18,18.38,19.28,17.89,18.57,1706100
2019-03-19,18.66,19.01,18.25,18.3,715300
2019-03-20,18.27,18.27,17.0,17.12,1364400
2019-03-21,17.21,17.89,17.19,17.45,576900
2019-03-22,17.53,17.66,16.8,17.19,500000
2019-03-25,17.0,17.18,16.63,16.87,436700
2019-03-26,17.1,17.375,16.7,17.02,513300
2019-03-27,17.17,18.35,17.12,18.27,987300
2019-03-28,18.4,18.59,17.78,17.91,494800
2019-03-29,18.36,18.55,17.93,18.52,593300
2019-04-01,19.22,19.27,18.11,18.62,945100
2019-04-02,18.5,18.58,17.53,17.62,733800
2019-04-03,17.91,18.42,17.67,17.78,561300
2019-04-04,17.95,17.95,17.0,17.11,603500
2019-04-05,17.17,17.9,17.1,17.13,296400
2019-04-08,17.13,17.18,16.71,16.8,295300
2019-04-09,16.96,16.96,16.5,16.58,288400
2019-04-10,16.5,16.6,15.97,16.0,554700
2019-04-11,16.07,16.88,15.71,16.78,504300
2019-04-12,17.29,17.47,16.22,16.26,558900
2019-04-15,16.54,16.6,15.95,16.26,290400
2019-04-16,16.58,17.52,16.5,16.84,1038400
2019-04-17,17.3,17.42,15.78,15.8,1139500
2019-04-18,15.88,16.059,15.54,15.6,538300
2019-04-22,15.63,15.67,15.0,15.03,538000
2019-04-23,15.2,15.29,14.93,15.1,471400
2019-04-24,15.1,15.245,14.68,14.7,357800
2019-04-25,14.7,14.7,13.757,13.76,882800
2019-04-26,13.89,14.68,13.7,14.64,522500
2019-04-29,14.68,15.2,14.265,14.31,497200
2019-04-30,14.43,14.66,13.91,13.95,284300
2019-05-01,14.04,14.329,13.68,13.75,429900
2019-05-02,13.94,14.24,13.6,13.65,447000
2019-05-03,13.71,14.3,13.66,14.24,371200
2019-05-06,13.6,14.08,13.44,13.87,315600
2019-05-07,13.77,13.9,13.51,13.71,280400
2019-05-08,13.61,14.28,13.58,13.83,285300
2019-05-09,13.63,13.65,13.3,13.41,262200
2019-05-10,13.58,13.61,13.31,13.42,181300
2019-05-13,13.08,13.08,12.5,12.51,407700
2019-05-14,12.78,12.87,12.02,12.08,380800
2019-05-15,12.0,12.88,12.0,12.77,366900
2019-05-16,12.97,13.099,12.147,12.21,477800
2019-05-17,12.1,12.141,11.09,11.12,793300
2019-05-20,11.03,11.91,10.29,11.85,917700
2019-05-21,12.19,12.51,12.08,12.33,457100
2019-05-22,12.25,12.25,11.173,11.28,553900
2019-05-23,11.08,12.204,10.84,11.47,1049300
2019-05-24,11.87,12.08,10.88,11.53,1168100
2019-05-28,11.53,11.609,10.88,11.07,622200
2019-05-29,11.15,12.06,10.9,11.58,913600
2019-05-30,11.69,11.88,11.364,11.52,156300
2019-05-31,11.37,11.37,10.91,10.98,416900
2019-06-03,11.22,11.36,10.15,10.23,538500
2019-06-04,10.29,10.77,10.29,10.56,266900
2019-06-05,10.57,10.66,9.64,9.75,518500
2019-06-06,9.83,10.19,9.53,9.63,372700
2019-06-07,9.63,9.86,9.53,9.58,252900
2019-06-10,9.8,10.22,9.72,10.05,349600
2019-06-11,10.16,10.6,10.0,10.14,312200
2019-06-12,9.98,9.98,9.6,9.62,297000
2019-06-13,9.7,9.83,9.65,9.65,163000
2019-06-14,9.64,9.71,9.41,9.55,137600
2019-06-17,9.55,10.15,9.48,9.87,273400
2019-06-18,10.09,10.65,10.02,10.23,503300
2019-06-19,10.25,10.49,9.96,10.01,317800
2019-06-20,10.36,10.43,9.99,10.05,476700
2019-06-21,10.2,10.45,9.95,10.45,299000
2019-06-24,10.37,10.37,9.92,9.92,370900
2019-06-25,9.98,10.2,9.93,9.94,184300
2019-06-26,10.05,10.38,10.05,10.18,168300
2019-06-27,10.16,10.39,10.14,10.37,188700
2019-06-28,10.43,10.64,10.28,10.57,199200
2019-07-01,10.99,11.03,10.51,10.54,327000
2019-07-02,10.68,10.84,10.55,10.78,182200
2019-07-03,10.69,11.05,10.62,11.0,140200
2019-07-05,10.94,11.07,10.71,10.79,229100
2019-07-08,10.62,10.86,10.39,10.62,200800
2019-07-09,10.5,11.5,10.5,11.36,209200
2019-07-10,11.46,11.74,10.7,10.94,402100
2019-07-11,11.07,11.22,10.74,10.79,124600
2019-07-12,10.78,11.09,10.71,10.9,113600
2019-07-15,10.94,11.15,10.851,10.97,85000
2019-07-16,11.07,11.44,11.06,11.25,103900
2019-07-17,11.33,11.42,11.2,11.35,139100
2019-07-18,11.4,11.4,10.88,11.03,84900
2019-07-19,11.28,11.28,11.101,11.17,47600
2019-07-22,11.2,11.35,11.01,11.18,65600
2019-07-23,11.2,11.388,11.19,11.31,52800
2019-07-24,11.31,11.45,11.13,11.37,50700
2019-07-25,11.28,11.37,11.13,11.24,77000
2019-07-26,11.18,11.4,11.15,11.4,69900
2019-07-29,11.3,11.48,11.25,11.36,93800
2019-07-30,11.26,11.35,11.25,11.35,90900
2019-07-31,11.43,11.43,11.25,11.33,45700
2019-08-01,11.251,11.36,10.71,11.0,112200
2019-08-02,10.86,10.914,10.5,10.67,124300
2019-08-05,10.26,10.41,9.77,9.9,200600
2019-08-06,10.1,10.3,9.957,10.11,101700
2019-08-07,10.04,10.21,9.98,10.2,100100
2019-08-08,10.28,10.35,10.16,10.35,56300
2019-08-09,10.28,10.28,10.03,10.1,56500
2019-08-12,10.08,10.21,9.96,10.02,88900
2019-08-13,10.16,10.67,9.982,10.37,98000
2019-08-14,10.13,10.29,10.0,10.0,84900
2019-08-15,10.14,10.15,10.01,10.07,66400
2019-08-16,10.126,10.69,10.126,10.69,100600
2019-08-19,11.08,11.13,10.66,10.68,150900
2019-08-20,10.66,10.98,10.64,10.98,83200
2019-08-21,10.91,11.32,10.91,11.2,132100
2019-08-22,11.31,11.44,11.15,11.15,80600
2019-08-23,11.22,11.649,11.22,11.32,324600
2019-08-26,12.0,12.0,10.59,10.59,509100
2019-08-27,10.7,10.92,10.63,10.92,154900
2019-08-28,10.87,11.09,10.645,11.09,91200
2019-08-29,11.13,11.33,10.9,11.0,191600
2019-08-30,11.02,11.02,10.74,10.8,64200
2019-09-03,10.702,10.765,10.6,10.63,69900
2019-09-04,10.75,11.27,10.75,11.27,213600
2019-09-05,11.41,11.41,11.1,11.15,141900
2019-09-06,11.18,11.3,11.1,11.19,49300
2019-09-09,11.123,11.72,11.081,11.49,142100
2019-09-10,11.38,11.7,11.3,11.65,154400
2019-09-11,11.74,12.0,11.59,11.97,187000
2019-09-12,11.92,11.92,11.72,11.87,99200
2019-09-13,11.85,12.19,11.85,11.99,186500
2019-09-16,12.05,12.23,11.97,12.2,103400
2019-09-17,12.19,12.43,12.001,12.42,99600
2019-09-18,12.4,12.61,12.06,12.17,164700
2019-09-19,12.17,12.55,12.17,12.37,105300
2019-09-20,12.31,12.5,12.03,12.28,94400
2019-09-23,12.1,12.27,12.01,12.11,48600
2019-09-24,12.16,12.19,11.35,11.44,171300
2019-09-25,11.36,11.59,11.13,11.22,75000
2019-09-26,11.17,11.35,11.15,11.19,39000
