DateTime,Open,High,Low,Close,Volume
2013-07-08,31.73,32.0,31.54,31.83,405600
2013-07-09,32.0,32.83,31.89,32.81,582800
2013-07-10,32.87,35.43,32.82,35.37,2606500
2013-07-11,36.060001,36.29,35.080002,35.56,1929700
2013-07-12,35.68,36.43,35.31,35.87,650200
2013-07-15,36.049999,36.09,35.25,35.43,390100
2013-07-16,35.61,35.75,34.92,35.2,411200
2013-07-17,35.42,35.57,34.74,35.17,395400
2013-07-18,35.34,35.68,34.89,34.99,417200
2013-07-19,34.95,35.040001,34.41,34.86,352900
2013-07-22,35.0099983,35.28,34.72,34.99,277600
2013-07-23,35.21,35.31,34.96,35.28,367400
2013-07-24,35.49,35.49,35.02,35.24,336500
2013-07-25,35.5,35.6,34.94,35.52,310000
2013-07-26,35.48,37.25,35.39,37.17,672300
2013-07-29,37.17,37.5,35.71,35.73,913700
2013-07-30,35.9,36.0,35.15,35.31,426800
2013-07-31,35.36,35.69,34.46,34.53,541700
2013-08-01,34.66,35.42,34.53,35.28,647800
2013-08-02,35.39,35.39,34.61,35.22,446900
2013-08-05,35.7,38.0,35.7,36.53,1016300
2013-08-06,36.4,36.87,36.0,36.23,293000
2013-08-07,36.3,36.55,35.77,36.49,388500
2013-08-08,36.81,38.0,36.65,37.83,757600
2013-08-09,37.96,38.71,37.62,37.87,1197000
2013-08-12,37.88,37.94,37.38,37.85,344400
2013-08-13,38.15,38.15,37.15,37.92,311500
2013-08-14,37.91,38.62,37.75,38.43,304700
2013-08-15,38.099998,38.78,37.75,38.12,386500
2013-08-16,38.31,38.35,37.74,37.9,211100
2013-08-19,38.07,38.12,37.060001,37.19,295400
2013-08-20,36.88,38.8,36.88,38.29,375400
2013-08-21,38.21,38.95,37.9,38.76,388300
2013-08-22,39.0,39.42,38.47,39.14,414500
2013-08-23,39.44,39.44,38.53,38.89,353500
2013-08-26,39.16,39.92,38.76,39.62,411700
2013-08-27,39.53,39.59,38.52,38.56,620800
2013-08-28,38.83,39.17,38.38,38.56,368200
2013-08-29,38.99,39.36,38.37,38.49,831700
2013-08-30,38.46,38.58,37.040001,37.37,712300
2013-09-03,38.040001,38.07,36.65,37.12,688500
2013-09-04,37.3,37.4,36.73,36.99,650900
2013-09-05,37.0,37.59,37.0,37.26,501500
2013-09-06,37.62,37.74,36.97,37.029999,511500
2013-09-09,37.02,38.040001,36.9,38.040001,399100
2013-09-10,38.34,38.76,38.13,38.19,430000
2013-09-11,37.83,38.2,37.07,37.6,606100
2013-09-12,37.69,37.77,37.26,37.72,524800
2013-09-13,37.81,37.98,37.63,37.89,342000
2013-09-16,38.38,38.5,37.67,37.88,326300
2013-09-17,37.94,37.99,37.44,37.84,279100
2013-09-18,37.84,37.84,36.73,37.73,350400
2013-09-19,37.73,38.44,37.51,38.32,421900
2013-09-20,38.2,38.25,36.75,37.14,428800
2013-09-23,37.19,37.46,36.7,37.41,389700
2013-09-24,37.66,38.78,37.52,38.31,466300
2013-09-25,38.45,39.36,38.3,39.2,766900
2013-09-26,39.41,39.92,37.73,38.34,491400
2013-09-27,38.31,38.53,37.8,38.53,280900
2013-09-30,38.0,38.28,37.17,37.67,829600
2013-10-01,37.67,38.56,37.25,38.36,453200
2013-10-02,38.21,38.66,37.85,38.63,332800
2013-10-03,38.7,38.81,37.99,38.45,1425800
2013-10-04,38.44,38.62,38.15,38.35,503600
2013-10-07,38.19,38.33,37.5,37.67,869900
2013-10-08,37.85,37.92,36.37,36.45,1040100
2013-10-09,36.4,36.45,34.81,35.09,1163000
2013-10-10,35.44,36.64,35.31,36.14,647400
2013-10-11,35.88,36.67,35.66,36.13,482400
2013-10-14,36.0099983,36.3,35.4,35.87,447500
2013-10-15,35.65,35.68,35.060001,35.19,510000
2013-10-16,35.49,36.029999,35.28,35.92,787500
2013-10-17,35.72,36.31,35.45,36.040001,419200
2013-10-18,36.26,36.78,36.16,36.58,328400
2013-10-21,36.62,37.080002,36.43,36.57,427200
2013-10-22,36.71,37.85,36.6,37.78,593000
2013-10-23,37.68,37.76,37.029999,37.23,604600
2013-10-24,37.5,37.5,36.83,37.049999,407100
2013-10-25,37.34,37.74,36.8,37.53,593800
2013-10-28,37.44,37.49,36.85,36.97,675100
2013-10-29,37.24,37.37,36.82,37.080002,485900
2013-10-30,37.21,37.61,36.9,37.18,310500
2013-10-31,37.35,37.51,36.53,37.13,384000
2013-11-01,37.2,37.36,36.85,37.23,312600
2013-11-04,37.39,37.99,36.82,37.96,364100
2013-11-05,37.78,38.29,37.4,38.0099983,456300
2013-11-06,38.19,38.31,37.68,38.0,448400
2013-11-07,38.099998,38.099998,36.44,36.61,624800
2013-11-08,36.59,37.58,36.48,37.54,437100
2013-11-11,37.66,38.47,37.53,38.35,406500
2013-11-12,38.31,38.97,37.97,38.040001,438400
2013-11-13,37.87,39.099998,37.87,38.64,641600
2013-11-14,38.72,38.97,38.41,38.59,344500
