DateTime,Open,High,Low,Close,Volume
2021-07-12,47.855,49.4375,46.855,47.3125,6545200
2021-07-13,46.92,47.1975,44.75,45.014999,9591600
2021-07-14,45.1225,45.595,41.2675,41.905,15655200
2021-07-15,40.0,42.9975,39.5025,41.705,17194400
2021-07-16,42.5375,44.8675,41.575,42.26,13151600
2021-07-19,40.825,44.0,40.305,43.3725,9747600
2021-07-20,43.475,48.41,43.105,47.795,12404400
2021-07-21,46.9475,48.8775,45.5275,46.4525,8916800
2021-07-22,46.325,46.9225,44.037498,44.7125,5652000
2021-07-23,45.25,45.4,43.46,45.09,5264800
2021-07-26,45.09,46.51,44.69,45.985,5042400
2021-07-27,45.75,46.25,44.165,44.635,4859200
2021-07-28,43.93,44.28,41.067501,42.28,16403200
2021-07-29,42.65,43.4725,41.1275,41.215,8960000
2021-07-30,41.25,41.805,39.7175,40.28,9508400
2021-08-02,40.5,40.8975,38.765,39.4125,10131600
2021-08-03,39.185,39.7225,37.049999,38.1875,57802400
2021-08-04,38.1825,39.4475,36.4225,36.7,9574000
2021-08-05,37.0,39.4,36.305,38.36,9648400
2021-08-06,38.6475,39.125,37.5775,37.9425,5410800
2021-08-09,37.95,41.1775,37.665,40.2825,8996800
2021-08-10,40.34,41.725,38.8375,39.7625,6493200
2021-08-11,39.6075,39.7625,38.655,39.695,3781600
2021-08-12,39.97,41.07,39.3325,40.5875,5271200
2021-08-13,40.1175,40.8875,39.3525,40.63,4059200
2021-08-16,40.25,42.47,39.79,40.9825,6290400
2021-08-17,40.2975,42.37,40.275,40.8875,4863600
2021-08-18,40.8125,41.4,39.1875,39.2625,5647200
2021-08-19,39.1925,39.4975,37.695,38.225,4786000
2021-08-20,38.45,40.022499,38.31,39.825,4619600
2021-08-23,40.595,41.8225,39.8875,41.2225,5372000
2021-08-24,41.5725,56.25,41.2875,52.5725,58608800
2021-08-25,51.6625,56.75,48.25,49.9125,51444400
2021-08-26,50.17,54.25,49.75,51.305,24954400
2021-08-27,51.925,53.25,50.0050011,51.2375,12923200
2021-08-30,51.25,54.5475,50.755,52.3,13238400
2021-08-31,53.175,55.575,52.865,54.56,14298800
2021-09-01,56.0,57.86,52.0050011,53.2425,17815200
2021-09-02,53.465,53.7,51.575,53.38,7408000
2021-09-03,53.012501,54.067501,49.71,50.6875,10634400
2021-09-07,51.5625,52.475,49.025002,49.75,9985200
2021-09-08,50.465,51.72,47.67,49.7,20694400
2021-09-09,45.022499,50.5,44.5,49.795,30046000
2021-09-10,49.6025,50.54,47.5,47.6025,12170400
2021-09-13,48.4375,52.22,47.875,50.85,17336400
2021-09-14,50.1625,51.155,48.75,49.81,8566400
2021-09-15,49.25,51.2175,48.4375,51.13,9241600
2021-09-16,50.5825,54.1375,50.2875,51.5925,12232800
2021-09-17,52.0050011,53.1225,50.195,51.2425,15783600
2021-09-20,50.0,50.7125,46.1375,48.049999,15767200
2021-09-21,49.84,49.84,46.5,47.4875,10535200
2021-09-22,47.41,48.375,46.5725,47.535,9026400
2021-09-23,48.0825,48.9375,47.65,47.81,6729200
2021-09-24,47.75,47.93,46.0275,46.29,6743200
