DateTime,Open,High,Low,Close,Volume
2004-08-20,2.5278,2.7297,2.515,2.7105,456686823
2004-08-23,2.7715,2.8398,2.729,2.7377,365122515
2004-08-24,2.7838,2.7928,2.5918,2.6244,304946735
2004-08-25,2.6266,2.7027,2.5996,2.6527,183772056
2004-08-26,2.6264,2.7015,2.6191,2.7005,141897938
2004-08-27,2.7052,2.7182,2.6449,2.6564,124235636
2004-08-30,2.6346,2.6399,2.5528,2.5528,103935976
2004-08-31,2.5601,2.5953,2.5566,2.5618,98357582
2004-09-01,2.5701,2.5768,2.4942,2.5088,182765017
2004-09-02,2.4822,2.5618,2.476,2.5403,302373298
2004-09-03,2.5263,2.546,2.4855,2.5028,103048857
2004-09-07,2.5278,2.5526,2.4927,2.542,116950923
2004-09-08,2.521,2.5783,2.515,2.5601,99712220
2004-09-09,2.5658,2.5703,2.5275,2.5603,81234719
2004-09-10,2.5425,2.6667,2.535,2.6359,173977826
2004-09-13,2.6684,2.713,2.6642,2.6902,156882963
2004-09-14,2.6889,2.8028,2.6724,2.79,216579223
2004-09-15,2.7668,2.8586,2.7578,2.8028,214261546
2004-09-16,2.8113,2.8979,2.794,2.8521,185326455
2004-09-17,2.8634,2.9402,2.8416,2.9402,189450371
2004-09-20,2.9267,3.043,2.9222,2.987,212575227
2004-09-21,2.9982,3.0135,2.9407,2.9489,144575295
2004-09-22,2.9379,2.9947,2.9232,2.9625,151624248
2004-09-23,2.974,3.0688,2.9284,3.0235,170713109
2004-09-24,3.0265,3.1056,2.997,2.9987,182469338
2004-09-27,2.992,3.025,2.9479,2.9595,141322499
2004-09-28,3.0355,3.1882,3.0083,3.1747,338581101
2004-09-29,3.1707,3.3789,3.1589,3.2803,610329070
2004-09-30,3.2508,3.3108,3.2282,3.2432,275160525
2004-10-01,3.2733,3.3594,3.2257,3.3178,302497218
2004-10-04,3.3846,3.4252,3.3541,3.3799,260455260
2004-10-05,3.3699,3.4667,3.3093,3.4627,299464261
2004-10-06,3.4422,3.4647,3.4034,3.4304,267628132
2004-10-07,3.4264,3.5005,3.4172,3.4747,282301398
2004-10-08,3.4715,3.4955,3.4289,3.4467,221390419
2004-10-11,3.4284,3.475,3.3496,3.3849,209442351
2004-10-12,3.3644,3.4437,3.3383,3.4384,233310487
2004-10-13,3.5866,3.5923,3.5055,3.526,395324245
2004-10-14,3.5288,3.5631,3.4675,3.5536,208842911
2004-10-15,3.6269,3.6411,3.5523,3.6064,263895816
2004-10-18,3.5836,3.7337,3.5338,3.7327,280726999
2004-10-19,3.7663,3.8138,3.6874,3.7022,362197478
2004-10-20,3.7045,3.7285,3.4935,3.5158,454453066
2004-10-21,3.6136,3.757,3.544,3.7382,582996457
2004-10-22,4.2678,4.5088,4.1061,4.3151,1474200286
2004-10-25,4.4144,4.8656,4.3181,4.6897,1309257411
2004-10-26,4.6632,4.8208,4.5045,4.5495,891391749
2004-10-27,4.5726,4.7427,4.5488,4.6539,533725706
2004-10-28,4.6717,4.8646,4.6446,4.8373,593278127
2004-10-29,4.9772,5.0038,4.7698,4.7708,845653474
2004-11-01,4.8436,4.9467,4.7865,4.9057,488507031
2004-11-02,4.9745,4.9862,4.8383,4.8766,453398187
