DateTime,Open,High,Low,Close,Volume
2019-06-07,10.07,10.7,8.53,10.0,3697100
2019-06-10,9.69,9.8,9.32,9.55,903600
2019-06-11,9.57,9.71,9.43,9.52,401100
2019-06-12,9.52,9.7,9.425,9.57,233100
2019-06-13,9.42,9.75,9.42,9.56,227100
2019-06-14,9.55,9.66,9.3,9.5,1167000
2019-06-17,9.6,9.62,9.4,9.45,163600
2019-06-18,9.46,9.648,9.2,9.41,723900
2019-06-19,9.42,9.42,9.261,9.35,93900
2019-06-20,9.4,9.42,9.22,9.37,424400
2019-06-21,9.5,9.64,9.291,9.6,499400
2019-06-24,9.52,9.6,9.33,9.36,90600
2019-06-25,9.27,9.75,9.27,9.4,325400
2019-06-26,9.35,9.7,9.34,9.42,533600
2019-06-27,9.31,10.04,9.31,10.01,576300
2019-06-28,10.0,10.83,9.81,10.79,1569000
2019-07-01,11.19,11.23,9.85,9.92,1591600
2019-07-02,9.9,10.49,9.9,10.15,555100
2019-07-03,10.15,10.55,10.01,10.5,420600
2019-07-05,10.35,10.93,10.02,10.6,1051800
2019-07-08,10.55,10.6,9.5,9.57,1200100
2019-07-09,9.52,9.89,9.41,9.51,746200
2019-07-10,9.55,9.72,8.86,9.07,1774900
2019-07-11,9.15,9.48,8.83,9.07,860300
2019-07-12,9.09,9.4,9.06,9.12,331300
2019-07-15,9.07,9.73,9.07,9.58,357900
2019-07-16,9.72,10.4,9.58,10.12,1588900
2019-07-17,10.08,10.78,10.08,10.4,843800
2019-07-18,10.47,10.61,10.01,10.06,413900
2019-07-19,10.14,10.42,10.14,10.34,59100
2019-07-22,10.25,10.85,10.25,10.82,179000
2019-07-23,10.82,11.48,10.65,11.27,241100
2019-07-24,11.17,11.99,11.06,11.88,450000
2019-07-25,12.0,13.5,11.95,12.74,1863400
2019-07-26,13.0,13.99,12.9,13.0,1420700
2019-07-29,13.14,13.59,12.53,13.3,798500
2019-07-30,13.38,13.84,12.978,13.18,1105500
2019-07-31,13.24,13.75,12.87,12.95,953900
2019-08-01,12.94,13.49,12.8,12.9,960200
2019-08-02,12.94,13.27,12.42,12.79,605700
2019-08-05,12.65,13.0,12.08,12.54,1636900
2019-08-06,12.43,12.9,12.38,12.6,884100
2019-08-07,12.55,13.5,12.37,13.15,436000
2019-08-08,13.19,13.66,13.19,13.28,817100
2019-08-09,13.16,13.39,13.1,13.36,343900
2019-08-12,13.43,15.37,13.43,14.67,1733200
2019-08-13,14.74,14.98,13.67,14.24,1344100
2019-08-14,13.9,14.39,13.35,13.4,655100
2019-08-15,13.4,13.91,13.3,13.39,1295500
2019-08-16,13.53,14.0,13.25,13.45,1005600
2019-08-19,13.55,14.75,13.55,13.94,1993400
2019-08-20,14.07,15.0,14.06,14.65,2368300
2019-08-21,15.0,17.15,15.0,16.0,3562100
2019-08-22,17.43,17.54,14.5,14.61,3390900
2019-08-23,13.75,14.59,13.34,13.57,3121000
2019-08-26,13.78,14.04,12.4,12.8,1112000
2019-08-27,13.0,13.35,12.51,12.78,678300
2019-08-28,12.76,13.87,12.655,13.73,825700
2019-08-29,13.9,14.2,13.5,13.64,1204900
2019-08-30,13.8,14.4,13.2,14.32,3780300
2019-09-03,14.0,14.1,13.56,13.75,1321100
2019-09-04,13.75,13.84,13.01,13.09,697100
2019-09-05,13.07,13.11,12.51,12.82,681100
2019-09-06,12.93,13.14,11.72,12.3,949500
2019-09-09,12.4,12.9,12.2,12.46,599500
2019-09-10,12.28,12.97,12.05,12.83,818300
2019-09-11,12.79,12.97,12.735,12.93,1353800
2019-09-12,12.88,12.99,12.68,12.95,1006500
2019-09-13,12.98,13.47,12.92,13.44,419800
2019-09-16,13.27,13.65,13.07,13.6,431500
2019-09-17,13.48,13.756,13.36,13.7,309400
2019-09-18,13.49,14.33,13.49,14.15,401200
2019-09-19,14.15,14.44,13.51,14.29,399400
2019-09-20,14.17,14.65,14.048,14.59,432100
2019-09-23,14.47,14.65,14.21,14.59,318800
2019-09-24,14.47,14.78,14.01,14.07,641300
2019-09-25,13.96,14.86,13.78,14.86,473700
2019-09-26,14.78,15.2,14.22,14.75,400700
2019-09-27,14.64,15.36,14.35,15.02,2156600
2019-09-30,15.01,15.31,14.6,15.31,1277000
2019-10-01,15.35,15.35,14.71,15.15,1101800
2019-10-02,15.03,15.03,13.85,14.08,725000
2019-10-03,13.98,14.38,13.7,14.11,676400
2019-10-04,14.17,14.7,13.78,14.7,522100
2019-10-07,14.51,14.56,14.11,14.33,550500
2019-10-08,14.21,14.21,13.3,13.88,1395400
2019-10-09,14.07,14.63,13.71,14.49,273100
2019-10-10,14.49,14.56,13.82,14.2,706900
2019-10-11,14.83,15.75,13.85,14.31,740500
2019-10-14,14.19,14.41,14.02,14.31,393300
2019-10-15,14.44,14.44,13.99,14.01,392200
2019-10-16,13.89,14.11,13.62,14.1,369300
2019-10-17,14.0,14.636,13.93,14.61,438600
2019-10-18,14.61,14.84,14.02,14.25,463500
2019-10-21,14.16,14.6,13.86,13.99,432600
2019-10-22,14.09,14.39,14.05,14.25,587600
2019-10-23,14.43,14.52,13.83,14.33,324400
2019-10-24,14.22,15.0,14.03,15.0,395900
2019-10-25,14.98,15.6,14.79,15.41,564100
2019-10-28,15.67,16.17,14.82,15.1,560600
2019-10-29,14.96,15.49,14.6,15.39,771300
2019-10-30,15.39,17.0,15.211,16.99,1241200
2019-10-31,16.71,17.28,16.52,17.14,1403400
2019-11-01,17.07,17.125,16.1,16.29,1109000
2019-11-04,16.19,16.7,16.15,16.22,972500
2019-11-05,16.67,16.97,14.69,16.02,2114400
2019-11-06,16.0,16.17,14.811,15.25,863700
2019-11-07,15.01,15.24,14.61,14.94,559500
2019-11-08,15.19,15.37,14.71,15.31,427500
2019-11-11,15.16,15.3,14.44,15.04,624200
2019-11-12,14.91,15.5,14.91,15.09,689800
2019-11-13,15.0,15.29,14.965,15.12,455700
2019-11-14,15.23,15.23,14.51,14.58,578900
2019-11-15,14.7,15.0,14.64,14.91,702900
2019-11-18,14.93,16.89,14.93,16.75,1815100
2019-11-19,16.1,16.85,15.2,15.5,1465900
2019-11-20,15.3,15.68,14.21,14.57,1436400
2019-11-21,14.8,16.67,14.8,16.2,12756900
2019-11-22,15.85,19.29,15.85,18.57,3732700
2019-11-25,18.31,19.3,18.0,18.95,1722900
2019-11-26,18.93,19.01,17.88,18.33,1148900
2019-11-27,18.47,18.55,17.25,17.58,2985400
2019-11-29,17.39,18.25,17.15,17.59,778300
2019-12-02,17.74,18.86,17.58,18.17,1574100
2019-12-03,18.04,18.8,17.822,18.17,1765700
2019-12-04,18.31,18.64,17.745,18.57,1265900
2019-12-05,18.72,19.83,18.68,19.04,3915600
2019-12-06,19.04,19.8,19.04,19.63,1625700
2019-12-09,19.95,20.59,19.53,19.69,1998500
2019-12-10,19.69,19.99,19.35,19.92,1254300
2019-12-11,20.0,20.43,19.92,20.01,1407700
2019-12-12,20.01,20.04,19.41,19.8,2524100
2019-12-13,19.75,20.59,19.55,20.49,2675700
2019-12-16,20.6,20.84,20.27,20.4,1302700
2019-12-17,20.4,20.71,19.91,20.65,841800
2019-12-18,20.77,21.28,20.58,20.69,1116000
2019-12-19,20.79,21.13,20.25,20.53,1092800
