DateTime,Open,High,Low,Close,Volume
2024-06-25,18.63,19.0,15.19,17.0,10393476
2024-06-26,18.34,18.49,16.25,16.73,5052325
2024-06-27,16.61,16.73,15.0,15.16,4755797
2024-06-28,15.22,16.4199,14.57,15.37,4397659
2024-07-01,15.14,15.4,14.67,14.96,1985780
2024-07-02,15.0,15.77,14.97,15.05,1811946
2024-07-03,15.05,15.58,14.2,15.49,1952468
2024-07-05,15.47,16.35,15.16,15.2,2846251
2024-07-08,15.25,15.46,14.31,14.75,1818085
2024-07-09,14.7,14.77,13.41,14.015,2184156
2024-07-10,14.03,14.5,13.75,13.9,846347
2024-07-11,14.01,14.7,13.64,14.57,829506
2024-07-12,14.78,15.07,14.52,14.81,800901
2024-07-15,15.0,15.6,14.91,15.59,1153399
2024-07-16,15.74,19.81,15.685,19.45,3607792
2024-07-17,19.44,21.47,18.87,19.82,2606948
2024-07-18,19.13,19.92,16.47,16.92,2369264
2024-07-19,17.49,17.68,15.78,16.58,1396013
2024-07-22,16.58,17.0,16.1,16.13,1074324
2024-07-23,16.4,16.5045,15.2,15.33,1164852
2024-07-24,15.19,15.45,14.77,14.93,1041501
2024-07-25,15.01,16.28,14.71,15.845,872430
2024-07-26,16.2,16.48,15.91,16.32,635157
2024-07-29,16.54,16.54,15.43,15.44,804801
2024-07-30,15.58,16.0,15.41,15.53,452458
2024-07-31,15.64,15.92,15.36,15.38,850358
2024-08-01,15.79,16.8544,15.65,16.64,894461
2024-08-02,16.37,16.93,15.4092,16.59,879244
2024-08-05,15.48,17.64,15.4,17.14,1104111
2024-08-06,17.21,17.88,16.9,17.05,592524
2024-08-07,17.03,18.41,17.0,17.62,1019649
2024-08-08,17.75,18.09,17.11,17.45,477606
2024-08-09,17.48,17.8,15.35,16.16,815395
2024-08-12,16.12,16.15,15.13,15.37,709493
2024-08-13,15.4,16.3584,15.19,15.84,851933
2024-08-14,17.87,17.9,15.09,15.39,1502559
2024-08-15,15.2,16.165,15.18,15.87,655972
2024-08-16,15.95,16.7598,15.74,16.75,353748
2024-08-19,16.75,16.95,15.89,16.79,717131
2024-08-20,16.5,17.2,15.7,16.06,715700
2024-08-21,15.9,17.02,15.56,16.92,1089496
2024-08-22,16.62,17.49,16.31,16.54,722472
2024-08-23,16.58,16.9,15.25,15.41,754259
2024-08-26,15.66,15.99,14.95,14.98,1057211
2024-08-27,15.13,15.23,14.805,14.92,617658
2024-08-28,14.81,14.99,14.4,14.53,550221
2024-08-29,14.71,15.2299,14.5425,14.82,472543
2024-08-30,14.94,14.94,12.9201,14.11,2259917
2024-09-03,14.0,14.28,13.16,13.26,1521012
2024-09-04,13.15,14.21,13.05,13.33,1015799
2024-09-05,13.4,13.69,12.84,13.47,1191803
2024-09-06,13.47,13.635,12.56,12.69,1313120
2024-09-09,12.82,13.78,12.79,13.34,1365847
2024-09-10,13.58,13.58,12.81,13.41,935878
2024-09-11,13.41,13.64,13.08,13.32,702262
2024-09-12,13.14,13.76,13.11,13.55,711421
2024-09-13,13.56,14.28,13.56,14.09,716710
2024-09-16,14.1,14.16,13.2575,14.05,1303716
2024-09-17,14.28,14.41,13.78,14.04,758276
2024-09-18,14.07,14.37,13.84,13.91,583640
2024-09-19,14.19,14.45,13.56,13.87,708499
2024-09-20,13.81,14.01,13.685,13.95,1546912
2024-09-23,13.95,14.1,13.02,13.04,983354
2024-09-24,13.03,13.71,12.99,13.24,874378
2024-09-25,13.23,13.47,12.56,13.06,1197386
2024-09-26,13.3,13.83,13.21,13.6,796313
2024-09-27,13.7,14.43,13.5401,14.4,872498
2024-09-30,14.42,14.5,13.635,13.76,722078
2024-10-01,13.68,13.85,13.15,13.25,503637
2024-10-02,13.25,13.71,13.08,13.25,445506
2024-10-03,13.22,13.22,12.57,12.57,655640
2024-10-04,12.57,13.16,12.565,13.03,462349
2024-10-07,12.78,13.1,12.33,12.8,743891
2024-10-08,12.75,13.27,12.61,13.0,433607
2024-10-09,13.0,13.14,12.72,12.93,441589
2024-10-10,12.91,13.17,12.57,13.03,385673
2024-10-11,13.38,14.5,13.36,14.49,1041515
2024-10-14,14.5,14.5,13.85,13.87,685636
2024-10-15,13.94,14.35,13.62,14.01,487893
2024-10-16,13.94,14.38,13.835,14.32,619920
2024-10-17,14.32,14.5,13.985,14.2,475649
2024-10-18,14.39,14.88,13.67,14.76,582396
2024-10-21,14.75,14.79,14.21,14.49,345755
2024-10-22,14.45,14.45,13.86,14.27,336986
2024-10-23,13.91,14.32,13.66,13.68,499152
2024-10-24,13.78,13.91,12.94,12.98,483670
2024-10-25,13.11,13.245,12.8011,13.0,327546
2024-10-28,13.12,13.35,12.85,12.94,521417
2024-10-29,12.95,13.11,12.76,12.99,263377
2024-10-30,12.91,13.87,12.78,13.62,650929
2024-10-31,13.6,13.745,13.22,13.57,416617
2024-11-01,13.58,14.12,13.49,13.55,563353
2024-11-04,13.24,14.2,13.24,13.98,441349
2024-11-05,14.13,14.29,13.752,13.91,363240
2024-11-06,13.65,14.21,13.52,13.82,481967
2024-11-07,13.91,15.225,13.67,14.9,742749
2024-11-08,14.9,14.9552,14.26,14.48,447957
2024-11-11,14.67,15.83,14.5,15.3,869991
2024-11-12,15.28,15.63,14.98,15.09,668776
2024-11-13,14.85,16.6638,14.81,15.92,1257433
2024-11-14,16.0,16.43,15.6,15.81,495923
2024-11-15,15.91,15.91,14.42,14.8,832357
2024-11-18,15.0,15.09,13.58,14.0,1313936
2024-11-19,13.82,14.94,13.79,14.79,415782
2024-11-20,14.98,15.48,14.68,15.09,479734
2024-11-21,15.1,16.54,15.1,16.38,752502
2024-11-22,16.47,16.63,15.96,16.505,527308
2024-11-25,16.65,17.84,16.485,17.68,996137
2024-11-26,17.54,17.83,17.235,17.52,843350
2024-11-27,17.45,18.37,17.28,17.45,756962
2024-11-29,17.5,17.95,17.26,17.5,259022
2024-12-02,17.5,19.77,17.5,18.73,1373404
2024-12-03,18.61,19.44,18.16,19.36,1161507
2024-12-04,19.2,20.59,19.115,20.23,1321635
2024-12-06,22.76,23.44,21.31,21.62,971907
2024-12-10,21.43,21.8897,20.43,20.505,1015519
2024-12-11,20.6,21.98,20.4,20.46,766627
2024-12-12,20.27,21.8,20.25,20.78,763868
2024-12-13,20.94,22.35,20.3764,22.16,873303
2024-12-16,22.16,23.78,21.6,22.74,1086676
2024-12-17,23.02,24.92,22.74,23.62,852443
2024-12-18,23.86,24.5,17.884,18.09,2772993
2024-12-19,18.72,19.0,16.1,17.14,2429282
2024-12-20,16.56,19.14,16.55,18.35,3358537
2024-12-23,18.35,19.09,17.91,18.72,627613
2024-12-24,18.66,18.96,18.35,18.81,289459
2024-12-26,18.77,19.49,18.49,19.41,370799
2024-12-27,19.25,20.0586,18.86,19.6,361999
2024-12-30,19.26,19.485,18.05,18.64,531218
2024-12-31,18.83,18.87,17.445,17.85,727113
2025-01-02,17.82,18.56,17.58,17.92,504475
2025-01-03,18.0,19.45,17.835,19.45,413574
2025-01-06,19.76,20.7299,19.54,19.67,531770
2025-01-07,19.62,19.95,17.75,17.87,728683
2025-01-08,17.72,18.22,16.6,17.66,827666
2025-01-10,17.5,18.13,16.81,17.73,516924
2025-01-13,17.49,18.73,16.98,18.57,1026698
2025-01-14,18.74,19.36,17.84,18.1,614715
2025-01-15,18.92,20.08,17.54,17.58,1080238
2025-01-16,17.75,18.68,16.56,17.405,1119388
2025-01-17,17.58,17.81,17.12,17.42,482825
2025-01-21,17.54,19.23,17.5,18.49,793684
2025-01-22,18.805,23.73,18.8,22.64,2843089
2025-01-23,22.76,26.14,22.0,25.97,1647717
2025-01-24,26.19,29.79,25.6101,28.61,2357767
2025-01-27,27.81,28.3999,23.3402,25.99,1541853
2025-01-28,26.55,27.975,25.79,27.04,804021
2025-01-29,26.97,28.4499,26.4,26.665,785897
2025-01-30,27.25,31.59,26.6801,31.51,1479163
2025-01-31,31.92,32.65,27.85,30.28,1748120
2025-02-03,28.58,30.15,27.6,28.84,1240369
2025-02-04,29.33,29.98,27.5,28.28,836643
2025-02-05,28.41,34.44,28.41,34.39,1455636
2025-02-06,34.185,35.6699,31.31,32.99,1551222
2025-02-07,33.0,33.3625,31.01,32.21,739358
2025-02-10,32.5,34.71,31.87,33.37,1046866
2025-02-11,33.31,34.26,32.6236,33.15,452106
2025-02-12,32.33,39.48,32.06,39.26,1776143
2025-02-13,39.92,52.8498,39.915,52.58,5007826
2025-02-14,50.3,55.32,48.9,55.02,3147100
2025-02-18,57.415,63.99,45.215,47.13,5370250
2025-02-19,47.869,55.4964,47.5,52.6,2028579
2025-02-20,49.04,51.22,45.68,47.76,1585731
2025-02-21,49.0,49.0,37.85,40.73,2839706
2025-02-24,38.99,47.74,38.87,45.3,2054659
2025-02-25,44.005,45.11,39.781,43.11,1818151
2025-02-26,44.27,47.25,42.84,43.87,1599030
2025-02-27,45.0,45.99,39.08,39.285,957594
2025-02-28,39.29,41.1799,37.15,38.56,1311736
2025-03-03,40.24,41.11,35.33,36.33,1140985
2025-03-04,43.485,43.485,41.35,41.535,375644
2025-03-05,41.51,44.04,38.23,38.3,1736228
2025-03-06,37.72,38.09,33.06,33.45,1637424
2025-03-07,33.32,34.2199,30.29,32.88,2426117
2025-03-10,31.83,32.44,29.02,32.09,2101544
2025-03-11,32.51,32.99,29.4,30.54,2117170
2025-03-12,31.1,32.18,29.3159,30.85,1390482
2025-03-13,30.65,30.65,26.72,26.92,1577342
2025-03-14,27.58,29.75,26.51,29.74,1411807
2025-03-17,29.86,31.1,28.261,29.13,794543
2025-03-18,29.19,29.19,26.66,28.18,947411
2025-03-19,28.17,29.27,27.57,28.01,1156312
2025-03-20,27.48,29.66,27.28,27.81,858381
2025-03-21,27.82,31.12,26.96,30.29,1703332
2025-03-24,31.5,33.49,31.45,32.13,1285989
2025-03-25,32.06,32.6315,30.01,31.2,682805
2025-03-26,31.3499,31.6,28.17,28.39,758162
2025-03-27,27.76,29.5,26.755,28.58,881416
2025-03-28,28.99,28.99,26.16,26.93,949132
2025-03-31,25.96,26.155,24.88,25.54,948328
2025-04-01,25.29,25.6152,24.5,25.1,804441
2025-04-02,24.67,27.5784,24.0828,26.14,1183237
2025-04-03,24.0,26.7,24.0,24.88,918754
2025-04-04,24.02,24.5,21.2901,22.25,1620476
2025-04-07,20.68,24.3599,20.44,23.975,1653277
2025-04-08,24.13,24.2599,21.0,21.39,1580881
2025-04-09,21.01,25.86,20.53,24.9,1940727
2025-04-10,24.14,24.615,21.8029,22.745,1105042
2025-04-11,22.91,23.43,22.3,23.26,1024688
2025-04-14,24.88,25.8699,23.8,24.85,1241703
2025-04-15,24.94,26.8599,24.75,25.935,1029616
2025-04-16,25.55,27.47,25.12,26.5,1036813
2025-04-17,26.77,27.4,25.56,27.0,642746
2025-04-21,27.2,27.922,26.05,26.42,1107154
2025-04-22,26.95,29.87,26.755,29.69,1386626
2025-04-23,32.48,36.19,32.14,33.76,1987138
2025-04-24,34.44,38.1,34.11,37.69,1067586
2025-04-25,36.985,38.01,36.21,37.2,939700
2025-04-28,37.275,40.9199,36.43,36.9,1295688
2025-04-29,36.955,37.35,34.04,36.805,1515126
2025-04-30,35.0,35.17,33.13,34.495,1024414
2025-05-01,35.13,35.7099,32.41,32.49,1319394
2025-05-02,33.06,36.36,33.06,35.775,1688894
2025-05-05,35.485,35.56,32.755,34.26,820897
2025-05-06,33.0,34.1471,31.39,32.16,1267973
2025-05-07,32.4,35.9178,32.0714,34.71,1371614
2025-05-08,35.49,37.32,34.0,36.1,1121607
2025-05-09,36.3,37.2299,34.995,35.2,878314
2025-05-12,36.53,38.0,35.1939,35.99,886058
2025-05-13,36.25,44.125,36.25,42.89,2963954
2025-05-14,37.402,40.25,32.35,32.89,5122219
2025-05-15,32.2,39.0,32.15,38.99,2560871
2025-05-16,39.1,41.98,37.0301,39.91,2065987
2025-05-19,37.99,40.3551,36.43,38.23,1675593
2025-05-20,38.11,40.6804,37.3265,39.32,958594
2025-05-21,38.43,40.2,37.0992,37.46,1000859
2025-05-22,36.88,41.28,35.5,38.77,1568699
2025-05-23,37.402,40.54,37.27,40.18,779088
2025-05-27,41.93,44.72,40.7601,42.34,1533406
2025-05-28,42.845,42.9,38.55,41.09,1194332
2025-05-29,41.95,42.5,40.2,41.1,726219
2025-05-30,40.74,41.0,37.5,38.41,1588990
2025-06-02,38.5,41.22,37.35,37.5,1479949
2025-06-03,39.49,41.035,38.1,38.55,1648286
2025-06-04,38.76,40.88,38.4,40.01,1135758
2025-06-05,39.9,43.23,38.615,39.49,1680319
2025-06-06,40.24,40.88,36.94,38.36,2102187
2025-06-09,38.89,41.27,35.5,40.03,2592309
2025-06-10,39.9,42.5,39.33,42.15,1214435
2025-06-11,42.63,44.37,42.36,43.87,1173467
2025-06-12,43.06,43.74,41.52,41.92,794488
2025-06-13,41.0,43.1678,40.3,41.31,762220
2025-06-16,42.03,43.34,41.7,42.52,613686
2025-06-17,41.73,43.699,40.6,42.05,849726
2025-06-18,43.0,48.47,40.91,48.44,2342716
2025-06-20,49.58,49.58,44.44,45.63,2221821
2025-06-23,44.5,45.11,41.6901,43.07,1048702
2025-06-24,44.32,44.99,43.25,43.95,724827
2025-06-25,44.78,46.7899,44.1,46.175,856411
2025-06-26,46.75,49.76,45.53,49.38,943311
2025-06-27,49.21,50.87,46.46,48.39,5793290
2025-06-30,49.01,52.56,48.4345,51.42,1374763
2025-07-01,50.31,50.65,48.08,49.23,1451266
2025-07-02,48.25,48.94,45.3701,47.56,1418590
2025-07-03,47.33,47.5077,45.41,46.72,1042681
2025-07-07,46.0,46.0445,42.95,44.85,1247568
2025-07-08,45.09,45.8089,42.42,42.84,1019266
2025-07-09,43.55,44.48,41.91,42.13,909219
2025-07-10,42.13,44.3,41.2504,43.39,808270
2025-07-11,42.65,42.82,40.3,40.73,768141
2025-07-14,40.27,40.91,38.67,40.18,790865
2025-07-15,40.32,40.56,38.33,38.53,1170429
2025-07-16,38.06,38.69,34.5,36.61,1940915
2025-07-17,36.57,37.39,35.35,35.92,990261
2025-07-18,36.39,36.58,34.8,35.19,992112
2025-07-21,35.47,35.84,34.05,34.35,819167
2025-07-22,34.45,38.7,33.73,37.16,1665092
2025-07-23,39.76,41.22,39.7423,40.88,843686
2025-07-24,40.81,41.0871,39.58,39.72,771699
2025-07-25,39.76,40.62,39.01,40.29,551690
2025-07-28,40.29,41.0,37.6001,38.27,807133
2025-07-29,38.35,38.35,33.69,34.12,1580332
2025-07-30,34.42,35.25,33.31005,33.77,845094
2025-07-31,33.26,35.1,32.91,34.21,833842
2025-08-01,32.77,33.33,31.51,32.79,850629
2025-08-04,33.24,33.4,32.5,33.23,613361
2025-08-05,33.21,34.52,32.42,33.75,653616
2025-08-06,33.61,33.61,31.9701,33.08,903259
2025-08-07,33.36,33.6376,31.745,32.96,697603
2025-08-08,33.33,33.42,32.25,32.82,646168
2025-08-11,32.66,33.36,31.04,32.69,1099765
2025-08-12,32.82,34.0,32.31,33.6,1446746
2025-08-13,32.51,36.56,32.4101,33.98,1492111
2025-08-14,33.32,34.795,31.75,32.18,1016113
2025-08-15,32.2,33.09,31.8,32.43,806622
2025-08-18,32.71,33.06,31.8,32.8,666469
2025-08-19,32.61,32.8,31.0809,31.42,573549
2025-08-20,31.0,32.21,29.95,32.17,886479
2025-08-21,31.4,33.25,31.001,33.15,621276
2025-08-22,33.41,35.29,32.6643,34.24,638232
2025-08-25,34.0,34.453,32.875,32.925,525407
2025-08-26,32.88,34.09,32.88,34.07,698386
2025-08-27,33.8,33.924,33.2,33.63,421170
2025-08-28,33.7,34.335,33.45,34.11,392817
2025-08-29,33.92,33.978,32.05,32.79,694106
2025-09-02,31.69,32.55,30.82,31.61,625173
2025-09-03,31.95,32.97,31.75,32.42,592204
2025-09-04,32.58,33.71,31.885,33.59,652192
2025-09-05,34.08,36.97,33.61,36.91,1108780
2025-09-08,37.42,39.6,36.82,38.235,1150065
2025-09-09,38.11,38.2,36.95,37.53,530552
2025-09-10,37.71,37.71,35.39,35.42,870929
2025-09-11,35.43,40.38,35.43,38.65,1119856
2025-09-12,37.96,38.47,36.87,38.04,519936
2025-09-15,38.41,39.58,38.13,39.33,485263
2025-09-16,39.2,39.245,38.05,38.785,473202
2025-09-17,38.74,39.51,36.98,38.32,550110
2025-09-18,39.18,40.05,38.89,39.59,662448
2025-09-19,39.52,41.93,39.295,41.65,1510438
2025-09-22,41.7,45.6,41.7,44.48,1226390
2025-09-23,45.96,49.4999,45.509,46.98,1414557
2025-09-24,46.65,48.44,45.56,46.58,733118
2025-09-25,45.07,48.39,43.82,48.26,878018
2025-09-26,48.5,50.24,48.0062,49.86,801312
2025-09-29,50.65,59.2,50.3789,58.77,2071569
2025-09-30,58.77,59.7,56.75,59.13,1182757
2025-10-01,58.79,62.71,58.5,62.06,956817
2025-10-02,63.18,64.844,62.05,64.73,736420
2025-10-03,67.0,73.74,64.1267,65.545,2169357
2025-10-06,66.47,66.53,60.02,61.7,1265170
2025-10-07,61.7,64.73,60.24,62.82,765905
2025-10-08,62.99,72.95,61.5001,72.79,1210692
2025-10-09,72.75,75.5299,69.63,71.13,1077147
2025-10-10,71.4,72.83,65.54,66.13,1057462
2025-10-13,68.35,70.84,65.27,70.44,604948
2025-10-14,67.38,71.59,65.6,69.29,602362
2025-10-15,68.88,76.22,68.6901,75.52,931113
2025-10-16,82.02,89.5661,82.0,86.41,2092010
2025-10-17,85.295,85.5,76.41,78.0,1235283
2025-10-20,89.54,102.9999,88.18,91.85,3547593
2025-10-21,90.13,92.28,81.85,83.71,1297476
2025-10-22,83.89,87.95,75.1,79.76,1278138
2025-10-23,79.02,82.88,78.595,82.65,776110
2025-10-24,84.94,92.79,83.7091,89.39,1030406
2025-10-27,91.68,91.68,83.26,85.0,797917
2025-10-28,84.33,86.7599,82.46,86.36,425251
2025-10-29,87.97,91.88,85.01,85.21,843833
2025-10-30,85.77,95.2,85.25,91.15,1613716
2025-10-31,91.29,95.2462,88.4609,91.93,1122975
2025-11-03,90.0,93.01,88.415,89.81,895970
2025-11-04,85.87,86.7,80.6,80.69,1607275
2025-11-05,81.51,85.71,79.0,84.64,825024
2025-11-06,85.12,86.19,77.0,80.06,970333
2025-11-07,77.95,79.45,74.0,79.4,1002456
2025-11-10,83.75,88.5,83.0,85.11,599685
2025-11-11,85.81,88.34,82.0,83.39,657728
2025-11-12,88.57,89.755,84.32,84.77,965843
