DateTime,Open,High,Low,Close,Volume
2006-11-03,262.5,264.3,246.0,247.5,197533
2006-11-06,253.5,253.5,229.05,235.5,125880
2006-11-07,232.5,233.7,219.0,221.85,67173
2006-11-08,224.25,243.75,217.5,239.25,86447
2006-11-09,240.0,245.85,236.25,237.75,48787
2006-11-10,235.35,236.1,222.75,225.0,33933
2006-11-13,225.0,225.75,207.75,207.75,43480
2006-11-14,210.0,210.0,188.25,202.65,50360
2006-11-15,206.25,219.3,202.5,210.9,33493
2006-11-16,210.3,217.35,210.3,215.85,20013
2006-11-17,210.15,219.0,210.0,217.5,13613
2006-11-20,216.75,217.5,211.95,213.75,8693
2006-11-21,213.3,213.6,194.85,212.25,50533
2006-11-22,216.15,216.15,206.25,208.95,18767
2006-11-24,202.65,211.5,202.65,209.4,8053
2006-11-27,210.0,210.0,202.8,202.95,12587
2006-11-28,203.4,204.3,194.7,198.0,29600
2006-11-29,198.0,216.3,198.0,207.0,22747
2006-11-30,208.5,210.6,204.15,208.8,12033
2006-12-01,204.0,210.0,204.0,204.0,6133
2006-12-04,203.7,210.0,202.2,202.65,9333
2006-12-05,202.5,205.5,200.4,202.5,10220
2006-12-06,200.25,204.9,195.75,198.3,11973
2006-12-07,197.1,202.35,195.9,198.15,6973
2006-12-08,197.25,198.75,195.0,198.6,15640
2006-12-11,196.8,198.75,195.0,196.95,10207
2006-12-12,201.75,206.1,194.85,195.6,35653
2006-12-13,197.25,198.6,190.2,192.0,46707
2006-12-14,189.75,202.5,186.75,196.5,39127
2006-12-15,198.0,212.85,198.0,211.5,172680
2006-12-18,211.8,219.3,207.0,219.15,50893
2006-12-19,219.45,224.4,216.0,221.4,35107
2006-12-20,225.0,225.0,217.8,224.55,20647
2006-12-21,225.15,225.15,218.25,220.05,12460
2006-12-22,218.7,222.45,213.3,214.05,13680
2006-12-26,214.05,217.35,213.75,214.5,11907
2006-12-27,216.6,217.2,212.4,213.75,11813
2006-12-28,212.25,215.7,209.85,210.3,10347
2006-12-29,211.8,211.8,208.35,208.65,20440
2007-01-03,209.25,211.5,207.75,210.9,30347
2007-01-04,209.1,210.6,206.7,210.0,27160
2007-01-05,208.2,210.15,207.0,207.45,10727
2007-01-08,207.0,210.6,207.0,209.7,11573
2007-01-09,210.15,212.85,208.5,209.4,19140
2007-01-10,209.1,210.75,208.2,208.5,10533
2007-01-11,210.45,214.2,209.7,212.55,14527
2007-01-12,211.65,213.75,210.75,211.5,5293
2007-01-16,212.85,214.05,211.05,212.4,16640
2007-01-17,211.95,213.75,210.0,210.6,18413
2007-01-18,210.0,210.45,207.15,207.15,5333
2007-01-19,207.15,208.8,204.0,208.2,5253
2007-01-22,207.45,209.7,206.25,208.2,4847
2007-01-23,207.15,216.45,207.15,215.1,28047
2007-01-24,215.85,219.45,214.5,217.35,10973
2007-01-25,218.85,220.05,216.3,217.5,8447
2007-01-26,218.25,218.7,213.45,214.8,3373
2007-01-29,213.9,216.0,213.0,215.55,5073
2007-01-30,212.55,220.95,212.25,220.2,18320
2007-01-31,216.9,220.2,215.4,215.55,11707
2007-02-01,216.6,219.9,212.85,215.85,61627
2007-02-02,215.25,218.55,210.0,211.95,14600
2007-02-05,210.75,217.5,210.0,217.2,14300
2007-02-06,168.45,173.25,146.25,156.0,744800
