DateTime,Open,High,Low,Close,Volume
2015-01-02,105.16,105.66,102.67,103.43,4323700
2015-01-05,102.78,102.78,100.79,101.26,5878100
2015-01-06,102.07,102.07,100.34,100.95,4910100
2015-01-07,102.29,104.47,102.0,104.41,5091000
2015-01-08,105.37,106.99,105.019997,106.72,6464600
2015-01-09,106.88,106.88,104.82,104.89,5717600
2015-01-12,105.17,105.29,104.059998,104.42,4992900
2015-01-13,105.41,106.040001,103.15,103.73,5395200
2015-01-14,102.42,103.41,101.88,102.64,5384400
2015-01-15,103.32,103.65,100.82,101.010002,6895000
2015-01-16,100.86,104.31,100.24,104.12,6403800
2015-01-20,104.84,104.95,102.35,103.25,5331300
2015-01-21,103.050003,104.059998,102.5,103.53,5899200
2015-01-22,104.38,106.31,103.54,106.07,5804100
2015-01-23,106.21,106.48,105.31,105.37,4072300
2015-01-26,105.36,106.5,105.059998,106.36,4192300
2015-01-27,104.78,105.81,104.4,105.16,4606500
2015-01-28,105.31,107.43,104.6,104.74,4917300
2015-01-29,105.14,107.74,104.51,107.62,6529300
2015-01-30,106.36,106.86,104.38,104.42,7000000
2015-02-02,104.78,105.0,101.57,104.43,5012800
2015-02-03,104.89,107.32,104.81,107.24,5969200
2015-02-04,107.089996,109.0,106.75,108.41,6765200
2015-02-05,108.98,109.34,108.15,108.99,4471800
2015-02-06,109.28,109.74,108.46,109.040001,4223700
2015-02-09,108.88,109.46,108.040001,108.34,4243800
2015-02-10,108.79,110.85,108.66,110.67,5414400
2015-02-11,110.6,110.8,109.81,110.31,4552900
2015-02-12,110.81,112.2,110.21,112.16,4592200
2015-02-13,112.010002,112.39,111.3,111.89,5098600
2015-02-17,111.69,112.23,110.62,112.0,6028600
2015-02-18,111.6,112.17,111.0,111.99,3731600
2015-02-19,112.010002,112.45,110.64,110.94,5910600
2015-02-20,110.81,112.25,110.050003,112.24,7276100
2015-02-23,112.99,113.16,111.8,112.28,5638000
2015-02-24,117.5,117.92,115.13,116.75,12775500
2015-02-25,117.35,117.35,115.85,116.31,7328200
2015-02-26,116.0,116.42,115.2,115.38,5649900
2015-02-27,115.19,115.67,114.56,114.75,5732600
2015-03-02,114.86,117.059998,114.86,116.12,5971900
2015-03-03,116.11,116.12,114.8,116.07,3784800
2015-03-04,115.39,115.47,114.25,114.76,3799000
2015-03-05,115.23,116.099998,115.059998,115.91,4088700
2015-03-06,115.96,115.96,114.0,114.45,5169200
2015-03-09,114.38,115.48,114.37,115.25,5351200
2015-03-10,113.85,114.34,112.56,112.56,5685000
2015-03-11,112.68,113.8,112.41,113.07,4356500
2015-03-12,113.85,116.46,113.77,116.099998,5742000
2015-03-13,115.99,116.31,114.0,114.82,4626900
2015-03-16,115.33,116.61,115.32,116.5,4820300
2015-03-17,115.45,116.080002,115.14,115.58,3715900
2015-03-18,115.41,116.42,113.31,116.080002,4773600
2015-03-19,116.21,116.43,115.07,115.16,3545600
2015-03-20,115.55,117.99,115.33,117.49,8446000
2015-03-23,117.040001,117.75,116.07,116.07,4095200
2015-03-24,116.2,117.83,116.040001,116.15,4026900
2015-03-25,115.96,116.61,113.64,113.68,4725800
2015-03-26,113.36,113.43,111.58,112.37,5409600
2015-03-27,112.080002,114.23,112.0,113.86,3879300
2015-03-30,114.96,116.050003,114.53,114.63,3968400
2015-03-31,113.7,115.37,113.55,113.61,4128800
2015-04-01,113.88,114.0,112.43,113.13,4737700
2015-04-02,112.61,114.92,112.52,114.54,4064800
2015-04-06,113.45,115.55,113.41,114.95,3248900
2015-04-07,114.83,115.79,114.23,114.3,3188300
2015-04-08,113.97,115.81,113.83,115.59,3753500
2015-04-09,115.46,116.25,114.14,114.57,4674000
2015-04-10,114.47,115.65,114.42,115.24,3658100
2015-04-13,114.96,115.43,114.35,114.44,2982000
2015-04-14,114.2,114.98,113.11,114.050003,4072500
2015-04-15,114.58,115.21,113.38,113.45,4210800
2015-04-16,113.34,113.99,113.019997,113.37,4013000
2015-04-17,112.91,113.11,111.77,112.099998,6245200
2015-04-20,113.0,113.69,112.68,112.86,4396300
2015-04-21,113.5,113.98,112.5,113.17,3899500
2015-04-22,113.2,113.31,112.19,112.99,4065500
2015-04-23,112.74,114.51,112.56,113.96,3945300
2015-04-24,113.88,114.040001,112.9,113.7,2878300
2015-04-27,114.050003,114.11,111.28,111.39,5618000
2015-04-28,110.9,111.77,110.050003,110.58,5743300
2015-04-29,110.17,110.31,108.07,108.71,7238900
2015-04-30,108.56,109.21,106.62,106.98,9041600
2015-05-01,106.98,109.79,106.85,109.55,6696900
2015-05-04,109.94,110.45,109.32,110.059998,3366800
