DateTime,Open,High,Low,Close,Volume
2015-11-27,1.93,1.96,1.88,1.91,1857500
2015-11-30,1.93,2.0,1.91,1.93,4846800
2015-12-01,1.96,2.02,1.92,2.0,6518300
2015-12-02,1.98,2.0,1.92,1.94,5460900
2015-12-03,1.93,2.0,1.91,1.97,4848500
2015-12-04,2.0,2.08,2.0,2.08,6501700
2015-12-07,2.07,2.1,1.93,1.95,4386700
2015-12-08,1.94,1.96,1.9,1.93,3329200
2015-12-09,1.96,2.0,1.92,1.95,4006000
2015-12-10,1.95,2.03,1.93,1.97,3874500
2015-12-11,1.93,2.01,1.93,1.96,4773600
2015-12-14,1.95,1.98,1.88,1.91,6283300
2015-12-15,1.92,1.95,1.86,1.92,3507700
2015-12-16,1.97,2.09,1.94,2.09,7422300
2015-12-17,2.02,2.04,1.92,1.93,4768400
2015-12-18,1.94,1.98,1.93,1.94,8833600
2015-12-21,1.97,2.04,1.94,1.98,6363400
2015-12-22,1.98,2.02,1.96,1.99,3352100
2015-12-23,1.98,2.06,1.96,1.96,6626100
2015-12-24,1.96,2.0,1.95,1.96,3397300
2015-12-28,1.96,1.97,1.91,1.92,4358200
2015-12-29,1.93,1.96,1.9,1.93,4234400
2015-12-30,1.92,1.94,1.9,1.9,3150300
2015-12-31,1.9,1.93,1.85,1.89,7889600
2016-01-04,1.93,1.96,1.88,1.89,5929400
2016-01-05,1.9,1.93,1.86,1.87,4991600
2016-01-06,1.9,1.94,1.86,1.89,6498800
2016-01-07,1.91,2.01,1.86,1.97,11730400
2016-01-08,1.91,1.94,1.86,1.9,7716400
2016-01-11,1.9,1.91,1.79,1.81,5615100
2016-01-12,1.8,1.81,1.62,1.69,10251200
2016-01-13,1.69,1.77,1.69,1.75,4945000
2016-01-14,1.75,1.77,1.63,1.66,5421200
2016-01-15,1.69,1.69,1.61,1.62,7244600
2016-01-19,1.66,1.67,1.45,1.52,7313500
2016-01-20,1.52,1.56,1.46,1.56,5900900
2016-01-21,1.52,1.58,1.48,1.56,4221800
2016-01-22,1.54,1.65,1.54,1.58,5258500
2016-01-25,1.61,1.71,1.6,1.67,6685500
2016-01-26,1.69,1.81,1.68,1.77,8015900
2016-01-27,1.76,1.84,1.74,1.8,4705300
2016-01-28,1.76,1.8,1.72,1.74,4622500
2016-01-29,1.73,1.87,1.72,1.86,6693700
2016-02-01,1.89,1.92,1.85,1.92,4366600
2016-02-02,1.88,1.92,1.83,1.86,4230600
2016-02-03,1.88,2.0,1.87,1.98,8398400
2016-02-04,2.03,2.1,2.02,2.06,7578000
2016-02-05,2.03,2.19,1.98,2.19,8572900
2016-02-08,2.23,2.33,2.21,2.24,10030100
2016-02-09,2.25,2.27,2.06,2.09,9446900
2016-02-10,2.07,2.12,1.95,2.1,9864900
2016-02-11,2.25,2.33,2.15,2.26,14723500
2016-02-12,2.22,2.32,2.18,2.32,10451200
2016-02-16,2.22,2.32,2.1,2.16,8583800
2016-02-17,2.2,2.28,2.12,2.27,8566800
2016-02-18,2.24,2.44,2.22,2.42,8478500
2016-02-19,2.41,2.45,2.33,2.36,7167000
2016-02-22,2.26,2.38,2.25,2.34,7758800
2016-02-23,2.35,2.53,2.31,2.4,10196200
2016-02-24,2.5,2.52,2.45,2.49,10040700
2016-02-25,2.46,2.55,2.46,2.53,6373600
2016-02-26,2.48,2.55,2.44,2.48,7280400
2016-02-29,2.49,2.59,2.49,2.59,5583100
2016-03-01,2.6,2.62,2.47,2.52,6541100
2016-03-02,2.5,2.61,2.49,2.58,6851500
2016-03-03,2.57,2.75,2.57,2.7,10237200
2016-03-04,2.73,2.89,2.65,2.66,10935100
2016-03-07,2.75,2.92,2.71,2.87,10519700
2016-03-08,2.88,2.9,2.57,2.59,10645600
2016-03-09,2.5,2.65,2.46,2.62,6991300
2016-03-10,2.68,2.77,2.62,2.68,11055300
2016-03-11,2.68,2.76,2.64,2.69,8572300
2016-03-14,2.74,2.78,2.61,2.66,8106100
2016-03-15,2.66,2.66,2.51,2.58,10100500
2016-03-16,2.55,2.82,2.48,2.79,9566300
2016-03-17,2.83,2.95,2.76,2.8,13574600
2016-03-18,2.77,2.93,2.77,2.85,16926600
2016-03-21,2.86,2.95,2.84,2.88,6216100
2016-03-22,2.92,2.94,2.79,2.85,6682000
2016-03-23,2.71,2.79,2.63,2.64,9611800
2016-03-24,2.67,2.73,2.57,2.69,6635300
2016-03-28,2.72,2.73,2.64,2.69,4223100
2016-03-29,2.71,2.85,2.66,2.84,7758200
2016-03-30,2.8,2.91,2.78,2.81,6642100
2016-03-31,2.87,2.9,2.78,2.78,3987800
2016-04-01,2.67,2.85,2.66,2.84,5254900
2016-04-04,2.81,2.85,2.73,2.73,5041200
2016-04-05,2.79,2.83,2.71,2.81,4073900
2016-04-06,2.77,2.85,2.74,2.83,3971500
2016-04-07,2.88,2.91,2.84,2.87,6874500
2016-04-08,2.81,2.97,2.81,2.96,7299600
2016-04-11,3.0,3.15,3.0,3.14,11271000
2016-04-12,3.16,3.19,3.08,3.18,8126800
2016-04-13,3.14,3.24,3.1,3.17,6007500
2016-04-14,3.16,3.19,3.01,3.08,6577700
2016-04-15,3.11,3.29,3.06,3.26,6410200
2016-04-18,3.3,3.41,3.25,3.35,6708100
2016-04-19,3.55,3.96,3.48,3.85,16482000
2016-04-20,3.86,4.02,3.68,3.7,14790100
2016-04-21,3.86,3.96,3.71,3.84,11278700
2016-04-22,3.85,3.95,3.63,3.72,11474900
2016-04-25,3.75,3.85,3.7,3.74,8212100
2016-04-26,3.77,3.94,3.72,3.93,9037700
2016-04-27,3.96,3.99,3.81,3.95,9487600
2016-04-28,3.98,4.25,3.91,4.11,13294100
2016-04-29,4.19,4.34,4.18,4.31,14033900
2016-05-02,4.36,4.36,4.13,4.22,12266600
2016-05-03,4.21,4.23,3.9,4.05,12383700
2016-05-04,3.95,4.15,3.84,3.88,10166800
2016-05-05,4.04,4.25,4.0,4.03,16396500
2016-05-06,4.14,4.3,4.09,4.29,14004000
2016-05-09,4.14,4.14,3.96,3.97,10929800
2016-05-10,3.97,4.2,3.92,4.16,8859200
2016-05-11,4.25,4.33,4.11,4.29,10322200
2016-05-12,4.28,4.42,4.24,4.28,10223000
2016-05-13,4.31,4.52,4.28,4.36,10805500
2016-05-16,4.52,4.56,4.33,4.42,8315500
2016-05-17,4.44,4.73,4.39,4.58,11652600
2016-05-18,4.54,4.58,4.06,4.12,12045500
2016-05-19,3.98,4.2,3.9,4.15,7353100
2016-05-20,4.19,4.25,4.11,4.24,6048500
2016-05-23,4.16,4.33,4.09,4.24,6067700
2016-05-24,4.07,4.13,3.85,3.87,11818000
2016-05-25,3.9,4.14,3.83,4.09,10263900
2016-05-26,4.18,4.26,4.02,4.06,7485400
2016-05-27,4.0,4.06,3.86,3.91,7523700
2016-05-31,3.92,4.1,3.84,4.06,7706100
2016-06-01,4.04,4.11,3.89,3.98,8622800
2016-06-02,3.98,4.05,3.9,3.96,6737200
2016-06-03,4.14,4.46,4.13,4.44,11450600
2016-06-06,4.45,4.48,4.32,4.46,8919900
2016-06-07,4.37,4.51,4.36,4.4,5689100
2016-06-08,4.65,4.74,4.6,4.64,11469200
2016-06-09,4.65,4.72,4.56,4.66,11913900
2016-06-10,4.7,4.75,4.48,4.49,8867600
2016-06-13,4.61,4.63,4.4,4.5,9758100
2016-06-14,4.5,4.51,4.18,4.32,11473800
2016-06-15,4.3,4.61,4.29,4.55,9498000
2016-06-16,4.72,4.72,4.32,4.43,10423800
2016-06-17,4.48,4.59,4.4,4.5,27708300
2016-06-20,4.37,4.7,4.35,4.65,8577000
2016-06-21,4.57,4.64,4.53,4.59,7671100
2016-06-22,4.64,4.69,4.55,4.63,7089900
2016-06-23,4.58,4.72,4.56,4.66,6977000
2016-06-24,4.83,4.85,4.68,4.72,13846600
2016-06-27,4.76,4.87,4.6,4.72,12013500
2016-06-28,4.65,4.83,4.62,4.71,5787500
2016-06-29,4.79,4.99,4.77,4.94,7823000
2016-06-30,4.99,5.11,4.9,5.1,9545400
2016-07-01,5.2,5.5,5.2,5.44,8687800
2016-07-05,5.56,5.56,5.33,5.52,13926400
