DateTime,Open,High,Low,Close,Volume
2004-12-17,3.65,3.6825,3.59,3.675,1908800
2004-12-20,3.65,3.8,3.65,3.65,676800
2004-12-21,3.65,3.9025,3.6,3.9,1795600
2004-12-22,3.8375,4.025,3.725,3.9875,1219200
2004-12-23,4.05,4.2125,4.025,4.125,2019600
2004-12-27,4.18,4.1875,3.9375,3.995,1407200
2004-12-28,3.9825,4.06,3.9625,3.995,625600
2004-12-29,4.0,4.02,3.8875,3.9275,213200
2004-12-30,3.9375,3.9475,3.7675,3.9375,868400
2004-12-31,3.9625,4.1,3.9375,4.0625,1726800
2005-01-03,4.0625,4.1125,3.9,4.0075,415600
2005-01-04,4.0875,4.0875,3.95,3.9975,407600
2005-01-05,4.0375,4.0375,3.8875,3.9,461200
2005-01-06,3.875,3.95,3.85,3.9125,1205600
2005-01-07,3.9875,3.9875,3.9125,3.9125,285200
2005-01-10,3.9125,4.0025,3.9125,4.0,288000
2005-01-11,4.0125,4.0125,3.9625,3.975,253200
2005-01-12,3.975,4.0,3.9,3.9375,456000
2005-01-13,3.975,4.02,3.95,3.99,725200
2005-01-14,4.0,4.025,3.975,4.0,214400
2005-01-18,4.0375,4.05,3.9875,4.02,312400
2005-01-19,4.05,4.1,4.0375,4.0375,468000
2005-01-20,4.075,4.08,4.025,4.025,406000
2005-01-21,4.0625,4.0675,4.0,4.025,281600
2005-01-24,4.055,4.06,4.0125,4.025,339600
2005-01-25,4.05,4.0625,4.0125,4.025,736000
2005-01-26,4.025,4.04,3.9375,3.95,1864000
2005-01-27,3.975,4.0125,3.925,3.95,1498000
2005-01-28,3.975,3.9975,3.85,3.95,2820000
2005-01-31,3.975,4.0125,3.955,4.0125,128400
2005-02-01,4.0125,4.0875,3.95,4.0875,270000
2005-02-02,4.0875,4.0875,4.025,4.0325,498800
2005-02-03,4.025,4.0375,3.9625,4.0,264400
2005-02-04,4.0,4.05,3.9875,4.025,1200000
2005-02-07,4.0375,4.075,4.0375,4.075,121200
2005-02-08,4.075,4.1625,4.075,4.1575,184800
2005-02-09,4.1575,4.1625,4.0625,4.11,63600
2005-02-10,4.11,4.15,4.0925,4.1275,170400
2005-02-11,4.1125,4.1675,4.1,4.12,155200
2005-02-14,4.12,4.12,3.975,3.975,366400
2005-02-15,3.9875,4.025,3.825,3.965,310400
2005-02-16,3.95,4.0,3.93,4.0,558400
2005-02-17,4.0125,4.125,4.0,4.125,156400
2005-02-18,4.1125,4.175,4.1,4.125,213600
2005-02-22,4.15,4.175,4.09,4.1,286400
2005-02-23,4.1,4.1,4.05,4.0625,196800
2005-02-24,4.06,4.06,3.9775,3.9875,213200
2005-02-25,3.9875,3.9925,3.9375,3.94,218400
2005-02-28,3.9375,3.955,3.915,3.945,136000
2005-03-01,3.9325,3.9625,3.9,3.9625,248000
2005-03-02,3.9625,3.9625,3.925,3.9625,116000
2005-03-03,3.9625,3.9675,3.925,3.95,222000
2005-03-04,3.9625,4.0025,3.95,3.975,237200
2005-03-07,3.975,4.0375,3.9375,4.0,806000
2005-03-08,4.0,4.0125,3.9875,4.0,910800
2005-03-09,4.0,4.0725,3.975,4.0375,558800
2005-03-10,4.0375,4.0375,3.995,3.9975,634800
2005-03-11,4.0,4.0375,4.0,4.0375,388800
2005-03-14,4.0375,4.0725,4.0375,4.0375,817600
2005-03-15,4.0375,4.05,4.0,4.0,398400
2005-03-16,4.0,4.0125,3.9725,3.9975,582800
2005-03-17,4.0,4.025,3.9975,4.0,716800
2005-03-18,4.025,4.025,4.0,4.015,940800
2005-03-21,4.0375,4.0375,4.0,4.0125,84000
2005-03-22,4.0125,4.02,4.0075,4.0075,92800
2005-03-23,4.02,4.02,3.955,3.975,126400
2005-03-24,3.9625,4.0,3.925,4.0,160800
2005-03-28,4.0,4.0,3.935,3.9375,132400
2005-03-29,3.9375,3.9375,3.875,3.9125,248000
2005-03-30,3.9,3.9,3.825,3.85,248000
2005-03-31,3.85,3.8575,3.775,3.81,269200
2005-04-01,3.775,3.8525,3.775,3.8,66400
2005-04-04,3.825,3.8475,3.785,3.795,54800
2005-04-05,3.795,3.795,3.6625,3.7,306800
2005-04-06,3.7,3.715,3.6875,3.7,411600
2005-04-07,3.7125,3.7125,3.7,3.7,26000
2005-04-08,3.7,3.7475,3.7,3.74,24400
2005-04-11,3.73,3.7625,3.7,3.7325,378800
2005-04-12,3.725,3.725,3.69,3.69,192000
2005-04-13,3.69,3.7075,3.66,3.66,60000
2005-04-14,3.66,3.675,3.63,3.6625,33600
2005-04-15,3.64,3.675,3.6375,3.6625,64000
2005-04-18,3.6625,3.7,3.65,3.6625,711600
2005-04-19,3.65,3.75,3.65,3.75,2072000
2005-04-20,3.76,3.7975,3.75,3.795,1952000
2005-04-21,3.775,3.825,3.775,3.8125,140000
2005-04-22,3.8375,3.8375,3.7525,3.8,171600
2005-04-25,3.8,3.8,3.775,3.785,21200
2005-04-26,3.775,3.78,3.6875,3.71,40800
2005-04-27,3.7125,3.75,3.7125,3.75,51600
2005-04-28,3.75,3.7625,3.725,3.725,30000
2005-04-29,3.7375,3.8125,3.7375,3.775,232400
2005-05-02,3.7875,3.7875,3.7125,3.7125,72400
2005-05-03,3.875,4.0125,3.875,3.955,993200
2005-05-04,3.98,3.9975,3.9375,3.995,402800
2005-05-05,3.9975,4.0875,3.9775,4.08,259200
2005-05-06,4.075,4.09,4.0,4.0125,358800
2005-05-09,4.0125,4.03,4.0,4.0,343200
2005-05-10,4.0375,4.0575,4.0,4.0075,271600
2005-05-11,4.0375,4.12,4.0125,4.12,317200
2005-05-12,4.125,4.1725,4.1125,4.1375,210800
2005-05-13,4.1125,4.2625,4.1125,4.1675,341200
2005-05-16,4.1675,4.3375,4.1675,4.2375,1086800
2005-05-17,4.275,4.475,4.2475,4.425,1123600
2005-05-18,4.5,4.54,4.4275,4.5225,396000
2005-05-19,4.5225,4.525,4.46,4.495,584400
2005-05-20,4.5,4.55,4.4375,4.55,308000
2005-05-23,4.5375,4.6875,4.505,4.525,339600
2005-05-24,4.525,4.55,4.45,4.4875,2046400
2005-05-25,4.5,4.5,4.425,4.4625,779600
2005-05-26,4.4625,4.525,4.45,4.45,683200
2005-05-27,4.4875,4.6,4.4875,4.56,704400
2005-05-31,4.5625,4.5625,4.4875,4.5325,832800
2005-06-01,4.5325,4.5875,4.375,4.4175,465600
2005-06-02,4.4525,4.5,4.44,4.5,246800
2005-06-03,4.4875,4.5225,4.46,4.46,170800
2005-06-06,4.425,4.51,4.425,4.51,180800
2005-06-07,4.525,4.61,4.5125,4.55,510000
2005-06-08,4.525,4.5375,4.475,4.4825,180800
2005-06-09,4.4875,4.5,4.4425,4.4425,80000
2005-06-10,4.455,4.5,4.425,4.4425,123200
2005-06-13,4.46,4.475,4.4225,4.445,183600
2005-06-14,4.4625,4.56,4.4425,4.515,444400
2005-06-15,4.54,4.7175,4.505,4.6375,1160400
2005-06-16,4.7,4.7,4.6375,4.675,1037200
2005-06-17,4.6875,4.9075,4.6875,4.89,1565600
2005-06-20,4.885,5.25,4.8375,5.1725,1251200
2005-06-21,5.1375,5.225,5.125,5.175,410400
2005-06-22,5.2,5.2125,5.09,5.125,412400
2005-06-23,5.175,5.1925,5.1,5.1125,472400
2005-06-24,5.1125,5.2825,5.1125,5.2025,1304000
2005-06-27,5.2125,5.2225,5.185,5.1875,1397200
2005-06-28,5.1625,5.235,5.1625,5.215,177600
2005-06-29,5.25,5.465,5.2425,5.35,2424000
2005-06-30,5.355,5.4125,5.355,5.4025,518800
2005-07-01,5.4125,5.45,5.3375,5.35,949600
2005-07-05,5.365,5.3725,5.3375,5.365,186800
2005-07-06,5.3725,5.3725,5.3,5.305,518400
2005-07-07,5.3125,5.4025,5.3075,5.3975,920000
2005-07-08,5.3975,5.4275,5.25,5.4275,1378000
2005-07-11,5.65,5.6625,5.56,5.6075,3134400
2005-07-12,5.625,5.6375,5.5875,5.6,838000
2005-07-13,5.6025,5.6425,5.5875,5.595,182000
2005-07-14,5.6075,5.8,5.595,5.68,2243200
2005-07-15,5.725,6.025,5.7125,5.91,1276800
2005-07-18,6.0,6.005,5.825,5.85,931200
2005-07-19,5.9075,5.9975,5.8375,5.8375,678400
2005-07-20,5.8625,5.8875,5.8375,5.875,758800
2005-07-21,5.875,5.99,5.855,5.9675,1514800
2005-07-22,6.0,6.035,5.9875,6.0,995600
2005-07-25,6.0375,6.1975,6.0375,6.0725,1361200
2005-07-26,6.135,6.175,6.0925,6.1125,506000
2005-07-27,6.125,6.125,6.0375,6.075,740400
2005-07-28,6.075,6.1125,5.8875,5.92,1353600
2005-07-29,5.9375,5.9375,5.6375,5.7475,2316800
2005-08-01,5.75,5.85,5.695,5.85,878800
2005-08-02,6.25,7.1375,6.25,7.0625,10859600
2005-08-03,7.1,7.125,6.8425,6.9425,1758800
2005-08-04,6.875,7.035,6.875,6.985,1688000
2005-08-05,7.025,7.0875,6.8625,6.875,922000
2005-08-08,6.875,6.925,6.6875,6.8,468000
2005-08-09,6.8625,6.8625,6.6475,6.68,1127600
2005-08-10,6.65,6.735,6.6375,6.675,747600
2005-08-11,6.7,6.995,6.6875,6.9225,1598000
2005-08-12,6.9375,7.075,6.8375,6.8625,1260800
2005-08-15,6.95,7.1125,6.93,7.03,956400
2005-08-16,7.0175,7.1075,7.0,7.0,457600
2005-08-17,6.9925,7.12,6.975,7.075,374000
2005-08-18,7.0625,7.285,7.02,7.2125,390000
2005-08-19,7.2125,7.61,7.21,7.4425,831200
2005-08-22,7.4625,7.485,7.4,7.4275,466000
2005-08-23,7.45,7.475,7.175,7.2275,416800
2005-08-24,7.23,7.25,7.175,7.1875,394800
2005-08-25,7.2375,7.26,7.0675,7.17,359200
2005-08-26,7.1875,7.285,7.17,7.2625,183600
2005-08-29,7.27,7.35,7.2375,7.245,298000
2005-08-30,7.25,7.25,7.175,7.2075,761200
2005-08-31,7.25,7.4625,7.2,7.4,1210400
2005-09-01,7.375,7.575,7.37,7.54,565600
2005-09-02,7.55,7.55,7.3975,7.505,565600
2005-09-06,7.5,7.53,7.4675,7.4725,320800
2005-09-07,7.4525,7.475,7.3125,7.3425,387200
2005-09-08,7.3,7.3,7.1375,7.2025,747200
2005-09-09,7.2275,7.405,7.2275,7.375,236000
2005-09-12,7.375,7.3925,7.3125,7.3725,82000
2005-09-13,7.3575,7.3875,7.325,7.325,134800
2005-09-14,7.35,7.3725,7.0675,7.125,397600
2005-09-15,7.1275,7.21,7.05,7.075,942000
2005-09-16,7.1,7.3,7.1,7.2575,455600
2005-09-19,7.2825,7.4225,7.2825,7.3625,157600
2005-09-20,7.3825,7.4875,7.3125,7.3425,350000
2005-09-21,7.3925,7.3925,6.625,6.9,1777200
2005-09-22,6.95,7.0225,6.9175,7.0,980000
2005-09-23,7.0,7.0325,6.9,7.0325,239200
2005-09-26,7.0575,7.435,7.0575,7.4,668800
2005-09-27,7.4125,7.4125,7.2525,7.305,274400
2005-09-28,7.1875,7.4,7.1875,7.375,435200
2005-09-29,7.375,7.4175,7.37,7.4175,320000
2005-09-30,7.43,7.625,7.3575,7.535,392400
2005-10-03,7.585,7.6125,7.1875,7.2275,927600
2005-10-04,7.2325,7.335,7.125,7.125,456400
2005-10-05,7.125,7.1975,7.0875,7.1675,510800
2005-10-06,7.1875,7.22,7.055,7.06,228000
2005-10-07,7.225,7.23,7.1375,7.15,193200
2005-10-10,7.1875,7.2025,7.17,7.175,267200
2005-10-11,7.175,7.1775,7.065,7.0775,108000
2005-10-12,7.0625,7.0625,6.3125,6.3525,1225200
2005-10-13,6.355,6.805,6.355,6.8025,1238800
2005-10-14,6.8525,6.975,6.825,6.9375,321600
2005-10-17,6.9625,7.0875,6.95,7.0275,144000
2005-10-18,7.0275,7.0275,6.875,6.895,337600
2005-10-19,6.945,6.945,6.85,6.8975,190000
2005-10-20,6.8975,6.975,6.8975,6.975,112800
2005-10-21,6.9375,6.975,6.8625,6.9175,252800
2005-10-24,6.9225,7.035,6.9,7.0,226000
2005-10-25,7.025,7.0575,6.8925,6.925,177200
2005-10-26,6.95,6.95,6.85,6.875,128400
2005-10-27,6.875,6.9125,6.75,6.81,162800
2005-10-28,6.8225,6.84,6.73,6.8275,166800
2005-10-31,6.8275,6.8325,6.7,6.725,909200
2005-11-01,6.75,6.775,6.7075,6.73,222400
2005-11-02,6.7625,6.82,6.7425,6.8,1042000
2005-11-03,6.8375,7.365,6.815,7.33,832000
2005-11-04,7.43,8.0,7.3875,7.6475,2092000
2005-11-07,7.6425,7.8,7.4975,7.5,1257600
2005-11-08,8.125,8.4375,7.6275,7.74,3715600
2005-11-09,7.74,7.86,7.2875,7.7375,1989200
2005-11-10,7.7175,7.7475,7.55,7.625,590000
2005-11-11,7.6125,7.6125,7.45,7.5375,350800
2005-11-14,7.5625,7.5625,7.3125,7.3375,408800
2005-11-15,7.125,7.1725,6.95,7.05,1194800
2005-11-16,7.1125,7.225,7.0125,7.1425,428400
2005-11-17,7.1175,7.275,7.055,7.2025,274000
2005-11-18,7.25,7.2675,7.1875,7.25,140400
2005-11-21,7.25,7.2875,7.1875,7.275,148400
2005-11-22,7.2875,7.35,7.2375,7.305,756000
2005-11-23,7.275,7.4125,7.275,7.4125,221200
2005-11-25,7.45,7.6625,7.45,7.56,493200
2005-11-28,7.55,7.5875,7.3875,7.46,334000
2005-11-29,7.4625,7.4625,7.225,7.25,1097600
2005-11-30,7.23,7.2375,7.175,7.2375,545600
2005-12-01,7.2375,7.34,7.175,7.3175,1093600
2005-12-02,7.325,7.5225,7.315,7.3625,700400
2005-12-05,7.375,7.385,7.3,7.3425,240400
2005-12-06,7.3675,7.3675,7.285,7.3325,623600
2005-12-07,7.34,7.565,7.33,7.5625,530400
2005-12-08,7.565,8.0425,7.475,8.0025,1192000
2005-12-09,7.825,8.125,7.825,7.8875,1233600
2005-12-12,7.8725,7.9875,7.5875,7.9775,1439200
2005-12-13,7.9475,7.95,7.62,7.6475,3641200
2005-12-14,7.875,8.04,7.6775,7.95,16704000
2005-12-15,7.8875,7.89,7.75,7.825,1814400
2005-12-16,7.8125,7.8125,7.75,7.775,808000
2005-12-19,7.7125,7.87,7.6375,7.825,908000
2005-12-20,7.75,7.9525,7.65,7.785,846400
2005-12-21,7.9875,7.9875,7.6875,7.88,610800
2005-12-22,7.825,8.03,7.765,8.0125,1368800
2005-12-23,7.9975,8.1225,7.8425,8.095,499200
2005-12-27,8.0825,8.0825,7.875,8.0125,691200
2005-12-28,8.0,8.0,7.855,7.9375,536000
2005-12-29,7.9125,8.155,7.9125,8.1175,455200
2005-12-30,8.12,8.15,7.905,8.13,1236800
2006-01-03,8.18,8.35,8.0775,8.2925,822400
2006-01-04,8.28,8.3675,8.2175,8.3575,2040800
2006-01-05,8.3575,8.3725,8.25,8.28,556800
2006-01-06,8.2875,8.375,8.1975,8.3625,547600
2006-01-09,8.3725,8.525,8.3125,8.4675,845600
2006-01-10,8.43,8.525,8.4175,8.4475,473200
2006-01-11,8.4375,8.4475,8.1,8.2375,891600
2006-01-12,8.2325,8.2325,8.0,8.0525,589200
2006-01-13,8.04,8.04,7.925,7.9625,919600
2006-01-17,8.025,8.2375,8.0,8.175,1029600
2006-01-18,8.1625,8.1925,8.0,8.075,1127200
2006-01-19,8.075,8.0875,7.95,7.975,519600
2006-01-20,8.0125,8.2,8.0125,8.2,548000
2006-01-23,8.225,8.325,8.1625,8.27,399600
2006-01-24,8.27,8.3375,8.2,8.2625,571600
2006-01-25,8.2475,8.25,7.3525,7.7,4983200
2006-01-26,7.75,7.9625,7.6875,7.875,1196800
2006-01-27,7.9375,8.0625,7.9075,8.03,1441600
2006-01-30,8.2975,8.485,8.2625,8.485,2008400
2006-01-31,8.735,8.745,8.59,8.65,2080800
2006-02-01,8.7,8.7875,8.675,8.75,707200
2006-02-02,8.7625,8.795,8.475,8.4875,884800
2006-02-03,8.4625,8.6475,8.4475,8.6375,303600
2006-02-06,8.625,8.6375,8.47,8.4875,368800
2006-02-07,8.5375,8.8875,8.5375,8.885,1675200
2006-02-08,8.8225,8.85,8.5225,8.675,735600
2006-02-09,8.7,8.7725,8.675,8.7,407600
2006-02-10,8.7,8.7375,8.5,8.6225,388400
2006-02-13,8.5975,8.5975,8.4475,8.525,314400
2006-02-14,8.5125,8.7875,8.45,8.75,989600
2006-02-15,8.75,8.855,8.7125,8.7875,630000
2006-02-16,8.7875,8.84,8.7375,8.835,419200
2006-02-17,8.85,8.85,8.7,8.7075,536400
2006-02-21,8.7325,8.8875,8.7,8.8125,988400
2006-02-22,7.5,8.125,7.37,7.6125,9483200
2006-02-23,7.675,7.875,7.6625,7.775,2397200
2006-02-24,7.79,7.81,7.7175,7.75,923600
2006-02-27,7.75,7.7875,7.695,7.7375,973600
2006-02-28,7.8375,7.865,7.73,7.7475,928800
2006-03-01,7.75,7.9825,7.75,7.9575,623200
2006-03-02,7.8825,8.0225,7.8625,8.0,787200
2006-03-03,8.0,8.1125,7.9875,8.075,814400
2006-03-06,8.1,8.1,8.025,8.065,556800
2006-03-07,8.0025,8.0025,7.875,7.915,640000
2006-03-08,7.8825,8.1125,7.8375,8.075,876000
2006-03-09,8.1125,8.14,8.085,8.1075,741600
2006-03-10,8.125,8.25,8.05,8.2475,1068000
2006-03-13,8.225,8.45,8.225,8.3925,350800
2006-03-14,8.4,8.6025,8.37,8.6025,781200
2006-03-15,8.6025,8.7125,8.6025,8.655,2138000
2006-03-16,8.72,8.7225,8.66,8.695,1287200
2006-03-17,8.695,8.71,8.605,8.6425,2001200
2006-03-20,8.6175,8.6475,8.375,8.4775,867200
2006-03-21,8.44,8.4625,8.3,8.3625,399200
2006-03-22,8.25,8.3125,8.23,8.27,442800
2006-03-23,8.275,8.2975,8.175,8.1975,385200
2006-03-24,8.24,8.275,8.1275,8.25,376000
2006-03-27,8.275,8.4175,8.25,8.35,750000
2006-03-28,8.3125,8.375,8.3125,8.375,373600
2006-03-29,8.4,8.4875,8.3825,8.4675,656000
2006-03-30,8.4925,8.53,8.415,8.4625,746800
2006-03-31,8.425,8.5325,8.375,8.4425,587600
2006-04-03,8.475,8.5175,8.4475,8.515,400000
2006-04-04,8.475,8.5625,8.475,8.5375,448000
2006-04-05,8.55,8.58,8.5,8.5025,351600
2006-04-06,8.5375,8.5725,8.445,8.4925,708800
2006-04-07,8.51,8.5325,8.4325,8.455,201600
2006-04-10,8.48,8.5125,8.4475,8.485,186800
2006-04-11,8.5125,8.5125,8.35,8.3975,436400
2006-04-12,8.3875,8.445,8.35,8.4125,168400
2006-04-13,8.375,8.5375,8.3425,8.505,647600
2006-04-17,8.55,8.585,8.435,8.4775,690400
2006-04-18,8.475,8.5,8.43,8.475,254800
2006-04-19,8.475,8.53,8.32,8.385,377600
2006-04-20,8.375,8.3875,8.3075,8.37,962400
2006-04-21,8.4325,8.47,8.375,8.4125,518800
2006-04-24,8.375,8.5375,8.2275,8.5375,849200
2006-04-25,8.625,8.81,8.625,8.8075,3028400
2006-04-26,8.8075,9.135,8.8,9.125,4019200
2006-04-27,9.1,9.1025,8.7875,8.9375,1363200
2006-04-28,8.94,8.9875,8.6875,8.7,1134800
2006-05-01,8.7,8.8225,8.625,8.65,1806000
2006-05-02,8.7125,8.7425,8.515,8.5475,1187200
2006-05-03,8.5625,8.645,8.49,8.5325,1577600
2006-05-04,8.775,9.45,8.775,9.4425,8611600
2006-05-05,9.4875,9.6,9.375,9.525,3345200
2006-05-08,9.5,9.5875,9.48,9.5325,1609600
2006-05-09,9.5,9.8175,9.5,9.7375,2754000
2006-05-10,9.7625,9.975,9.7225,9.965,1954800
2006-05-11,9.965,9.975,9.83,9.875,4494800
2006-05-12,9.875,9.9875,9.8125,9.895,2455200
2006-05-15,9.87,10.1625,9.715,10.1275,2331600
2006-05-16,10.075,10.2225,10.0375,10.1725,2580800
2006-05-17,10.1725,10.1725,9.4375,9.7375,1964800
