DateTime,Open,High,Low,Close,Volume
2018-05-14,16.68,18.95,16.6,18.38,3893800
2018-05-15,18.38,20.75,17.8,19.0,3063500
2018-05-16,19.79,22.75,19.3,22.5,3058900
2018-05-17,23.3,24.35,19.25,20.0,8340000
2018-05-18,19.33,20.2,19.01,19.04,2458800
2018-05-21,19.85,20.1,19.08,19.18,2533300
2018-05-22,19.45,19.73,18.75,19.48,1641700
2018-05-23,19.49,20.43,19.22,19.96,2800300
2018-05-24,20.69,23.38,20.5,23.09,4538100
2018-05-25,23.39,24.35,22.5,23.93,3590100
2018-05-29,23.9,24.74,22.32,23.27,2581900
2018-05-30,23.53,25.87,23.506,25.87,3359200
2018-05-31,26.5,27.2,24.6,25.45,3552300
2018-06-01,26.0,29.59,26.0,29.07,4240700
2018-06-04,30.3,31.6,27.67,29.7,6127000
2018-06-05,29.8,29.99,27.05,29.72,4813200
2018-06-06,30.39,31.33,27.57,29.26,8474000
2018-06-07,28.54,30.5,27.5,29.87,5482700
2018-06-08,29.3,35.3,28.86,34.89,9780800
2018-06-11,35.75,37.45,33.23,36.39,8422800
2018-06-12,37.4,37.61,35.5,36.22,5311600
2018-06-13,36.36,39.6,35.7,38.94,4936600
2018-06-14,40.02,47.9,38.53,44.04,14441300
2018-06-15,44.4,50.82,42.3,46.2,15495700
2018-06-18,45.35,49.85,44.3,48.57,9483100
2018-06-19,47.8,50.49,42.07,42.72,11072000
2018-06-20,46.31,46.72,41.35,43.99,7507000
2018-06-21,42.76,43.86,37.51,38.03,8411300
2018-06-22,38.47,39.222,34.87,35.85,9796100
2018-06-25,33.4,34.74,30.62,31.49,9773100
2018-06-26,33.75,34.35,32.08,34.15,7828400
2018-06-27,35.35,35.53,30.62,31.08,7884900
2018-06-28,30.09,33.5,29.75,32.68,6698800
2018-06-29,34.91,35.0,32.68,32.89,5612100
2018-07-02,31.45,32.49,30.51,32.1,5684900
2018-07-03,32.15,33.245,31.08,31.15,3733000
2018-07-05,31.77,32.0,28.58,29.92,6565000
2018-07-06,28.43,31.26,28.4,28.54,6374000
2018-07-09,29.52,34.5,28.83,33.69,11342900
2018-07-10,33.56,35.47,32.0,32.09,13797800
2018-07-11,31.07,36.78,30.75,36.47,15828500
2018-07-12,37.77,39.85,36.6,37.37,15065100
2018-07-13,38.1,38.63,36.25,36.93,7376300
2018-07-16,37.96,39.25,36.5,37.92,8669300
2018-07-17,37.54,40.29,37.05,38.71,7631500
2018-07-18,39.63,40.6,38.05,38.73,7733300
2018-07-19,39.2,40.38,35.25,35.49,11130000
2018-07-20,36.0,36.92,34.0,35.71,6680500
2018-07-23,35.72,36.49,34.145,34.59,3911500
2018-07-24,35.5,36.181,32.23,33.4,5168400
2018-07-25,33.31,35.59,33.12,35.18,4482900
2018-07-26,34.84,36.06,34.17,34.49,3126600
2018-07-27,35.5,35.873,33.83,35.28,3830200
2018-07-30,35.3,35.3,32.05,32.36,3451100
2018-07-31,32.5,33.32,31.66,32.2,3035000
2018-08-01,32.96,34.83,32.521,34.5,4519300
2018-08-02,34.34,34.34,32.65,33.44,2527500
2018-08-03,33.55,34.19,31.2,31.57,2739700
2018-08-06,31.08,31.57,30.62,31.03,2142500
2018-08-07,31.73,32.96,31.06,32.05,2341400
2018-08-08,32.4,32.415,30.68,31.02,1879500
2018-08-09,31.51,31.85,30.71,30.91,1181500
2018-08-10,30.25,32.25,30.133,32.19,2128700
2018-08-13,33.0,33.5,31.0,32.88,4169800
2018-08-14,28.618,29.23,27.46,27.6,10792600
2018-08-15,24.52,26.91,24.19,25.83,8227000
2018-08-16,26.81,27.58,26.25,26.37,2483700
2018-08-17,26.34,26.555,25.01,25.61,2553900
2018-08-20,25.8,27.79,24.9,26.49,4415700
2018-08-21,26.98,27.8,26.21,26.31,2850100
2018-08-22,26.48,27.4,26.11,27.0,2114800
2018-08-23,27.24,27.65,26.1,26.22,1880800
2018-08-24,26.59,26.78,25.811,26.17,1390400
2018-08-27,26.97,29.88,26.97,28.96,4542200
2018-08-28,30.54,30.66,28.08,29.12,3319200
2018-08-29,28.59,29.12,28.36,28.77,2146400
2018-08-30,28.1,28.5,27.4,28.02,2246300
2018-08-31,26.4,28.25,26.4,28.03,1870200
2018-09-04,28.05,28.12,26.92,27.0,1721700
2018-09-05,26.37,26.74,25.61,26.48,1739600
2018-09-06,26.41,27.387,26.1,26.28,1079300
2018-09-07,25.9,27.235,25.9,26.25,1130800
2018-09-10,26.0,26.2,25.3,25.8,892400
2018-09-11,24.87,25.9,24.86,25.41,1294600
2018-09-12,25.45,27.8,24.64,27.01,3360500
2018-09-13,28.1,28.88,27.27,27.55,2560000
2018-09-14,27.55,27.89,26.17,26.38,1575100
2018-09-17,25.58,26.48,25.13,25.22,1330100
2018-09-18,25.8,26.2,25.078,25.23,924300
2018-09-19,25.91,26.1,25.0,25.64,1237200
2018-09-20,26.16,26.38,24.91,25.57,1011400
2018-09-21,26.39,26.72,24.95,25.0,1338100
2018-09-24,24.25,24.5,23.18,23.35,2470100
2018-09-25,23.5,24.47,23.15,24.38,2280900
2018-09-26,24.34,24.55,23.53,23.63,1294400
2018-09-27,23.6,24.11,23.02,23.59,1587000
2018-09-28,23.27,24.08,23.12,23.58,1063900
2018-10-01,23.94,24.04,22.35,22.5,1797500
2018-10-02,21.83,22.03,21.02,21.13,3790100
2018-10-03,21.72,22.2,21.41,21.71,1517800
2018-10-04,21.25,21.596,20.51,21.0,2161500
2018-10-05,20.71,21.96,20.54,21.76,1229600
2018-10-08,20.66,21.8,20.6,21.62,869600
2018-10-09,21.51,22.75,21.35,21.53,1060700
2018-10-10,21.36,22.04,20.738,21.06,2006600
2018-10-11,20.7,22.88,20.44,22.18,2573300
2018-10-12,22.94,23.79,22.28,22.81,1468500
2018-10-15,22.5,22.7,21.7,22.07,1026300
2018-10-16,22.21,23.04,21.9,23.02,981000
2018-10-17,22.87,23.0,22.029,22.18,692600
2018-10-18,21.5,22.1,21.4,21.97,1291500
2018-10-19,22.13,22.45,21.55,22.08,589400
2018-10-22,22.73,23.86,22.101,22.52,1914100
2018-10-23,21.5,21.64,20.32,21.35,2509100
2018-10-24,21.0,21.4,19.4,19.51,1562600
2018-10-25,19.97,20.095,19.0,19.59,1143100
2018-10-26,18.81,19.22,17.83,18.93,1974600
2018-10-29,19.5,19.5,16.76,17.37,1505700
2018-10-30,17.43,18.279,16.92,17.79,1814200
2018-10-31,18.07,18.37,17.11,17.32,1708000
2018-11-01,17.5,19.98,17.37,19.57,2297400
2018-11-02,20.79,21.45,19.58,19.76,3043700
2018-11-05,19.5,20.2,19.37,19.55,874600
2018-11-06,19.96,21.238,19.28,19.28,1084100
2018-11-07,20.85,21.52,18.92,19.04,2277800
2018-11-08,18.93,19.65,18.55,19.0,2187500
2018-11-09,18.7,19.0,18.51,18.98,1448100
2018-11-12,18.72,19.2,18.05,18.5,2772900
2018-11-13,19.58,20.1,18.66,18.67,10526300
2018-11-14,18.95,19.13,17.34,17.65,5293100
2018-11-15,18.0,18.24,16.986,18.16,3914200
2018-11-16,17.88,18.04,17.55,17.69,1343700
2018-11-19,17.61,17.87,17.55,17.63,1196100
2018-11-20,17.0,17.5,16.54,17.04,1005000
2018-11-21,17.32,18.34,17.19,17.69,1458400
2018-11-23,17.4,17.96,17.34,17.72,594100
2018-11-26,17.74,17.98,16.7,16.9,1892300
2018-11-27,16.81,16.842,16.01,16.27,2589600
2018-11-28,16.41,17.14,16.23,17.04,2001400
2018-11-29,16.31,17.12,16.01,17.07,2836400
2018-11-30,16.86,17.63,16.616,17.27,2953200
2018-12-03,18.448,18.448,16.44,17.01,6130700
2018-12-04,16.83,16.93,15.7,15.81,3865200
2018-12-06,15.65,16.33,15.05,15.23,4519300
2018-12-07,15.39,15.5,14.44,14.66,4078300
2018-12-10,14.5,15.39,14.5,15.28,2086600
2018-12-11,15.4,16.31,15.3,16.15,2885800
2018-12-12,16.41,17.329,16.4,16.75,2408700
2018-12-13,17.0,18.18,16.83,18.11,3189100
2018-12-14,17.51,18.5,17.21,18.3,3280600
2018-12-17,18.3,18.34,16.2,16.4,2133700
2018-12-18,16.41,17.186,15.69,16.05,2575100
2018-12-19,15.79,16.569,15.53,15.8,2102400
2018-12-20,15.6,16.46,15.6,16.16,1694900
2018-12-21,16.6,17.11,15.23,15.58,2838800
2018-12-24,15.48,15.7,14.93,15.55,946700
2018-12-26,15.64,16.25,15.09,16.22,1436500
2018-12-27,15.71,16.46,15.42,15.93,1566200
2018-12-28,15.84,16.03,15.25,15.47,1144200
2018-12-31,15.71,15.94,15.185,15.48,1448800
2019-01-02,15.17,16.08,15.12,15.77,1157800
2019-01-03,15.53,16.29,15.42,15.67,991300
2019-01-04,16.16,17.64,16.12,17.11,2690900
2019-01-07,17.38,18.71,17.11,18.5,2116800
2019-01-08,18.7,20.0,17.25,18.14,4326200
2019-01-09,18.32,20.2,18.141,19.45,3802900
2019-01-10,19.18,20.38,19.05,19.96,2663600
2019-01-11,19.84,20.9,19.62,20.2,2355800
2019-01-14,19.77,19.84,18.26,18.61,2423800
2019-01-15,19.12,19.25,18.75,19.07,1229200
2019-01-16,19.0,19.62,18.757,19.05,1221200
2019-01-17,18.78,19.98,18.75,19.71,962200
2019-01-18,19.98,20.75,19.77,20.31,1816900
2019-01-22,20.16,20.29,19.207,19.88,1864600
2019-01-23,20.0,20.6,19.81,19.95,1443000
2019-01-24,20.25,20.43,19.86,20.08,1684200
2019-01-25,20.56,22.53,20.22,22.37,4736100
2019-01-28,21.3,21.38,20.5,20.95,3544600
2019-01-29,20.6,20.6,19.184,20.09,3291900
2019-01-30,20.2,20.8,19.76,19.89,1873300
2019-01-31,20.0,21.14,19.9,20.98,2610300
2019-02-01,20.7,21.43,19.52,19.67,3034700
2019-02-04,19.87,20.09,19.626,19.74,1728300
2019-02-05,19.94,20.25,19.81,20.0,1248400
2019-02-06,20.12,20.2,19.42,19.43,1433300
2019-02-07,19.26,19.55,18.45,18.84,1982800
2019-02-08,18.5,19.48,18.3,19.2,1496700
2019-02-11,19.46,19.83,19.225,19.36,1202300
2019-02-12,19.52,20.47,19.52,20.0,2132600
2019-02-13,20.2,20.344,19.32,19.38,2341300
2019-02-14,19.23,19.84,19.028,19.8,1414100
2019-02-15,19.7,19.87,19.34,19.44,1156900
2019-02-19,19.34,20.19,19.3,20.05,2654800
2019-02-20,20.17,22.04,20.16,22.0,5376800
2019-02-21,22.0,22.36,21.014,21.26,3104100
2019-02-22,21.87,24.7,21.8,23.75,6208600
2019-02-25,25.87,26.06,24.71,24.87,6188400
2019-02-26,24.41,26.12,24.25,25.47,3165000
2019-02-27,25.86,26.2,24.86,25.79,2411200
2019-02-28,25.86,26.18,25.0,25.84,2112700
2019-03-01,26.41,26.5,24.76,25.21,3451200
2019-03-04,25.5,25.63,23.685,24.56,6706600
2019-03-05,25.382,30.0,24.01,29.96,21982800
2019-03-06,29.26,29.44,26.1,27.32,12711100
2019-03-07,26.77,26.9,25.1,25.22,8474500
2019-03-08,23.73,24.48,22.7,24.14,7628900
2019-03-11,24.52,25.74,24.43,25.46,4322700
2019-03-12,25.59,26.28,24.88,26.1,3825400
2019-03-13,25.5,26.45,24.968,25.1,3011500
2019-03-14,24.6,24.77,24.08,24.47,3599000
2019-03-15,24.75,27.12,24.595,26.71,6388900
2019-03-18,27.0,28.05,27.0,27.83,4100200
2019-03-19,28.05,28.439,27.01,28.02,3305000
2019-03-20,27.36,27.94,26.41,27.73,2830400
2019-03-21,27.17,28.29,27.05,27.99,1602900
2019-03-22,27.13,27.498,25.0,25.03,5474100
2019-03-25,24.7,26.06,24.53,25.87,3336600
2019-03-26,26.12,26.35,25.3,25.81,2186300
2019-03-27,25.72,26.19,25.06,26.11,1601400
2019-03-28,25.95,27.03,25.65,26.96,1838200
2019-03-29,27.44,28.86,27.42,28.13,4365300
2019-04-01,28.81,29.45,27.92,29.3,3550100
2019-04-02,28.88,29.25,27.67,27.7,2698200
2019-04-03,28.23,28.38,26.37,27.04,4178100
2019-04-04,26.96,26.96,24.88,25.74,6570900
