DateTime,Open,High,Low,Close,Volume
2019-06-03,1.03,1.38,1.015,1.29,2348700
2019-06-04,1.27,1.27,1.03,1.06,2158200
2019-06-05,1.05,1.09,1.03,1.07,450800
2019-06-06,1.04,1.09,0.95,1.08,776100
2019-06-07,1.06,1.08,1.02,1.04,291400
2019-06-10,1.04,1.044,0.951,0.999,539200
2019-06-11,0.99,1.03,0.975,1.02,320400
2019-06-12,1.03,1.05,0.99,1.02,383200
2019-06-13,1.02,1.08,1.0,1.04,313400
2019-06-14,1.05,1.07,1.01,1.02,153500
2019-06-17,1.02,1.07,1.02,1.04,180800
2019-06-18,1.05,1.18,1.042,1.13,571700
2019-06-19,1.12,1.15,1.08,1.15,145500
2019-06-20,1.19,1.19,1.08,1.1,305200
2019-06-21,1.08,1.14,1.07,1.1,151200
2019-06-24,1.12,1.12,1.02,1.06,210500
2019-06-25,1.07,1.14,1.03,1.1,247900
2019-06-26,1.1,1.1,1.04,1.05,197900
2019-06-27,1.06,1.13,1.04,1.05,314400
2019-06-28,1.05,1.1,1.01,1.02,3303300
2019-07-01,1.07,1.07,1.01,1.03,297200
2019-07-02,1.05,1.07,1.03,1.05,166900
2019-07-03,1.05,1.1,1.05,1.07,104200
2019-07-05,1.05,1.12,1.05,1.1,254500
2019-07-08,1.11,1.155,1.087,1.13,167700
2019-07-09,1.14,1.17,1.11,1.13,191500
2019-07-10,1.15,1.16,1.1,1.13,179400
2019-07-11,1.14,1.149,1.08,1.11,135600
2019-07-12,1.09,1.14,1.07,1.11,124900
2019-07-15,1.11,1.14,1.08,1.12,91000
2019-07-16,1.12,1.34,1.12,1.29,823500
2019-07-17,1.29,1.32,1.17,1.27,316000
2019-07-18,1.29,1.29,1.2,1.26,106700
2019-07-19,1.28,1.285,1.19,1.23,119000
2019-07-22,1.22,1.27,1.199,1.25,147700
2019-07-23,1.25,1.33,1.203,1.27,431600
2019-07-24,1.28,1.284,1.18,1.21,235300
2019-07-25,1.22,1.29,1.17,1.18,227300
2019-07-26,1.19,1.35,1.19,1.26,228300
2019-07-29,1.26,1.3,1.24,1.25,74100
2019-07-30,1.23,1.32,1.22,1.32,108800
2019-07-31,1.32,1.55,1.31,1.38,864800
2019-08-01,1.39,1.41,1.22,1.26,224700
2019-08-02,1.26,1.28,1.21,1.27,168700
2019-08-05,1.24,1.26,1.15,1.2,201800
2019-08-06,1.2,1.253,1.18,1.23,125100
2019-08-07,1.22,1.32,1.22,1.3,190300
2019-08-08,1.294,1.35,1.25,1.34,198200
2019-08-09,1.32,1.421,1.32,1.36,193100
2019-08-12,1.34,1.4,1.3,1.31,69800
2019-08-13,1.3,1.35,1.29,1.29,56600
2019-08-14,1.26,1.31,1.26,1.28,80100
2019-08-15,1.29,1.3,1.22,1.24,108500
2019-08-16,1.23,1.28,1.23,1.25,47300
2019-08-19,1.25,1.3,1.25,1.26,82200
2019-08-20,1.26,1.29,1.25,1.27,56000
2019-08-21,1.27,1.35,1.269,1.34,97800
2019-08-22,1.33,1.35,1.31,1.33,30200
2019-08-23,1.34,1.39,1.27,1.27,91900
2019-08-26,1.27,1.305,1.16,1.21,184300
