DateTime,Open,High,Low,Close,Volume
2019-12-20,10.808,12.49,9.25,9.65,503000
2019-12-23,8.79,8.79,7.25,7.81,117400
2019-12-24,7.5,7.64,6.0,6.41,102800
2019-12-26,6.42,7.72,6.42,7.41,78400
2019-12-27,7.65,7.75,7.08,7.56,30500
2019-12-30,7.25,7.37,7.1,7.11,13300
2019-12-31,7.05,7.7,6.6,7.31,181100
2020-01-02,7.03,7.42,7.03,7.1,23300
2020-01-03,7.15,7.27,7.0,7.09,12200
2020-01-06,7.1,7.75,6.81,7.17,32700
2020-01-07,7.13,8.68,7.086,8.05,95100
2020-01-08,8.07,8.296,7.1,7.1,38000
2020-01-09,7.26,7.74,6.9,7.6,39000
2020-01-10,7.99,7.99,7.68,7.95,17500
2020-01-13,7.65,7.74,7.56,7.7,4100
2020-01-14,7.7,8.71,7.55,8.3,60800
2020-01-15,8.3,8.4,7.805,8.2,28800
2020-01-16,8.69,8.69,8.34,8.34,8400
2020-01-17,8.54,8.54,7.85,8.3,15900
2020-01-21,8.29,8.46,8.0,8.0,10500
2020-01-22,8.2,8.29,7.7,7.76,10400
2020-01-23,7.7,7.92,7.7,7.7,3700
2020-01-24,7.89,7.89,7.7,7.8,900
2020-01-27,7.78,8.3,7.31,7.51,19100
2020-01-28,7.54,7.6,7.28,7.28,9700
2020-01-29,7.29,7.6,7.15,7.6,2700
2020-01-30,7.27,7.27,6.52,7.0,16100
2020-01-31,7.01,7.01,6.9,6.9,2300
2020-02-03,6.87,6.87,6.87,6.87,200
2020-02-04,6.75,6.75,6.5,6.605,1200
2020-02-05,6.74,7.1,6.55,7.1,2700
2020-02-06,7.09,7.25,6.5,6.6,3300
2020-02-07,6.825,6.825,6.5,6.5,2800
2020-02-10,6.5,6.531,6.25,6.481,2200
2020-02-11,6.69,6.85,6.69,6.85,1300
2020-02-12,7.0,7.45,7.0,7.342,7300
2020-02-13,7.1,7.33,7.1,7.27,800
2020-02-14,7.3,7.5,7.2,7.34,3600
2020-02-18,7.35,7.35,7.01,7.01,500
2020-02-19,6.903,7.35,6.903,7.12,8300
2020-02-20,7.02,7.02,6.5,6.5,3800
2020-02-21,6.74,6.95,6.638,6.638,2200
2020-02-25,6.77,6.77,6.77,6.77,200
2020-02-26,6.57,6.6,6.3,6.413,2700
2020-02-27,6.565,6.565,6.0,6.0,3000
2020-02-28,5.715,5.715,5.3,5.3,6400
2020-03-02,5.25,5.4,5.25,5.27,1600
2020-03-03,5.0,5.0,4.75,4.9,1100
2020-03-04,4.91,5.327,4.91,5.32,1200
2020-03-05,5.0,5.0,4.75,4.996,1800
