DateTime,Open,High,Low,Close,Volume
2014-02-18,15.22,15.6,15.15,15.25,194900
2014-02-19,15.17,15.35,15.0,15.1,133700
2014-02-20,15.07,15.8,15.015,15.5,151100
2014-02-21,15.76,16.7,15.45,16.55,197200
2014-02-24,16.9,17.32,16.73,16.97,133300
2014-02-25,17.1,17.24,16.75,16.95,116800
2014-02-26,17.0,17.3,16.88,17.0,51900
2014-02-27,17.01,17.36,16.81,17.14,46800
2014-02-28,18.32,18.32,17.15,17.51,114600
2014-03-03,17.45,17.77,16.95,17.69,99000
2014-03-04,17.99,19.22,17.9,19.02,117200
2014-03-05,19.4,20.24,19.28,19.4,149400
2014-03-06,19.39,20.0,19.04,19.38,111300
2014-03-07,19.82,19.91,19.01,19.19,109700
2014-03-10,19.16,19.61,19.12,19.5,110800
2014-03-11,19.79,19.79,18.31,18.75,193700
2014-03-12,18.74,20.45,18.31,20.31,145300
2014-03-13,20.77,21.0,19.92,20.0,132400
2014-03-14,20.03,20.03,19.01,19.4,71100
2014-03-17,19.91,20.3,19.67,19.95,77000
2014-03-18,20.05,20.4,19.82,19.85,117900
2014-03-19,19.97,20.49,19.66,19.84,43800
2014-03-20,19.6,20.1,18.11,18.5,112100
2014-03-21,18.51,19.22,17.07,17.2,164100
2014-03-24,17.1,17.25,15.72,16.69,156000
2014-03-25,17.14,17.74,16.55,16.8,238500
2014-03-26,16.8,17.41,16.7,16.74,98800
2014-03-27,17.0,17.76,16.5,16.81,215000
2014-03-28,17.47,18.0,16.5,16.57,418500
2014-03-31,16.5,17.43,16.06,16.51,757100
2014-04-01,16.5,16.91,16.32,16.62,58200
2014-04-02,16.64,17.14,16.48,16.53,84200
2014-04-03,16.57,16.75,16.325,16.7,112300
2014-04-04,16.75,16.75,16.26,16.35,90000
2014-04-07,16.26,16.73,16.02,16.38,174000
2014-04-08,16.15,16.58,16.08,16.47,43200
2014-04-09,16.48,17.01,15.76,16.47,192200
2014-04-10,16.47,16.68,16.27,16.46,111500
2014-04-11,16.32,17.25,16.1,16.89,78600
2014-04-14,17.02,17.15,16.15,16.32,46200
2014-04-15,16.42,16.42,15.121,15.19,109000
2014-04-16,15.35,15.73,15.0,15.32,74400
2014-04-17,15.37,15.46,14.8,14.85,91700
2014-04-21,14.8,15.0,14.59,14.72,112500
2014-04-22,14.82,15.035,14.76,14.94,80800
2014-04-23,14.94,15.07,14.3,14.61,89800
2014-04-24,14.71,14.85,14.34,14.72,26000
2014-04-25,14.75,14.75,14.21,14.64,83600
2014-04-28,14.63,14.63,13.955,14.26,46700
