DateTime,Open,High,Low,Close,Volume
2018-05-04,25.28,25.5,23.85,24.47,345800
2018-05-07,24.37,24.79,23.808,24.05,232900
2018-05-08,23.85,24.5,23.53,24.14,344500
2018-05-09,24.23,24.48,23.62,24.05,184400
2018-05-10,24.36,25.62,24.14,25.51,261700
2018-05-11,25.74,26.75,25.3,26.74,154900
2018-05-14,26.7,30.32,26.61,29.4,220000
2018-05-15,29.21,32.18,28.75,32.1,139800
2018-05-16,32.27,32.653,30.68,32.24,118800
2018-05-17,32.04,33.88,31.592,33.38,127000
2018-05-18,33.85,33.94,32.55,33.54,87500
2018-05-21,33.39,34.6,33.15,33.45,72800
2018-05-22,33.75,33.75,32.26,32.84,74900
2018-05-23,32.57,32.99,31.46,32.2,102500
2018-05-24,31.96,32.955,31.735,32.7,101700
2018-05-25,32.9,33.245,30.18,30.61,170300
2018-05-29,30.45,30.58,27.3,28.17,284000
2018-05-30,28.47,30.23,28.445,29.75,270000
2018-05-31,29.87,30.915,29.35,30.0,323100
2018-06-01,29.9,31.33,29.76,30.84,274800
2018-06-04,31.26,31.26,28.905,29.63,219200
2018-06-05,29.94,31.08,28.875,30.9,139300
2018-06-06,30.82,30.88,29.68,30.87,109100
2018-06-07,31.25,33.221,30.9,32.97,159400
2018-06-08,32.79,36.99,31.68,33.96,352700
2018-06-11,34.35,35.33,32.778,35.15,248300
2018-06-12,35.33,36.68,32.83,32.86,283800
2018-06-13,32.63,34.88,32.165,34.57,177800
2018-06-14,34.63,36.45,34.63,35.27,232000
2018-06-15,35.08,36.75,33.95,36.46,573300
2018-06-18,37.11,41.01,33.06,35.18,719400
2018-06-19,34.94,37.76,33.701,37.66,244800
2018-06-20,37.93,39.72,37.835,38.95,223200
2018-06-21,39.06,40.6,38.476,39.12,217400
2018-06-22,39.22,40.04,38.49,39.5,1068600
2018-06-25,39.52,39.84,37.41,38.74,246800
2018-06-26,38.69,38.9,37.76,38.26,303200
2018-06-27,38.5,38.5,35.27,36.32,308600
2018-06-28,36.28,36.425,34.81,36.17,134600
2018-06-29,36.21,36.559,35.26,35.66,85900
2018-07-02,35.6,37.82,35.35,37.81,108500
2018-07-03,38.0,38.36,36.64,36.8,73300
2018-07-05,37.03,39.505,37.03,38.52,86000
2018-07-06,38.59,39.33,37.11,37.21,78900
2018-07-09,37.3,37.72,36.175,37.07,94900
2018-07-10,39.5,47.26,39.5,45.13,1020900
2018-07-11,44.66,45.78,42.51,43.54,303300
2018-07-12,43.86,43.96,42.0,43.0,135300
2018-07-13,43.11,43.18,40.893,41.93,141700
2018-07-16,42.43,43.67,40.8,43.02,88600
2018-07-17,42.96,45.927,42.09,43.97,193700
2018-07-18,44.01,44.21,42.465,43.11,115300
2018-07-19,43.26,44.37,42.5,44.23,155300
2018-07-20,44.11,44.579,42.0,42.22,134300
2018-07-23,42.1,42.69,41.066,41.95,46000
2018-07-24,42.27,42.39,40.27,41.32,163000
2018-07-25,41.77,43.97,41.218,43.21,90500
2018-07-26,43.56,45.0,42.68,44.59,72100
2018-07-27,44.35,44.35,40.68,41.2,179400
2018-07-30,41.43,43.16,41.21,42.73,87800
2018-07-31,42.87,45.87,42.012,44.8,150000
2018-08-01,44.98,49.03,44.98,45.45,302200
2018-08-02,45.19,46.83,43.59,45.99,136800
2018-08-03,45.81,47.497,45.05,46.46,113100
2018-08-06,46.48,48.955,45.11,46.39,128500
2018-08-07,46.61,46.63,45.1,46.4,144100
2018-08-08,47.19,50.0,45.32,45.54,465200
2018-08-09,46.31,47.05,45.35,46.78,235600
2018-08-10,46.21,46.964,45.19,46.33,147200
2018-08-13,46.54,48.574,46.17,48.06,128100
2018-08-14,48.39,49.553,47.51,48.15,138700
2018-08-15,48.22,50.882,48.06,49.62,175500
2018-08-16,50.31,55.4,50.3,54.01,347000
